chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	97	18	0.0000979777	0.0000000199
1	1892607	3582735	439	40	0.0003076878	0.0000000679
1	3582736	4380810	269	40	-0.0001088717	0.0000000383
1	4380811	5913892	853	40	0.0000408137	0.0000000700
1	5913893	7247334	426	40	-0.0001201792	0.0000000485
1	7247335	9365198	696	40	0.0000480669	0.0000000760
1	9365199	10806983	349	40	-0.0000478827	0.0000000424
1	10806984	11777840	252	40	-0.0001582745	0.0000000312
1	11777841	12779465	280	40	-0.0001705850	0.0000000408
1	12779466	14891510	614	40	-0.0000267391	0.0000000698
1	14891511	16897729	686	40	-0.0000050867	0.0000000760
1	16897730	18662898	665	40	0.0000519041	0.0000000744
1	18662899	20469148	711	40	-0.0000755619	0.0000000714
1	20469149	21736587	458	40	0.0001240242	0.0000000542
1	21736588	23086882	520	40	0.0001993025	0.0000000641
1	23086883	23920589	220	28	0.0000782891	0.0000000269
1	23920590	25516844	519	40	0.0001670320	0.0000000668
1	25516845	27401866	411	40	0.0001817719	0.0000000440
1	27401867	30161880	548	40	-0.0002714785	0.0000000564
1	30161881	32438684	924	40	-0.0002404804	0.0000000677
1	32438685	34799757	669	40	0.0001426074	0.0000000734
1	34799758	37549182	553	40	-0.0000306958	0.0000000606
1	37549183	38731846	362	40	-0.0001075910	0.0000000428
1	38731847	40200566	445	40	0.0001982675	0.0000000508
1	40200567	41975326	551	40	-0.0000142606	0.0000000587
1	41975327	43758456	540	40	-0.0000381880	0.0000000520
1	43758457	44969182	366	35	-0.0001747645	0.0000000387
1	44969183	46899500	455	38	-0.0001627045	0.0000000475
1	46899501	48002575	291	33	0.0000653314	0.0000000310
1	48002576	48978187	342	40	0.0003773135	0.0000000366
1	48978188	49894176	246	28	0.0000580822	0.0000000289
1	49894177	51713725	255	25	-0.0000528039	0.0000000207
1	51713726	54226261	559	40	0.0000764599	0.0000000619
1	54226262	56413116	831	40	0.0000963414	0.0000000712
1	56413117	57021727	271	31	-0.0001760378	0.0000000337
1	57021728	58865398	844	40	0.0001152930	0.0000000663
1	58865399	59890408	383	40	-0.0000507264	0.0000000379
1	59890409	61922364	667	40	0.0000771638	0.0000000688
1	61922365	63455088	532	40	-0.0000604435	0.0000000578
1	63455089	65041703	656	40	0.0001372811	0.0000000587
1	65041704	66939403	639	40	-0.0000736362	0.0000000648
1	66939404	68477894	678	40	-0.0001115219	0.0000000589
1	68477895	69687615	371	40	0.0000406189	0.0000000431
1	69687616	71372469	513	40	-0.0001404969	0.0000000524
1	71372470	71684404	82	10	-0.0000135655	0.0000000078
1	71684405	74326906	556	40	-0.0000910128	0.0000000449
1	74326907	76728134	711	40	-0.0002330095	0.0000000589
1	76728135	79661197	942	40	-0.0001850190	0.0000000707
1	79661198	81354190	468	40	0.0001671934	0.0000000493
1	81354191	83991747	962	40	-0.0000150306	0.0000000738
1	83991748	84844494	312	35	0.0000902572	0.0000000307
1	84844495	86454750	645	40	-0.0003402579	0.0000000683
1	86454751	88128630	563	40	0.0000954613	0.0000000562
1	88128631	90066302	516	40	0.0002293107	0.0000000530
1	90066303	91886316	557	40	0.0000309196	0.0000000634
1	91886317	93536458	509	40	-0.0000300095	0.0000000427
1	93536459	94506190	254	26	0.0000200659	0.0000000231
1	94506191	96150892	640	40	0.0000355786	0.0000000688
1	96150893	97885248	600	40	0.0001147825	0.0000000543
1	97885249	99800603	638	40	0.0000886124	0.0000000578
1	99800604	100826404	311	36	0.0001971181	0.0000000342
1	100826405	102041015	444	40	0.0000952224	0.0000000418
1	102041016	102898744	271	36	-0.0003349213	0.0000000353
1	102898745	103914210	200	21	-0.0001196375	0.0000000250
1	103914211	106087841	448	40	0.0001355819	0.0000000466
1	106087842	108409664	721	40	0.0001499873	0.0000000711
1	108409665	110303930	559	40	-0.0000846328	0.0000000644
1	110303931	111741736	566	40	-0.0001174713	0.0000000698
1	111741737	113273305	718	40	-0.0002827864	0.0000000717
1	113273306	114873844	507	40	0.0001001599	0.0000000534
1	114873845	115880592	343	37	0.0000963454	0.0000000361
1	115880593	118839066	814	40	-0.0000006229	0.0000000733
1	118839067	144977493	562	40	-0.0000552874	0.0000000559
1	144977494	148361252	431	40	0.0001630965	0.0000000415
1	148361253	151538880	349	34	0.0001932732	0.0000000368
1	151538881	153180828	463	40	0.0001829081	0.0000000488
1	153180829	154770402	459	40	0.0002752771	0.0000000473
1	154770403	156336132	305	38	0.0003290815	0.0000000472
1	156336133	158027411	594	40	0.0002491501	0.0000000619
1	158027412	159913047	676	40	0.0001699626	0.0000000761
1	159913048	162346720	870	40	-0.0000755098	0.0000000738
1	162346721	165191701	1188	40	-0.0001199525	0.0000000681
1	165191702	166460516	528	40	-0.0001956681	0.0000000578
1	166460517	169086323	1090	40	-0.0000768894	0.0000000710
1	169086324	170557775	556	40	0.0001055786	0.0000000465
1	170557776	173097906	898	40	-0.0000517590	0.0000000781
1	173097907	175089767	410	32	-0.0001553392	0.0000000300
1	175089768	177433380	784	40	0.0002973762	0.0000000711
1	177433381	178944308	491	40	-0.0000865118	0.0000000493
1	178944309	178954469	2	1	-0.0000208799	0.0000000006
1	178954470	181144120	744	40	-0.0001223551	0.0000000697
1	181144121	182755355	598	40	-0.0000257805	0.0000000717
1	182755356	184595512	627	40	0.0000017693	0.0000000586
1	184595513	186810022	522	40	-0.0002894716	0.0000000555
1	186810023	188759944	617	40	-0.0000505027	0.0000000540
1	188759945	189904129	216	16	0.0001311250	0.0000000209
1	189904130	191868929	537	40	0.0001705038	0.0000000407
1	191868930	194107441	570	40	0.0000168496	0.0000000552
