chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	92	17	0.0002584808	0.000000018037
1	1892607	3582735	405	28	0.0002216792	0.000000047704
1	3582736	4380810	262	28	0.0002633134	0.000000032989
1	4380811	5913892	863	28	0.0000446023	0.000000056696
1	5913893	7247334	417	28	0.0000332457	0.000000035972
1	7247335	9365198	680	28	0.0000418536	0.000000054473
1	9365199	10806983	339	28	0.0000631923	0.000000026348
1	10806984	11777840	247	28	0.0000129868	0.000000023526
1	11777841	12779465	280	28	0.0001881179	0.000000021024
1	12779466	14891510	607	28	0.0001304781	0.000000058698
1	14891511	16897729	657	28	0.0000863805	0.000000056557
1	16897730	18662898	638	28	0.0000289833	0.000000054606
1	18662899	20469148	684	28	0.0000916014	0.000000057711
1	20469149	21736587	450	28	0.0002706666	0.000000044592
1	21736588	23086882	507	28	0.0001962403	0.000000052108
1	23086883	23920589	214	27	0.0001535950	0.000000020056
1	23920590	25516844	500	28	0.0003964289	0.000000056400
1	25516845	27401866	396	28	0.0006499201	0.000000043528
1	27401867	30161880	524	28	-0.0000142958	0.000000039479
1	30161881	32438684	903	28	0.0002117060	0.000000060859
1	32438685	34799757	644	28	0.0001230442	0.000000058109
1	34799758	37549182	527	28	0.0001101749	0.000000045639
1	37549183	38731846	358	28	0.0001478532	0.000000032161
1	38731847	40200566	424	28	0.0002748214	0.000000040477
1	40200567	41975326	540	28	0.0002379085	0.000000048582
1	41975327	43758456	531	28	0.0001462631	0.000000041574
1	43758457	44969182	351	28	0.0001386295	0.000000029455
1	44969183	46899500	440	28	0.0001180318	0.000000027752
1	46899501	48002575	280	28	0.0002493411	0.000000027782
1	48002576	48978187	339	28	0.0001657752	0.000000033811
1	48978188	49894176	237	28	0.0000265279	0.000000020421
1	49894177	51713725	252	25	0.0002011003	0.000000019422
1	51713726	54226261	546	28	0.0003566272	0.000000052217
1	54226262	56413116	813	28	0.0001726456	0.000000054843
1	56413117	57021727	265	28	0.0001472314	0.000000019124
1	57021728	58865398	827	28	0.0001565122	0.000000060178
1	58865399	59890408	371	28	0.0002193177	0.000000033909
1	59890409	61922364	660	28	0.0001312281	0.000000056870
1	61922365	63455088	526	28	0.0027684906	0.000000100435
1	63455089	65041703	642	28	0.0000508088	0.000000047762
1	65041704	66939403	634	28	0.0001264380	0.000000050532
1	66939404	68477894	664	28	0.0002805971	0.000000053673
1	68477895	69687615	383	28	0.0001394054	0.000000035316
1	69687616	71372469	506	28	0.0000076907	0.000000039975
1	71372470	71684404	81	10	0.0000758004	0.000000006918
1	71684405	74326906	558	28	0.0001470810	0.000000031414
1	74326907	76728134	713	28	0.0001680436	0.000000047636
1	76728135	79661197	924	28	0.0001285471	0.000000056194
1	79661198	81354190	470	28	0.0000675189	0.000000039289
1	81354191	83991747	965	28	0.0002111857	0.000000059797
1	83991748	84844494	304	28	0.0001973768	0.000000027136
1	84844495	86454750	634	28	0.0001070260	0.000000052154
1	86454751	88128630	552	28	0.0001469620	0.000000047488
1	88128631	90066302	515	28	0.0000920226	0.000000040497
1	90066303	91886316	554	28	0.0003207513	0.000000052348
1	91886317	93536458	500	28	0.0002796165	0.000000038629
1	93536459	94506190	245	26	0.0000609065	0.000000016700
1	94506191	96150892	640	28	0.0000238579	0.000000051344
1	96150893	97885248	598	28	0.0001855310	0.000000042282
1	97885249	99800603	632	28	0.0001030274	0.000000047990
1	99800604	100826404	329	28	0.0001680783	0.000000027527
1	100826405	102041015	439	28	0.0001633278	0.000000038543
1	102041016	102898744	271	28	0.0002327298	0.000000028401
1	102898745	103914210	196	21	0.0000298757	0.000000014117
1	103914211	106087841	452	28	0.0000261649	0.000000036275
1	106087842	108409664	721	28	0.0000750009	0.000000056234
1	108409665	110303930	555	28	0.0004001264	0.000000036901
1	110303931	111741736	559	28	0.0000755816	0.000000050243
1	111741737	113273305	691	28	0.0002913991	0.000000059478
1	113273306	114873844	497	28	0.0002474239	0.000000046565
1	114873845	115880592	338	28	0.0000576882	0.000000023451
1	115880593	118839066	807	28	0.0003021108	0.000000062560
1	118839067	144977493	564	28	0.0002293856	0.000000034913
1	144977494	148361252	425	28	0.0003657607	0.000000043066
1	148361253	151538880	332	28	-0.0000039376	0.000000021763
1	151538881	153180828	451	28	0.0000795200	0.000000032650
1	153180829	154770402	445	28	0.0004959238	0.000000047440
1	154770403	156336132	280	28	0.0003235343	0.000000030655
1	156336133	158027411	576	28	0.0002134924	0.000000054339
1	158027412	159913047	667	28	0.0000971438	0.000000055058
1	159913048	162346720	860	28	0.0000538417	0.000000041070
1	162346721	165191701	1173	28	0.0000116006	0.000000052588
1	165191702	166460516	514	28	0.0001242270	0.000000048866
1	166460517	169086323	1078	28	0.0001168837	0.000000057043
1	169086324	170557775	550	28	0.0000758387	0.000000033126
1	170557776	173097906	897	28	0.0003095330	0.000000056064
1	173097907	175089767	399	28	0.0002481720	0.000000027363
1	175089768	177433380	764	28	0.0002099434	0.000000059685
1	177433381	178944308	497	28	0.0001059250	0.000000030416
1	178944309	178954469	2	1	0.0000073207	0.000000000579
1	178954470	181144120	713	28	0.0001320282	0.000000055759
1	181144121	182755355	577	28	0.0002818385	0.000000056925
1	182755356	184595512	607	28	0.0003007059	0.000000051255
1	184595513	186810022	499	28	0.0001909824	0.000000040586
1	186810023	188759944	616	28	0.0001065500	0.000000047562
1	188759945	189904129	216	17	0.0000545469	0.000000014186
1	189904130	191868929	537	28	0.0001211589	0.000000035722
1	191868930	194107441	577	28	0.0001003566	0.000000044782
1	194107442	196176200	577	28	0.0001788189	0.000000041914
1	196176201	197311513	188	16	0.0000954091	0.000000013129
1	197311514	199239883	501	28	0.0001052978	0.000000040468
1	199239884	200137648	296	28	0.0003441098	0.000000032419
1	200137649	201589974	685	28	0.0001241594	0.000000057721
1	201589975	203334733	591	28	0.0000422511	0.000000052643
1	203334734	204681067	471	28	0.0002375264	0.000000046170
1	204681068	206073264	559	28	0.0001615352	0.000000049090
1	206073265	208410363	603	28	0.0000704395	0.000000052203
1	208410364	210787749	908	28	0.0002636076	0.000000060528
1	210787750	212842329	685	28	0.0001279929	0.000000055782
1	212842330	214578265	606	28	0.0000400646	0.000000050087
1	214578266	216243633	579	28	0.0000983793	0.000000051255
1	216243634	218705512	1069	28	0.0001478098	0.000000056885
1	218705513	219590570	279	28	0.0001687779	0.000000023432
1	219590571	221858230	679	28	0.0005169269	0.000000057292
1	221858231	222230219	171	21	0.0002183469	0.000000021376
1	222230220	224938519	495	28	0.0002025781	0.000000043754
1	224938520	226810859	498	28	0.0002046792	0.000000043783
1	226810860	229156247	654	28	0.0002396483	0.000000055396
1	229156248	230685254	523	28	0.0009953483	0.000000060626
1	230685255	232090251	574	28	0.0002058414	0.000000050680
1	232090252	233429283	598	28	0.0001774453	0.000000059133
1	233429284	234599433	519	28	0.0001971829	0.000000051639
1	234599434	235819435	369	28	0.0000675897	0.000000033711
