chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	77	17	-0.0000489523	0.0000000189
1	1892607	3582735	368	40	0.0000417748	0.0000000494
1	3582736	4380810	237	40	-0.0000425800	0.0000000326
1	4380811	5913892	849	40	-0.0000454029	0.0000000685
1	5913893	7247334	357	40	0.0000554583	0.0000000440
1	7247335	9365198	640	40	-0.0001308197	0.0000000725
1	9365199	10806983	297	40	0.0001145035	0.0000000374
1	10806984	11777840	220	40	-0.0000720394	0.0000000302
1	11777841	12779465	188	40	-0.0001579564	0.0000000267
1	12779466	14891510	570	40	0.0000741660	0.0000000776
1	14891511	16897729	592	40	-0.0001042162	0.0000000641
1	16897730	18662898	569	40	0.0001592298	0.0000000718
1	18662899	20469148	626	40	0.0001962085	0.0000000749
1	20469149	21736587	394	40	0.0000103497	0.0000000442
1	21736588	23086882	445	40	-0.0000008773	0.0000000786
1	23086883	23920589	182	26	-0.0003489994	0.0000000218
1	23920590	25516844	444	40	0.0001443468	0.0000000537
1	25516845	27401866	307	40	-0.0000126704	0.0000000359
1	27401867	30161880	485	40	-0.0000071457	0.0000000492
1	30161881	32438684	870	40	-0.0000377856	0.0000000733
1	32438685	34799757	608	40	0.0000273691	0.0000000713
1	34799758	37549182	510	40	0.0000590315	0.0000000554
1	37549183	38731846	323	40	0.0000646107	0.0000000381
1	38731847	40200566	391	40	0.0002292643	0.0000000504
1	40200567	41975326	499	40	0.0002568724	0.0000000586
1	41975327	43758456	477	40	0.0003394027	0.0000000587
1	43758457	44969182	303	34	-0.0001557244	0.0000000317
1	44969183	46899500	370	37	-0.0000682812	0.0000000357
1	46899501	48002575	256	32	0.0001684533	0.0000000252
1	48002576	48978187	330	40	0.0000920248	0.0000000360
1	48978188	49894176	230	28	-0.0000477854	0.0000000263
1	49894177	51713725	245	25	0.0001388319	0.0000000181
1	51713726	54226261	493	40	-0.0001835014	0.0000000588
1	54226262	56413116	738	40	0.0003280100	0.0000000689
1	56413117	57021727	246	30	0.0000679503	0.0000000296
1	57021728	58865398	821	40	-0.0000608925	0.0000000708
1	58865399	59890408	354	40	0.0001586368	0.0000000385
1	59890409	61922364	632	40	0.0001100953	0.0000000672
1	61922365	63455088	429	40	-0.0000178434	0.0000000490
1	63455089	65041703	620	40	-0.0001351558	0.0000000561
1	65041704	66939403	602	40	0.0002331170	0.0000000601
1	66939404	68477894	630	40	-0.0003108101	0.0000000602
1	68477895	69687615	370	40	0.0001685219	0.0000000774
1	69687616	71372469	489	40	-0.0001370234	0.0000000460
1	71372470	71684404	77	10	0.0000151938	0.0000000076
1	71684405	74326906	506	40	0.0000653085	0.0000000479
1	74326907	76728134	647	40	0.0001311254	0.0000000564
1	76728135	79661197	878	40	-0.0000056857	0.0000000657
1	79661198	81354190	466	40	0.0001091008	0.0000000515
1	81354191	83991747	937	40	0.0000674263	0.0000000735
1	83991748	84844494	305	35	0.0002129641	0.0000000309
1	84844495	86454750	592	40	0.0000890600	0.0000000619
1	86454751	88128630	516	40	0.0003209609	0.0000000607
1	88128631	90066302	484	40	-0.0001377296	0.0000000553
1	90066303	91886316	538	40	-0.0000920907	0.0000000611
1	91886317	93536458	453	40	-0.0000974705	0.0000000506
1	93536459	94506190	224	25	0.0002485502	0.0000000239
1	94506191	96150892	609	40	0.0001755192	0.0000000658
1	96150893	97885248	578	40	0.0002118777	0.0000000478
1	97885249	99800603	623	40	0.0001632274	0.0000000578
1	99800604	100826404	300	36	-0.0000582655	0.0000000336
1	100826405	102041015	421	40	0.0000550974	0.0000000454
1	102041016	102898744	272	36	-0.0000201363	0.0000000267
1	102898745	103914210	179	21	-0.0000579251	0.0000000225
1	103914211	106087841	447	40	-0.0000408161	0.0000000430
1	106087842	108409664	703	40	-0.0000859580	0.0000000725
1	108409665	110303930	400	40	0.0001266738	0.0000000535
1	110303931	111741736	512	40	-0.0002340479	0.0000000640
1	111741737	113273305	627	40	0.0001433365	0.0000000659
1	113273306	114873844	472	40	-0.0000934876	0.0000000515
1	114873845	115880592	306	36	0.0001716835	0.0000000350
1	115880593	118839066	746	40	0.0000411515	0.0000000716
1	118839067	144977493	467	40	0.0001537900	0.0000000542
1	144977494	148361252	373	40	0.0001695433	0.0000000380
1	148361253	151538880	251	28	0.0000413351	0.0000000294
1	151538881	153180828	405	40	0.0001493522	0.0000000452
1	153180829	154770402	371	40	-0.0003280300	0.0000000430
1	154770403	156336132	218	33	0.0001727815	0.0000000285
1	156336133	158027411	489	40	-0.0000014121	0.0000000548
1	158027412	159913047	562	40	0.0002425053	0.0000000635
1	159913048	162346720	641	40	-0.0000129496	0.0000000726
1	162346721	165191701	1134	40	0.0000644961	0.0000000729
1	165191702	166460516	501	40	0.0002046436	0.0000000560
1	166460517	169086323	1015	40	-0.0001157404	0.0000000686
1	169086324	170557775	432	40	0.0001039404	0.0000000409
1	170557776	173097906	754	40	-0.0002023203	0.0000000736
1	173097907	175089767	378	30	-0.0000165294	0.0000000281
1	175089768	177433380	722	40	0.0000031458	0.0000000714
1	177433381	178944308	409	40	0.0000022401	0.0000000417
1	178944309	178954469	2	1	-0.0000025615	0.0000000004
1	178954470	181144120	652	40	-0.0000784407	0.0000000668
1	181144121	182755355	560	40	-0.0001574924	0.0000000627
1	182755356	184595512	559	40	-0.0000141413	0.0000000550
1	184595513	186810022	461	40	-0.0001527255	0.0000000443
1	186810023	188759944	602	40	-0.0001303294	0.0000000561
1	188759945	189904129	218	18	-0.0000047751	0.0000000187
1	189904130	191868929	521	40	0.0000326819	0.0000000466
1	191868930	194107441	560	40	0.0003808574	0.0000000538
1	194107442	196176200	569	40	0.0001252749	0.0000000499
1	196176201	197311513	163	14	-0.0001386965	0.0000000164
1	197311514	199239883	485	40	0.0000805081	0.0000000513
1	199239884	200137648	290	35	-0.0000885458	0.0000000335
1	200137649	201589974	595	40	-0.0002802385	0.0000000666
1	201589975	203334733	529	40	-0.0005474423	0.0000000681
1	203334734	204681067	406	40	-0.0000797096	0.0000000503
1	204681068	206073264	476	40	0.0002349459	0.0000000580
1	206073265	208410363	521	40	0.0002004429	0.0000000664
1	208410364	210787749	869	40	-0.0001416206	0.0000000778
1	210787750	212842329	649	40	-0.0001041216	0.0000000729
1	212842330	214578265	545	40	-0.0002772137	0.0000000680
1	214578266	216243633	554	40	0.0001292539	0.0000000577
1	216243634	218705512	1042	40	0.0000480810	0.0000000692
1	218705513	219590570	269	34	-0.0000423384	0.0000000280
1	219590571	221858230	618	40	-0.0001766423	0.0000000675
1	221858231	222230219	166	21	-0.0000305049	0.0000000199
1	222230220	224938519	427	40	0.0000966570	0.0000000458
1	224938520	226810859	446	40	0.0002183780	0.0000000482
1	226810860	229156247	590	40	0.0000292267	0.0000000573
1	229156248	230685254	443	40	0.0000991511	0.0000000573
1	230685255	232090251	517	40	-0.0000929785	0.0000000569
1	232090252	233429283	568	40	0.0000884307	0.0000000699
1	233429284	234599433	500	40	0.0000310178	0.0000000555
1	234599434	235819435	347	40	-0.0000062526	0.0000000419
1	235819436	237555627	644	40	0.0000501377	0.0000000733
1	237555628	238567806	388	40	0.0002009326	0.0000000443
1	238567807	239925313	475	40	-0.0000231574	0.0000000534
1	239925314	240564090	323	40	0.0001038426	0.0000000380
1	240564091	241582219	497	40	0.0001326081	0.0000000689
1	241582220	242071601	193	37	-0.0002954577	0.0000000273
1	242071602	244109498	609	40	-0.0000858420	0.0000000634
1	244109499	245506745	485	40	0.0000132956	0.0000000614
1	245506746	247344517	662	40	-0.0002180770	0.0000000694
1	247344518	249239465	336	40	-0.0003103087	0.0000000423
2	10133	1781021	565	40	0.0001364390	0.0000000640
2	1781022	3973778	905	40	-0.0000977110	0.0000000697
2	3973779	5708336	616	40	0.0000478484	0.0000000723
2	5708337	6836253	552	40	0.0000521258	0.0000000614
2	6836254	8422146	639	40	0.0003727905	0.0000000703
2	8422147	10298468	601	40	-0.0001423884	0.0000000678
2	10298469	12419149	887	40	0.0001706301	0.0000000739
2	12419150	14335307	573	40	0.0001653349	0.0000000638
2	14335308	16329734	710	40	0.0000240517	0.0000000717
2	16329735	18647422	816	40	-0.0000603304	0.0000000696
2	18647423	19692403	374	40	0.0001379360	0.0000000430
2	19692404	21050489	582	40	0.0001804520	0.0000000682
2	21050490	23341382	550	40	0.0003158466	0.0000000604
2	23341383	24686917	395	40	-0.0001268909	0.0000000450
2	24686918	26894984	457	40	-0.0000026602	0.0000000548
2	26894985	28598776	242	26	0.0004101937	0.0000000445
2	28598777	29217558	202	28	0.0001506392	0.0000000314
2	29217559	30463710	592	40	0.0000738195	0.0000000695
2	30463711	31550449	474	40	-0.0001222176	0.0000000595
2	31550450	33363776	441	40	-0.0001138265	0.0000000578
2	33363777	35345027	758	40	0.0000546067	0.0000000708
2	35345028	36122005	281	30	-0.0000185536	0.0000000290
2	36122006	38132711	866	40	-0.0000466589	0.0000000738
2	38132712	39031336	300	37	-0.0001471622	0.0000000485
2	39031337	40281482	280	30	0.0000412703	0.0000000377
2	40281483	43309589	1204	40	-0.0000522771	0.0000000777
2	43309590	44313802	258	39	-0.0001120145	0.0000000448
2	44313803	46482633	997	40	0.0001572990	0.0000000678
2	46482634	47318771	373	40	-0.0000079982	0.0000000566
2	47318772	48213000	273	40	0.0000431526	0.0000000430
2	48213001	50022256	664	40	0.0000301841	0.0000000675
2	50022257	50818927	321	33	0.0001984255	0.0000000415
2	50818928	52491132	626	40	0.0001579684	0.0000000707
2	52491133	53508451	451	40	-0.0000160474	0.0000000511
2	53508452	54685225	397	40	0.0000417544	0.0000000564
2	54685226	56203344	541	40	0.0002173878	0.0000000716
2	56203345	57429099	413	40	0.0002483106	0.0000000533
2	57429100	58297314	266	28	0.0001524685	0.0000000364
2	58297315	60291999	712	40	-0.0000054408	0.0000000682
2	60292000	62429043	528	40	-0.0001367253	0.0000000689
2	62429044	64625912	537	40	-0.0001204595	0.0000000630
2	64625913	65933443	432	40	-0.0000416073	0.0000000505
2	65933444	67226165	534	40	0.0001770365	0.0000000551
2	67226166	68010175	401	40	-0.0001204123	0.0000000422
2	68010176	69139563	433	40	-0.0002373663	0.0000000584
2	69139564	70755197	470	40	-0.0002971018	0.0000000546
2	70755198	73174847	710	40	0.0003371322	0.0000000713
2	73174848	75630085	634	40	0.0000411579	0.0000000721
2	75630086	76913660	492	40	0.0001881249	0.0000000569
2	76913661	78079263	381	40	-0.0003532344	0.0000000528
2	78079264	80050402	797	40	0.0001332397	0.0000000701
2	80050403	81620840	559	40	-0.0000155259	0.0000000683
2	81620841	85140679	852	40	-0.0001066011	0.0000000597
2	85140680	88038506	526	40	0.0000440549	0.0000000561
2	88038507	89154525	219	29	-0.0001228868	0.0000000301
2	89154526	95326451	0	0	0.0000000000	0.0000000000
2	95326452	98995200	362	37	0.0001111017	0.0000000435
2	98995201	101822328	810	40	-0.0001616296	0.0000000725
2	101822329	102688764	232	29	0.0000117906	0.0000000233
2	102688765	103588214	354	34	0.0000388352	0.0000000366
2	103588215	105125033	297	40	-0.0000773771	0.0000000297
2	105125034	106210057	394	40	-0.0000276530	0.0000000441
2	106210058	107408266	429	40	-0.0000533423	0.0000000434
2	107408267	108429176	343	40	-0.0000324323	0.0000000348
2	108429177	110572431	490	40	-0.0000346955	0.0000000479
2	110572432	113921855	687	40	-0.0000872700	0.0000000720
2	113921856	116772469	727	40	0.0000236958	0.0000000715
2	116772470	118367465	391	37	0.0001390818	0.0000000400
2	118367466	121303782	919	40	0.0000337322	0.0000000781
2	121303783	123302905	550	40	-0.0000805635	0.0000000610
2	123302906	124732249	418	40	0.0001039562	0.0000000428
2	124732250	125840920	372	40	0.0003596832	0.0000000425
2	125840921	127373763	401	37	-0.0001296354	0.0000000351
2	127373764	128034346	255	40	-0.0001453594	0.0000000306
2	128034347	129474440	372	40	-0.0002670269	0.0000000536
