chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	102	20	0.0001322090	0.000000009523
1	1892607	3582735	442	40	0.0001094436	0.000000028142
1	3582736	4380810	277	40	0.0001013410	0.000000017362
1	4380811	5913892	877	40	-0.0000323668	0.000000029495
1	5913893	7247334	439	40	0.0001424535	0.000000024191
1	7247335	9365198	703	40	0.0002975338	0.000000036275
1	9365199	10806983	355	40	-0.0000243205	0.000000014455
1	10806984	11777840	258	40	0.0000874125	0.000000015451
1	11777841	12779465	297	40	0.0002720119	0.000000018239
1	12779466	14891510	618	40	0.0001594213	0.000000033658
1	14891511	16897729	693	40	0.0001026814	0.000000032669
1	16897730	18662898	671	40	0.0000385276	0.000000031249
1	18662899	20469148	722	40	0.0002548568	0.000000036656
1	20469149	21736587	462	40	0.0000976108	0.000000023080
1	21736588	23086882	526	40	0.0003299194	0.000000034319
1	23086883	23920589	223	28	0.0005178967	0.000000020613
1	23920590	25516844	527	40	0.0000566216	0.000000027862
1	25516845	27401866	423	40	0.0000155212	0.000000016986
1	27401867	30161880	557	40	0.0001275957	0.000000026672
1	30161881	32438684	933	40	0.0002164406	0.000000034467
1	32438685	34799757	677	40	0.0001509802	0.000000033820
1	34799758	37549182	556	40	0.0002087172	0.000000030247
1	37549183	38731846	375	40	0.0001383771	0.000000019340
1	38731847	40200566	448	40	0.0000759702	0.000000021522
1	40200567	41975326	556	40	0.0001141687	0.000000025655
1	41975327	43758456	549	40	0.0003982918	0.000000029991
1	43758457	44969182	372	35	0.0000342062	0.000000015396
1	44969183	46899500	460	38	-0.0000106330	0.000000014035
1	46899501	48002575	299	33	0.0001451439	0.000000015059
1	48002576	48978187	345	40	-0.0000144344	0.000000015586
1	48978188	49894176	248	28	0.0002389707	0.000000016354
1	49894177	51713725	260	25	0.0003235194	0.000000015001
1	51713726	54226261	565	40	0.0000718871	0.000000025889
1	54226262	56413116	842	40	0.0000976179	0.000000030900
1	56413117	57021727	271	31	0.0000613633	0.000000010818
1	57021728	58865398	857	40	0.0001317351	0.000000033219
1	58865399	59890408	384	40	0.0001077732	0.000000018121
1	59890409	61922364	672	40	0.0001459968	0.000000032556
1	61922365	63455088	546	40	0.0000182921	0.000000022183
1	63455089	65041703	655	40	0.0000779860	0.000000027081
1	65041704	66939403	655	40	0.0001924283	0.000000030527
1	66939404	68477894	693	40	0.0000751059	0.000000027143
1	68477895	69687615	389	40	0.0001351796	0.000000020378
1	69687616	71372469	524	40	0.0000546906	0.000000023621
1	71372470	71684404	84	10	-0.0000068159	0.000000002710
1	71684405	74326906	561	40	0.0003837538	0.000000024706
1	74326907	76728134	735	40	0.0002947189	0.000000030948
1	76728135	79661197	957	40	0.0004440906	0.000000039520
1	79661198	81354190	478	40	0.0001369953	0.000000023476
1	81354191	83991747	977	40	0.0001703078	0.000000033283
1	83991748	84844494	317	36	0.0001105426	0.000000014841
1	84844495	86454750	656	40	0.0001199099	0.000000030569
1	86454751	88128630	576	40	0.0001519361	0.000000028466
1	88128631	90066302	526	40	-0.0000062561	0.000000021501
1	90066303	91886316	566	40	-0.0000163474	0.000000023937
1	91886317	93536458	516	40	0.0001160164	0.000000021203
1	93536459	94506190	257	27	0.0001587735	0.000000012991
1	94506191	96150892	653	40	0.0002393324	0.000000033331
1	96150893	97885248	610	40	0.0004545740	0.000000030554
1	97885249	99800603	644	40	0.0000713408	0.000000026505
