chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	98	14	0.0000261884	0.000000049980
1	1892607	3582735	436	14	0.0003032252	0.000000266533
1	3582736	4380810	269	14	0.0006497752	0.000000184520
1	4380811	5913892	855	14	0.0000933648	0.000000341263
1	5913893	7247334	425	14	0.0000927693	0.000000223553
1	7247335	9365198	696	14	-0.0000329409	0.000000332656
1	9365199	10806983	349	14	0.0000584224	0.000000162626
1	10806984	11777840	253	14	0.0000364326	0.000000131435
1	11777841	12779465	281	14	0.0000948436	0.000000155740
1	12779466	14891510	614	14	0.0001364912	0.000000344202
1	14891511	16897729	684	14	-0.0000055343	0.000000334524
1	16897730	18662898	668	14	-0.0000543036	0.000000331201
1	18662899	20469148	714	14	-0.0000474849	0.000000331665
1	20469149	21736587	458	14	0.0000183404	0.000000227050
1	21736588	23086882	520	14	0.0003491684	0.000000313373
1	23086883	23920589	220	14	0.0001645096	0.000000114390
1	23920590	25516844	520	14	0.0000997020	0.000000291902
1	25516845	27401866	412	14	0.0002965811	0.000000194237
1	27401867	30161880	549	14	0.0002122324	0.000000264006
1	30161881	32438684	924	14	0.0002014549	0.000000348629
1	32438685	34799757	669	14	0.0003378415	0.000000357922
1	34799758	37549182	555	14	0.0000168611	0.000000276550
1	37549183	38731846	362	14	0.0002467743	0.000000189514
1	38731847	40200566	445	14	0.0002026904	0.000000231702
1	40200567	41975326	551	14	0.0002271790	0.000000267942
1	41975327	43758456	540	14	-0.0001261285	0.000000229463
1	43758457	44969182	366	14	0.0000555350	0.000000156416
1	44969183	46899500	455	14	0.0003069838	0.000000174033
1	46899501	48002575	291	14	0.0000674821	0.000000125754
1	48002576	48978187	342	14	0.0002038607	0.000000183222
1	48978188	49894176	246	14	-0.0000301417	0.000000115327
1	49894177	51713725	255	14	0.0003976429	0.000000113114
1	51713726	54226261	560	14	0.0000758751	0.000000279813
1	54226262	56413116	832	14	0.0001925897	0.000000348025
1	56413117	57021727	272	14	0.0002367262	0.000000128147
1	57021728	58865398	846	14	0.0001498576	0.000000345113
1	58865399	59890408	383	14	0.0000409005	0.000000171549
1	59890409	61922364	667	14	0.0000057562	0.000000335293
1	61922365	63455088	533	14	0.0000015215	0.000000269564
1	63455089	65041703	657	14	-0.0001104732	0.000000273874
1	65041704	66939403	639	14	0.0000631100	0.000000295438
1	66939404	68477894	678	14	0.0000346792	0.000000279997
1	68477895	69687615	372	14	0.0000636224	0.000000181239
1	69687616	71372469	513	14	0.0000148052	0.000000230386
1	71372470	71684404	82	10	0.0002337449	0.000000043956
1	71684405	74326906	556	14	-0.0000359077	0.000000204270
1	74326907	76728134	711	14	0.0000774207	0.000000279174
1	76728135	79661197	944	14	0.0000591814	0.000000338934
1	79661198	81354190	468	14	0.0000009596	0.000000215923
1	81354191	83991747	962	14	0.0000599894	0.000000338989
1	83991748	84844494	312	14	0.0002898726	0.000000140068
1	84844495	86454750	645	14	-0.0000797094	0.000000305496
1	86454751	88128630	566	14	0.0003518701	0.000000289644
1	88128631	90066302	516	14	0.0002638302	0.000000256611
1	90066303	91886316	561	14	0.0004419705	0.000000284707
1	91886317	93536458	509	14	0.0000374043	0.000000204327
1	93536459	94506190	254	14	0.0001140854	0.000000101564
1	94506191	96150892	640	14	0.0002461096	0.000000327669
1	96150893	97885248	601	14	-0.0000968211	0.000000225693
1	97885249	99800603	638	14	0.0001544320	0.000000276982
1	99800604	100826404	311	14	0.0001820163	0.000000139283
1	100826405	102041015	444	14	0.0002537831	0.000000209212
1	102041016	102898744	273	14	0.0000199211	0.000000114850
1	102898745	103914210	200	14	0.0000165348	0.000000073999
1	103914211	106087841	448	14	0.0003412028	0.000000224169
1	106087842	108409664	723	14	0.0001761683	0.000000346906
1	108409665	110303930	560	14	0.0000432368	0.000000248907
1	110303931	111741736	566	14	-0.0000273057	0.000000308296
1	111741737	113273305	718	14	0.0000953964	0.000000341402
1	113273306	114873844	507	14	-0.0000639187	0.000000237292
1	114873845	115880592	344	14	-0.0000003338	0.000000138104
1	115880593	118839066	816	14	0.0001725721	0.000000346661
1	118839067	144977493	562	14	-0.0000544980	0.000000246648
1	144977494	148361252	431	14	0.0001276503	0.000000204157
1	148361253	151538880	350	14	0.0001491754	0.000000150145
1	151538881	153180828	463	14	0.0002402520	0.000000196584
1	153180829	154770402	459	14	0.0000149880	0.000000206310
1	154770403	156336132	305	14	0.0002151540	0.000000155906
1	156336133	158027411	596	14	0.0001674876	0.000000299517
1	158027412	159913047	678	14	0.0009523066	0.000000399794
1	159913048	162346720	869	14	0.0000645827	0.000000339302
1	162346721	165191701	1191	14	0.0000468685	0.000000338095
1	165191702	166460516	528	14	0.0000929175	0.000000283207
1	166460517	169086323	1090	14	-0.0000172652	0.000000333725
1	169086324	170557775	556	14	0.0001690144	0.000000224468
1	170557776	173097906	898	14	0.0002963591	0.000000355096
1	173097907	175089767	410	14	0.0003370840	0.000000141310
1	175089768	177433380	784	14	0.0001646171	0.000000346119
1	177433381	178944308	491	14	0.0000254268	0.000000214752
1	178944309	178954469	2	1	0.0000244372	0.000000002742
1	178954470	181144120	746	14	-0.0000558613	0.000000324088
1	181144121	182755355	598	14	-0.0000752486	0.000000303503
1	182755356	184595512	627	14	0.0000614685	0.000000269194
1	184595513	186810022	522	14	0.0000408516	0.000000217208
1	186810023	188759944	617	14	0.0001204476	0.000000271720
1	188759945	189904129	218	14	0.0001052754	0.000000076899
1	189904130	191868929	537	14	0.0003238008	0.000000213944
1	191868930	194107441	570	14	0.0001369330	0.000000257442
1	194107442	196176200	569	14	-0.0000206701	0.000000219423
1	196176201	197311513	195	14	0.0002277915	0.000000076628
1	197311514	199239883	502	14	0.0000911046	0.000000229837
1	199239884	200137648	295	14	0.0001701788	0.000000139786
1	200137649	201589974	702	14	0.0000641551	0.000000339273
1	201589975	203334733	615	14	0.0000867646	0.000000331475
1	203334734	204681067	484	14	0.0001196396	0.000000246840
1	204681068	206073264	571	14	0.0004223710	0.000000318349
1	206073265	208410363	632	14	0.0006145846	0.000000376780
1	208410364	210787749	925	14	0.0000650787	0.000000339336
1	210787750	212842329	683	14	0.0002028569	0.000000348724
1	212842330	214578265	608	14	0.0004355194	0.000000348258
1	214578266	216243633	576	14	-0.0000177722	0.000000274943
1	216243634	218705512	1073	14	-0.0000401568	0.000000332165
1	218705513	219590570	281	14	0.0001435788	0.000000129583
1	219590571	221858230	676	14	0.0000618458	0.000000330553
1	221858231	222230219	173	14	0.0000185861	0.000000086436
1	222230220	224938519	450	14	-0.0000696568	0.000000208319
1	224938520	226810859	514	14	0.0000989214	0.000000243992
1	226810860	229156247	688	14	-0.0000261518	0.000000306844
1	229156248	230685254	529	14	0.0002251104	0.000000292185
1	230685255	232090251	589	14	0.0001766202	0.000000308451
1	232090252	233429283	594	14	0.0001840110	0.000000341983
1	233429284	234599433	531	14	0.0001637520	0.000000293253
1	234599434	235819435	386	14	0.0000254477	0.000000202122
1	235819436	237555627	725	14	0.0000568311	0.000000338774
1	237555628	238567806	424	14	0.0003480824	0.000000243674
1	238567807	239925313	488	14	-0.0000094528	0.000000256285
1	239925314	240564090	343	14	0.0002114041	0.000000185767
1	240564091	241582219	519	14	0.0001083657	0.000000318295
1	241582220	242071601	217	14	0.0003931428	0.000000139302
1	242071602	244109498	618	14	0.0002103340	0.000000339115
1	244109499	245506745	515	14	0.0003307747	0.000000305351
1	245506746	247344517	708	14	-0.0000308649	0.000000332798
1	247344518	249239465	396	14	0.0004995312	0.000000234175
2	10133	1781021	654	14	0.0001086004	0.000000342301
2	1781022	3973778	956	14	-0.0000068803	0.000000334432
2	3973779	5708336	625	14	0.0002850324	0.000000354324
2	5708337	6836253	553	14	0.0000757971	0.000000275348
2	6836254	8422146	648	14	0.0001613160	0.000000345894
2	8422147	10298468	670	14	0.0000008061	0.000000334956
2	10298469	12419149	969	14	-0.0000987649	0.000000328171
2	12419150	14335307	591	14	0.0003029866	0.000000311744
2	14335308	16329734	739	14	0.0000072105	0.000000335392
2	16329735	18647422	848	14	0.0002511797	0.000000352017
2	18647423	19692403	385	14	0.0001687641	0.000000202083
2	19692404	21050489	637	14	0.0000443106	0.000000327034
2	21050490	23341382	614	14	0.0000149311	0.000000335919
2	23341383	24686917	429	14	0.0004492417	0.000000232173
2	24686918	26894984	551	14	0.0003094225	0.000000289726
2	26894985	28598776	414	14	0.0000664602	0.000000175985
2	28598777	29217558	246	14	-0.0001256672	0.000000107621
2	29217559	30463710	633	14	0.0003095770	0.000000355996
2	30463711	31550449	532	14	-0.0000408475	0.000000298218
2	31550450	33363776	494	14	0.0001937281	0.000000301301
2	33363777	35345027	803	14	0.0001980223	0.000000348395
2	35345028	36122005	290	14	0.0001836092	0.000000148523
2	36122006	38132711	923	14	0.0001692860	0.000000346437
2	38132712	39031336	322	14	0.0003321265	0.000000206221
2	39031337	40281482	298	14	0.0000849859	0.000000165088
2	40281483	43309589	1299	14	0.0002455525	0.000000351634
2	43309590	44313802	402	14	0.0004432376	0.000000250115
2	44313803	46482633	1064	14	0.0001157215	0.000000342787
2	46482634	47318771	415	14	0.0001707284	0.000000272920
2	47318772	48213000	299	14	0.0002064827	0.000000191567
2	48213001	50022256	710	14	0.0001014119	0.000000341812
2	50022257	50818927	344	14	0.0001638868	0.000000185962
2	50818928	52491132	640	14	0.0002652393	0.000000352975
2	52491133	53508451	465	14	0.0002045008	0.000000257660
2	53508452	54685225	430	14	0.0000056700	0.000000230484
2	54685226	56203344	605	14	0.0002651825	0.000000352971
