chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	81	17	0.0000460061	0.0000000034
1	1892607	3582735	360	40	-0.0000683649	0.0000000109
1	3582736	4380810	233	40	-0.0000044635	0.0000000079
1	4380811	5913892	825	40	0.0000333132	0.0000000155
1	5913893	7247334	352	40	0.0000083404	0.0000000097
1	7247335	9365198	620	40	0.0000233580	0.0000000163
1	9365199	10806983	289	40	0.0000798243	0.0000000087
1	10806984	11777840	213	40	-0.0001378957	0.0000000068
1	11777841	12779465	184	40	-0.0000144164	0.0000000060
1	12779466	14891510	555	40	-0.0000119839	0.0000000157
1	14891511	16897729	560	40	0.0000141355	0.0000000136
1	16897730	18662898	545	40	0.0000159892	0.0000000159
1	18662899	20469148	609	40	-0.0001011224	0.0000000159
1	20469149	21736587	379	40	0.0000259677	0.0000000116
1	21736588	23086882	426	40	-0.0000523974	0.0000000166
1	23086883	23920589	179	26	0.0000796337	0.0000000051
1	23920590	25516844	434	40	-0.0001490068	0.0000000117
1	25516845	27401866	298	40	-0.0000911584	0.0000000078
1	27401867	30161880	471	40	-0.0001578165	0.0000000117
1	30161881	32438684	834	40	0.0000102929	0.0000000157
1	32438685	34799757	591	40	0.0001051935	0.0000000156
1	34799758	37549182	500	40	0.0000896434	0.0000000120
1	37549183	38731846	314	40	0.0000463028	0.0000000083
1	38731847	40200566	382	40	0.0001272620	0.0000000103
1	40200567	41975326	484	40	-0.0000645757	0.0000000126
1	41975327	43758456	459	40	0.0001594638	0.0000000134
1	43758457	44969182	295	33	0.0000461054	0.0000000074
1	44969183	46899500	361	35	0.0000236205	0.0000000068
1	46899501	48002575	249	32	0.0000182951	0.0000000063
1	48002576	48978187	318	40	0.0000640406	0.0000000079
1	48978188	49894176	226	27	0.0000301550	0.0000000061
1	49894177	51713725	239	24	-0.0000054095	0.0000000040
1	51713726	54226261	481	40	-0.0000357483	0.0000000126
1	54226262	56413116	717	40	-0.0000228677	0.0000000153
1	56413117	57021727	236	29	0.0000348654	0.0000000056
1	57021728	58865398	800	40	0.0000409728	0.0000000171
1	58865399	59890408	343	40	0.0001116662	0.0000000091
1	59890409	61922364	619	40	0.0000334305	0.0000000143
1	61922365	63455088	418	40	0.0000370189	0.0000000112
1	63455089	65041703	598	40	-0.0000555006	0.0000000127
1	65041704	66939403	589	40	0.0000178621	0.0000000128
1	66939404	68477894	613	40	-0.0000465318	0.0000000134
1	68477895	69687615	357	40	-0.0001225787	0.0000000160
1	69687616	71372469	478	40	0.0000606488	0.0000000107
1	71372470	71684404	77	10	0.0000039607	0.0000000014
1	71684405	74326906	493	40	0.0000388065	0.0000000099
1	74326907	76728134	637	40	0.0000128737	0.0000000131
1	76728135	79661197	855	40	-0.0001231562	0.0000000159
1	79661198	81354190	445	40	0.0000067826	0.0000000110
1	81354191	83991747	910	40	0.0001003017	0.0000000161
1	83991748	84844494	297	35	0.0000206019	0.0000000069
1	84844495	86454750	575	40	-0.0000817958	0.0000000133
1	86454751	88128630	496	40	0.0000778558	0.0000000122
1	88128631	90066302	472	40	-0.0000433415	0.0000000134
1	90066303	91886316	527	40	0.0000090610	0.0000000132
1	91886317	93536458	441	40	0.0001509545	0.0000000098
1	93536459	94506190	224	25	0.0000581750	0.0000000054
1	94506191	96150892	591	40	-0.0000722778	0.0000000147
1	96150893	97885248	560	40	-0.0001365723	0.0000000110
1	97885249	99800603	606	40	-0.0001037013	0.0000000130
1	99800604	100826404	293	35	0.0000078170	0.0000000062
1	100826405	102041015	411	40	-0.0000081520	0.0000000101
1	102041016	102898744	264	36	0.0000648138	0.0000000061
1	102898745	103914210	178	20	-0.0000237271	0.0000000054
1	103914211	106087841	436	40	0.0000181794	0.0000000103
1	106087842	108409664	691	40	0.0000045049	0.0000000170
1	108409665	110303930	392	40	-0.0000435844	0.0000000108
1	110303931	111741736	501	40	-0.0001181429	0.0000000149
1	111741737	113273305	613	40	-0.0000146770	0.0000000144
1	113273306	114873844	464	40	-0.0000019198	0.0000000113
1	114873845	115880592	301	35	0.0000736161	0.0000000080
1	115880593	118839066	735	40	-0.0000640316	0.0000000162
1	118839067	144977493	454	40	0.0001272855	0.0000000124
1	144977494	148361252	369	40	0.0000126000	0.0000000086
1	148361253	151538880	249	28	0.0000409498	0.0000000062
1	151538881	153180828	401	40	-0.0000320230	0.0000000101
1	153180829	154770402	358	40	0.0000669555	0.0000000086
1	154770403	156336132	214	33	0.0000338723	0.0000000060
1	156336133	158027411	486	40	-0.0000530196	0.0000000119
1	158027412	159913047	547	40	0.0000312708	0.0000000145
1	159913048	162346720	627	40	-0.0001499374	0.0000000153
1	162346721	165191701	1109	40	-0.0000203516	0.0000000161
1	165191702	166460516	491	40	-0.0000417737	0.0000000138
1	166460517	169086323	995	40	-0.0000464948	0.0000000156
1	169086324	170557775	426	40	-0.0000017449	0.0000000104
1	170557776	173097906	731	40	-0.0000380711	0.0000000165
1	173097907	175089767	372	30	0.0000641937	0.0000000067
1	175089768	177433380	702	40	-0.0000441803	0.0000000153
