chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	81	15	0.0000366974	0.0000000066
1	1892607	3582735	380	40	0.0000390877	0.0000000286
1	3582736	4380810	246	40	0.0000657421	0.0000000155
1	4380811	5913892	844	40	-0.0000711149	0.0000000368
1	5913893	7247334	375	40	-0.0002118245	0.0000000250
1	7247335	9365198	660	40	0.0002491357	0.0000000367
1	9365199	10806983	314	40	-0.0000159397	0.0000000179
1	10806984	11777840	231	40	-0.0001312284	0.0000000212
1	11777841	12779465	219	40	-0.0000168828	0.0000000151
1	12779466	14891510	586	40	-0.0000886043	0.0000000350
1	14891511	16897729	624	40	-0.0001099930	0.0000000343
1	16897730	18662898	608	40	-0.0001138171	0.0000000362
1	18662899	20469148	648	40	-0.0000749653	0.0000000360
1	20469149	21736587	418	40	0.0001538272	0.0000000255
1	21736588	23086882	472	40	0.0000956460	0.0000000326
1	23086883	23920589	193	26	-0.0000155251	0.0000000137
1	23920590	25516844	473	40	0.0001829317	0.0000000287
1	25516845	27401866	353	40	-0.0000006328	0.0000000312
1	27401867	30161880	502	40	0.0001196429	0.0000000278
1	30161881	32438684	878	40	0.0001403836	0.0000000385
1	32438685	34799757	619	40	-0.0001188586	0.0000000328
1	34799758	37549182	501	40	0.0001409092	0.0000000286
1	37549183	38731846	335	40	0.0000718922	0.0000000202
1	38731847	40200566	404	40	-0.0001101004	0.0000000243
1	40200567	41975326	515	40	-0.0000275701	0.0000000252
1	41975327	43758456	512	40	0.0000407285	0.0000000270
1	43758457	44969182	330	34	-0.0000291796	0.0000000142
1	44969183	46899500	413	37	-0.0000349692	0.0000000160
1	46899501	48002575	261	32	-0.0001172518	0.0000000149
1	48002576	48978187	330	40	-0.0000504381	0.0000000229
1	48978188	49894176	230	27	0.0000402813	0.0000000175
1	49894177	51713725	242	25	-0.0000507348	0.0000000133
1	51713726	54226261	510	40	-0.0000332421	0.0000000280
1	54226262	56413116	772	40	0.0000972957	0.0000000519
1	56413117	57021727	244	29	0.0000529824	0.0000000126
1	57021728	58865398	805	40	-0.0000100753	0.0000000360
1	58865399	59890408	357	40	0.0000831430	0.0000000191
1	59890409	61922364	634	40	-0.0000048277	0.0000000386
1	61922365	63455088	462	40	0.0000376618	0.0000000429
1	63455089	65041703	619	40	0.0000202175	0.0000000330
1	65041704	66939403	611	40	0.0000499965	0.0000000296
1	66939404	68477894	636	40	0.0000750927	0.0000000328
1	68477895	69687615	373	40	-0.0001106781	0.0000000206
1	69687616	71372469	486	40	0.0000404236	0.0000000238
1	71372470	71684404	78	10	-0.0000328195	0.0000000039
1	71684405	74326906	521	40	-0.0001852915	0.0000000223
1	74326907	76728134	680	40	0.0001043029	0.0000000289
1	76728135	79661197	895	40	0.0000608508	0.0000000370
1	79661198	81354190	465	40	-0.0001484597	0.0000000254
1	81354191	83991747	943	40	0.0000310370	0.0000000350
1	83991748	84844494	297	34	-0.0000090222	0.0000000156
1	84844495	86454750	609	40	0.0000586249	0.0000000330
1	86454751	88128630	531	40	0.0000964328	0.0000000251
1	88128631	90066302	501	40	0.0000468065	0.0000000251
1	90066303	91886316	540	40	0.0003023358	0.0000000294
1	91886317	93536458	465	40	0.0001893796	0.0000000325
1	93536459	94506190	228	25	0.0000738241	0.0000000128
1	94506191	96150892	621	40	-0.0000986144	0.0000000330
1	96150893	97885248	577	40	-0.0000295372	0.0000000240
1	97885249	99800603	617	40	0.0000691531	0.0000000328
1	99800604	100826404	313	36	0.0000993031	0.0000000176
1	100826405	102041015	419	40	-0.0000042851	0.0000000260
1	102041016	102898744	267	36	0.0001301874	0.0000000159
1	102898745	103914210	183	20	-0.0000294356	0.0000000091
1	103914211	106087841	448	40	0.0000579426	0.0000000199
1	106087842	108409664	702	40	-0.0000176963	0.0000000350
1	108409665	110303930	452	40	-0.0008280586	0.0000001217
1	110303931	111741736	529	40	-0.0000271561	0.0000000350
1	111741737	113273305	649	40	0.0001158003	0.0000000353
1	113273306	114873844	480	40	-0.0000133301	0.0000000274
1	114873845	115880592	318	36	0.0001523764	0.0000000182
1	115880593	118839066	764	40	0.0000394754	0.0000000341
1	118839067	144977493	489	40	0.0002146801	0.0000000285
1	144977494	148361252	401	40	0.0000366050	0.0000000247
1	148361253	151538880	283	29	-0.0000668500	0.0000000195
1	151538881	153180828	420	40	-0.0001354228	0.0000000200
1	153180829	154770402	413	40	-0.0000420896	0.0000000200
1	154770403	156336132	255	36	0.0000037767	0.0000000223
1	156336133	158027411	541	40	-0.0000286345	0.0000000301
1	158027412	159913047	632	40	0.0001309772	0.0000000340
1	159913048	162346720	723	40	-0.0000901418	0.0000000351
1	162346721	165191701	1130	40	0.0000814015	0.0000000350
1	165191702	166460516	503	40	-0.0001388823	0.0000000308
1	166460517	169086323	1038	40	0.0000339271	0.0000000332
1	169086324	170557775	466	40	-0.0000345692	0.0000000211
1	170557776	173097906	810	40	0.0001815545	0.0000000368
1	173097907	175089767	380	31	-0.0000996877	0.0000000156
1	175089768	177433380	730	40	-0.0001955663	0.0000000343
1	177433381	178944308	441	40	-0.0000243201	0.0000000204
1	178944309	178954469	2	1	-0.0000011508	-0.0000000001
1	178954470	181144120	661	40	-0.0000345502	0.0000000340
1	181144121	182755355	564	40	-0.0000095660	0.0000000322
1	182755356	184595512	587	40	-0.0001593980	0.0000000312
1	184595513	186810022	476	40	0.0002688498	0.0000000242
1	186810023	188759944	601	40	-0.0002830880	0.0000000334
1	188759945	189904129	215	17	-0.0000165339	0.0000000093
1	189904130	191868929	529	40	0.0001424867	0.0000000221
1	191868930	194107441	564	40	0.0000792641	0.0000000270
1	194107442	196176200	567	40	0.0000440453	0.0000000271
1	196176201	197311513	167	15	0.0001736302	0.0000000120
1	197311514	199239883	491	40	-0.0002184787	0.0000000262
1	199239884	200137648	291	35	0.0001912748	0.0000000196
1	200137649	201589974	633	40	0.0000049891	0.0000000357
1	201589975	203334733	552	40	0.0002037690	0.0000000290
1	203334734	204681067	434	40	-0.0000402601	0.0000000306
1	204681068	206073264	510	40	-0.0000274871	0.0000000280
1	206073265	208410363	560	40	-0.0001402475	0.0000000339
1	208410364	210787749	877	40	-0.0000788494	0.0000000349
1	210787750	212842329	657	40	0.0000304684	0.0000000354
1	212842330	214578265	569	40	-0.0002837114	0.0000000364
1	214578266	216243633	560	40	0.0000037295	0.0000000305
1	216243634	218705512	1049	40	-0.0000199437	0.0000000359
1	218705513	219590570	269	32	-0.0001506328	0.0000000131
1	219590571	221858230	631	40	0.0001074760	0.0000000386
1	221858231	222230219	166	21	0.0000332351	0.0000000107
1	222230220	224938519	441	40	0.0001168172	0.0000000266
1	224938520	226810859	468	40	-0.0001607860	0.0000000298
1	226810860	229156247	609	40	0.0000540570	0.0000000316
1	229156248	230685254	465	40	-0.0003304629	0.0000000248
1	230685255	232090251	539	40	-0.0000252048	0.0000000316
1	232090252	233429283	580	40	0.0000929366	0.0000000316
1	233429284	234599433	505	40	-0.0001181175	0.0000000300
1	234599434	235819435	346	40	0.0002767855	0.0000000328
1	235819436	237555627	677	40	0.0000605444	0.0000000363
1	237555628	238567806	403	40	-0.0000527852	0.0000000257
1	238567807	239925313	477	40	-0.0000302500	0.0000000293
1	239925314	240564090	326	40	0.0003145846	0.0000000196
1	240564091	241582219	488	40	-0.0000928303	0.0000000334
1	241582220	242071601	197	36	-0.0000823952	0.0000000140
1	242071602	244109498	591	40	-0.0000185199	0.0000000334
1	244109499	245506745	480	40	-0.0000894453	0.0000000293
1	245506746	247344517	651	40	-0.0000501929	0.0000000354
1	247344518	249239465	359	40	0.0000307208	0.0000000201
2	10133	1781021	590	40	-0.0002113543	0.0000000284
2	1781022	3973778	922	40	0.0000256951	0.0000000331
2	3973779	5708336	611	40	0.0001147144	0.0000000345
2	5708337	6836253	549	40	-0.0001164757	0.0000000301
2	6836254	8422146	631	40	0.0000043225	0.0000000341
2	8422147	10298468	632	40	0.0000873139	0.0000000365
2	10298469	12419149	921	40	0.0000035989	0.0000000327
2	12419150	14335307	571	40	0.0000233467	0.0000000307
2	14335308	16329734	721	40	-0.0000194621	0.0000000354
2	16329735	18647422	826	40	-0.0000265820	0.0000000355
2	18647423	19692403	374	40	-0.0000725947	0.0000000229
2	19692404	21050489	602	40	-0.0001970727	0.0000000418
2	21050490	23341382	569	40	-0.0004228265	0.0000001580
2	23341383	24686917	411	40	-0.0000003927	0.0000000248
2	24686918	26894984	496	40	0.0002527138	0.0000000303
2	26894985	28598776	314	29	-0.0001010886	0.0000000203
2	28598777	29217558	232	31	-0.0000429984	0.0000000154
2	29217559	30463710	606	40	-0.0001329640	0.0000000405
2	30463711	31550449	485	40	-0.0000995315	0.0000000305
2	31550450	33363776	466	40	-0.0001254147	0.0000000311
2	33363777	35345027	776	40	-0.0000974144	0.0000000353
2	35345028	36122005	283	30	0.0000402793	0.0000000173
2	36122006	38132711	886	40	0.0001708852	0.0000000365
2	38132712	39031336	309	38	-0.0000432090	0.0000000277
2	39031337	40281482	288	31	-0.0000330497	0.0000000183
2	40281483	43309589	1212	40	-0.0001794649	0.0000000397
2	43309590	44313802	309	40	-0.0004539454	0.0000000371
2	44313803	46482633	1008	40	-0.0002127557	0.0000000347
2	46482634	47318771	385	40	-0.0000490634	0.0000000271
2	47318772	48213000	279	40	0.0001150400	0.0000000171
2	48213001	50022256	681	40	-0.0000379442	0.0000000353
2	50022257	50818927	326	33	-0.0001481933	0.0000000213
2	50818928	52491132	631	40	0.0000163824	0.0000000335
