chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	92	14	0.0001325521	0.000000071308
1	1892607	3582735	405	14	0.0003456913	0.000000277820
1	3582736	4380810	262	14	-0.0000356773	0.000000134075
1	4380811	5913892	862	14	0.0000353388	0.000000293383
1	5913893	7247334	409	14	0.0000097237	0.000000182346
1	7247335	9365198	680	14	0.0000424452	0.000000294250
1	9365199	10806983	338	14	0.0001972931	0.000000153691
1	10806984	11777840	246	14	0.0001682080	0.000000136865
1	11777841	12779465	276	14	0.0003893046	0.000000183336
1	12779466	14891510	607	14	0.0002353023	0.000000312990
1	14891511	16897729	656	14	0.0002127762	0.000000307469
1	16897730	18662898	636	14	0.0001725110	0.000000312731
1	18662899	20469148	684	14	0.0002502698	0.000000318507
1	20469149	21736587	450	14	0.0001619238	0.000000210707
1	21736588	23086882	506	14	0.0000330288	0.000000252039
1	23086883	23920589	214	14	0.0000896339	0.000000090577
1	23920590	25516844	499	14	0.0001017415	0.000000248322
1	25516845	27401866	386	14	0.0005208160	0.000000170964
1	27401867	30161880	523	14	0.0000119924	0.000000212400
1	30161881	32438684	902	14	0.0002287424	0.000000296336
1	32438685	34799757	644	14	0.0000697179	0.000000284288
1	34799758	37549182	526	14	-0.0000021939	0.000000224402
1	37549183	38731846	358	14	0.0002137892	0.000000158724
1	38731847	40200566	424	14	0.0001433307	0.000000194998
1	40200567	41975326	540	14	0.0002425469	0.000000223313
1	41975327	43758456	532	14	0.0000571098	0.000000191773
1	43758457	44969182	351	14	0.0003233299	0.000000142991
1	44969183	46899500	440	14	0.0004427358	0.000000141758
1	46899501	48002575	280	14	0.0005081934	0.000000128762
1	48002576	48978187	339	14	0.0002608281	0.000000150409
1	48978188	49894176	237	14	0.0001781978	0.000000099991
1	49894177	51713725	252	14	-0.0000069142	0.000000066032
1	51713726	54226261	546	14	0.0003259192	0.000000247133
1	54226262	56413116	812	14	0.0001691499	0.000000302233
1	56413117	57021727	265	14	0.0003567004	0.000000110951
1	57021728	58865398	824	14	-0.0000043988	0.000000282788
1	58865399	59890408	371	14	0.0001759054	0.000000146792
1	59890409	61922364	660	14	-0.0000531279	0.000000288686
1	61922365	63455088	522	14	0.0002644502	0.000000255935
1	63455089	65041703	642	14	0.0000570529	0.000000234109
1	65041704	66939403	634	14	-0.0000422252	0.000000229393
1	66939404	68477894	663	14	0.0002131925	0.000000233107
1	68477895	69687615	382	14	0.0000514389	0.000000161280
1	69687616	71372469	506	14	-0.0000300349	0.000000195890
1	71372470	71684404	81	10	0.0001356451	0.000000029998
1	71684405	74326906	558	14	0.0001500401	0.000000180581
1	74326907	76728134	711	14	0.0000622102	0.000000232328
1	76728135	79661197	923	14	0.0000719552	0.000000291167
1	79661198	81354190	470	14	0.0000734575	0.000000185642
1	81354191	83991747	965	14	0.0000494151	0.000000297471
1	83991748	84844494	304	14	-0.0000732295	0.000000094915
1	84844495	86454750	634	14	0.0000628196	0.000000260053
1	86454751	88128630	551	14	-0.0000460781	0.000000220433
1	88128631	90066302	515	14	0.0003717612	0.000000224201
1	90066303	91886316	552	14	0.0003065794	0.000000237383
1	91886317	93536458	500	14	0.0001097567	0.000000171878
1	93536459	94506190	245	14	0.0001554032	0.000000086240
1	94506191	96150892	640	14	0.0000962225	0.000000272109
1	96150893	97885248	598	14	0.0000584570	0.000000196455
1	97885249	99800603	632	14	-0.0000512166	0.000000227787
1	99800604	100826404	329	14	0.0000480194	0.000000107265
1	100826405	102041015	439	14	0.0000387638	0.000000156559
1	102041016	102898744	271	14	0.0001948677	0.000000119703
1	102898745	103914210	196	14	0.0001237373	0.000000064319
1	103914211	106087841	452	14	0.0001165299	0.000000182428
1	106087842	108409664	721	14	0.0000145999	0.000000292253
1	108409665	110303930	551	14	0.0002796665	0.000000246627
1	110303931	111741736	559	14	0.0002083511	0.000000293866
1	111741737	113273305	691	14	0.0001519398	0.000000291841
1	113273306	114873844	497	14	0.0001963672	0.000000220195
1	114873845	115880592	338	14	0.0001519409	0.000000119582
1	115880593	118839066	806	14	0.0003079516	0.000000308843
1	118839067	144977493	557	14	0.0002329969	0.000000217150
1	144977494	148361252	425	14	0.0004340689	0.000000175460
1	148361253	151538880	332	14	0.0002053103	0.000000122275
1	151538881	153180828	450	14	-0.0000350609	0.000000139457
1	153180829	154770402	444	14	0.0001762470	0.000000181248
1	154770403	156336132	280	14	0.0006451860	0.000000153841
1	156336133	158027411	576	14	0.0000927015	0.000000251055
1	158027412	159913047	665	14	0.0003884207	0.000000329296
1	159913048	162346720	859	14	0.0003099819	0.000000320660
1	162346721	165191701	1171	14	0.0000710769	0.000000291416
1	165191702	166460516	514	14	-0.0000194429	0.000000229462
1	166460517	169086323	1078	14	0.0000939488	0.000000300711
1	169086324	170557775	547	14	0.0000452834	0.000000171909
1	170557776	173097906	893	14	0.0004158387	0.000000304092
1	173097907	175089767	399	14	0.0002910357	0.000000111209
1	175089768	177433380	764	14	0.0003400771	0.000000297251
1	177433381	178944308	494	14	0.0001329455	0.000000183273
1	178944309	178954469	2	1	-0.0000070147	0.000000003445
