chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	97	16	0.0001147812	0.000000050236
1	1892607	3582735	439	16	0.0001882233	0.000000220089
1	3582736	4380810	271	16	0.0000038962	0.000000119992
1	4380811	5913892	855	16	0.0001096317	0.000000266981
1	5913893	7247334	426	16	-0.0000044934	0.000000172302
1	7247335	9365198	697	16	0.0003078904	0.000000279715
1	9365199	10806983	348	16	0.0001707917	0.000000137418
1	10806984	11777840	253	16	0.0000592723	0.000000108465
1	11777841	12779465	278	16	0.0001288520	0.000000129625
1	12779466	14891510	614	16	-0.0000566694	0.000000260224
1	14891511	16897729	683	16	0.0001429404	0.000000274374
1	16897730	18662898	666	16	-0.0000212801	0.000000265454
1	18662899	20469148	713	16	-0.0000405091	0.000000265085
1	20469149	21736587	458	16	0.0001612059	0.000000190176
1	21736588	23086882	520	16	0.0000771839	0.000000235150
1	23086883	23920589	220	16	0.0002408898	0.000000097583
1	23920590	25516844	520	16	0.0002354985	0.000000241437
1	25516845	27401866	412	16	0.0001919668	0.000000151567
1	27401867	30161880	549	16	0.0001032828	0.000000203410
1	30161881	32438684	923	16	-0.0000309672	0.000000256866
1	32438685	34799757	669	16	0.0002480313	0.000000278747
1	34799758	37549182	550	16	0.0000341224	0.000000215410
1	37549183	38731846	362	16	0.0002116594	0.000000148963
1	38731847	40200566	445	16	-0.0000738868	0.000000171239
1	40200567	41975326	550	16	0.0001085472	0.000000203563
1	41975327	43758456	540	16	0.0000200274	0.000000185567
1	43758457	44969182	366	16	0.0001597770	0.000000131125
1	44969183	46899500	455	16	0.0005282841	0.000000152450
1	46899501	48002575	290	16	0.0002803017	0.000000113829
1	48002576	48978187	342	16	0.0000304673	0.000000134490
1	48978188	49894176	246	16	0.0000697810	0.000000097182
1	49894177	51713725	255	16	0.0000796213	0.000000073977
1	51713726	54226261	560	16	-0.0000046596	0.000000213110
1	54226262	56413116	832	16	0.0001096664	0.000000269891
1	56413117	57021727	271	16	0.0003752356	0.000000109647
1	57021728	58865398	846	16	-0.0000299726	0.000000258046
1	58865399	59890408	382	16	0.0000392540	0.000000134171
1	59890409	61922364	667	16	-0.0000076664	0.000000262323
1	61922365	63455088	533	16	-0.0000237556	0.000000209222
1	63455089	65041703	657	16	0.0000625779	0.000000223947
1	65041704	66939403	639	16	0.0003282161	0.000000245568
1	66939404	68477894	678	16	0.0001244162	0.000000222721
1	68477895	69687615	372	16	0.0002493745	0.000000155349
1	69687616	71372469	513	16	0.0000509075	0.000000183285
1	71372470	71684404	82	10	0.0000180753	0.000000023707
1	71684405	74326906	556	16	0.0000901063	0.000000168018
1	74326907	76728134	711	16	0.0002092912	0.000000225281
1	76728135	79661197	944	16	0.0001378258	0.000000272200
1	79661198	81354190	468	16	0.0000223910	0.000000170770
1	81354191	83991747	962	16	0.0002033103	0.000000275807
1	83991748	84844494	312	16	0.0001141592	0.000000104339
1	84844495	86454750	645	16	0.0003380563	0.000000264987
1	86454751	88128630	564	16	0.0000911075	0.000000215225
1	88128631	90066302	516	16	0.0000039430	0.000000186722
1	90066303	91886316	561	16	0.0003514143	0.000000225263
1	91886317	93536458	509	16	-0.0000997682	0.000000153695
1	93536459	94506190	254	16	0.0000378782	0.000000080019
1	94506191	96150892	640	16	0.0001232326	0.000000248341
1	96150893	97885248	600	16	0.0000964564	0.000000185050
1	97885249	99800603	637	16	0.0000394416	0.000000213216
1	99800604	100826404	311	16	0.0002738565	0.000000118223
1	100826405	102041015	444	16	-0.0000222058	0.000000150097
1	102041016	102898744	270	16	0.0001208102	0.000000102084
1	102898745	103914210	200	16	0.0001812799	0.000000068939
1	103914211	106087841	448	16	0.0001462470	0.000000169920
1	106087842	108409664	721	16	0.0001787964	0.000000276697
1	108409665	110303930	559	16	0.0002266947	0.000000216502
1	110303931	111741736	565	16	0.0002787484	0.000000261033
1	111741737	113273305	718	16	0.0000551857	0.000000267281
1	113273306	114873844	507	16	0.0001496178	0.000000204396
1	114873845	115880592	344	16	0.0003357772	0.000000130538
1	115880593	118839066	816	16	0.0002079184	0.000000278436
1	118839067	144977493	560	16	0.0000486580	0.000000195109
1	144977494	148361252	431	16	0.0000998450	0.000000158146
1	148361253	151538880	348	16	0.0001411701	0.000000119210
1	151538881	153180828	463	16	0.0006465202	0.000000181041
1	153180829	154770402	459	16	-0.0000108775	0.000000163656
1	154770403	156336132	305	16	0.0005903046	0.000000150306
1	156336133	158027411	596	16	-0.0000650094	0.000000225103
1	158027412	159913047	678	16	-0.0000503049	0.000000261923
1	159913048	162346720	870	16	0.0000546271	0.000000268109
1	162346721	165191701	1188	16	0.0000164458	0.000000264508
1	165191702	166460516	527	16	0.0000209027	0.000000218428
1	166460517	169086323	1090	16	0.0001199943	0.000000273011
1	169086324	170557775	556	16	0.0001645680	0.000000176869
1	170557776	173097906	898	16	0.0000758586	0.000000263792
1	173097907	175089767	410	16	0.0002321696	0.000000108532
1	175089768	177433380	782	16	0.0000905246	0.000000268117
1	177433381	178944308	491	16	0.0003699031	0.000000188664
1	178944309	178954469	2	1	0.0000063509	0.000000001308
1	178954470	181144120	746	16	0.0002467583	0.000000270431
1	181144121	182755355	597	16	0.0003914285	0.000000264662
1	182755356	184595512	627	16	-0.0000076999	0.000000209268
1	184595513	186810022	522	16	0.0003324442	0.000000191761
1	186810023	188759944	617	16	-0.0000655493	0.000000201040
1	188759945	189904129	217	16	0.0003899246	0.000000078515
1	189904130	191868929	537	16	-0.0000773505	0.000000143572
1	191868930	194107441	570	16	0.0000402723	0.000000198101
1	194107442	196176200	569	16	0.0002219709	0.000000185594
1	196176201	197311513	195	16	0.0002369944	0.000000063616
1	197311514	199239883	502	16	0.0001694483	0.000000184412
1	199239884	200137648	295	16	0.0001004515	0.000000109512
1	200137649	201589974	701	16	0.0003244477	0.000000286418
1	201589975	203334733	613	16	0.0002388845	0.000000273532
1	203334734	204681067	483	16	0.0001907417	0.000000201508
1	204681068	206073264	571	16	0.0001841822	0.000000245319
1	206073265	208410363	632	16	0.0003319087	0.000000282129
1	208410364	210787749	924	16	0.0001343523	0.000000272659
1	210787750	212842329	683	16	-0.0000506867	0.000000262900
1	212842330	214578265	608	16	-0.0000644032	0.000000248637
1	214578266	216243633	575	16	-0.0000708679	0.000000210215
1	216243634	218705512	1072	16	0.0000531748	0.000000260572
1	218705513	219590570	281	16	-0.0000524750	0.000000090418
1	219590571	221858230	676	16	0.0003586346	0.000000273004
1	221858231	222230219	173	16	0.0000972041	0.000000072770
1	222230220	224938519	449	16	0.0001840165	0.000000178587
1	224938520	226810859	513	16	0.0001867564	0.000000198820
1	226810860	229156247	688	16	-0.0000239578	0.000000245187
1	229156248	230685254	530	16	-0.0000797864	0.000000219247
1	230685255	232090251	589	16	0.0001158769	0.000000243008
1	232090252	233429283	595	16	-0.0000245904	0.000000262496
1	233429284	234599433	530	16	-0.0000781577	0.000000218585
1	234599434	235819435	385	16	0.0000026157	0.000000165394
1	235819436	237555627	724	16	-0.0000413135	0.000000266524
1	237555628	238567806	424	16	-0.0001145617	0.000000164462
1	238567807	239925313	488	16	0.0000928081	0.000000205088
1	239925314	240564090	343	16	-0.0000755513	0.000000131045
1	240564091	241582219	519	16	0.0000358342	0.000000253731
1	241582220	242071601	217	16	0.0000921110	0.000000097789
1	242071602	244109498	618	16	0.0001795809	0.000000264233
1	244109499	245506745	515	16	0.0001515562	0.000000239420
1	245506746	247344517	708	16	0.0000252324	0.000000269395
1	247344518	249239465	395	16	0.0000725521	0.000000166667
2	10133	1781021	652	16	0.0001459436	0.000000268710
2	1781022	3973778	954	16	-0.0001160209	0.000000253920
2	3973779	5708336	623	16	0.0001944707	0.000000271253
2	5708337	6836253	552	16	-0.0000132148	0.000000210682
2	6836254	8422146	647	16	0.0000123603	0.000000260058
2	8422147	10298468	668	16	-0.0000840597	0.000000259548
2	10298469	12419149	964	16	0.0003242426	0.000000282210
2	12419150	14335307	589	16	0.0002268066	0.000000237910
2	14335308	16329734	739	16	0.0000352808	0.000000260399
2	16329735	18647422	847	16	0.0000473458	0.000000263022
2	18647423	19692403	385	16	0.0002734864	0.000000166592
2	19692404	21050489	639	16	-0.0000020776	0.000000253068
2	21050490	23341382	614	16	0.0001482634	0.000000270655
2	23341383	24686917	429	16	0.0001576639	0.000000166572
2	24686918	26894984	551	16	0.0001527890	0.000000220006
2	26894985	28598776	414	16	0.0006238945	0.000000172753
2	28598777	29217558	245	16	0.0000491557	0.000000095080
2	29217559	30463710	634	16	-0.0000012014	0.000000260119
2	30463711	31550449	530	16	0.0000150613	0.000000235692
2	31550450	33363776	494	16	0.0002904773	0.000000241395
2	33363777	35345027	801	16	0.0000216146	0.000000261406
2	35345028	36122005	290	16	0.0001310382	0.000000114345
2	36122006	38132711	923	16	0.0000564563	0.000000263137
2	38132712	39031336	322	16	0.0002472519	0.000000158872
2	39031337	40281482	298	16	0.0000315481	0.000000126062
2	40281483	43309589	1299	16	0.0001234111	0.000000264630
2	43309590	44313802	402	16	0.0000728374	0.000000178430
2	44313803	46482633	1064	16	0.0000602732	0.000000264423
2	46482634	47318771	415	16	-0.0001038711	0.000000199063
2	47318772	48213000	299	16	0.0000367903	0.000000149567
2	48213001	50022256	710	16	0.0000939392	0.000000262644
2	50022257	50818927	344	16	0.0000513236	0.000000139493
2	50818928	52491132	640	16	-0.0000457215	0.000000251756
2	52491133	53508451	465	16	0.0002972785	0.000000205280
2	53508452	54685225	430	16	0.0001696035	0.000000189212
2	54685226	56203344	605	16	0.0001359511	0.000000265008
2	56203345	57429099	427	16	0.0005381889	0.000000212024
2	57429100	58297314	272	16	0.0004481246	0.000000132853
2	58297315	60291999	736	16	0.0002176186	0.000000268760
2	60292000	62429043	582	16	-0.0000381879	0.000000248519
2	62429044	64625912	581	16	0.0000790457	0.000000243039
2	64625913	65933443	459	16	0.0000984810	0.000000200642
2	65933444	67226165	542	16	0.0000151811	0.000000210352
2	67226166	68010175	417	16	0.0001288336	0.000000167105
2	68010176	69139563	469	16	0.0002825046	0.000000189913
2	69139564	70755197	527	16	0.0003939832	0.000000215904
2	70755198	73174847	796	16	0.0000465494	0.000000263981
2	73174848	75630085	719	16	0.0001137824	0.000000269686
2	75630086	76913660	510	16	0.0003697913	0.000000228136
2	76913661	78079263	385	16	-0.0000429608	0.000000172390
2	78079264	80050402	820	16	0.0000142855	0.000000257652
2	80050403	81620840	579	16	0.0002643399	0.000000270579
2	81620841	85140679	882	16	0.0003288436	0.000000236852
2	85140680	88038506	629	16	0.0002221919	0.000000226153
2	88038507	89154525	242	16	0.0001573648	0.000000091320
2	89154526	95326451	4	2	0.0000116454	0.000000003132
2	95326452	98995200	426	16	-0.0000575882	0.000000146019
2	98995201	101822328	907	16	-0.0000272026	0.000000253922
2	101822329	102688764	261	16	0.0001140156	0.000000090182
2	102688765	103588214	402	16	0.0002688212	0.000000122895
2	103588215	105125033	301	16	0.0002040789	0.000000120053
2	105125034	106210057	398	16	-0.0000349411	0.000000155738
2	106210058	107408266	442	16	0.0001572900	0.000000171031
2	107408267	108429176	342	16	0.0000399722	0.000000107280
2	108429177	110572431	521	16	-0.0000537196	0.000000182772
2	110572432	113921855	800	16	0.0003331627	0.000000279294
2	113921856	116772469	748	16	0.0000451524	0.000000262788
2	116772470	118367465	393	16	0.0000881062	0.000000124771
2	118367466	121303782	988	16	0.0001030518	0.000000265896
2	121303783	123302905	580	16	0.0001064464	0.000000240142
2	123302906	124732249	429	16	0.0000601378	0.000000131305
2	124732250	125840920	378	16	-0.0000756049	0.000000128617
2	125840921	127373763	408	16	0.0001348100	0.000000122074
2	127373764	128034346	286	16	0.0001383097	0.000000114693
2	128034347	129474440	427	16	0.0001076566	0.000000156031
2	129474441	130067169	220	16	0.0001519702	0.000000078311
2	130067170	130658084	203	16	0.0001003135	0.000000076268
2	130658085	133042783	204	16	0.0003179332	0.000000104662
2	133042784	135158577	910	16	-0.0000204181	0.000000258819
2	135158578	137042793	446	16	0.0001274832	0.000000143942
2	137042794	138698116	587	16	0.0004442307	0.000000244140
2	138698117	140100270	431	16	0.0001305912	0.000000128361
2	140100271	141805350	563	16	0.0001868114	0.000000222466
2	141805351	142518601	293	16	0.0000480460	0.000000120188
2	142518602	144519483	645	16	0.0000101955	0.000000235987
2	144519484	146445569	436	16	-0.0001006582	0.000000155524
2	146445570	147277161	146	15	0.0000407809	0.000000053438
2	147277162	150210291	660	16	0.0002236267	0.000000231681
2	150210292	151731461	461	16	0.0004027812	0.000000196073
2	151731462	152486781	286	16	0.0000506651	0.000000095220
2	152486782	154005055	478	16	0.0000304838	0.000000176943
2	154005056	155391134	482	16	0.0000792663	0.000000187907
2	155391135	157560634	553	16	0.0003665836	0.000000223140
2	157560635	158533217	170	16	0.0001948490	0.000000087914
2	158533218	159577081	326	16	0.0000041285	0.000000121981
2	159577082	161769732	718	16	0.0002355798	0.000000261551
2	161769733	163503550	383	16	0.0001640375	0.000000121726
2	163503551	164466637	189	16	0.0000642303	0.000000071072
2	164466638	165178839	176	16	0.0000170760	0.000000062508
2	165178840	167160269	629	16	0.0003637708	0.000000242759
2	167160270	167355969	72	10	0.0001077667	0.000000030181
2	167355970	169968235	817	16	-0.0000263821	0.000000256782
2	169968236	171226244	485	16	-0.0000520156	0.000000177008
2	171226245	173138904	571	16	0.0001250369	0.000000242041
2	173138905	175588928	825	16	0.0002567349	0.000000277357
2	175588929	177363635	527	16	-0.0000261652	0.000000188894
2	177363636	178553182	463	16	-0.0000107561	0.000000152292
2	178553183	181312738	987	16	0.0001510437	0.000000268929
2	181312739	182266030	296	16	0.0002162083	0.000000108854
2	182266031	184357607	601	16	0.0000909776	0.000000233595
2	184357608	185280172	229	16	-0.0000564920	0.000000072079
2	185280173	189882064	936	16	0.0003626507	0.000000276672
2	189882065	191973356	497	16	0.0001973027	0.000000185154
2	191973357	195861163	707	16	0.0001516060	0.000000273346
2	195861164	196447455	150	16	0.0000060503	0.000000051433
2	196447456	198078109	446	16	0.0003796763	0.000000156158
2	198078110	199311124	303	16	0.0000658621	0.000000085989
