chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	104	20	0.0001414358	0.000000002471
1	1892607	3582735	430	40	0.0008243933	0.000000011435
1	3582736	4380810	267	40	0.0002095181	0.000000004121
1	4380811	5913892	846	40	0.0000591995	0.000000005054
1	5913893	7247334	420	40	0.0001432055	0.000000004350
1	7247335	9365198	680	40	0.0003804262	0.000000007820
1	9365199	10806983	344	40	0.0003548969	0.000000005406
1	10806984	11777840	250	40	0.0002745794	0.000000004426
1	11777841	12779465	277	40	0.0000802142	0.000000003151
1	12779466	14891510	602	40	0.0001859697	0.000000006236
1	14891511	16897729	655	40	0.0001256371	0.000000005652
1	16897730	18662898	641	40	0.0005807090	0.000000009746
1	18662899	20469148	700	40	0.0003931949	0.000000008091
1	20469149	21736587	445	40	0.0005080574	0.000000007445
1	21736588	23086882	502	40	0.0003740294	0.000000007106
1	23086883	23920589	219	28	0.0005032289	0.000000005796
1	23920590	25516844	510	40	0.0003815825	0.000000007191
1	25516845	27401866	403	40	0.0007122860	0.000000008646
1	27401867	30161880	536	40	0.0003512279	0.000000006479
1	30161881	32438684	891	40	0.0004171882	0.000000008060
1	32438685	34799757	658	40	0.0002035972	0.000000006293
1	34799758	37549182	545	40	0.0002442159	0.000000006045
1	37549183	38731846	364	40	0.0004071881	0.000000005945
1	38731847	40200566	436	40	0.0001703612	0.000000004537
1	40200567	41975326	539	40	0.0007180378	0.000000009506
1	41975327	43758456	521	40	0.0004473718	0.000000006874
1	43758457	44969182	359	35	0.0001361980	0.000000003330
1	44969183	46899500	446	38	0.0004134636	0.000000005613
1	46899501	48002575	290	33	0.0004546651	0.000000005654
1	48002576	48978187	331	40	0.0002961265	0.000000004808
1	48978188	49894176	243	28	0.0000307860	0.000000001978
1	49894177	51713725	254	25	0.0002883544	0.000000003698
1	51713726	54226261	553	40	0.0004299369	0.000000007397
1	54226262	56413116	813	40	0.0003213832	0.000000007307
1	56413117	57021727	260	30	0.0002314495	0.000000003523
1	57021728	58865398	828	40	0.0001724283	0.000000005984
1	58865399	59890408	370	40	0.0001904378	0.000000003951
1	59890409	61922364	657	40	0.0002067000	0.000000006256
1	61922365	63455088	517	40	0.0001962884	0.000000005336
1	63455089	65041703	636	40	0.0001610434	0.000000005114
1	65041704	66939403	636	40	0.0003860051	0.000000007196
1	66939404	68477894	670	40	0.0003437134	0.000000006624
1	68477895	69687615	375	40	0.0001061828	0.000000003415
1	69687616	71372469	507	40	0.0001664700	0.000000004646
1	71372470	71684404	82	10	0.0000457506	0.000000000819
1	71684405	74326906	545	40	0.0001529871	0.000000004152
1	74326907	76728134	714	40	0.0003447917	0.000000006643
1	76728135	79661197	925	40	0.0003125847	0.000000007196
1	79661198	81354190	453	40	0.0001379132	0.000000004075
1	81354191	83991747	945	40	0.0001552480	0.000000005805
1	83991748	84844494	306	35	0.0001949314	0.000000003434
1	84844495	86454750	633	40	0.0003254861	0.000000006892
1	86454751	88128630	553	40	0.0003201299	0.000000006398
1	88128631	90066302	509	40	0.0004783327	0.000000007295
1	90066303	91886316	549	40	0.0001601283	0.000000004933
1	91886317	93536458	493	40	0.0005083241	0.000000007102
1	93536459	94506190	252	26	0.0002009553	0.000000003123
1	94506191	96150892	632	40	0.0002856580	0.000000006591
1	96150893	97885248	588	40	0.0001829964	0.000000004698
1	97885249	99800603	625	40	0.0001244929	0.000000004745
1	99800604	100826404	331	36	0.0001171509	0.000000002847
1	100826405	102041015	439	40	0.0001983996	0.000000004410
1	102041016	102898744	272	36	0.0001594546	0.000000003089
1	102898745	103914210	198	21	0.0003871885	0.000000004334
1	103914211	106087841	444	40	0.0001595264	0.000000004179
1	106087842	108409664	717	40	0.0000680189	0.000000005095
1	108409665	110303930	555	40	0.0002048754	0.000000005276
1	110303931	111741736	555	40	0.0001748418	0.000000005706
1	111741737	113273305	703	40	0.0004403435	0.000000008270
1	113273306	114873844	503	40	0.0001291609	0.000000004489
1	114873845	115880592	339	36	0.0001426325	0.000000003196
1	115880593	118839066	826	40	0.0002574118	0.000000006796
1	118839067	144977493	552	40	0.0011254640	0.000000012806
1	144977494	148361252	425	40	0.0005065913	0.000000006998
1	148361253	151538880	347	34	0.0013453976	0.000000013393
1	151538881	153180828	462	40	0.0002234663	0.000000004464
1	153180829	154770402	446	40	0.0001494323	0.000000004180
1	154770403	156336132	302	38	0.0002638692	0.000000004379
1	156336133	158027411	595	40	0.0003129258	0.000000006725
1	158027412	159913047	660	40	0.0000986769	0.000000005443
1	159913048	162346720	857	40	0.0003126118	0.000000007274
1	162346721	165191701	1175	40	0.0001715950	0.000000006011
1	165191702	166460516	520	40	0.0003093306	0.000000006405
1	166460517	169086323	1084	40	0.0002902521	0.000000007136
1	169086324	170557775	552	40	0.0002165465	0.000000004835
1	170557776	173097906	874	40	0.0013196949	0.000000015628
1	173097907	175089767	405	32	0.0002166684	0.000000003553
1	175089768	177433380	762	40	0.0006524592	0.000000010009
1	177433381	178944308	475	40	0.0001493772	0.000000004198
1	178944309	178954469	2	1	0.0000140920	0.000000000162
1	178954470	181144120	729	40	0.0002243176	0.000000006268
1	181144121	182755355	584	40	0.0002165632	0.000000005953
1	182755356	184595512	608	40	0.0012948824	0.000000014644
1	184595513	186810022	512	40	0.0002271687	0.000000004930
1	186810023	188759944	604	40	0.0000302171	0.000000003832
1	188759945	189904129	211	17	0.0000651074	0.000000001594
1	189904130	191868929	530	40	0.0001489774	0.000000003902
1	191868930	194107441	559	40	0.0000774889	0.000000004030
1	194107442	196176200	561	40	0.0000653484	0.000000003595
1	196176201	197311513	189	16	0.0001084729	0.000000001811
1	197311514	199239883	492	40	0.0001714118	0.000000004524
1	199239884	200137648	296	35	0.0002691922	0.000000004149
1	200137649	201589974	688	40	0.0001406593	0.000000005781
1	201589975	203334733	599	40	0.0001742628	0.000000005991
1	203334734	204681067	474	40	0.0003256221	0.000000006174
1	204681068	206073264	565	40	0.0001958651	0.000000005672
1	206073265	208410363	608	40	0.0002402901	0.000000006453
1	208410364	210787749	900	40	0.0002791940	0.000000006947
1	210787750	212842329	680	40	0.0005002310	0.000000008737
1	212842330	214578265	604	40	0.0001396069	0.000000005564
1	214578266	216243633	580	40	0.0006642666	0.000000009422
1	216243634	218705512	1063	40	0.0006094583	0.000000009599
1	218705513	219590570	274	33	0.0007340284	0.000000007910
1	219590571	221858230	676	40	0.0007113614	0.000000010294
1	221858231	222230219	170	21	0.0001557351	0.000000002535
1	222230220	224938519	449	40	0.0002575284	0.000000005245
1	224938520	226810859	501	40	0.0002567626	0.000000005450
1	226810860	229156247	681	40	0.0007082939	0.000000010278
1	229156248	230685254	521	40	0.0001734445	0.000000005317
1	230685255	232090251	579	40	0.0001274833	0.000000005106
1	232090252	233429283	594	40	0.0001757816	0.000000006053
1	233429284	234599433	520	40	0.0001522620	0.000000005190
1	234599434	235819435	378	40	0.0002535464	0.000000005195
1	235819436	237555627	715	40	0.0002589952	0.000000006966
1	237555628	238567806	421	40	0.0001291581	0.000000004177
1	238567807	239925313	480	40	0.0001286133	0.000000004604
1	239925314	240564090	328	40	0.0001130897	0.000000003400
1	240564091	241582219	512	40	0.0001952974	0.000000006177
1	241582220	242071601	215	38	0.0001368350	0.000000002923
1	242071602	244109498	608	40	0.0002861238	0.000000006863
1	244109499	245506745	508	40	0.0001258901	0.000000005326
1	245506746	247344517	688	40	0.0002180149	0.000000006568
1	247344518	249239465	380	40	0.0001000245	0.000000004150
2	10133	1781021	664	40	0.0005004198	0.000000008758
2	1781022	3973778	967	40	0.0001095484	0.000000005534
2	3973779	5708336	629	40	0.0001354056	0.000000005686
2	5708337	6836253	565	40	0.0001968402	0.000000005465
2	6836254	8422146	655	40	0.0001675959	0.000000005980
2	8422147	10298468	674	40	0.0004123771	0.000000008170
2	10298469	12419149	973	40	0.0004272936	0.000000008321
2	12419150	14335307	593	40	0.0001575889	0.000000005306
2	14335308	16329734	747	40	0.0001639271	0.000000005867
2	16329735	18647422	860	40	0.0003927631	0.000000007806
2	18647423	19692403	384	40	0.0003197145	0.000000005397
2	19692404	21050489	640	40	0.0005214189	0.000000008887
2	21050490	23341382	624	40	0.0002327920	0.000000006488
2	23341383	24686917	440	40	0.0006872473	0.000000008636
2	24686918	26894984	560	40	0.0014755792	0.000000016222
2	26894985	28598776	415	33	0.0003521650	0.000000005395
2	28598777	29217558	248	32	0.0001637303	0.000000003141
2	29217559	30463710	636	40	0.0000974006	0.000000005346
2	30463711	31550449	531	40	0.0003037206	0.000000006704
2	31550450	33363776	494	40	0.0005502126	0.000000008536
2	33363777	35345027	805	40	0.0004469790	0.000000008335
2	35345028	36122005	290	30	0.0001155890	0.000000002922
2	36122006	38132711	923	40	0.0005544224	0.000000009185
2	38132712	39031336	326	38	0.0002070229	0.000000004354
2	39031337	40281482	303	32	0.0001566461	0.000000003614
2	40281483	43309589	1307	40	0.0003833290	0.000000007647
2	43309590	44313802	400	40	0.0003350913	0.000000005925
2	44313803	46482633	1066	40	0.0005816255	0.000000009466
2	46482634	47318771	416	40	0.0009017221	0.000000011277
2	47318772	48213000	300	40	0.0002555628	0.000000004902
2	48213001	50022256	713	40	0.0001803072	0.000000005957
2	50022257	50818927	345	34	0.0000646010	0.000000003035
2	50818928	52491132	647	40	0.0000761102	0.000000005022
2	52491133	53508451	464	40	0.0001269239	0.000000004356
2	53508452	54685225	433	40	0.0001750440	0.000000004656
2	54685226	56203344	613	40	0.0021312656	0.000000022210
2	56203345	57429099	428	40	0.0006794128	0.000000008859
2	57429100	58297314	272	29	0.0000742451	0.000000002569
2	58297315	60291999	737	40	0.0001812167	0.000000005898
2	60292000	62429043	586	40	0.0003956930	0.000000007640
2	62429044	64625912	583	40	0.0001703359	0.000000005566
2	64625913	65933443	463	40	0.0001755520	0.000000004925
2	65933444	67226165	553	40	0.0002026384	0.000000005478
