chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	102	19	0.0001268949	0.000000007972
1	1892607	3582735	427	40	0.0003926284	0.000000031959
1	3582736	4380810	267	40	0.0001999568	0.000000018347
1	4380811	5913892	845	40	0.0000754286	0.000000032954
1	5913893	7247334	419	40	0.0002454721	0.000000026365
1	7247335	9365198	678	40	0.0003931999	0.000000040003
1	9365199	10806983	344	40	0.0002300622	0.000000020757
1	10806984	11777840	250	40	0.0001940480	0.000000017222
1	11777841	12779465	273	40	0.0000985461	0.000000016791
1	12779466	14891510	601	40	0.0000717563	0.000000032872
1	14891511	16897729	656	40	0.0001721872	0.000000034972
1	16897730	18662898	636	40	0.0001629730	0.000000034896
1	18662899	20469148	697	40	0.0001433745	0.000000034461
1	20469149	21736587	445	40	0.0002511786	0.000000027184
1	21736588	23086882	502	40	0.0001560359	0.000000029890
1	23086883	23920589	219	28	0.0000599944	0.000000011970
1	23920590	25516844	510	40	0.0000514415	0.000000027700
1	25516845	27401866	402	40	0.0000116168	0.000000017115
1	27401867	30161880	535	40	0.0000273945	0.000000023998
1	30161881	32438684	887	40	0.0001187831	0.000000033915
1	32438685	34799757	658	40	0.0001060942	0.000000033570
1	34799758	37549182	538	40	0.0000227182	0.000000025921
1	37549183	38731846	364	40	0.0001948398	0.000000021415
1	38731847	40200566	436	40	0.0003105646	0.000000027742
1	40200567	41975326	538	40	0.0001164944	0.000000026351
1	41975327	43758456	521	40	0.0001542841	0.000000025481
1	43758457	44969182	359	35	0.0003684372	0.000000023128
1	44969183	46899500	446	38	0.0000687485	0.000000016568
1	46899501	48002575	289	33	0.0001432717	0.000000015542
1	48002576	48978187	331	40	0.0000425478	0.000000017299
1	48978188	49894176	243	28	0.0000336559	0.000000012688
1	49894177	51713725	254	25	0.0000723123	0.000000010514
1	51713726	54226261	553	40	0.0002221044	0.000000030909
1	54226262	56413116	813	40	0.0001366353	0.000000034311
1	56413117	57021727	260	30	0.0001051391	0.000000013461
1	57021728	58865398	827	40	0.0001920046	0.000000035540
1	58865399	59890408	369	40	0.0004267120	0.000000025665
1	59890409	61922364	656	40	0.0002257352	0.000000036288
1	61922365	63455088	517	40	0.0001401924	0.000000028142
1	63455089	65041703	635	40	-0.0000665792	0.000000024577
1	65041704	66939403	636	40	0.0003903096	0.000000036292
1	66939404	68477894	669	40	0.0003022996	0.000000032749
1	68477895	69687615	375	40	0.0000746067	0.000000018882
1	69687616	71372469	507	40	0.0000554318	0.000000023483
1	71372470	71684404	82	10	0.0000848237	0.000000004907
1	71684405	74326906	543	40	0.0002989542	0.000000026730
1	74326907	76728134	714	40	0.0003740835	0.000000034467
1	76728135	79661197	925	40	0.0000695925	0.000000032824
1	79661198	81354190	453	40	0.0001180235	0.000000022978
1	81354191	83991747	945	40	0.0002460098	0.000000036738
1	83991748	84844494	306	35	0.0002475212	0.000000017658
1	84844495	86454750	633	40	0.0000533761	0.000000029971
1	86454751	88128630	551	40	0.0001149753	0.000000027457
1	88128631	90066302	509	40	0.0001094185	0.000000025309
1	90066303	91886316	548	40	0.0002690879	0.000000030110
1	91886317	93536458	493	40	0.0000519137	0.000000020762
1	93536459	94506190	252	26	0.0000660197	0.000000010992
1	94506191	96150892	632	40	0.0000503514	0.000000030351
1	96150893	97885248	587	40	0.0004274276	0.000000031717
1	97885249	99800603	624	40	0.0004581933	0.000000035377
1	99800604	100826404	330	36	0.0001329427	0.000000015748
1	100826405	102041015	438	40	-0.0000267613	0.000000018331
1	102041016	102898744	271	36	0.0003804968	0.000000019912
1	102898745	103914210	198	21	-0.0000274699	0.000000006959
1	103914211	106087841	444	40	0.0002016749	0.000000024074
1	106087842	108409664	717	40	0.0002019829	0.000000035761
1	108409665	110303930	556	40	0.0000869710	0.000000025507
1	110303931	111741736	555	40	0.0000811619	0.000000030523
1	111741737	113273305	703	40	0.0001579313	0.000000034784
1	113273306	114873844	503	40	0.0000470204	0.000000024370
1	114873845	115880592	338	36	0.0000395507	0.000000014617
1	115880593	118839066	825	40	0.0000618221	0.000000032652
1	118839067	144977493	551	40	0.0000388981	0.000000024506
1	144977494	148361252	425	40	0.0004760662	0.000000029704
1	148361253	151538880	347	34	0.0004672985	0.000000024439
1	151538881	153180828	463	40	0.0000897212	0.000000019842
1	153180829	154770402	445	40	0.0002602694	0.000000025433
1	154770403	156336132	302	38	0.0001556173	0.000000017678
1	156336133	158027411	595	40	0.0000905142	0.000000029392
1	158027412	159913047	660	40	0.0000541292	0.000000032097
1	159913048	162346720	855	40	0.0002106577	0.000000035953
1	162346721	165191701	1172	40	0.0001477553	0.000000034558
1	165191702	166460516	519	40	0.0008965548	0.000000045851
1	166460517	169086323	1082	40	0.0002204536	0.000000036171
1	169086324	170557775	552	40	0.0001431868	0.000000024038
1	170557776	173097906	874	40	0.0000677038	0.000000032782
1	173097907	175089767	405	32	0.0001801817	0.000000016047
1	175089768	177433380	761	40	0.0001998886	0.000000035394
1	177433381	178944308	475	40	0.0004477054	0.000000030524
1	178944309	178954469	2	1	-0.0000026912	0.000000000062
1	178954470	181144120	729	40	0.0003194073	0.000000037340
1	181144121	182755355	583	40	0.0000704557	0.000000030031
1	182755356	184595512	610	40	0.0001824841	0.000000029206
1	184595513	186810022	512	40	0.0001205928	0.000000023475
1	186810023	188759944	604	40	0.0003623192	0.000000032999
1	188759945	189904129	211	17	-0.0000157897	0.000000006849
1	189904130	191868929	530	40	0.0003438418	0.000000026528
1	191868930	194107441	558	40	0.0001967486	0.000000027875
1	194107442	196176200	561	40	0.0001515536	0.000000024790
1	196176201	197311513	189	16	-0.0000142627	0.000000005901
1	197311514	199239883	492	40	0.0000877457	0.000000023630
1	199239884	200137648	296	35	0.0002666758	0.000000018950
1	200137649	201589974	687	40	0.0000718042	0.000000032873
1	201589975	203334733	596	40	0.0001720276	0.000000033560
1	203334734	204681067	474	40	0.0001735740	0.000000026603
1	204681068	206073264	565	40	0.0002566722	0.000000033011
1	206073265	208410363	608	40	0.0001169542	0.000000032978
1	208410364	210787749	899	40	0.0000437087	0.000000032250
1	210787750	212842329	680	40	-0.0000304203	0.000000030606
1	212842330	214578265	603	40	0.0001379953	0.000000032805
1	214578266	216243633	579	40	0.0000422869	0.000000027497
1	216243634	218705512	1062	40	0.0001370999	0.000000034322
