chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	99	19	-0.0000018421	0.000000001679
1	1892607	3582735	429	40	0.0000333659	0.000000008026
1	3582736	4380810	261	40	0.0000718275	0.000000005426
1	4380811	5913892	830	40	0.0000157094	0.000000010314
1	5913893	7247334	415	40	0.0000187942	0.000000006972
1	7247335	9365198	675	40	0.0000242556	0.000000010423
1	9365199	10806983	339	40	0.0000247498	0.000000005414
1	10806984	11777840	244	40	0.0000213781	0.000000004404
1	11777841	12779465	269	40	0.0000219537	0.000000004996
1	12779466	14891510	597	40	0.0000023950	0.000000010145
1	14891511	16897729	651	40	0.0000063060	0.000000010073
1	16897730	18662898	636	40	0.0000814179	0.000000011148
1	18662899	20469148	693	40	-0.0000139487	0.000000009938
1	20469149	21736587	442	40	0.0001348509	0.000000008687
1	21736588	23086882	498	40	0.0000381628	0.000000009018
1	23086883	23920589	217	28	0.0000424876	0.000000003988
1	23920590	25516844	507	40	-0.0000066159	0.000000008490
1	25516845	27401866	401	40	0.0000021229	0.000000005530
1	27401867	30161880	532	40	0.0000571877	0.000000008308
1	30161881	32438684	880	40	-0.0000120174	0.000000009962
1	32438685	34799757	652	40	0.0000233988	0.000000010290
1	34799758	37549182	541	40	-0.0000101636	0.000000008203
1	37549183	38731846	353	40	0.0000303320	0.000000005847
1	38731847	40200566	435	40	0.0000191820	0.000000007018
1	40200567	41975326	535	40	0.0000642787	0.000000008499
1	41975327	43758456	517	40	0.0001338885	0.000000008836
1	43758457	44969182	354	35	0.0000608508	0.000000005650
1	44969183	46899500	444	38	0.0000050886	0.000000004963
1	46899501	48002575	284	33	0.0000460000	0.000000004616
1	48002576	48978187	329	40	0.0000069742	0.000000005410
1	48978188	49894176	242	28	-0.0000107966	0.000000003755
1	49894177	51713725	249	24	0.0000337963	0.000000003275
1	51713726	54226261	550	40	0.0000197213	0.000000008622
1	54226262	56413116	807	40	0.0000041603	0.000000010168
1	56413117	57021727	260	30	0.0000185864	0.000000003886
1	57021728	58865398	824	40	0.0001097838	0.000000011508
1	58865399	59890408	370	40	0.0000787899	0.000000006320
1	59890409	61922364	652	40	-0.0000502209	0.000000009477
1	61922365	63455088	516	40	0.0000474252	0.000000008731
1	63455089	65041703	634	40	0.0000099941	0.000000008580
1	65041704	66939403	626	40	-0.0000055441	0.000000008808
1	66939404	68477894	662	40	0.0000309132	0.000000008825
1	68477895	69687615	359	40	0.0000089711	0.000000005617
1	69687616	71372469	501	40	0.0000053429	0.000000007226
1	71372470	71684404	82	10	-0.0000036878	0.000000000954
1	71684405	74326906	543	40	0.0000156262	0.000000006751
1	74326907	76728134	700	40	0.0000385574	0.000000008902
1	76728135	79661197	920	40	0.0000207887	0.000000010379
1	79661198	81354190	446	40	0.0000394680	0.000000007093
1	81354191	83991747	935	40	0.0000050289	0.000000010179
1	83991748	84844494	304	35	0.0000306217	0.000000004360
1	84844495	86454750	626	40	-0.0000307727	0.000000008893
1	86454751	88128630	544	40	0.0000002075	0.000000007970
1	88128631	90066302	503	40	0.0001177991	0.000000008875
1	90066303	91886316	547	40	0.0000049002	0.000000007888
1	91886317	93536458	493	40	-0.0000258631	0.000000006063
1	93536459	94506190	251	26	0.0000527258	0.000000003796
1	94506191	96150892	623	40	0.0000278346	0.000000009697
1	96150893	97885248	584	40	0.0000322671	0.000000007628
1	97885249	99800603	623	40	0.0000557872	0.000000008877
1	99800604	100826404	303	35	-0.0000123002	0.000000003978
1	100826405	102041015	435	40	0.0000093910	0.000000006248
1	102041016	102898744	264	36	0.0000279315	0.000000004025
1	102898745	103914210	197	21	0.0000312848	0.000000002861
1	103914211	106087841	437	40	0.0000325423	0.000000006703
1	106087842	108409664	711	40	0.0000601623	0.000000010879
1	108409665	110303930	551	40	0.0000630509	0.000000008423
1	110303931	111741736	549	40	0.0000938937	0.000000010414
1	111741737	113273305	701	40	-0.0000098277	0.000000009990
1	113273306	114873844	499	40	0.0000088818	0.000000007615
1	114873845	115880592	336	36	0.0000476699	0.000000005100
1	115880593	118839066	803	40	0.0000561119	0.000000010827
1	118839067	144977493	547	40	0.0000590975	0.000000008393
1	144977494	148361252	423	40	-0.0000128981	0.000000006046
1	148361253	151538880	346	34	0.0000245356	0.000000004907
1	151538881	153180828	458	40	0.0000488051	0.000000006424
1	153180829	154770402	445	40	0.0000130232	0.000000006576
1	154770403	156336132	300	38	0.0000078885	0.000000004717
1	156336133	158027411	592	40	-0.0000054761	0.000000008748
1	158027412	159913047	653	40	0.0000182586	0.000000010103
1	159913048	162346720	850	40	0.0000095722	0.000000010236
1	162346721	165191701	1168	40	0.0000399446	0.000000010622
1	165191702	166460516	516	40	0.0000762696	0.000000009340
1	166460517	169086323	1065	40	0.0000146656	0.000000010301
1	169086324	170557775	548	40	0.0000825871	0.000000007781
1	170557776	173097906	870	40	0.0000051801	0.000000010181
1	173097907	175089767	404	32	0.0000376888	0.000000004430
1	175089768	177433380	761	40	0.0000358963	0.000000010489
