chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	96	18	0.0001518783	0.000000008769
1	1892607	3582735	439	40	0.0003433973	0.000000032450
1	3582736	4380810	270	40	0.0001294341	0.000000017531
1	4380811	5913892	859	40	0.0001369326	0.000000034731
1	5913893	7247334	424	40	0.0001267623	0.000000024177
1	7247335	9365198	696	40	0.0001640228	0.000000035164
1	9365199	10806983	349	40	0.0002406196	0.000000021336
1	10806984	11777840	253	40	0.0000694207	0.000000014882
1	11777841	12779465	280	40	0.0003040620	0.000000022111
1	12779466	14891510	616	40	0.0000878982	0.000000033717
1	14891511	16897729	689	40	0.0005917411	0.000000044784
1	16897730	18662898	663	40	0.0000419050	0.000000032700
1	18662899	20469148	707	40	0.0003454812	0.000000039329
1	20469149	21736587	459	40	0.0002202764	0.000000027124
1	21736588	23086882	520	40	0.0002281218	0.000000032722
1	23086883	23920589	220	28	0.0003341821	0.000000018136
1	23920590	25516844	517	40	0.0002037013	0.000000031809
1	25516845	27401866	411	40	0.0002991592	0.000000024045
1	27401867	30161880	548	40	0.0003672409	0.000000032355
1	30161881	32438684	929	40	0.0000848395	0.000000033504
1	32438685	34799757	673	40	0.0001416997	0.000000034629
1	34799758	37549182	551	40	0.0001636344	0.000000030032
1	37549183	38731846	366	40	0.0003283547	0.000000024724
1	38731847	40200566	446	40	0.0000584047	0.000000022861
1	40200567	41975326	551	40	0.0000435436	0.000000025457
1	41975327	43758456	537	40	0.0001294032	0.000000025841
1	43758457	44969182	368	35	-0.0000164817	0.000000015154
1	44969183	46899500	457	38	0.0002618018	0.000000021333
1	46899501	48002575	297	33	0.0001494255	0.000000015903
1	48002576	48978187	342	40	0.0001613971	0.000000020597
1	48978188	49894176	247	28	0.0000509596	0.000000013215
1	49894177	51713725	255	25	0.0002394487	0.000000014389
1	51713726	54226261	562	40	0.0001356243	0.000000029513
1	54226262	56413116	828	40	0.0001809966	0.000000035645
1	56413117	57021727	272	31	0.0001024062	0.000000013850
1	57021728	58865398	850	40	0.0000425217	0.000000032375
1	58865399	59890408	383	40	0.0001714808	0.000000020775
1	59890409	61922364	666	40	0.0003545617	0.000000039263
1	61922365	63455088	534	40	0.0002567700	0.000000031745
1	63455089	65041703	656	40	0.0000997328	0.000000028942
1	65041704	66939403	640	40	0.0002654361	0.000000033471
1	66939404	68477894	679	40	0.0001259812	0.000000029414
1	68477895	69687615	375	40	0.0002032467	0.000000022325
1	69687616	71372469	515	40	0.0001504630	0.000000025917
1	71372470	71684404	82	10	0.0000305205	0.000000003713
1	71684405	74326906	556	40	0.0001393894	0.000000023386
1	74326907	76728134	711	40	0.0000926114	0.000000028405
1	76728135	79661197	943	40	0.0002451475	0.000000036832
1	79661198	81354190	466	40	-0.0000405452	0.000000020205
1	81354191	83991747	960	40	0.0001748197	0.000000035349
1	83991748	84844494	312	35	0.0001740690	0.000000016226
1	84844495	86454750	643	40	0.0001614308	0.000000033013
1	86454751	88128630	565	40	0.0000704100	0.000000027174
1	88128631	90066302	517	40	0.0001358895	0.000000026337
1	90066303	91886316	560	40	0.0002641919	0.000000030525
1	91886317	93536458	508	40	0.0000641397	0.000000021316
1	93536459	94506190	255	26	0.0001244480	0.000000012494
1	94506191	96150892	644	40	0.0002373118	0.000000034826
1	96150893	97885248	601	40	0.0001703503	0.000000026401
1	97885249	99800603	636	40	0.0003010362	0.000000032259
1	99800604	100826404	314	36	0.0003468248	0.000000020608
1	100826405	102041015	444	40	0.0002030823	0.000000023539
1	102041016	102898744	274	36	0.0002137528	0.000000016552
1	102898745	103914210	198	21	0.0000006964	0.000000007540
1	103914211	106087841	449	40	0.0001767523	0.000000023790
1	106087842	108409664	722	40	0.0001147975	0.000000033940
1	108409665	110303930	556	40	0.0002981919	0.000000030437
1	110303931	111741736	565	40	0.0002763431	0.000000035552
1	111741737	113273305	719	40	0.0001293952	0.000000034420
1	113273306	114873844	509	40	0.0003389228	0.000000031164
1	114873845	115880592	343	37	0.0002379176	0.000000019246
1	115880593	118839066	823	40	0.0002172886	0.000000036429
1	118839067	144977493	562	40	0.0002053421	0.000000028945
1	144977494	148361252	430	40	0.0001077063	0.000000021729
1	148361253	151538880	348	34	0.0006967214	0.000000029566
1	151538881	153180828	468	40	0.0001310592	0.000000020962
1	153180829	154770402	457	40	0.0002975390	0.000000026822
1	154770403	156336132	306	38	0.0002814333	0.000000020718
1	156336133	158027411	595	40	0.0001306945	0.000000030634
1	158027412	159913047	678	40	0.0000540617	0.000000032874
1	159913048	162346720	869	40	0.0001442468	0.000000034818
1	162346721	165191701	1196	40	0.0002401243	0.000000036860
1	165191702	166460516	528	40	0.0000822113	0.000000028492
1	166460517	169086323	1098	40	0.0000563119	0.000000032824
1	169086324	170557775	553	40	0.0001188249	0.000000023647
1	170557776	173097906	899	40	0.0004144933	0.000000040657
1	173097907	175089767	410	32	0.0001673730	0.000000015886
1	175089768	177433380	782	40	0.0001021899	0.000000033735
1	177433381	178944308	492	40	0.0002426318	0.000000026322
1	178944309	178954469	2	1	0.0000152465	0.000000000456
1	178954470	181144120	747	40	0.0001318949	0.000000033809
1	181144121	182755355	598	40	0.0002196019	0.000000034141
1	182755356	184595512	628	40	0.0001804890	0.000000029624
1	184595513	186810022	521	40	0.0003147810	0.000000028054
1	186810023	188759944	619	40	0.0001140931	0.000000028096
1	188759945	189904129	218	17	0.0000220406	0.000000007847
1	189904130	191868929	537	40	0.0001048811	0.000000021329
1	191868930	194107441	571	40	0.0002175029	0.000000028956
1	194107442	196176200	571	40	0.0000407166	0.000000022564
1	196176201	197311513	197	16	0.0000238728	0.000000007085
