chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	80	17	0.0001276936	0.0000000069
1	1892607	3582735	370	40	-0.0000573977	0.0000000192
1	3582736	4380810	241	40	-0.0000749958	0.0000000136
1	4380811	5913892	858	40	-0.0000707290	0.0000000236
1	5913893	7247334	363	40	0.0000644828	0.0000000173
1	7247335	9365198	643	40	-0.0001059574	0.0000000296
1	9365199	10806983	300	40	-0.0003108661	0.0000000150
1	10806984	11777840	221	40	0.0000713585	0.0000000117
1	11777841	12779465	197	40	0.0001189263	0.0000000106
1	12779466	14891510	571	40	0.0000217208	0.0000000241
1	14891511	16897729	597	40	0.0000740868	0.0000000230
1	16897730	18662898	572	40	0.0000389508	0.0000000228
1	18662899	20469148	631	40	0.0000120394	0.0000000257
1	20469149	21736587	395	40	0.0000415448	0.0000000197
1	21736588	23086882	448	40	0.0001350293	0.0000000299
1	23086883	23920589	182	26	0.0000448262	0.0000000109
1	23920590	25516844	447	40	0.0000898427	0.0000000215
1	25516845	27401866	312	40	-0.0003680789	0.0000000187
1	27401867	30161880	488	40	0.0000430393	0.0000000202
1	30161881	32438684	872	40	0.0001290325	0.0000000249
1	32438685	34799757	610	40	-0.0001326583	0.0000000284
1	34799758	37549182	512	40	0.0000866600	0.0000000209
1	37549183	38731846	325	40	-0.0001010590	0.0000000132
1	38731847	40200566	392	40	-0.0001244792	0.0000000161
1	40200567	41975326	499	40	-0.0000421228	0.0000000185
1	41975327	43758456	487	40	-0.0000502414	0.0000000183
1	43758457	44969182	304	34	-0.0001189000	0.0000000111
1	44969183	46899500	372	37	0.0000493465	0.0000000115
1	46899501	48002575	258	32	-0.0000055705	0.0000000101
1	48002576	48978187	332	40	-0.0000482421	0.0000000144
1	48978188	49894176	231	28	0.0000438118	0.0000000100
1	49894177	51713725	246	25	-0.0000026357	0.0000000080
1	51713726	54226261	494	40	-0.0000030175	0.0000000187
1	54226262	56413116	743	40	0.0001280074	0.0000000229
1	56413117	57021727	247	29	0.0000274507	0.0000000102
1	57021728	58865398	828	40	0.0000291019	0.0000000263
1	58865399	59890408	356	40	0.0001859317	0.0000000148
1	59890409	61922364	633	40	-0.0000022377	0.0000000246
1	61922365	63455088	435	40	0.0000465802	0.0000000165
1	63455089	65041703	619	40	0.0000453190	0.0000000196
1	65041704	66939403	606	40	0.0001447010	0.0000000256
1	66939404	68477894	635	40	0.0000493456	0.0000000214
1	68477895	69687615	370	40	-0.0000837330	0.0000000206
1	69687616	71372469	494	40	-0.0000013028	0.0000000179
1	71372470	71684404	79	10	-0.0000303957	0.0000000026
1	71684405	74326906	510	40	0.0000640820	0.0000000175
1	74326907	76728134	657	40	-0.0000644594	0.0000000203
1	76728135	79661197	887	40	-0.0000383386	0.0000000241
1	79661198	81354190	471	40	0.0000486041	0.0000000166
1	81354191	83991747	943	40	0.0000537012	0.0000000249
1	83991748	84844494	311	36	0.0000072666	0.0000000126
1	84844495	86454750	598	40	0.0001288034	0.0000000234
1	86454751	88128630	519	40	-0.0000749587	0.0000000214
1	88128631	90066302	490	40	-0.0001442406	0.0000000199
1	90066303	91886316	544	40	0.0000530744	0.0000000214
1	91886317	93536458	460	40	0.0001178767	0.0000000186
1	93536459	94506190	226	25	0.0000826821	0.0000000095
1	94506191	96150892	611	40	0.0000530790	0.0000000231
1	96150893	97885248	580	40	-0.0001083382	0.0000000178
1	97885249	99800603	624	40	0.0000408997	0.0000000240
1	99800604	100826404	302	36	0.0000714602	0.0000000115
1	100826405	102041015	426	40	-0.0000511805	0.0000000171
1	102041016	102898744	274	36	0.0001648242	0.0000000109
1	102898745	103914210	182	21	0.0001166846	0.0000000083
1	103914211	106087841	454	40	-0.0000478486	0.0000000201
1	106087842	108409664	704	40	-0.0001739111	0.0000000261
1	108409665	110303930	404	40	0.0001556699	0.0000000187
1	110303931	111741736	516	40	-0.0000926560	0.0000000230
1	111741737	113273305	630	40	-0.0001021581	0.0000000255
1	113273306	114873844	474	40	0.0001781162	0.0000000197
1	114873845	115880592	309	36	-0.0001208195	0.0000000122
1	115880593	118839066	752	40	-0.0001013863	0.0000000249
1	118839067	144977493	472	40	-0.0000527756	0.0000000234
1	144977494	148361252	377	40	0.0000274270	0.0000000145
1	148361253	151538880	252	28	-0.0001359783	0.0000000096
1	151538881	153180828	416	40	-0.0000611442	0.0000000153
1	153180829	154770402	375	40	0.0000093966	0.0000000149
