chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	104	20	-0.0000276593	0.000000003867
1	1892607	3582735	446	40	-0.0000529031	0.000000019079
1	3582736	4380810	280	40	0.0000082987	0.000000012387
1	4380811	5913892	877	40	0.0001105089	0.000000028142
1	5913893	7247334	441	40	0.0000971279	0.000000020344
1	7247335	9365198	704	40	0.0000558780	0.000000027036
1	9365199	10806983	355	40	-0.0000149782	0.000000012949
1	10806984	11777840	259	40	0.0001378675	0.000000013870
1	11777841	12779465	298	40	0.0000705084	0.000000014469
1	12779466	14891510	618	40	0.0001691359	0.000000029330
1	14891511	16897729	693	40	0.0000737873	0.000000027398
1	16897730	18662898	674	40	0.0002027672	0.000000030011
1	18662899	20469148	730	40	0.0001186069	0.000000028306
1	20469149	21736587	462	40	0.0002123759	0.000000022727
1	21736588	23086882	527	40	-0.0000064734	0.000000022890
1	23086883	23920589	223	28	0.0000689045	0.000000010420
1	23920590	25516844	528	40	0.0000735285	0.000000024300
1	25516845	27401866	423	40	-0.0000189741	0.000000014315
1	27401867	30161880	560	40	0.0000462262	0.000000021346
1	30161881	32438684	935	40	0.0000417401	0.000000026749
1	32438685	34799757	677	40	0.0000480995	0.000000026878
1	34799758	37549182	562	40	0.0003134266	0.000000028372
1	37549183	38731846	375	40	0.0000622356	0.000000015904
1	38731847	40200566	449	40	0.0000472664	0.000000018764
1	40200567	41975326	558	40	0.0000464920	0.000000021403
1	41975327	43758456	549	40	0.0001217600	0.000000021675
1	43758457	44969182	374	36	0.0001629349	0.000000016233
1	44969183	46899500	462	39	-0.0000229669	0.000000012581
1	46899501	48002575	299	33	0.0001953627	0.000000014412
1	48002576	48978187	345	40	0.0001151760	0.000000016456
1	48978188	49894176	248	28	-0.0000357036	0.000000009336
1	49894177	51713725	260	25	0.0000492751	0.000000008690
1	51713726	54226261	566	40	0.0000597893	0.000000023186
1	54226262	56413116	842	40	0.0000804604	0.000000027534
1	56413117	57021727	272	31	0.0001040004	0.000000011848
1	57021728	58865398	858	40	0.0002043058	0.000000030042
1	58865399	59890408	384	40	0.0001223820	0.000000016602
1	59890409	61922364	675	40	-0.0000065157	0.000000025772
1	61922365	63455088	546	40	0.0001174339	0.000000024144
1	63455089	65041703	657	40	0.0001620994	0.000000025518
1	65041704	66939403	656	40	0.0001931875	0.000000027142
1	66939404	68477894	694	40	0.0001486322	0.000000025298
1	68477895	69687615	390	40	0.0001404288	0.000000017898
1	69687616	71372469	524	40	0.0001714647	0.000000022472
1	71372470	71684404	84	10	0.0000437565	0.000000003472
1	71684405	74326906	563	40	0.0002003383	0.000000020976
1	74326907	76728134	736	40	0.0002198159	0.000000026477
1	76728135	79661197	963	40	0.0001725167	0.000000029398
1	79661198	81354190	479	40	0.0000233057	0.000000018228
1	81354191	83991747	979	40	0.0000584241	0.000000027087
1	83991748	84844494	317	36	0.0000600780	0.000000011733
1	84844495	86454750	656	40	0.0001348698	0.000000027218
1	86454751	88128630	578	40	0.0001578785	0.000000024753
1	88128631	90066302	527	40	0.0000856893	0.000000021154
1	90066303	91886316	568	40	0.0001988649	0.000000024538
1	91886317	93536458	517	40	0.0000570834	0.000000017924
1	93536459	94506190	258	27	0.0000744923	0.000000009661
1	94506191	96150892	654	40	0.0000286798	0.000000025383
1	96150893	97885248	611	40	0.0000402375	0.000000019714
1	97885249	99800603	645	40	0.0000785913	0.000000023044
1	99800604	100826404	340	37	0.0000304529	0.000000011495
1	100826405	102041015	454	40	0.0000466165	0.000000017038
1	102041016	102898744	282	37	0.0000366392	0.000000010591
1	102898745	103914210	202	21	0.0000057304	0.000000006532
1	103914211	106087841	464	40	0.0000152767	0.000000017079
1	106087842	108409664	728	40	0.0001277137	0.000000028491
1	108409665	110303930	578	40	0.0000033500	0.000000020374
1	110303931	111741736	573	40	0.0000930610	0.000000026424
1	111741737	113273305	726	40	0.0002204311	0.000000030369
1	113273306	114873844	516	40	0.0000361803	0.000000020621
1	114873845	115880592	348	37	0.0001571186	0.000000014825
1	115880593	118839066	845	40	0.0001953731	0.000000029861
1	118839067	144977493	580	40	-0.0000094759	0.000000020010
1	144977494	148361252	436	40	0.0000734376	0.000000017684
1	148361253	151538880	354	34	0.0001452139	0.000000014739
1	151538881	153180828	479	40	0.0001216357	0.000000017570
1	153180829	154770402	464	40	0.0001754845	0.000000020474
1	154770403	156336132	307	38	0.0001632189	0.000000015309
1	156336133	158027411	600	40	0.0000236131	0.000000023342
1	158027412	159913047	692	40	-0.0000046274	0.000000025810
1	159913048	162346720	900	40	0.0001412945	0.000000028766
1	162346721	165191701	1203	40	-0.0000352076	0.000000025190
1	165191702	166460516	533	40	0.0000841801	0.000000023836
1	166460517	169086323	1119	40	-0.0000222430	0.000000025453
1	169086324	170557775	573	40	0.0001359901	0.000000020558
1	170557776	173097906	915	40	0.0002406086	0.000000030778
1	173097907	175089767	416	32	0.0000371006	0.000000010960
1	175089768	177433380	790	40	0.0001429788	0.000000028800
1	177433381	178944308	507	40	0.0000573924	0.000000018917
1	178944309	178954469	2	1	0.0000015362	0.000000000132
1	178954470	181144120	756	40	0.0000251579	0.000000026046
1	181144121	182755355	603	40	0.0002140272	0.000000028507
1	182755356	184595512	633	40	0.0000556200	0.000000022266
1	184595513	186810022	525	40	-0.0000043985	0.000000017512
1	186810023	188759944	625	40	-0.0000456773	0.000000020320
1	188759945	189904129	223	19	0.0000250339	0.000000006717
1	189904130	191868929	548	40	0.0000832398	0.000000017571
1	191868930	194107441	592	40	0.0001316954	0.000000022658
1	194107442	196176200	591	40	0.0001511025	0.000000021332
1	196176201	197311513	200	16	0.0000204015	0.000000005959
1	197311514	199239883	518	40	0.0001335867	0.000000020978
1	199239884	200137648	306	36	0.0000208276	0.000000011558
1	200137649	201589974	710	40	-0.0000058510	0.000000025785
1	201589975	203334733	619	40	0.0000324647	0.000000026141
1	203334734	204681067	490	40	0.0000724746	0.000000020887
1	204681068	206073264	576	40	0.0001589589	0.000000026344
1	206073265	208410363	632	40	0.0000213763	0.000000026337
1	208410364	210787749	945	40	0.0000946624	0.000000027821
1	210787750	212842329	705	40	0.0000411176	0.000000026737
1	212842330	214578265	622	40	0.0001958689	0.000000029241
1	214578266	216243633	596	40	0.0000890168	0.000000024300
1	216243634	218705512	1093	40	0.0000714827	0.000000027352
1	218705513	219590570	288	35	0.0000269764	0.000000010910
1	219590571	221858230	699	40	0.0002092003	0.000000029931
1	221858231	222230219	178	21	0.0000755816	0.000000009067
1	222230220	224938519	517	40	0.0000616233	0.000000020719
1	224938520	226810859	522	40	0.0001449447	0.000000022196
1	226810860	229156247	710	40	0.0000622300	0.000000025852
1	229156248	230685254	544	40	0.0001367137	0.000000025213
