chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	102	14	0.0000072576	0.000000049545
1	1892607	3582735	438	14	0.0003055959	0.000000268858
1	3582736	4380810	274	14	0.0006503119	0.000000186061
1	4380811	5913892	876	14	0.0000916728	0.000000343134
1	5913893	7247334	430	14	0.0000898174	0.000000227425
1	7247335	9365198	706	14	-0.0000280957	0.000000334953
1	9365199	10806983	355	14	0.0000524611	0.000000163077
1	10806984	11777840	261	14	-0.0000140297	0.000000131983
1	11777841	12779465	290	14	0.0001020490	0.000000160377
1	12779466	14891510	619	14	0.0001269595	0.000000345544
1	14891511	16897729	692	14	-0.0000065793	0.000000336423
1	16897730	18662898	671	14	-0.0000627168	0.000000332589
1	18662899	20469148	723	14	-0.0000490790	0.000000333520
1	20469149	21736587	462	14	0.0000188368	0.000000230500
1	21736588	23086882	525	14	0.0003456872	0.000000316378
1	23086883	23920589	222	14	0.0001678440	0.000000116442
1	23920590	25516844	526	14	0.0000998557	0.000000297352
1	25516845	27401866	415	14	0.0002967782	0.000000195920
1	27401867	30161880	556	14	0.0001981137	0.000000268163
1	30161881	32438684	937	14	0.0002070204	0.000000351012
1	32438685	34799757	678	14	0.0003260329	0.000000359140
1	34799758	37549182	554	14	0.0000280109	0.000000276639
1	37549183	38731846	373	14	0.0002445432	0.000000194445
1	38731847	40200566	447	14	0.0001971468	0.000000233278
1	40200567	41975326	555	14	0.0002250487	0.000000270731
1	41975327	43758456	549	14	-0.0001309677	0.000000234082
1	43758457	44969182	372	14	0.0000672881	0.000000158699
1	44969183	46899500	460	14	0.0003157639	0.000000176831
1	46899501	48002575	299	14	0.0001149521	0.000000132191
1	48002576	48978187	345	14	0.0002157070	0.000000186329
1	48978188	49894176	248	14	-0.0000301450	0.000000116574
1	49894177	51713725	260	14	0.0003944836	0.000000115901
1	51713726	54226261	565	14	0.0000756683	0.000000283631
1	54226262	56413116	841	14	0.0001921653	0.000000349997
1	56413117	57021727	274	14	0.0002531542	0.000000131154
1	57021728	58865398	849	14	0.0001496780	0.000000347095
1	58865399	59890408	384	14	0.0000379749	0.000000172944
1	59890409	61922364	672	14	-0.0000019931	0.000000336736
1	61922365	63455088	542	14	-0.0000105163	0.000000274765
1	63455089	65041703	658	14	-0.0001082155	0.000000275623
1	65041704	66939403	654	14	0.0000679624	0.000000302023
1	66939404	68477894	691	14	0.0000267646	0.000000284815
1	68477895	69687615	389	14	0.0000723238	0.000000187609
1	69687616	71372469	524	14	0.0000088095	0.000000237040
1	71372470	71684404	84	10	0.0002255384	0.000000044159
1	71684405	74326906	561	14	-0.0000352012	0.000000206154
1	74326907	76728134	733	14	0.0000684618	0.000000284643
1	76728135	79661197	953	14	0.0000469432	0.000000340079
1	79661198	81354190	477	14	-0.0000053344	0.000000218827
1	81354191	83991747	978	14	0.0000583815	0.000000340860
1	83991748	84844494	316	14	0.0002968625	0.000000142507
1	84844495	86454750	655	14	-0.0000667830	0.000000311264
1	86454751	88128630	575	14	0.0003503902	0.000000296334
1	88128631	90066302	525	14	0.0002358397	0.000000258273
1	90066303	91886316	565	14	0.0004404664	0.000000287591
1	91886317	93536458	514	14	0.0000430855	0.000000207230
1	93536459	94506190	257	14	0.0001155401	0.000000102156
1	94506191	96150892	655	14	0.0002450847	0.000000337193
1	96150893	97885248	608	14	-0.0000938813	0.000000227174
1	97885249	99800603	644	14	0.0001487147	0.000000281862
1	99800604	100826404	341	14	0.0001682844	0.000000141007
1	100826405	102041015	450	14	0.0002629191	0.000000214408
1	102041016	102898744	280	14	0.0000253627	0.000000117735
1	102898745	103914210	204	14	0.0000145257	0.000000075457
1	103914211	106087841	460	14	0.0003435720	0.000000229007
1	106087842	108409664	728	14	0.0001810254	0.000000349236
1	108409665	110303930	572	14	0.0000413426	0.000000255299
1	110303931	111741736	573	14	-0.0000286047	0.000000313095
1	111741737	113273305	721	14	0.0001033621	0.000000343932
1	113273306	114873844	512	14	-0.0000668441	0.000000242086
1	114873845	115880592	349	14	0.0001329681	0.000000147827
1	115880593	118839066	842	14	0.0000750769	0.000000342000
1	118839067	144977493	572	14	-0.0000753315	0.000000248103
1	144977494	148361252	434	14	0.0001256599	0.000000205809
1	148361253	151538880	352	14	0.0001566635	0.000000150748
1	151538881	153180828	476	14	0.0002493501	0.000000200282
1	153180829	154770402	462	14	0.0000159807	0.000000208918
1	154770403	156336132	307	14	0.0002117346	0.000000157779
1	156336133	158027411	599	14	0.0001693309	0.000000302844
1	158027412	159913047	692	14	0.0009346497	0.000000400709
1	159913048	162346720	889	14	0.0000633126	0.000000341197
1	162346721	165191701	1198	14	0.0000642339	0.000000341260
1	165191702	166460516	534	14	0.0000934659	0.000000288603
1	166460517	169086323	1118	14	-0.0000237569	0.000000335250
1	169086324	170557775	566	14	0.0001574661	0.000000228445
1	170557776	173097906	915	14	0.0002748072	0.000000355642
1	173097907	175089767	414	14	0.0003426178	0.000000142996
1	175089768	177433380	787	14	0.0001614103	0.000000347897
1	177433381	178944308	502	14	0.0000213231	0.000000219210
1	178944309	178954469	2	1	0.0000245886	0.000000002761
1	178954470	181144120	754	14	-0.0000579480	0.000000327425
1	181144121	182755355	602	14	-0.0000778961	0.000000306645
1	182755356	184595512	633	14	0.0000561749	0.000000271837
1	184595513	186810022	523	14	0.0000415747	0.000000219159
1	186810023	188759944	622	14	0.0001188734	0.000000276848
1	188759945	189904129	224	14	0.0001525950	0.000000081666
1	189904130	191868929	541	14	0.0003149373	0.000000214440
1	191868930	194107441	587	14	0.0001600249	0.000000261164
1	194107442	196176200	585	14	-0.0000137272	0.000000224696
1	196176201	197311513	198	14	0.0002241296	0.000000077326
1	197311514	199239883	513	14	0.0000913214	0.000000233262
1	199239884	200137648	306	14	0.0001983299	0.000000145654
1	200137649	201589974	713	14	0.0000765378	0.000000342100
1	201589975	203334733	615	14	0.0000893868	0.000000333576
1	203334734	204681067	486	14	0.0001212007	0.000000249029
1	204681068	206073264	578	14	0.0004122428	0.000000323960
1	206073265	208410363	638	14	0.0006154271	0.000000378906
1	208410364	210787749	943	14	0.0000817766	0.000000342458
