chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	96	17	0.0000269902	0.0000000185
1	1892607	3582735	434	40	0.0001603019	0.0000000589
1	3582736	4380810	271	40	-0.0000969868	0.0000000392
1	4380811	5913892	867	40	-0.0000239727	0.0000000653
1	5913893	7247334	428	40	-0.0000487474	0.0000000482
1	7247335	9365198	699	40	0.0000170654	0.0000000690
1	9365199	10806983	351	40	-0.0001533616	0.0000000373
1	10806984	11777840	257	40	0.0002512681	0.0000000340
1	11777841	12779465	281	40	0.0002351349	0.0000000410
1	12779466	14891510	617	40	-0.0002661884	0.0000000736
1	14891511	16897729	688	40	-0.0000279769	0.0000000668
1	16897730	18662898	661	40	-0.0003044133	0.0000000718
1	18662899	20469148	711	40	-0.0000107396	0.0000000690
1	20469149	21736587	461	40	-0.0003333013	0.0000000516
1	21736588	23086882	523	40	0.0001359967	0.0000000642
1	23086883	23920589	222	28	0.0002888086	0.0000000312
1	23920590	25516844	520	40	-0.0002612915	0.0000000634
1	25516845	27401866	413	40	-0.0001962290	0.0000000427
1	27401867	30161880	550	40	-0.0000321971	0.0000000555
1	30161881	32438684	934	40	-0.0001295588	0.0000000722
1	32438685	34799757	675	40	-0.0004128158	0.0000000680
1	34799758	37549182	549	40	-0.0001941017	0.0000000563
1	37549183	38731846	370	40	-0.0002841556	0.0000000471
1	38731847	40200566	447	40	-0.0000324616	0.0000000605
1	40200567	41975326	555	40	0.0002114431	0.0000000575
1	41975327	43758456	542	40	0.0001177556	0.0000000515
1	43758457	44969182	371	35	0.0001941343	0.0000000390
1	44969183	46899500	458	38	0.0001205367	0.0000000368
1	46899501	48002575	297	33	-0.0003123709	0.0000000473
1	48002576	48978187	344	40	-0.0001709480	0.0000000395
1	48978188	49894176	247	28	0.0001556812	0.0000000303
1	49894177	51713725	259	25	-0.0000059440	0.0000000269
1	51713726	54226261	562	40	0.0000780587	0.0000000572
1	54226262	56413116	837	40	-0.0005565443	0.0000000739
1	56413117	57021727	271	31	-0.0002229291	0.0000000278
1	57021728	58865398	847	40	0.0000244585	0.0000000701
1	58865399	59890408	383	40	-0.0001201988	0.0000000420
1	59890409	61922364	671	40	0.0000778554	0.0000000657
1	61922365	63455088	533	40	-0.0002200458	0.0000000646
1	63455089	65041703	656	40	0.0000537697	0.0000000562
1	65041704	66939403	649	40	0.0001420349	0.0000000623
1	66939404	68477894	687	40	-0.0000414641	0.0000000574
1	68477895	69687615	389	40	-0.0002772375	0.0000000393
1	69687616	71372469	520	40	0.0001212597	0.0000000476
1	71372470	71684404	82	10	0.0001293200	0.0000000079
1	71684405	74326906	559	40	-0.0000262082	0.0000000471
1	74326907	76728134	727	40	-0.0000044991	0.0000000547
1	76728135	79661197	946	40	0.0002123489	0.0000000634
1	79661198	81354190	475	40	0.0003665067	0.0000000497
1	81354191	83991747	973	40	-0.0001036441	0.0000000683
1	83991748	84844494	314	35	-0.0001765393	0.0000000305
1	84844495	86454750	652	40	-0.0000326197	0.0000000693
1	86454751	88128630	571	40	0.0001213067	0.0000000609
1	88128631	90066302	523	40	0.0000405870	0.0000000535
1	90066303	91886316	559	40	-0.0000602307	0.0000000596
1	91886317	93536458	509	40	0.0002062154	0.0000000450
1	93536459	94506190	255	26	-0.0000910809	0.0000000230
1	94506191	96150892	651	40	-0.0001158705	0.0000000656
1	96150893	97885248	605	40	0.0000254459	0.0000000521
1	97885249	99800603	640	40	-0.0000994468	0.0000000573
1	99800604	100826404	339	37	0.0001180555	0.0000000296
1	100826405	102041015	447	40	0.0000533274	0.0000000418
1	102041016	102898744	278	36	0.0001275041	0.0000000313
1	102898745	103914210	200	21	-0.0000622378	0.0000000169
1	103914211	106087841	455	40	-0.0002589441	0.0000000423
1	106087842	108409664	725	40	0.0000518882	0.0000000643
1	108409665	110303930	564	40	-0.0000723205	0.0000000625
1	110303931	111741736	571	40	-0.0000499566	0.0000000672
1	111741737	113273305	721	40	-0.0002335943	0.0000000669
1	113273306	114873844	511	40	-0.0000615274	0.0000000538
1	114873845	115880592	345	37	0.0003627254	0.0000000368
1	115880593	118839066	836	40	0.0003373302	0.0000000690
1	118839067	144977493	567	40	0.0001662281	0.0000000542
1	144977494	148361252	432	40	-0.0000331633	0.0000000460
1	148361253	151538880	349	34	-0.0002622027	0.0000000351
1	151538881	153180828	468	40	0.0001507599	0.0000000399
1	153180829	154770402	457	40	0.0001305276	0.0000000484
1	154770403	156336132	307	38	0.0000298009	0.0000000369
1	156336133	158027411	597	40	0.0002742797	0.0000000611
1	158027412	159913047	683	40	-0.0001828542	0.0000000715
1	159913048	162346720	874	40	-0.0001874157	0.0000000695
1	162346721	165191701	1195	40	0.0000662730	0.0000000706
1	165191702	166460516	533	40	-0.0000874986	0.0000000616
1	166460517	169086323	1106	40	-0.0002477614	0.0000000683
1	169086324	170557775	559	40	0.0001371565	0.0000000512
1	170557776	173097906	902	40	-0.0003370745	0.0000000681
1	173097907	175089767	412	32	0.0001206695	0.0000000281
1	175089768	177433380	783	40	0.0003018773	0.0000000668
1	177433381	178944308	492	40	0.0001016325	0.0000000507
1	178944309	178954469	2	1	0.0000429076	0.0000000052
1	178954470	181144120	750	40	-0.0000038235	0.0000000642
1	181144121	182755355	600	40	0.0000339911	0.0000000630
1	182755356	184595512	630	40	-0.0001575702	0.0000000625
1	184595513	186810022	524	40	0.0000858391	0.0000000502
1	186810023	188759944	619	40	0.0002039154	0.0000000612
1	188759945	189904129	219	17	-0.0000587895	0.0000000175
1	189904130	191868929	538	40	-0.0000364944	0.0000000432
1	191868930	194107441	583	40	0.0001906354	0.0000000517
1	194107442	196176200	580	40	-0.0001216449	0.0000000447
1	196176201	197311513	196	16	-0.0000809978	0.0000000155
1	197311514	199239883	504	40	0.0002839514	0.0000000496
1	199239884	200137648	301	36	0.0003005748	0.0000000317
1	200137649	201589974	710	40	-0.0003029870	0.0000000705
1	201589975	203334733	615	40	0.0002345056	0.0000000706
1	203334734	204681067	484	40	0.0000031644	0.0000000494
1	204681068	206073264	577	40	-0.0000532216	0.0000000727
1	206073265	208410363	634	40	0.0002784822	0.0000000693
1	208410364	210787749	930	40	0.0002183096	0.0000000750
1	210787750	212842329	698	40	-0.0002474562	0.0000000718
1	212842330	214578265	613	40	0.0000414074	0.0000000674
1	214578266	216243633	593	40	0.0000824480	0.0000000583
1	216243634	218705512	1084	40	-0.0000253548	0.0000000676
1	218705513	219590570	282	34	0.0001270739	0.0000000320
1	219590571	221858230	690	40	-0.0000303836	0.0000000702
1	221858231	222230219	174	21	0.0002218958	0.0000000223
1	222230220	224938519	463	40	-0.0000332277	0.0000000515
1	224938520	226810859	519	40	0.0000553746	0.0000000505
1	226810860	229156247	695	40	-0.0004357959	0.0000000624
1	229156248	230685254	530	40	-0.0002294106	0.0000000595
1	230685255	232090251	589	40	-0.0001209057	0.0000000644
1	232090252	233429283	607	40	-0.0001457596	0.0000000738
1	233429284	234599433	536	40	0.0000445009	0.0000000633
1	234599434	235819435	384	40	-0.0000565843	0.0000000473
1	235819436	237555627	729	40	-0.0000562309	0.0000000659
1	237555628	238567806	428	40	-0.0000147831	0.0000000463
1	238567807	239925313	490	40	-0.0000514966	0.0000000555
1	239925314	240564090	342	40	0.0000425412	0.0000000405
1	240564091	241582219	515	40	-0.0002976142	0.0000000752
1	241582220	242071601	220	38	-0.0000543814	0.0000000246
1	242071602	244109498	622	40	-0.0002887781	0.0000000691
1	244109499	245506745	517	40	-0.0002536431	0.0000000647
1	245506746	247344517	709	40	-0.0001901961	0.0000000691
1	247344518	249239465	399	40	-0.0000656990	0.0000000475
2	10133	1781021	662	40	-0.0001141447	0.0000000685
2	1781022	3973778	967	40	0.0001036588	0.0000000670
2	3973779	5708336	631	40	-0.0000235654	0.0000000685
2	5708337	6836253	565	40	0.0000190108	0.0000000549
2	6836254	8422146	654	40	-0.0000388142	0.0000000663
2	8422147	10298468	673	40	-0.0000183020	0.0000000671
2	10298469	12419149	973	40	-0.0003834535	0.0000000697
2	12419150	14335307	594	40	-0.0001467762	0.0000000609
2	14335308	16329734	746	40	0.0000225041	0.0000000656
2	16329735	18647422	859	40	0.0001268625	0.0000000682
