chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	102	20	0.0001315543	0.000000008046
1	1892607	3582735	440	40	0.0003934176	0.000000032616
1	3582736	4380810	276	40	0.0002116207	0.000000019031
1	4380811	5913892	870	40	0.0000650083	0.000000032589
1	5913893	7247334	430	40	0.0002476077	0.000000026939
1	7247335	9365198	699	40	0.0003957674	0.000000039910
1	9365199	10806983	353	40	0.0002234804	0.000000020783
1	10806984	11777840	259	40	0.0001807625	0.000000017360
1	11777841	12779465	284	40	0.0000937456	0.000000017176
1	12779466	14891510	618	40	0.0000805621	0.000000032933
1	14891511	16897729	691	40	0.0001717194	0.000000034951
1	16897730	18662898	668	40	0.0001674455	0.000000034856
1	18662899	20469148	716	40	0.0001419292	0.000000034291
1	20469149	21736587	461	40	0.0002563694	0.000000027761
1	21736588	23086882	524	40	0.0001462954	0.000000030760
1	23086883	23920589	222	28	0.0000601794	0.000000012049
1	23920590	25516844	523	40	0.0000553789	0.000000028369
1	25516845	27401866	414	40	0.0000247886	0.000000017831
1	27401867	30161880	552	40	0.0000204009	0.000000024500
1	30161881	32438684	931	40	0.0001139953	0.000000033673
1	32438685	34799757	675	40	0.0000963778	0.000000033283
1	34799758	37549182	552	40	0.0000263102	0.000000026524
1	37549183	38731846	373	40	0.0002080005	0.000000022122
1	38731847	40200566	446	40	0.0003246004	0.000000028451
1	40200567	41975326	554	40	0.0001251350	0.000000027129
1	41975327	43758456	544	40	0.0001571032	0.000000026575
1	43758457	44969182	371	35	0.0003816411	0.000000023773
1	44969183	46899500	457	38	0.0000723396	0.000000017015
1	46899501	48002575	296	33	0.0001456596	0.000000015597
1	48002576	48978187	344	40	0.0000486918	0.000000017985
1	48978188	49894176	247	28	0.0000320648	0.000000012723
1	49894177	51713725	260	25	0.0000674325	0.000000010672
1	51713726	54226261	563	40	0.0002216665	0.000000031223
1	54226262	56413116	838	40	0.0001302487	0.000000034033
1	56413117	57021727	271	31	0.0001025497	0.000000013660
1	57021728	58865398	850	40	0.0002016589	0.000000035613
1	58865399	59890408	382	40	0.0004208862	0.000000026008
1	59890409	61922364	671	40	0.0002288108	0.000000036214
1	61922365	63455088	534	40	0.0001697621	0.000000029442
1	63455089	65041703	657	40	-0.0000700953	0.000000025088
1	65041704	66939403	650	40	0.0003884394	0.000000036370
1	66939404	68477894	685	40	0.0002935079	0.000000032938
1	68477895	69687615	388	40	0.0000716824	0.000000019489
1	69687616	71372469	519	40	0.0000691128	0.000000024003
1	71372470	71684404	82	10	0.0000849740	0.000000004893
1	71684405	74326906	558	40	0.0002935766	0.000000026762
1	74326907	76728134	726	40	0.0003756813	0.000000034691
1	76728135	79661197	948	40	0.0001004632	0.000000033373
1	79661198	81354190	475	40	0.0001251597	0.000000023922
1	81354191	83991747	972	40	0.0002463404	0.000000036602
1	83991748	84844494	314	35	0.0002535720	0.000000017913
1	84844495	86454750	652	40	0.0000592223	0.000000030613
1	86454751	88128630	570	40	0.0001207060	0.000000028358
1	88128631	90066302	522	40	0.0001065801	0.000000025522
1	90066303	91886316	562	40	0.0002610076	0.000000030258
1	91886317	93536458	509	40	0.0000611354	0.000000021130
1	93536459	94506190	255	26	0.0000660288	0.000000011132
1	94506191	96150892	650	40	0.0000451643	0.000000030620
1	96150893	97885248	603	40	0.0004293787	0.000000031960
1	97885249	99800603	641	40	0.0004480835	0.000000035532
1	99800604	100826404	339	37	0.0001291755	0.000000015913
1	100826405	102041015	447	40	-0.0000266829	0.000000018441
1	102041016	102898744	277	36	0.0003839895	0.000000020169
1	102898745	103914210	201	21	-0.0000271246	0.000000007058
1	103914211	106087841	455	40	0.0001940307	0.000000024314
1	106087842	108409664	727	40	0.0002008012	0.000000035594
1	108409665	110303930	565	40	0.0000890800	0.000000025702
1	110303931	111741736	572	40	0.0000829763	0.000000031202
1	111741737	113273305	720	40	0.0001527928	0.000000034532
1	113273306	114873844	511	40	0.0000420263	0.000000024474
1	114873845	115880592	345	37	0.0000383160	0.000000014715
1	115880593	118839066	838	40	0.0000649072	0.000000032586
1	118839067	144977493	565	40	0.0000488185	0.000000025191
1	144977494	148361252	432	40	0.0004659913	0.000000029566
1	148361253	151538880	349	34	0.0004703515	0.000000024425
1	151538881	153180828	468	40	0.0000913418	0.000000019860
1	153180829	154770402	459	40	0.0002644344	0.000000025931
1	154770403	156336132	307	38	0.0001584616	0.000000017859
1	156336133	158027411	598	40	0.0000914401	0.000000029420
1	158027412	159913047	685	40	0.0000543531	0.000000032353
1	159913048	162346720	876	40	0.0002134422	0.000000035874
1	162346721	165191701	1195	40	0.0001463472	0.000000034389
1	165191702	166460516	531	40	0.0008708752	0.000000045767
1	166460517	169086323	1107	40	0.0002243851	0.000000036116
1	169086324	170557775	560	40	0.0001455777	0.000000024184
1	170557776	173097906	902	40	0.0000699118	0.000000032697
1	173097907	175089767	411	32	0.0001781903	0.000000016005
1	175089768	177433380	784	40	0.0002080215	0.000000035754
1	177433381	178944308	492	40	0.0004616249	0.000000031037
1	178944309	178954469	2	1	-0.0000026787	0.000000000062
1	178954470	181144120	751	40	0.0003348954	0.000000038051
1	181144121	182755355	599	40	0.0000721097	0.000000030644
1	182755356	184595512	630	40	0.0001849086	0.000000029524
1	184595513	186810022	523	40	0.0001225263	0.000000023675
1	186810023	188759944	619	40	0.0003442870	0.000000032921
1	188759945	189904129	220	18	-0.0000148744	0.000000007083
1	189904130	191868929	538	40	0.0003502707	0.000000026636
1	191868930	194107441	583	40	0.0001921966	0.000000028170
1	194107442	196176200	580	40	0.0001501109	0.000000025038
1	196176201	197311513	197	16	-0.0000118333	0.000000006234
1	197311514	199239883	504	40	0.0000916753	0.000000023873
1	199239884	200137648	301	36	0.0002863406	0.000000019563
1	200137649	201589974	709	40	0.0000662152	0.000000032615
1	201589975	203334733	614	40	0.0001814838	0.000000034337
1	203334734	204681067	485	40	0.0001732107	0.000000026931
1	204681068	206073264	578	40	0.0002584261	0.000000033494
1	206073265	208410363	632	40	0.0001185631	0.000000033774
1	208410364	210787749	931	40	0.0000459676	0.000000032167
1	210787750	212842329	698	40	-0.0000304536	0.000000030476
1	212842330	214578265	614	40	0.0001318836	0.000000033048
