chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	97	18	-0.0000160014	0.0000000213
1	1892607	3582735	438	40	-0.0000238120	0.0000000651
1	3582736	4380810	273	40	-0.0000148734	0.0000000381
1	4380811	5913892	869	40	-0.0001967978	0.0000000703
1	5913893	7247334	430	40	0.0000255210	0.0000000496
1	7247335	9365198	700	40	-0.0001317790	0.0000000737
1	9365199	10806983	352	40	-0.0000861386	0.0000000407
1	10806984	11777840	258	40	-0.0001296482	0.0000000305
1	11777841	12779465	283	40	0.0003069709	0.0000000376
1	12779466	14891510	618	40	-0.0000028163	0.0000000776
1	14891511	16897729	691	40	0.0002741414	0.0000000752
1	16897730	18662898	666	40	-0.0002873580	0.0000000789
1	18662899	20469148	717	40	-0.0002191797	0.0000000743
1	20469149	21736587	461	40	0.0000444346	0.0000000540
1	21736588	23086882	523	40	0.0001286550	0.0000000635
1	23086883	23920589	223	28	0.0003450983	0.0000000258
1	23920590	25516844	521	40	-0.0001045416	0.0000000641
1	25516845	27401866	413	40	0.0001080951	0.0000000420
1	27401867	30161880	553	40	-0.0001044464	0.0000000548
1	30161881	32438684	935	40	-0.0002042798	0.0000000715
1	32438685	34799757	676	40	-0.0000771304	0.0000000710
1	34799758	37549182	552	40	0.0002712038	0.0000000611
1	37549183	38731846	374	40	-0.0000672749	0.0000000434
1	38731847	40200566	447	40	-0.0000724547	0.0000000563
1	40200567	41975326	557	40	0.0000776474	0.0000000636
1	41975327	43758456	543	40	0.0000077280	0.0000000569
1	43758457	44969182	371	35	-0.0002250204	0.0000000371
1	44969183	46899500	458	38	-0.0005173893	0.0000000456
1	46899501	48002575	298	33	-0.0001283580	0.0000000274
1	48002576	48978187	344	40	0.0000174196	0.0000000371
1	48978188	49894176	247	28	0.0000299508	0.0000000266
1	49894177	51713725	260	25	-0.0001920325	0.0000000206
1	51713726	54226261	563	40	0.0002135576	0.0000000662
1	54226262	56413116	838	40	0.0001925950	0.0000000712
1	56413117	57021727	271	31	0.0000596959	0.0000000341
1	57021728	58865398	847	40	0.0001036872	0.0000000691
1	58865399	59890408	383	40	0.0003826751	0.0000000426
1	59890409	61922364	672	40	-0.0001466025	0.0000000689
1	61922365	63455088	533	40	0.0000318860	0.0000000602
1	63455089	65041703	659	40	-0.0002174707	0.0000000581
1	65041704	66939403	650	40	0.0001422090	0.0000000642
1	66939404	68477894	687	40	-0.0001031459	0.0000000607
1	68477895	69687615	388	40	-0.0000911403	0.0000000418
1	69687616	71372469	520	40	-0.0000481590	0.0000000523
1	71372470	71684404	82	10	-0.0001051432	0.0000000090
1	71684405	74326906	559	40	-0.0002337142	0.0000000469
1	74326907	76728134	728	40	0.0001971930	0.0000000577
1	76728135	79661197	947	40	-0.0000429875	0.0000000662
1	79661198	81354190	475	40	-0.0001524987	0.0000000529
1	81354191	83991747	973	40	0.0002326565	0.0000000717
1	83991748	84844494	314	35	0.0001106361	0.0000000309
1	84844495	86454750	652	40	0.0002089943	0.0000000647
1	86454751	88128630	572	40	-0.0000210066	0.0000000605
1	88128631	90066302	523	40	0.0002108468	0.0000000559
1	90066303	91886316	559	40	-0.0000891603	0.0000000605
1	91886317	93536458	509	40	0.0001316002	0.0000000503
1	93536459	94506190	255	26	0.0000831814	0.0000000250
1	94506191	96150892	651	40	-0.0000546901	0.0000000697
1	96150893	97885248	606	40	0.0002264103	0.0000000546
1	97885249	99800603	643	40	0.0001237119	0.0000000605
1	99800604	100826404	339	37	-0.0000280304	0.0000000332
1	100826405	102041015	447	40	-0.0001647893	0.0000000429
1	102041016	102898744	279	37	-0.0000339425	0.0000000351
1	102898745	103914210	200	21	-0.0000032214	0.0000000237
1	103914211	106087841	455	40	0.0001158311	0.0000000444
1	106087842	108409664	728	40	0.0000071590	0.0000000688
1	108409665	110303930	566	40	-0.0001422655	0.0000000677
1	110303931	111741736	572	40	-0.0001371961	0.0000000683
1	111741737	113273305	721	40	0.0000139590	0.0000000721
1	113273306	114873844	512	40	-0.0000142796	0.0000000531
1	114873845	115880592	345	37	-0.0000443001	0.0000000326
1	115880593	118839066	837	40	0.0004334413	0.0000000744
1	118839067	144977493	568	40	0.0000924744	0.0000000578
1	144977494	148361252	432	40	-0.0000883850	0.0000000408
1	148361253	151538880	350	34	0.0001269572	0.0000000389
1	151538881	153180828	468	40	0.0000550846	0.0000000431
1	153180829	154770402	460	40	0.0001865620	0.0000000536
1	154770403	156336132	307	38	0.0003787196	0.0000000416
1	156336133	158027411	597	40	-0.0001901110	0.0000000672
1	158027412	159913047	684	40	-0.0000554042	0.0000000773
1	159913048	162346720	876	40	0.0000399213	0.0000000764
1	162346721	165191701	1198	40	0.0001137479	0.0000000721
1	165191702	166460516	533	40	0.0000553818	0.0000000561
1	166460517	169086323	1106	40	0.0001633473	0.0000000695
1	169086324	170557775	560	40	-0.0000249858	0.0000000471
1	170557776	173097906	902	40	-0.0001674984	0.0000000794
1	173097907	175089767	412	32	-0.0000478238	0.0000000279
1	175089768	177433380	785	40	-0.0001043082	0.0000000735
1	177433381	178944308	492	40	-0.0002198101	0.0000000457
1	178944309	178954469	2	1	0.0000019808	-0.0000000000
1	178954470	181144120	751	40	0.0001990741	0.0000000688
1	181144121	182755355	601	40	-0.0001417940	0.0000000693
1	182755356	184595512	630	40	0.0000887153	0.0000000587
1	184595513	186810022	525	40	-0.0002171983	0.0000000517
1	186810023	188759944	620	40	0.0000526506	0.0000000571
1	188759945	189904129	219	17	-0.0000762457	0.0000000156
1	189904130	191868929	538	40	0.0000593882	0.0000000453
1	191868930	194107441	584	40	0.0001733105	0.0000000566
1	194107442	196176200	581	40	0.0001095194	0.0000000483
1	196176201	197311513	196	16	-0.0000233885	0.0000000162
1	197311514	199239883	504	40	0.0001795750	0.0000000522
1	199239884	200137648	301	36	-0.0000913079	0.0000000345
1	200137649	201589974	710	40	0.0000483300	0.0000000720
1	201589975	203334733	618	40	0.0003830427	0.0000000814
1	203334734	204681067	485	40	-0.0002559328	0.0000000568
1	204681068	206073264	577	40	0.0001021151	0.0000000705
1	206073265	208410363	634	40	-0.0000835420	0.0000000737
1	208410364	210787749	932	40	0.0001947250	0.0000000710
1	210787750	212842329	698	40	0.0000375377	0.0000000740
1	212842330	214578265	612	40	0.0000587936	0.0000000814
1	214578266	216243633	593	40	0.0001471148	0.0000000649
1	216243634	218705512	1085	40	-0.0004162302	0.0000000711
1	218705513	219590570	282	34	0.0000676558	0.0000000272
1	219590571	221858230	690	40	-0.0000233924	0.0000000688
1	221858231	222230219	174	21	0.0000046616	0.0000000192
1	222230220	224938519	467	40	0.0000055910	0.0000000517
1	224938520	226810859	520	40	0.0001071215	0.0000000542
1	226810860	229156247	695	40	-0.0001443070	0.0000000690
1	229156248	230685254	530	40	0.0000245770	0.0000000683
1	230685255	232090251	589	40	-0.0001283388	0.0000000710
1	232090252	233429283	607	40	-0.0000819860	0.0000000759
1	233429284	234599433	536	40	0.0001103390	0.0000000619
1	234599434	235819435	385	40	0.0000518748	0.0000000488
1	235819436	237555627	734	40	0.0000624981	0.0000000727
1	237555628	238567806	430	40	-0.0001378862	0.0000000495
1	238567807	239925313	491	40	-0.0000714840	0.0000000544
1	239925314	240564090	343	40	0.0000972717	0.0000000404
1	240564091	241582219	519	40	-0.0001892869	0.0000000740
1	241582220	242071601	220	38	-0.0000667851	0.0000000328
1	242071602	244109498	622	40	0.0002809802	0.0000000675
1	244109499	245506745	519	40	0.0000486904	0.0000000721
1	245506746	247344517	711	40	-0.0001421208	0.0000000729
1	247344518	249239465	400	40	-0.0002249332	0.0000000477
2	10133	1781021	664	40	-0.0002341775	0.0000000716
2	1781022	3973778	968	40	-0.0003051797	0.0000000726
2	3973779	5708336	632	40	-0.0001044735	0.0000000711
2	5708337	6836253	567	40	-0.0000452527	0.0000000638
2	6836254	8422146	655	40	0.0001197357	0.0000000731
2	8422147	10298468	674	40	0.0000421701	0.0000000699
2	10298469	12419149	974	40	0.0001829208	0.0000000721
2	12419150	14335307	595	40	-0.0000707184	0.0000000634
2	14335308	16329734	748	40	0.0000768571	0.0000000654
2	16329735	18647422	861	40	-0.0001273699	0.0000000697
2	18647423	19692403	384	40	-0.0000025112	0.0000000412
