chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	105	19	-0.0000022354	0.000000001734
1	1892607	3582735	430	40	0.0000353863	0.000000008069
1	3582736	4380810	267	40	0.0000761339	0.000000005519
1	4380811	5913892	845	40	0.0000174732	0.000000010332
1	5913893	7247334	420	40	0.0000205452	0.000000007072
1	7247335	9365198	678	40	0.0000239349	0.000000010414
1	9365199	10806983	344	40	0.0000231672	0.000000005411
1	10806984	11777840	250	40	0.0000159473	0.000000004434
1	11777841	12779465	276	40	0.0000243342	0.000000005124
1	12779466	14891510	601	40	0.0000035566	0.000000010155
1	14891511	16897729	658	40	0.0000037357	0.000000010158
1	16897730	18662898	637	40	0.0000813983	0.000000011143
1	18662899	20469148	700	40	-0.0000121094	0.000000009957
1	20469149	21736587	445	40	0.0001315117	0.000000008701
1	21736588	23086882	502	40	0.0000375606	0.000000009047
1	23086883	23920589	219	28	0.0000385293	0.000000003976
1	23920590	25516844	510	40	-0.0000084751	0.000000008503
1	25516845	27401866	402	40	-0.0000026982	0.000000005466
1	27401867	30161880	536	40	0.0000594963	0.000000008374
1	30161881	32438684	891	40	-0.0000104404	0.000000009978
1	32438685	34799757	659	40	0.0000248911	0.000000010426
1	34799758	37549182	543	40	-0.0000138916	0.000000008192
1	37549183	38731846	364	40	0.0000322047	0.000000005989
1	38731847	40200566	436	40	0.0000186508	0.000000007028
1	40200567	41975326	539	40	0.0000630446	0.000000008541
1	41975327	43758456	521	40	0.0001394586	0.000000008943
1	43758457	44969182	359	35	0.0000695223	0.000000005777
1	44969183	46899500	446	38	0.0000052119	0.000000004982
1	46899501	48002575	290	33	0.0000461880	0.000000004656
1	48002576	48978187	331	40	0.0000072868	0.000000005432
1	48978188	49894176	243	28	-0.0000100985	0.000000003782
1	49894177	51713725	254	25	0.0000245814	0.000000003237
1	51713726	54226261	553	40	0.0000176521	0.000000008653
1	54226262	56413116	813	40	0.0000041597	0.000000010163
1	56413117	57021727	260	30	0.0000187959	0.000000003887
1	57021728	58865398	828	40	0.0001099134	0.000000011505
1	58865399	59890408	370	40	0.0000791581	0.000000006322
1	59890409	61922364	656	40	-0.0000524680	0.000000009444
1	61922365	63455088	517	40	0.0000471479	0.000000008723
1	63455089	65041703	636	40	0.0000110292	0.000000008609
1	65041704	66939403	636	40	-0.0000064081	0.000000008874
1	66939404	68477894	670	40	0.0000458729	0.000000009031
1	68477895	69687615	375	40	0.0000199915	0.000000005875
1	69687616	71372469	507	40	0.0000054505	0.000000007305
1	71372470	71684404	82	10	-0.0000036343	0.000000000955
1	71684405	74326906	543	40	0.0000158905	0.000000006751
1	74326907	76728134	714	40	0.0000363173	0.000000008950
1	76728135	79661197	925	40	0.0000207538	0.000000010374
1	79661198	81354190	453	40	0.0000404280	0.000000007143
1	81354191	83991747	943	40	0.0000071388	0.000000010201
1	83991748	84844494	306	35	0.0000312918	0.000000004387
1	84844495	86454750	633	40	-0.0000296242	0.000000008944
1	86454751	88128630	552	40	-0.0000023425	0.000000008075
1	88128631	90066302	509	40	0.0001234524	0.000000009003
1	90066303	91886316	549	40	0.0000057511	0.000000007935
1	91886317	93536458	493	40	-0.0000256671	0.000000006063
1	93536459	94506190	253	26	0.0000527657	0.000000003795
1	94506191	96150892	632	40	0.0000115720	0.000000009608
1	96150893	97885248	589	40	0.0000353031	0.000000007683
1	97885249	99800603	627	40	0.0000541628	0.000000008913
1	99800604	100826404	330	36	-0.0000133228	0.000000004023
1	100826405	102041015	438	40	0.0000184086	0.000000006399
1	102041016	102898744	271	36	0.0000347519	0.000000004210
1	102898745	103914210	198	21	0.0000317448	0.000000002886
1	103914211	106087841	444	40	0.0000498652	0.000000007020
1	106087842	108409664	717	40	0.0000632486	0.000000010913
1	108409665	110303930	556	40	0.0000643980	0.000000008477
1	110303931	111741736	557	40	0.0000964093	0.000000010543
1	111741737	113273305	704	40	-0.0000089819	0.000000009996
1	113273306	114873844	503	40	0.0000136550	0.000000007753
1	114873845	115880592	338	36	0.0000475978	0.000000005097
1	115880593	118839066	827	40	0.0000544630	0.000000010801
1	118839067	144977493	552	40	0.0000580135	0.000000008416
1	144977494	148361252	426	40	-0.0000103854	0.000000006135
1	148361253	151538880	347	34	0.0000239790	0.000000004918
1	151538881	153180828	463	40	0.0000446328	0.000000006389
1	153180829	154770402	445	40	0.0000132832	0.000000006576
1	154770403	156336132	302	38	0.0000108119	0.000000004792
1	156336133	158027411	595	40	-0.0000076718	0.000000008777
1	158027412	159913047	661	40	0.0000202922	0.000000010266
1	159913048	162346720	858	40	0.0000074155	0.000000010204
1	162346721	165191701	1176	40	0.0000381699	0.000000010595
1	165191702	166460516	519	40	0.0000759749	0.000000009392
1	166460517	169086323	1083	40	0.0000193335	0.000000010356
1	169086324	170557775	552	40	0.0000765707	0.000000007762
1	170557776	173097906	874	40	0.0000062540	0.000000010190
1	173097907	175089767	405	32	0.0000377611	0.000000004429
1	175089768	177433380	764	40	0.0000338734	0.000000010479
1	177433381	178944308	475	40	-0.0000212549	0.000000006441
1	178944309	178954469	2	1	-0.0000030559	0.000000000001
1	178954470	181144120	730	40	0.0000208534	0.000000010050
1	181144121	182755355	584	40	0.0001547113	0.000000011201
1	182755356	184595512	610	40	0.0000282275	0.000000008524
1	184595513	186810022	512	40	0.0000260487	0.000000007102
1	186810023	188759944	604	40	0.0000257701	0.000000008432
1	188759945	189904129	211	17	0.0000312921	0.000000002760
1	189904130	191868929	530	40	0.0000929969	0.000000007345
1	191868930	194107441	559	40	0.0001269759	0.000000009270
1	194107442	196176200	561	40	0.0000372435	0.000000007445
1	196176201	197311513	189	16	0.0000389329	0.000000002536
1	197311514	199239883	492	40	0.0000863059	0.000000008148
1	199239884	200137648	296	35	-0.0000261315	0.000000003941
1	200137649	201589974	687	40	0.0001167077	0.000000011591
1	201589975	203334733	599	40	0.0000191173	0.000000009927
1	203334734	204681067	476	40	0.0000338305	0.000000007867
1	204681068	206073264	565	40	0.0000619624	0.000000009640
1	206073265	208410363	608	40	0.0000487838	0.000000010445
1	208410364	210787749	900	40	0.0000369934	0.000000010580
1	210787750	212842329	680	40	0.0000625890	0.000000010905
1	212842330	214578265	603	40	0.0000338619	0.000000010053
1	214578266	216243633	579	40	0.0000938626	0.000000009802
1	216243634	218705512	1062	40	-0.0000028657	0.000000010074
1	218705513	219590570	275	33	0.0000126562	0.000000004111
1	219590571	221858230	676	40	0.0000002547	0.000000009789
1	221858231	222230219	170	21	0.0000727409	0.000000003786
