chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	193	31	0.0000303748	0.000000003287
1	1892607	3582735	548	40	0.0000271396	0.000000009068
1	3582736	4380810	303	40	0.0001306008	0.000000006471
1	4380811	5913892	905	40	0.0000324104	0.000000009712
1	5913893	7247334	449	40	0.0001194178	0.000000008121
1	7247335	9365198	731	40	0.0002007238	0.000000011762
1	9365199	10806983	383	40	0.0000179617	0.000000005324
1	10806984	11777840	284	40	0.0000970146	0.000000005579
1	11777841	12779465	281	40	-0.0000009461	0.000000004685
1	12779466	14891510	629	40	-0.0000140951	0.000000009145
1	14891511	16897729	786	40	0.0000538165	0.000000009973
1	16897730	18662898	692	40	0.0000678437	0.000000010144
1	18662899	20469148	777	40	0.0000266066	0.000000009641
1	20469149	21736587	475	40	0.0001262536	0.000000008334
1	21736588	23086882	531	40	0.0000226244	0.000000008621
1	23086883	23920589	236	28	0.0000324002	0.000000003737
1	23920590	25516844	571	40	0.0000641003	0.000000009369
1	25516845	27401866	473	40	-0.0000033077	0.000000005678
1	27401867	30161880	635	40	0.0000503983	0.000000008679
1	30161881	32438684	989	40	0.0001235716	0.000000010822
1	32438685	34799757	721	40	0.0000225652	0.000000009592
1	34799758	37549182	644	40	0.0000641511	0.000000010061
1	37549183	38731846	441	40	0.0001150282	0.000000007434
1	38731847	40200566	461	40	0.0000554815	0.000000007138
1	40200567	41975326	586	40	0.0000812485	0.000000008514
1	41975327	43758456	590	40	0.0000933815	0.000000008531
1	43758457	44969182	395	37	0.0003200037	0.000000008662
1	44969183	46899500	507	40	0.0000247319	0.000000005183
1	46899501	48002575	332	34	0.0000137936	0.000000004345
1	48002576	48978187	359	40	-0.0000041455	0.000000005185
1	48978188	49894176	252	28	-0.0000007312	0.000000003594
1	49894177	51713725	283	26	0.0000342576	0.000000003186
1	51713726	54226261	574	40	0.0000864036	0.000000008968
1	54226262	56413116	883	40	-0.0000065450	0.000000009237
1	56413117	57021727	270	31	0.0000244602	0.000000003715
1	57021728	58865398	911	40	0.0001701662	0.000000011390
1	58865399	59890408	411	40	0.0000170474	0.000000005573
1	59890409	61922364	690	40	0.0001068443	0.000000010619
1	61922365	63455088	528	40	-0.0000095984	0.000000007818
1	63455089	65041703	690	40	0.0000125588	0.000000008517
1	65041704	66939403	669	40	0.0001221827	0.000000009889
1	66939404	68477894	711	40	0.0000855175	0.000000009181
1	68477895	69687615	395	40	0.0001208289	0.000000006947
1	69687616	71372469	561	40	0.0000762428	0.000000008080
1	71372470	71684404	91	10	0.0000466012	0.000000001561
1	71684405	74326906	562	40	0.0004049949	0.000000011092
1	74326907	76728134	750	40	0.0001738739	0.000000009996
1	76728135	79661197	1010	40	0.0001109791	0.000000010669
1	79661198	81354190	503	40	0.0000435778	0.000000007123
1	81354191	83991747	1019	40	-0.0000103706	0.000000009191
1	83991748	84844494	336	36	0.0000210324	0.000000004118
1	84844495	86454750	671	40	0.0000077556	0.000000009075
1	86454751	88128630	611	40	0.0000553698	0.000000008740
1	88128631	90066302	552	40	0.0001337171	0.000000008817
1	90066303	91886316	600	40	0.0002044253	0.000000010237
1	91886317	93536458	533	40	0.0000373143	0.000000006656
1	93536459	94506190	271	27	0.0002059158	0.000000005457
1	94506191	96150892	695	40	0.0000569711	0.000000009974
1	96150893	97885248	655	40	0.0001880856	0.000000009348
1	97885249	99800603	668	40	0.0002092919	0.000000010520
1	99800604	100826404	340	37	0.0000521075	0.000000004718
1	100826405	102041015	471	40	0.0000070773	0.000000006009
1	102041016	102898744	295	38	0.0000594365	0.000000004362
1	102898745	103914210	202	21	0.0000463633	0.000000002833
1	103914211	106087841	498	40	0.0000304041	0.000000006702
1	106087842	108409664	759	40	-0.0000184764	0.000000009092
1	108409665	110303930	532	40	0.0000610343	0.000000007652
