chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	98	14	0.0002149696	0.000000062060
1	1892607	3582735	440	14	0.0000045496	0.000000249719
1	3582736	4380810	273	14	0.0003552840	0.000000164894
1	4380811	5913892	871	14	0.0000409668	0.000000338548
1	5913893	7247334	430	14	0.0000632440	0.000000225535
1	7247335	9365198	701	14	0.0000929760	0.000000342093
1	9365199	10806983	352	14	0.0000013742	0.000000158356
1	10806984	11777840	259	14	0.0000602688	0.000000136480
1	11777841	12779465	282	14	-0.0000147600	0.000000148578
1	12779466	14891510	618	14	0.0001353951	0.000000344985
1	14891511	16897729	691	14	-0.0000204860	0.000000334360
1	16897730	18662898	666	14	0.0000911915	0.000000341972
1	18662899	20469148	715	14	-0.0001006251	0.000000328898
1	20469149	21736587	461	14	0.0002010104	0.000000242022
1	21736588	23086882	523	14	0.0001809619	0.000000303374
1	23086883	23920589	222	14	0.0000869555	0.000000110572
1	23920590	25516844	522	14	0.0002538897	0.000000305306
1	25516845	27401866	413	14	-0.0000632425	0.000000169557
1	27401867	30161880	553	14	0.0001282644	0.000000260306
1	30161881	32438684	938	14	0.0001630715	0.000000346871
1	32438685	34799757	675	14	0.0000794596	0.000000341172
1	34799758	37549182	552	14	0.0000960733	0.000000279564
1	37549183	38731846	373	14	-0.0001863257	0.000000164660
1	38731847	40200566	447	14	0.0002296242	0.000000235374
1	40200567	41975326	555	14	0.0001793569	0.000000267442
1	41975327	43758456	543	14	0.0002907783	0.000000258932
1	43758457	44969182	371	14	0.0002077811	0.000000167583
1	44969183	46899500	458	14	0.0000602633	0.000000158975
1	46899501	48002575	297	14	0.0001697285	0.000000134087
1	48002576	48978187	344	14	0.0000718183	0.000000175270
1	48978188	49894176	247	14	0.0000361658	0.000000120582
1	49894177	51713725	260	14	0.0004539419	0.000000119483
1	51713726	54226261	563	14	-0.0000268063	0.000000275700
1	54226262	56413116	839	14	0.0005222373	0.000000371352
1	56413117	57021727	272	14	0.0000179551	0.000000113580
1	57021728	58865398	851	14	0.0000418697	0.000000338610
1	58865399	59890408	383	14	0.0003101754	0.000000189998
1	59890409	61922364	671	14	-0.0001206960	0.000000327530
1	61922365	63455088	534	14	0.0001977608	0.000000283488
1	63455089	65041703	658	14	-0.0000433565	0.000000278324
1	65041704	66939403	649	14	0.0001208493	0.000000302320
1	66939404	68477894	687	14	0.0000814328	0.000000286053
1	68477895	69687615	389	14	0.0000247094	0.000000183711
1	69687616	71372469	520	14	0.0000644198	0.000000237805
