chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	92	15	0.0001043749	0.000000085731
1	1892607	3582735	404	15	0.0001154699	0.000000324080
1	3582736	4380810	262	15	0.0004797111	0.000000208945
1	4380811	5913892	862	15	0.0000896187	0.000000369004
1	5913893	7247334	409	15	-0.0001489202	0.000000216722
1	7247335	9365198	680	15	0.0000584918	0.000000365847
1	9365199	10806983	338	15	-0.0000027707	0.000000178078
1	10806984	11777840	246	15	0.0004469852	0.000000193307
1	11777841	12779465	276	15	-0.0000021217	0.000000195201
1	12779466	14891510	606	15	0.0000450689	0.000000373431
1	14891511	16897729	656	15	0.0002789037	0.000000386122
1	16897730	18662898	636	15	0.0000253847	0.000000378470
1	18662899	20469148	684	15	0.0002297598	0.000000397412
1	20469149	21736587	450	15	0.0002512082	0.000000273779
1	21736588	23086882	506	15	-0.0001626490	0.000000301812
1	23086883	23920589	214	15	-0.0000101103	0.000000106043
1	23920590	25516844	499	15	0.0003171534	0.000000324774
1	25516845	27401866	386	15	-0.0000808089	0.000000166630
1	27401867	30161880	523	15	-0.0000732189	0.000000258885
1	30161881	32438684	903	15	-0.0000106475	0.000000352474
1	32438685	34799757	644	15	-0.0001074480	0.000000340240
1	34799758	37549182	526	15	-0.0000114256	0.000000275961
1	37549183	38731846	358	15	0.0002240029	0.000000197431
1	38731847	40200566	424	15	0.0002927772	0.000000255366
1	40200567	41975326	540	15	0.0000776892	0.000000263732
1	41975327	43758456	532	15	0.0002148820	0.000000250537
1	43758457	44969182	351	15	0.0001748763	0.000000167537
1	44969183	46899500	440	15	0.0000094354	0.000000143864
1	46899501	48002575	280	15	0.0000267017	0.000000124579
1	48002576	48978187	339	15	0.0000762635	0.000000173184
1	48978188	49894176	237	15	0.0002122549	0.000000125128
1	49894177	51713725	251	15	0.0000778131	0.000000086601
1	51713726	54226261	546	15	-0.0000010348	0.000000281429
1	54226262	56413116	812	15	-0.0000684960	0.000000357890
1	56413117	57021727	265	15	0.0002608278	0.000000129334
1	57021728	58865398	824	15	0.0000437517	0.000000358021
1	58865399	59890408	371	15	0.0001611334	0.000000181986
1	59890409	61922364	660	15	-0.0000694535	0.000000358474
1	61922365	63455088	522	15	0.0000105175	0.000000298688
1	63455089	65041703	642	15	-0.0000350913	0.000000285454
1	65041704	66939403	634	15	-0.0000086592	0.000000284712
1	66939404	68477894	663	15	0.0000370376	0.000000276066
1	68477895	69687615	383	15	0.0000631211	0.000000204112
1	69687616	71372469	506	15	0.0003603260	0.000000273308
1	71372470	71684404	81	10	0.0000259797	0.000000029189
1	71684405	74326906	558	15	0.0001342203	0.000000224082
1	74326907	76728134	711	15	0.0001010589	0.000000291709
1	76728135	79661197	923	15	0.0000807141	0.000000364889
1	79661198	81354190	470	15	-0.0000909954	0.000000219978
1	81354191	83991747	965	15	0.0000474926	0.000000374286
1	83991748	84844494	304	15	0.0000997011	0.000000132218
1	84844495	86454750	634	15	0.0000828378	0.000000326243
1	86454751	88128630	551	15	0.0001498201	0.000000289567
1	88128631	90066302	515	15	-0.0000153888	0.000000250181
1	90066303	91886316	552	15	0.0000976244	0.000000280497
1	91886317	93536458	500	15	0.0001498870	0.000000218664
1	93536459	94506190	245	15	-0.0000059526	0.000000095296
1	94506191	96150892	640	15	-0.0000763017	0.000000328302
1	96150893	97885248	598	15	0.0001620400	0.000000252299
1	97885249	99800603	632	15	0.0001340568	0.000000297666
1	99800604	100826404	329	15	0.0000891560	0.000000135841
1	100826405	102041015	439	15	0.0001522898	0.000000201936
1	102041016	102898744	271	15	0.0001787312	0.000000151665
1	102898745	103914210	196	15	0.0001594147	0.000000080936
1	103914211	106087841	452	15	0.0003347004	0.000000243257
1	106087842	108409664	721	15	0.0000933188	0.000000371555
1	108409665	110303930	551	15	0.0002888280	0.000000310279
1	110303931	111741736	559	15	0.0000336789	0.000000353818
1	111741737	113273305	691	15	0.0000124203	0.000000353071
1	113273306	114873844	497	15	-0.0000718459	0.000000255551
1	114873845	115880592	338	15	-0.0001029214	0.000000130046
1	115880593	118839066	806	15	0.0000352205	0.000000362219
1	118839067	144977493	557	15	0.0002181201	0.000000266949
1	144977494	148361252	425	15	-0.0000219484	0.000000182760
1	148361253	151538880	332	15	-0.0000016996	0.000000136005
1	151538881	153180828	450	15	0.0000410131	0.000000178768
1	153180829	154770402	444	15	0.0000594451	0.000000217115
1	154770403	156336132	280	15	0.0000345247	0.000000144645
1	156336133	158027411	576	15	0.0001816243	0.000000318436
1	158027412	159913047	665	15	0.0003616648	0.000000410180
1	159913048	162346720	859	15	0.0001740566	0.000000388208
1	162346721	165191701	1171	15	-0.0000602038	0.000000352765
1	165191702	166460516	514	15	0.0002065609	0.000000302463
1	166460517	169086323	1078	15	0.0000339692	0.000000371149
1	169086324	170557775	547	15	0.0000325738	0.000000211901
1	170557776	173097906	893	15	-0.0000188033	0.000000344115
1	173097907	175089767	399	15	0.0000290807	0.000000118699
1	175089768	177433380	763	15	-0.0001012339	0.000000334555
1	177433381	178944308	494	15	0.0000730856	0.000000221878
1	178944309	178954469	2	1	0.0000442526	0.000000011573
1	178954470	181144120	711	15	0.0000694364	0.000000314775
1	181144121	182755355	577	15	-0.0000704508	0.000000300934
1	182755356	184595512	607	15	0.0000277894	0.000000286711
1	184595513	186810022	499	15	0.0001004612	0.000000225000
1	186810023	188759944	616	15	-0.0001149247	0.000000261770
1	188759945	189904129	216	15	0.0001878280	0.000000086484
1	189904130	191868929	537	15	-0.0001433712	0.000000172693
1	191868930	194107441	576	15	-0.0000434340	0.000000251782
1	194107442	196176200	577	15	0.0000602080	0.000000231264
1	196176201	197311513	188	15	0.0000914133	0.000000069941
1	197311514	199239883	501	15	-0.0000248487	0.000000228170
1	199239884	200137648	296	15	0.0000682011	0.000000137968
1	200137649	201589974	685	15	0.0000837047	0.000000383085
1	201589975	203334733	590	15	-0.0000728912	0.000000353603
1	203334734	204681067	471	15	0.0003785837	0.000000283402
