chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	96	14	0.0001042587	0.000000054251
1	1892607	3582735	438	14	0.0000302762	0.000000250941
1	3582736	4380810	270	14	0.0003801903	0.000000165170
1	4380811	5913892	867	14	-0.0000506189	0.000000333556
1	5913893	7247334	427	14	0.0000812459	0.000000225454
1	7247335	9365198	699	14	0.0002326261	0.000000352899
1	9365199	10806983	351	14	0.0000216612	0.000000159654
1	10806984	11777840	258	14	0.0000476460	0.000000135484
1	11777841	12779465	281	14	0.0000167241	0.000000150603
1	12779466	14891510	618	14	0.0001436965	0.000000346826
1	14891511	16897729	688	14	0.0000304063	0.000000339090
1	16897730	18662898	660	14	0.0001438400	0.000000346836
1	18662899	20469148	710	14	-0.0000493717	0.000000333641
1	20469149	21736587	461	14	0.0001455573	0.000000239147
1	21736588	23086882	523	14	0.0001549829	0.000000302722
1	23086883	23920589	222	14	0.0001231699	0.000000113421
1	23920590	25516844	520	14	0.0000447688	0.000000290663
1	25516845	27401866	413	14	-0.0000477056	0.000000171259
1	27401867	30161880	550	14	0.0001478859	0.000000260400
1	30161881	32438684	934	14	0.0001911307	0.000000350066
1	32438685	34799757	675	14	0.0000860270	0.000000342888
1	34799758	37549182	549	14	0.0001159936	0.000000279714
1	37549183	38731846	371	14	-0.0000927405	0.000000170267
1	38731847	40200566	447	14	0.0002430234	0.000000237143
1	40200567	41975326	554	14	0.0003360676	0.000000278342
1	41975327	43758456	542	14	0.0002180333	0.000000254204
1	43758457	44969182	371	14	0.0001787439	0.000000166232
1	44969183	46899500	458	14	0.0001420594	0.000000165097
1	46899501	48002575	297	14	0.0001991900	0.000000136563
1	48002576	48978187	344	14	0.0001024718	0.000000177999
1	48978188	49894176	247	14	-0.0000433133	0.000000115680
1	49894177	51713725	260	14	0.0005103967	0.000000123680
1	51713726	54226261	562	14	-0.0000005778	0.000000277774
1	54226262	56413116	837	14	0.0004062240	0.000000364755
1	56413117	57021727	271	14	0.0001180014	0.000000120109
1	57021728	58865398	847	14	0.0000200520	0.000000338383
1	58865399	59890408	383	14	0.0003613332	0.000000194139
1	59890409	61922364	671	14	-0.0000509910	0.000000333531
1	61922365	63455088	533	14	0.0001514440	0.000000280632
1	63455089	65041703	656	14	-0.0000933022	0.000000275222
1	65041704	66939403	649	14	0.0000551570	0.000000298965
1	66939404	68477894	687	14	0.0000298966	0.000000283609
1	68477895	69687615	389	14	0.0000127266	0.000000183593
1	69687616	71372469	520	14	0.0000464050	0.000000237471
1	71372470	71684404	82	10	0.0000488028	0.000000031730
1	71684405	74326906	559	14	0.0001434912	0.000000219008
1	74326907	76728134	727	14	0.0000597736	0.000000283385
1	76728135	79661197	945	14	-0.0000339219	0.000000334697
1	79661198	81354190	475	14	0.0003671033	0.000000243414
1	81354191	83991747	973	14	0.0001058345	0.000000344241
1	83991748	84844494	312	14	0.0001716201	0.000000132108
1	84844495	86454750	652	14	0.0003749569	0.000000339966
1	86454751	88128630	570	14	0.0000486556	0.000000274385
