chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	94	17	-0.0000018445	0.000000001599
1	1892607	3582735	399	40	0.0000213421	0.000000007326
1	3582736	4380810	253	40	0.0000983595	0.000000005580
1	4380811	5913892	840	40	0.0000169834	0.000000010328
1	5913893	7247334	400	40	0.0000481834	0.000000007162
1	7247335	9365198	658	40	0.0000246571	0.000000010425
1	9365199	10806983	328	40	0.0000223836	0.000000005221
1	10806984	11777840	239	40	0.0000170858	0.000000004309
1	11777841	12779465	263	40	0.0000235366	0.000000004934
1	12779466	14891510	591	40	0.0000022139	0.000000010141
1	14891511	16897729	623	40	0.0000034722	0.000000009690
1	16897730	18662898	608	40	0.0000807070	0.000000011056
1	18662899	20469148	667	40	-0.0000114639	0.000000009967
1	20469149	21736587	434	40	0.0001370399	0.000000008692
1	21736588	23086882	484	40	0.0000388548	0.000000008741
1	23086883	23920589	212	27	0.0000395053	0.000000003889
1	23920590	25516844	486	40	-0.0000030275	0.000000008230
1	25516845	27401866	374	40	0.0000005769	0.000000005227
1	27401867	30161880	509	40	0.0000691195	0.000000008276
1	30161881	32438684	865	40	-0.0000164264	0.000000009904
1	32438685	34799757	627	40	0.0000271361	0.000000010092
1	34799758	37549182	513	40	-0.0000112497	0.000000007782
1	37549183	38731846	349	40	0.0000315066	0.000000005800
1	38731847	40200566	414	40	0.0000088108	0.000000006683
1	40200567	41975326	525	40	0.0000609124	0.000000008414
1	41975327	43758456	512	40	0.0001411031	0.000000008804
1	43758457	44969182	338	34	0.0000564055	0.000000005451
1	44969183	46899500	429	37	0.0000012895	0.000000004773
1	46899501	48002575	272	33	0.0000492114	0.000000004575
1	48002576	48978187	327	40	0.0000085836	0.000000005409
1	48978188	49894176	233	27	-0.0000107572	0.000000003634
1	49894177	51713725	247	25	0.0000248771	0.000000003161
1	51713726	54226261	537	40	0.0000196995	0.000000008498
1	54226262	56413116	789	40	-0.0000125138	0.000000009954
1	56413117	57021727	255	30	0.0000190824	0.000000003851
1	57021728	58865398	806	40	0.0001097198	0.000000011505
1	58865399	59890408	358	40	0.0000751050	0.000000006151
1	59890409	61922364	646	40	-0.0000476364	0.000000009508
1	61922365	63455088	498	40	0.0000545350	0.000000008576
1	63455089	65041703	622	40	0.0000141073	0.000000008488
1	65041704	66939403	622	40	-0.0000053144	0.000000008748
1	66939404	68477894	647	40	0.0000460312	0.000000008913
1	68477895	69687615	370	40	0.0000157486	0.000000005782
1	69687616	71372469	495	40	0.0000049627	0.000000007240
1	71372470	71684404	80	10	-0.0000036597	0.000000000935
1	71684405	74326906	541	40	0.0000152030	0.000000006723
1	74326907	76728134	698	40	0.0000376372	0.000000008888
1	76728135	79661197	901	40	0.0000232914	0.000000010408
1	79661198	81354190	449	40	0.0000442223	0.000000007152
1	81354191	83991747	937	40	0.0000077796	0.000000010211
1	83991748	84844494	300	35	0.0000313923	0.000000004369
1	84844495	86454750	616	40	-0.0000325483	0.000000008807
1	86454751	88128630	534	40	-0.0000003998	0.000000007839
1	88128631	90066302	504	40	0.0001197984	0.000000008898
1	90066303	91886316	545	40	0.0000046109	0.000000007862
1	91886317	93536458	484	40	-0.0000264233	0.000000005974
1	93536459	94506190	242	26	0.0000502224	0.000000003603
1	94506191	96150892	621	40	0.0000109993	0.000000009542
1	96150893	97885248	582	40	0.0000281865	0.000000007575
1	97885249	99800603	615	40	0.0000528883	0.000000008778
1	99800604	100826404	321	36	-0.0000128499	0.000000003990
1	100826405	102041015	430	40	0.0000150740	0.000000006298
1	102041016	102898744	265	36	0.0000350750	0.000000004175
1	102898745	103914210	193	21	0.0000301419	0.000000002826
1	103914211	106087841	441	40	0.0000525490	0.000000007056
1	106087842	108409664	713	40	0.0000657648	0.000000010947
1	108409665	110303930	538	40	0.0000643622	0.000000008276
1	110303931	111741736	545	40	0.0000956449	0.000000010394
1	111741737	113273305	674	40	-0.0000068490	0.000000009904
1	113273306	114873844	488	40	0.0000134280	0.000000007590
1	114873845	115880592	332	36	0.0000393391	0.000000004913
1	115880593	118839066	798	40	0.0000585748	0.000000010856
1	118839067	144977493	540	40	0.0000583905	0.000000008342
1	144977494	148361252	417	40	-0.0000132864	0.000000005979
1	148361253	151538880	329	33	0.0000243399	0.000000004803
1	151538881	153180828	444	40	0.0000468635	0.000000006318
1	153180829	154770402	431	40	0.0000051065	0.000000006333
1	154770403	156336132	275	38	0.0000065140	0.000000004457
1	156336133	158027411	574	40	-0.0000096258	0.000000008531
1	158027412	159913047	643	40	0.0000196675	0.000000010098
1	159913048	162346720	828	40	0.0000111254	0.000000010254
1	162346721	165191701	1149	40	0.0000361988	0.000000010572
1	165191702	166460516	504	40	0.0000694342	0.000000009129
1	166460517	169086323	1056	40	0.0000175797	0.000000010336
1	169086324	170557775	535	40	0.0000751339	0.000000007685
1	170557776	173097906	861	40	0.0000064962	0.000000010195
1	173097907	175089767	393	31	0.0000404301	0.000000004423
1	175089768	177433380	740	40	0.0000303039	0.000000010193
1	177433381	178944308	467	40	-0.0000206707	0.000000006390
1	178944309	178954469	2	1	-0.0000030564	0.000000000001
1	178954470	181144120	692	40	0.0000207854	0.000000009768
1	181144121	182755355	563	40	0.0001545044	0.000000010978
