chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	104	20	0.0001418681	0.000000002444
1	1892607	3582735	446	40	0.0008055044	0.000000011334
1	3582736	4380810	280	40	0.0002224938	0.000000004349
1	4380811	5913892	879	40	0.0000593487	0.000000005037
1	5913893	7247334	435	40	0.0001697542	0.000000004673
1	7247335	9365198	706	40	0.0003802822	0.000000007771
1	9365199	10806983	354	40	0.0003517768	0.000000005371
1	10806984	11777840	261	40	0.0002853430	0.000000004581
1	11777841	12779465	291	40	0.0000798858	0.000000003255
1	12779466	14891510	619	40	0.0001963555	0.000000006238
1	14891511	16897729	696	40	0.0001227934	0.000000005633
1	16897730	18662898	674	40	0.0005729712	0.000000009628
1	18662899	20469148	732	40	0.0003937497	0.000000008148
1	20469149	21736587	462	40	0.0004919752	0.000000007325
1	21736588	23086882	526	40	0.0003805718	0.000000007280
1	23086883	23920589	224	28	0.0004967825	0.000000005747
1	23920590	25516844	526	40	0.0003971254	0.000000007397
1	25516845	27401866	415	40	0.0007053021	0.000000008578
1	27401867	30161880	559	40	0.0003364997	0.000000006515
1	30161881	32438684	941	40	0.0004081380	0.000000007932
1	32438685	34799757	678	40	0.0001999852	0.000000006213
1	34799758	37549182	561	40	0.0002320039	0.000000006001
1	37549183	38731846	375	40	0.0004075551	0.000000005979
1	38731847	40200566	449	40	0.0001712806	0.000000004599
1	40200567	41975326	559	40	0.0007360007	0.000000009741
1	41975327	43758456	553	40	0.0004443666	0.000000007067
1	43758457	44969182	373	36	0.0001359253	0.000000003382
1	44969183	46899500	462	39	0.0004488036	0.000000005997
1	46899501	48002575	298	33	0.0004578852	0.000000005638
1	48002576	48978187	346	40	0.0003057940	0.000000004951
1	48978188	49894176	248	28	0.0000298366	0.000000001966
1	49894177	51713725	261	25	0.0002840739	0.000000003684
1	51713726	54226261	567	40	0.0004191693	0.000000007345
1	54226262	56413116	843	40	0.0003117911	0.000000007170
1	56413117	57021727	274	31	0.0002384829	0.000000003644
1	57021728	58865398	857	40	0.0001685294	0.000000005923
1	58865399	59890408	385	40	0.0001994854	0.000000004091
1	59890409	61922364	677	40	0.0002155535	0.000000006313
1	61922365	63455088	537	40	0.0001972162	0.000000005435
1	63455089	65041703	661	40	0.0001721340	0.000000005263
1	65041704	66939403	655	40	0.0003823632	0.000000007178
1	66939404	68477894	693	40	0.0003471249	0.000000006731
1	68477895	69687615	390	40	0.0001087385	0.000000003533
1	69687616	71372469	524	40	0.0001757323	0.000000004793
1	71372470	71684404	83	10	0.0000496040	0.000000000850
1	71684405	74326906	565	40	0.0001485743	0.000000004151
1	74326907	76728134	734	40	0.0003420473	0.000000006669
1	76728135	79661197	964	40	0.0003214890	0.000000007297
1	79661198	81354190	480	40	0.0001356340	0.000000004194
1	81354191	83991747	979	40	0.0001564680	0.000000005777
1	83991748	84844494	320	36	0.0001957392	0.000000003522
1	84844495	86454750	657	40	0.0003433073	0.000000007117
1	86454751	88128630	580	40	0.0003552140	0.000000006861
1	88128631	90066302	530	40	0.0004764216	0.000000007393
1	90066303	91886316	570	40	0.0001617125	0.000000005042
1	91886317	93536458	517	40	0.0005175264	0.000000007305
1	93536459	94506190	258	27	0.0002451327	0.000000003538
1	94506191	96150892	654	40	0.0002786864	0.000000006572
1	96150893	97885248	615	40	0.0002045272	0.000000005021
1	97885249	99800603	646	40	0.0001275713	0.000000004815
1	99800604	100826404	342	37	0.0001148311	0.000000002852
1	100826405	102041015	454	40	0.0002056055	0.000000004526
1	102041016	102898744	281	37	0.0001561028	0.000000003095
1	102898745	103914210	203	21	0.0003896930	0.000000004368
1	103914211	106087841	464	40	0.0001574460	0.000000004280
1	106087842	108409664	731	40	0.0000659457	0.000000005030
1	108409665	110303930	568	40	0.0002058905	0.000000005304
1	110303931	111741736	576	40	0.0001754923	0.000000005805
1	111741737	113273305	726	40	0.0004417346	0.000000008242
1	113273306	114873844	515	40	0.0001396756	0.000000004632
1	114873845	115880592	349	37	0.0001504983	0.000000003282
1	115880593	118839066	846	40	0.0002508909	0.000000006708
1	118839067	144977493	570	40	0.0011253761	0.000000012855
1	144977494	148361252	436	40	0.0004940378	0.000000006898
1	148361253	151538880	353	34	0.0013464325	0.000000013390
1	151538881	153180828	476	40	0.0002158457	0.000000004454
1	153180829	154770402	464	40	0.0001451035	0.000000004221
1	154770403	156336132	307	38	0.0002622375	0.000000004337
1	156336133	158027411	601	40	0.0003091213	0.000000006662
1	158027412	159913047	693	40	0.0000998472	0.000000005496
1	159913048	162346720	888	40	0.0003070380	0.000000007213
1	162346721	165191701	1204	40	0.0001720190	0.000000005952
1	165191702	166460516	534	40	0.0003033757	0.000000006402
1	166460517	169086323	1122	40	0.0002930811	0.000000007155
1	169086324	170557775	566	40	0.0002168505	0.000000004896
1	170557776	173097906	911	40	0.0013004445	0.000000015428
1	173097907	175089767	415	32	0.0002171029	0.000000003562
1	175089768	177433380	790	40	0.0006564202	0.000000010028
1	177433381	178944308	495	40	0.0001509556	0.000000004228
1	178944309	178954469	2	1	0.0000141133	0.000000000160
1	178954470	181144120	757	40	0.0002329040	0.000000006399
1	181144121	182755355	604	40	0.0002164220	0.000000006015
1	182755356	184595512	632	40	0.0013032853	0.000000014702
1	184595513	186810022	526	40	0.0002288569	0.000000004972
1	186810023	188759944	621	40	0.0000281368	0.000000003831
1	188759945	189904129	225	19	0.0000647878	0.000000001663
1	189904130	191868929	548	40	0.0001603398	0.000000004057
1	191868930	194107441	591	40	0.0000756768	0.000000004091
1	194107442	196176200	590	40	0.0000635226	0.000000003678
1	196176201	197311513	200	16	0.0001019930	0.000000001830
1	197311514	199239883	515	40	0.0001666753	0.000000004571
1	199239884	200137648	306	36	0.0002813498	0.000000004309
1	200137649	201589974	713	40	0.0001479239	0.000000005782
1	201589975	203334733	618	40	0.0001799742	0.000000006086
1	203334734	204681067	488	40	0.0003338902	0.000000006289
1	204681068	206073264	579	40	0.0002013140	0.000000005738
1	206073265	208410363	638	40	0.0002504634	0.000000006640
1	208410364	210787749	943	40	0.0002797426	0.000000006950
1	210787750	212842329	706	40	0.0004995398	0.000000008725
1	212842330	214578265	620	40	0.0001442946	0.000000005672
1	214578266	216243633	600	40	0.0006512581	0.000000009339
1	216243634	218705512	1094	40	0.0006102777	0.000000009590
1	218705513	219590570	286	34	0.0007488316	0.000000008125
1	219590571	221858230	697	40	0.0007208240	0.000000010464
1	221858231	222230219	178	21	0.0001479957	0.000000002538
1	222230220	224938519	487	40	0.0002529728	0.000000005820
1	224938520	226810859	525	40	0.0002693165	0.000000005653
1	226810860	229156247	708	40	0.0007085349	0.000000010418
1	229156248	230685254	536	40	0.0001753140	0.000000005407
1	230685255	232090251	596	40	0.0001248892	0.000000005171
1	232090252	233429283	612	40	0.0001621675	0.000000005953
1	233429284	234599433	542	40	0.0001513978	0.000000005263
1	234599434	235819435	389	40	0.0002436979	0.000000005141
