chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	99	18	0.0002466083	0.000000012308
1	1892607	3582735	436	32	0.0003972353	0.000000037714
1	3582736	4380810	270	32	0.0001160605	0.000000019706
1	4380811	5913892	856	32	0.0002291666	0.000000040534
1	5913893	7247334	426	32	0.0001699113	0.000000027953
1	7247335	9365198	695	32	0.0002001125	0.000000040069
1	9365199	10806983	351	32	0.0000976215	0.000000020335
1	10806984	11777840	253	32	0.0002596344	0.000000021405
1	11777841	12779465	280	32	0.0002726912	0.000000023946
1	12779466	14891510	615	32	0.0000544487	0.000000036863
1	14891511	16897729	687	32	0.0001524504	0.000000039098
1	16897730	18662898	658	32	0.0001611938	0.000000039605
1	18662899	20469148	707	32	0.0001689735	0.000000039384
1	20469149	21736587	458	32	0.0000043124	0.000000024680
1	21736588	23086882	519	32	0.0001492797	0.000000034328
1	23086883	23920589	220	28	0.0001399778	0.000000015000
1	23920590	25516844	518	32	0.0000610303	0.000000032054
1	25516845	27401866	412	32	0.0005058036	0.000000031178
1	27401867	30161880	547	32	0.0000531055	0.000000028181
1	30161881	32438684	927	32	0.0001632180	0.000000038989
1	32438685	34799757	673	32	0.0000634411	0.000000036693
1	34799758	37549182	548	32	0.0002233429	0.000000034282
1	37549183	38731846	368	32	0.0000797832	0.000000021353
1	38731847	40200566	446	32	0.0000325268	0.000000024890
1	40200567	41975326	550	32	0.0000519851	0.000000028239
1	41975327	43758456	538	32	0.0002231001	0.000000030505
1	43758457	44969182	368	32	0.0001538454	0.000000020778
1	44969183	46899500	457	32	0.0002600278	0.000000023053
1	46899501	48002575	296	32	0.0002271605	0.000000018941
1	48002576	48978187	342	32	0.0002716981	0.000000024982
1	48978188	49894176	247	28	0.0002121227	0.000000018195
1	49894177	51713725	255	25	0.0002082622	0.000000014612
1	51713726	54226261	561	32	0.0001567701	0.000000032931
1	54226262	56413116	825	32	0.0000018813	0.000000035397
1	56413117	57021727	271	31	0.0000802145	0.000000014434
1	57021728	58865398	847	32	0.0003254743	0.000000042533
1	58865399	59890408	382	32	0.0002050278	0.000000023365
1	59890409	61922364	666	32	0.0000330638	0.000000035600
1	61922365	63455088	532	32	0.0002061233	0.000000033642
1	63455089	65041703	659	32	0.0000676930	0.000000031363
1	65041704	66939403	640	32	0.0002719247	0.000000036527
1	66939404	68477894	679	32	0.0003377051	0.000000037117
1	68477895	69687615	373	32	0.0002951807	0.000000026444
1	69687616	71372469	513	32	0.0000173926	0.000000025123
1	71372470	71684404	82	10	0.0000591274	0.000000004643
1	71684405	74326906	556	32	0.0001167557	0.000000024841
1	74326907	76728134	711	32	0.0000916560	0.000000031064
1	76728135	79661197	942	32	0.0000805310	0.000000036627
1	79661198	81354190	466	32	0.0002242441	0.000000028416
1	81354191	83991747	959	32	0.0000768967	0.000000036849
1	83991748	84844494	311	32	0.0001173143	0.000000016214
1	84844495	86454750	641	32	0.0002801695	0.000000039100
1	86454751	88128630	562	32	0.0001805186	0.000000032425
1	88128631	90066302	517	32	0.0000332378	0.000000026418
1	90066303	91886316	557	32	0.0001820394	0.000000031205
1	91886317	93536458	506	32	0.0000304676	0.000000022319
1	93536459	94506190	255	26	0.0002854091	0.000000017186
1	94506191	96150892	643	32	0.0000617985	0.000000033988
1	96150893	97885248	599	32	0.0002347363	0.000000030128
1	97885249	99800603	634	32	0.0001221724	0.000000030942
1	99800604	100826404	314	32	0.0002020035	0.000000018857
1	100826405	102041015	442	32	0.0001861873	0.000000025126
1	102041016	102898744	271	32	0.0001328964	0.000000015978
1	102898745	103914210	199	21	0.0000626046	0.000000009660
1	103914211	106087841	448	32	0.0002803125	0.000000028451
1	106087842	108409664	723	32	0.0000455007	0.000000035646
1	108409665	110303930	557	32	0.0000805645	0.000000028652
1	110303931	111741736	560	32	0.0001018606	0.000000034721
1	111741737	113273305	719	32	0.0002384665	0.000000040630
1	113273306	114873844	509	32	0.0001281500	0.000000029448
1	114873845	115880592	343	32	0.0000666795	0.000000016820
1	115880593	118839066	820	32	0.0001679789	0.000000039068
1	118839067	144977493	561	32	0.0002461611	0.000000032276
