chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	151	16	0.0002746715	0.000000061414
1	1892607	3582735	471	16	0.0001647349	0.000000181499
1	3582736	4380810	275	16	0.0003770820	0.000000118089
1	4380811	5913892	895	16	0.0000281775	0.000000213927
1	5913893	7247334	402	16	0.0002633919	0.000000146821
1	7247335	9365198	688	16	0.0002135763	0.000000224171
1	9365199	10806983	347	16	0.0002518354	0.000000116320
1	10806984	11777840	256	16	0.0003165098	0.000000105532
1	11777841	12779465	236	16	0.0001884956	0.000000092711
1	12779466	14891510	601	16	0.0001399887	0.000000220105
1	14891511	16897729	702	16	0.0000979735	0.000000217784
1	16897730	18662898	620	16	0.0000643506	0.000000215926
1	18662899	20469148	705	16	-0.0000712258	0.000000208436
1	20469149	21736587	437	16	0.0002349688	0.000000151895
1	21736588	23086882	482	16	0.0015346397	0.000000254167
1	23086883	23920589	212	16	0.0002298902	0.000000076957
1	23920590	25516844	498	16	0.0001604241	0.000000182183
1	25516845	27401866	387	16	0.0005691527	0.000000137533
1	27401867	30161880	567	16	0.0000576388	0.000000168265
1	30161881	32438684	944	16	0.0003429508	0.000000231318
1	32438685	34799757	670	16	0.0006142827	0.000000246309
1	34799758	37549182	612	16	0.0001124704	0.000000205238
1	37549183	38731846	394	16	0.0001908376	0.000000132767
1	38731847	40200566	422	16	0.0000007784	0.000000136377
1	40200567	41975326	547	16	0.0000942252	0.000000163452
1	41975327	43758456	537	16	0.0001945558	0.000000163544
1	43758457	44969182	340	16	0.0000723545	0.000000096785
1	44969183	46899500	428	16	0.0000669312	0.000000098168
1	46899501	48002575	303	16	0.0000745769	0.000000088144
1	48002576	48978187	352	16	0.0001950412	0.000000121756
1	48978188	49894176	241	16	0.0001120045	0.000000079065
1	49894177	51713725	276	16	0.0001140489	0.000000062594
1	51713726	54226261	536	16	-0.0000510079	0.000000166861
1	54226262	56413116	819	16	0.0000333210	0.000000214212
1	56413117	57021727	265	16	-0.0000131167	0.000000069785
1	57021728	58865398	894	16	0.0000341606	0.000000214258
1	58865399	59890408	394	16	0.0002679525	0.000000127901
1	59890409	61922364	670	16	0.0000221470	0.000000213594
1	61922365	63455088	479	16	-0.0000073869	0.000000161950
1	63455089	65041703	670	16	0.0000155336	0.000000184394
1	65041704	66939403	639	16	0.0000111810	0.000000182293
1	66939404	68477894	677	16	0.0002350190	0.000000189063
1	68477895	69687615	384	16	0.0011749429	0.000000180202
1	69687616	71372469	543	16	0.0000427727	0.000000156100
1	71372470	71684404	87	10	-0.0000008886	0.000000019353
1	71684405	74326906	540	16	0.0001121959	0.000000138082
1	74326907	76728134	698	16	0.0001384238	0.000000178670
1	76728135	79661197	952	16	0.0001101032	0.000000218454
1	79661198	81354190	495	16	0.0000154796	0.000000143841
1	81354191	83991747	994	16	0.0002496438	0.000000226163
1	83991748	84844494	329	16	0.0002415238	0.000000093127
1	84844495	86454750	630	16	0.0000658377	0.000000199356
1	86454751	88128630	569	16	0.0001075923	0.000000180196
1	88128631	90066302	517	16	0.0003788143	0.000000173224
1	90066303	91886316	583	16	0.0002174934	0.000000182564
1	91886317	93536458	494	16	0.0003721993	0.000000148835
1	93536459	94506190	250	16	0.0002636136	0.000000072351
1	94506191	96150892	670	16	-0.0000063454	0.000000201524
1	96150893	97885248	640	16	0.0001319711	0.000000160103
1	97885249	99800603	659	16	0.0002839153	0.000000192682
1	99800604	100826404	313	16	0.0002222986	0.000000094973
1	100826405	102041015	459	16	0.0002435224	0.000000139147
1	102041016	102898744	290	16	0.0001027653	0.000000081429
1	102898745	103914210	193	16	0.0001613704	0.000000054454
1	103914211	106087841	484	16	0.0004249122	0.000000160108
1	106087842	108409664	753	16	0.0001348109	0.000000219819
1	108409665	110303930	455	16	0.0002152541	0.000000141979
1	110303931	111741736	575	16	0.0001849041	0.000000210657
1	111741737	113273305	673	16	0.0003621886	0.000000232381
1	113273306	114873844	533	16	0.0001097339	0.000000162493
1	114873845	115880592	333	16	0.0002041162	0.000000096470
1	115880593	118839066	850	16	0.0001034871	0.000000218088
1	118839067	144977493	506	16	0.0001573533	0.000000158349
1	144977494	148361252	432	16	0.0000982514	0.000000131615
1	148361253	151538880	294	16	0.0002236244	0.000000086798
1	151538881	153180828	478	16	0.0001420991	0.000000124024
1	153180829	154770402	449	16	0.0003675683	0.000000152539
1	154770403	156336132	288	16	0.0000511057	0.000000088106
1	156336133	158027411	546	16	0.0001522126	0.000000176674
1	158027412	159913047	627	16	0.0001417279	0.000000209223
1	159913048	162346720	720	16	0.0001910757	0.000000222927
1	162346721	165191701	1229	16	0.0000587357	0.000000215616
1	165191702	166460516	559	16	0.0002741810	0.000000194000
1	166460517	169086323	1144	16	0.0001502482	0.000000220672
1	169086324	170557775	466	16	0.0002854514	0.000000140573
1	170557776	173097906	850	16	0.0006900172	0.000000250493
1	173097907	175089767	494	16	0.0001534320	0.000000090795
1	175089768	177433380	814	16	0.0001587437	0.000000221141
1	177433381	178944308	467	16	0.0002235682	0.000000136742
1	178944309	178954469	2	1	-0.0000112409	0.000000000126
1	178954470	181144120	723	16	0.0003376535	0.000000223846
1	181144121	182755355	631	16	-0.0000207622	0.000000199779
1	182755356	184595512	609	16	0.0001729575	0.000000175069
1	184595513	186810022	562	16	0.0000867754	0.000000144200
1	186810023	188759944	699	16	0.0000117993	0.000000180934
1	188759945	189904129	247	16	0.0002809427	0.000000063732
1	189904130	191868929	578	16	0.0000810543	0.000000130235
1	191868930	194107441	652	16	0.0000633814	0.000000172242
1	194107442	196176200	620	16	-0.0000607970	0.000000145908
1	196176201	197311513	175	14	0.0001151072	0.000000044100
1	197311514	199239883	530	16	0.0002711753	0.000000163707
1	199239884	200137648	340	16	0.0005269867	0.000000121653
1	200137649	201589974	649	16	0.0001044192	0.000000214308
1	201589975	203334733	577	16	0.0000733928	0.000000198830
1	203334734	204681067	479	16	0.0000964365	0.000000160857
1	204681068	206073264	507	16	0.0000855518	0.000000166609
1	206073265	208410363	605	16	0.0002136639	0.000000214144
1	208410364	210787749	956	16	0.0001321500	0.000000219672
1	210787750	212842329	701	16	0.0003382165	0.000000231057
1	212842330	214578265	596	16	-0.0000358050	0.000000193276
1	214578266	216243633	608	16	0.0000294165	0.000000180977
1	216243634	218705512	1113	16	0.0000890891	0.000000217293
1	218705513	219590570	303	16	0.0003217343	0.000000098750
1	219590571	221858230	685	16	0.0003263672	0.000000216569
1	221858231	222230219	178	16	0.0000595608	0.000000058425
1	222230220	224938519	711	16	0.0001906662	0.000000222905
1	224938520	226810859	496	16	-0.0000937408	0.000000140964
1	226810860	229156247	698	16	0.0002834792	0.000000216098
1	229156248	230685254	530	16	0.0000546425	0.000000180514
1	230685255	232090251	579	16	-0.0000321492	0.000000180835
1	232090252	233429283	620	16	0.0001941240	0.000000221657
1	233429284	234599433	553	16	0.0000446668	0.000000186932
1	234599434	235819435	388	16	0.0003790248	0.000000149649
1	235819436	237555627	719	16	0.0002377430	0.000000225506
1	237555628	238567806	410	16	0.0002293500	0.000000147600
1	238567807	239925313	517	16	0.0001422885	0.000000176127
1	239925314	240564090	356	16	0.0001745580	0.000000122353
1	240564091	241582219	537	16	0.0000852139	0.000000204207
1	241582220	242071601	214	16	0.0001564226	0.000000082309
1	242071602	244109498	705	16	0.0002300791	0.000000225082
1	244109499	245506745	530	16	0.0001275473	0.000000198993
1	245506746	247344517	764	16	0.0000362404	0.000000214373
1	247344518	249239465	413	16	0.0001618413	0.000000138170
2	10133	1781021	625	16	0.0001345355	0.000000211678
2	1781022	3973778	973	16	0.0000496446	0.000000215114
2	3973779	5708336	656	16	-0.0000286106	0.000000210790
2	5708337	6836253	576	16	-0.0000265569	0.000000177893
2	6836254	8422146	656	16	0.0001690861	0.000000221713
2	8422147	10298468	663	16	0.0000502697	0.000000215148
2	10298469	12419149	960	16	0.0001899150	0.000000222863
2	12419150	14335307	607	16	0.0001426487	0.000000195136
2	14335308	16329734	744	16	0.0000655290	0.000000215991
2	16329735	18647422	865	16	0.0000340352	0.000000214251
2	18647423	19692403	385	16	0.0000574454	0.000000125017
2	19692404	21050489	617	16	0.0003819359	0.000000220584
2	21050490	23341382	568	16	0.0001424014	0.000000203109
2	23341383	24686917	422	16	0.0000843655	0.000000135236
2	24686918	26894984	495	16	0.0002160688	0.000000166984
2	26894985	28598776	258	16	-0.0000473287	0.000000071593
2	28598777	29217558	211	16	0.0004630605	0.000000089678
2	29217559	30463710	610	16	0.0002210247	0.000000224582
2	30463711	31550449	501	16	0.0001510323	0.000000190001
2	31550450	33363776	485	16	0.0001463890	0.000000185569
2	33363777	35345027	808	16	0.0002216694	0.000000224618
2	35345028	36122005	290	16	-0.0000086929	0.000000087751
2	36122006	38132711	919	16	-0.0000001446	0.000000212363
2	38132712	39031336	322	16	0.0002017407	0.000000130757
2	39031337	40281482	292	16	0.0002443063	0.000000115059
2	40281483	43309589	1270	16	0.0006206899	0.000000246663
2	43309590	44313802	271	16	0.0001071759	0.000000105856
2	44313803	46482633	1054	16	-0.0000434214	0.000000209972
2	46482634	47318771	393	16	0.0000713459	0.000000159026
2	47318772	48213000	286	16	0.0000091967	0.000000109859
2	48213001	50022256	699	16	0.0000450805	0.000000214861
2	50022257	50818927	331	16	0.0001459480	0.000000118637
2	50818928	52491132	649	16	0.0002511627	0.000000226247
2	52491133	53508451	477	16	0.0001912377	0.000000168335
2	53508452	54685225	428	16	0.0004868688	0.000000176012
2	54685226	56203344	565	16	0.0005445331	0.000000237181
2	56203345	57429099	432	16	0.0003085712	0.000000164416
2	57429100	58297314	285	16	0.0002579738	0.000000107358
2	58297315	60291999	749	16	0.0001217283	0.000000219096
2	60292000	62429043	571	16	0.0000398169	0.000000208830
2	62429044	64625912	579	16	0.0001187664	0.000000205112
2	64625913	65933443	459	16	0.0002514074	0.000000168476
2	65933444	67226165	550	16	0.0001599750	0.000000184929
2	67226166	68010175	408	16	0.0000554074	0.000000132768
2	68010176	69139563	469	16	0.0004571111	0.000000168551
