chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	117	14	-0.0001812810	0.000000084797
1	1892607	3582735	474	14	0.0000948109	0.000000391528
1	3582736	4380810	294	14	-0.0000043576	0.000000193841
1	4380811	5913892	916	14	0.0000345004	0.000000366182
1	5913893	7247334	449	14	-0.0000070333	0.000000247777
1	7247335	9365198	741	14	0.0000813062	0.000000374183
1	9365199	10806983	374	14	0.0004029141	0.000000220771
1	10806984	11777840	283	14	0.0000866534	0.000000190631
1	11777841	12779465	307	14	0.0000162517	0.000000215677
1	12779466	14891510	647	14	0.0000079361	0.000000369955
1	14891511	16897729	749	14	0.0000051861	0.000000390545
1	16897730	18662898	696	14	-0.0000097563	0.000000375799
1	18662899	20469148	775	14	0.0000646762	0.000000401381
1	20469149	21736587	479	14	0.0002168639	0.000000264799
1	21736588	23086882	546	14	0.0000531984	0.000000343497
1	23086883	23920589	237	14	0.0000773416	0.000000117344
1	23920590	25516844	549	14	0.0002827476	0.000000353486
1	25516845	27401866	434	14	0.0002059629	0.000000205536
1	27401867	30161880	578	14	0.0001565801	0.000000298160
1	30161881	32438684	985	14	0.0001911855	0.000000365022
1	32438685	34799757	716	14	0.0001103522	0.000000364231
1	34799758	37549182	607	14	-0.0000403079	0.000000348117
1	37549183	38731846	394	14	0.0000376446	0.000000198479
1	38731847	40200566	462	14	0.0001285576	0.000000254097
1	40200567	41975326	572	14	0.0002230798	0.000000285337
1	41975327	43758456	592	14	0.0000304402	0.000000268676
1	43758457	44969182	390	14	0.0002263412	0.000000175937
1	44969183	46899500	478	14	0.0006396467	0.000000199856
1	46899501	48002575	318	14	0.0000573469	0.000000136955
1	48002576	48978187	360	14	0.0001511683	0.000000186035
1	48978188	49894176	253	14	0.0002980219	0.000000135948
1	49894177	51713725	266	14	0.0001983547	0.000000099266
1	51713726	54226261	583	14	0.0006087898	0.000000333134
1	54226262	56413116	893	14	-0.0000136354	0.000000369235
1	56413117	57021727	287	14	0.0002108238	0.000000128428
1	57021728	58865398	910	14	-0.0000729884	0.000000359269
1	58865399	59890408	412	14	0.0001612884	0.000000198384
1	59890409	61922364	704	14	0.0000271685	0.000000368740
1	61922365	63455088	581	14	0.0000272992	0.000000336976
1	63455089	65041703	698	14	0.0000399585	0.000000319823
1	65041704	66939403	671	14	0.0000419412	0.000000299553
1	66939404	68477894	719	14	0.0002295342	0.000000309811
1	68477895	69687615	400	14	-0.0001114835	0.000000195236
1	69687616	71372469	559	14	-0.0000284993	0.000000270076
1	71372470	71684404	87	10	0.0000689890	0.000000033322
1	71684405	74326906	585	14	-0.0000813087	0.000000213258
1	74326907	76728134	759	14	0.0000233040	0.000000291476
1	76728135	79661197	991	14	-0.0000143071	0.000000364123
1	79661198	81354190	500	14	0.0002350078	0.000000252402
1	81354191	83991747	1022	14	0.0000615889	0.000000377944
1	83991748	84844494	328	14	-0.0001730992	0.000000118177
1	84844495	86454750	681	14	0.0000791760	0.000000347937
1	86454751	88128630	610	14	0.0000155057	0.000000322679
1	88128631	90066302	553	14	0.0000256695	0.000000264749
1	90066303	91886316	589	14	0.0003878783	0.000000323465
1	91886317	93536458	538	14	0.0000946563	0.000000229395
1	93536459	94506190	268	14	0.0000700585	0.000000107812
1	94506191	96150892	696	14	0.0000947700	0.000000366271
1	96150893	97885248	637	14	0.0002318162	0.000000263635
1	97885249	99800603	670	14	-0.0000537501	0.000000300789
1	99800604	100826404	348	14	0.0000101940	0.000000131893
1	100826405	102041015	473	14	0.0000358010	0.000000208208
1	102041016	102898744	292	14	0.0001867984	0.000000152714
1	102898745	103914210	213	14	0.0003988843	0.000000100962
1	103914211	106087841	480	14	0.0000270813	0.000000224347
1	106087842	108409664	770	14	-0.0000335997	0.000000368043
1	108409665	110303930	598	14	0.0000942378	0.000000320523
1	110303931	111741736	614	14	-0.0000018228	0.000000390937
1	111741737	113273305	757	14	0.0001540040	0.000000374524
1	113273306	114873844	539	14	-0.0000950172	0.000000280542
1	114873845	115880592	357	14	0.0000990778	0.000000145969
1	115880593	118839066	914	14	-0.0000163371	0.000000377121
1	118839067	144977493	606	14	0.0004195635	0.000000296132
1	144977494	148361252	465	14	0.0002200197	0.000000221007
1	148361253	151538880	363	14	0.0004244379	0.000000167274
1	151538881	153180828	521	14	0.0000681280	0.000000202133
1	153180829	154770402	491	14	0.0002057796	0.000000241237
1	154770403	156336132	322	14	0.0005572587	0.000000198601
1	156336133	158027411	643	14	0.0001965191	0.000000357062
1	158027412	159913047	739	14	0.0002292503	0.000000403876
1	159913048	162346720	944	14	0.0002200124	0.000000399196
1	162346721	165191701	1279	14	-0.0000886303	0.000000361968
1	165191702	166460516	581	14	-0.0000415266	0.000000323810
1	166460517	169086323	1205	14	0.0000630365	0.000000393133
1	169086324	170557775	590	14	-0.0000597096	0.000000218429
1	170557776	173097906	978	14	0.0008788199	0.000000422718
1	173097907	175089767	448	14	0.0000582011	0.000000135682
1	175089768	177433380	871	14	0.0002471404	0.000000384101
1	177433381	178944308	544	14	0.0000080212	0.000000236280
1	178944309	178954469	2	1	-0.0000220325	0.000000001102
1	178954470	181144120	811	14	0.0000253338	0.000000352170
1	181144121	182755355	667	14	0.0000949223	0.000000371710
1	182755356	184595512	674	14	0.0000403777	0.000000305046
1	184595513	186810022	581	14	0.0002050450	0.000000269495
1	186810023	188759944	696	14	0.0000684624	0.000000312731
1	188759945	189904129	244	14	0.0000144818	0.000000084110
1	189904130	191868929	592	14	0.0001196453	0.000000209235
1	191868930	194107441	647	14	0.0001178711	0.000000301747
1	194107442	196176200	631	14	0.0000713403	0.000000251394
1	196176201	197311513	206	14	0.0002271723	0.000000081240
1	197311514	199239883	549	14	-0.0000129233	0.000000250701
1	199239884	200137648	344	14	0.0002932570	0.000000182356
1	200137649	201589974	749	14	0.0003344914	0.000000397569
1	201589975	203334733	654	14	-0.0000246323	0.000000388706
1	203334734	204681067	538	14	-0.0000416475	0.000000301511
1	204681068	206073264	604	14	0.0001427188	0.000000343874
1	206073265	208410363	699	14	-0.0000539630	0.000000363655
1	208410364	210787749	1016	14	0.0002007526	0.000000385207
1	210787750	212842329	741	14	0.0000803434	0.000000367998
1	212842330	214578265	646	14	0.0001499884	0.000000383101
1	214578266	216243633	643	14	0.0001424279	0.000000316423
1	216243634	218705512	1149	14	0.0000795699	0.000000350335
1	218705513	219590570	314	14	-0.0000284690	0.000000132353
1	219590571	221858230	751	14	0.0001337804	0.000000359616
1	221858231	222230219	187	14	0.0001308264	0.000000097554
1	222230220	224938519	634	14	0.0001655705	0.000000447795
1	224938520	226810859	558	14	0.0001119160	0.000000289730
1	226810860	229156247	790	14	0.0002214062	0.000000405228
1	229156248	230685254	599	14	0.0003587990	0.000000400323
1	230685255	232090251	629	14	0.0005628988	0.000000396016
1	232090252	233429283	651	14	0.0002302046	0.000000414970
1	233429284	234599433	594	14	-0.0000051331	0.000000367976
1	234599434	235819435	416	14	0.0001804138	0.000000283903
1	235819436	237555627	787	14	-0.0000022556	0.000000380566
1	237555628	238567806	460	14	0.0001422140	0.000000271407
1	238567807	239925313	531	14	0.0000452130	0.000000298937
1	239925314	240564090	377	14	0.0001432742	0.000000214645
1	240564091	241582219	554	14	0.0000661597	0.000000418572
1	241582220	242071601	236	14	0.0001531956	0.000000148254
1	242071602	244109498	675	14	0.0000128990	0.000000369182
1	244109499	245506745	554	14	0.0001364099	0.000000399217
1	245506746	247344517	793	14	0.0002250619	0.000000426306
1	247344518	249239465	434	14	-0.0001012956	0.000000244990
2	10133	1781021	711	14	-0.0000624262	0.000000352434
2	1781022	3973778	1027	14	0.0000346458	0.000000376410
2	3973779	5708336	661	14	0.0001043639	0.000000361004
2	5708337	6836253	596	14	0.0001699575	0.000000311794
2	6836254	8422146	673	14	0.0001482584	0.000000350683
2	8422147	10298468	723	14	0.0001273678	0.000000378205
2	10298469	12419149	1034	14	0.0001888089	0.000000394864
2	12419150	14335307	625	14	0.0000375059	0.000000311285
2	14335308	16329734	768	14	-0.0000074928	0.000000320098
2	16329735	18647422	899	14	-0.0000969342	0.000000337196
2	18647423	19692403	396	14	-0.0000115995	0.000000192435
2	19692404	21050489	662	14	0.0001863668	0.000000359749
2	21050490	23341382	638	14	0.0002801663	0.000000351462
2	23341383	24686917	457	14	0.0004010330	0.000000241699
2	24686918	26894984	583	14	0.0001661122	0.000000305533
2	26894985	28598776	424	14	0.0003208017	0.000000186686
2	28598777	29217558	254	14	0.0002735693	0.000000138998
2	29217559	30463710	650	14	0.0002420727	0.000000360319
2	30463711	31550449	555	14	0.0002611000	0.000000351848
2	31550450	33363776	520	14	0.0000308732	0.000000313312
2	33363777	35345027	848	14	0.0000545712	0.000000352047
2	35345028	36122005	305	14	0.0000287405	0.000000139691
2	36122006	38132711	978	14	0.0001391706	0.000000358676
2	38132712	39031336	343	14	-0.0000441053	0.000000185883
2	39031337	40281482	317	14	0.0002568546	0.000000179143
2	40281483	43309589	1366	14	0.0001225396	0.000000328990
2	43309590	44313802	417	14	0.0007007550	0.000000283581
2	44313803	46482633	1128	14	0.0003335484	0.000000388960
2	46482634	47318771	436	14	0.0000509136	0.000000300817
2	47318772	48213000	313	14	0.0000831917	0.000000229469
2	48213001	50022256	744	14	-0.0000285766	0.000000333039
2	50022257	50818927	352	14	-0.0000873972	0.000000165190
2	50818928	52491132	668	14	0.0003820179	0.000000357566
2	52491133	53508451	492	14	0.0000922874	0.000000248342
2	53508452	54685225	456	14	0.0000880201	0.000000242552
2	54685226	56203344	632	14	0.0000986887	0.000000322653
2	56203345	57429099	444	14	-0.0000403023	0.000000222995
2	57429100	58297314	284	14	0.0000297306	0.000000140290
2	58297315	60291999	771	14	-0.0000077481	0.000000325805
2	60292000	62429043	611	14	0.0003672396	0.000000346135
2	62429044	64625912	602	14	0.0002560718	0.000000321544
2	64625913	65933443	476	14	-0.0001046021	0.000000254481
2	65933444	67226165	563	14	-0.0000739827	0.000000274045
2	67226166	68010175	433	14	0.0001718029	0.000000213643
2	68010176	69139563	502	14	-0.0000027703	0.000000237292
2	69139564	70755197	555	14	0.0003559146	0.000000271218
2	70755198	73174847	833	14	-0.0000845513	0.000000348212
2	73174848	75630085	762	14	0.0000587306	0.000000372478
2	75630086	76913660	533	14	0.0001838057	0.000000290120
2	76913661	78079263	407	14	0.0002246546	0.000000269101
2	78079264	80050402	861	14	-0.0000416708	0.000000328694
2	80050403	81620840	595	14	0.0002623712	0.000000358192
2	81620841	85140679	927	14	0.0001163935	0.000000290870
2	85140680	88038506	658	14	0.0003973553	0.000000308140
2	88038507	89154525	253	14	0.0005475719	0.000000134848
2	89154526	95326451	4	2	-0.0000065913	0.000000002902
2	95326452	98995200	443	14	0.0000115318	0.000000183844
2	98995201	101822328	931	14	0.0001863419	0.000000322403
2	101822329	102688764	271	14	-0.0000404165	0.000000103059
2	102688765	103588214	418	14	0.0002672307	0.000000149306
2	103588215	105125033	318	14	0.0000681546	0.000000150656
2	105125034	106210057	420	14	0.0000212060	0.000000214348
2	106210058	107408266	467	14	0.0000585450	0.000000228522
2	107408267	108429176	368	14	-0.0001075099	0.000000131822
2	108429177	110572431	556	14	0.0000894933	0.000000261168
2	110572432	113921855	841	14	0.0002082175	0.000000341426
2	113921856	116772469	791	14	0.0000551687	0.000000348406
2	116772470	118367465	422	14	0.0001288059	0.000000168605
2	118367466	121303782	1035	14	-0.0000455021	0.000000342769
2	121303783	123302905	611	14	0.0000700029	0.000000357339
2	123302906	124732249	450	14	0.0001027441	0.000000172488
2	124732250	125840920	401	14	0.0000734319	0.000000178823
2	125840921	127373763	430	14	0.0001094703	0.000000152894
2	127373764	128034346	308	14	-0.0000037247	0.000000155138
2	128034347	129474440	451	14	0.0002189515	0.000000232727
2	129474441	130067169	240	14	0.0003000018	0.000000120664
2	130067170	130658084	219	14	0.0003044578	0.000000114256
2	130658085	133042783	238	14	0.0002078521	0.000000166803
2	133042784	135158577	949	14	-0.0000194839	0.000000349604
2	135158578	137042793	477	14	0.0000405220	0.000000178387
2	137042794	138698116	629	14	0.0000034756	0.000000291289
2	138698117	140100270	453	14	0.0000070524	0.000000154007
2	140100271	141805350	596	14	0.0000612704	0.000000289064
2	141805351	142518601	311	14	0.0001277987	0.000000162179
2	142518602	144519483	679	14	0.0000379026	0.000000329184
2	144519484	146445569	461	14	0.0001872843	0.000000233083
2	146445570	147277161	160	14	-0.0000284170	0.000000064431
2	147277162	150210291	686	14	0.0001105607	0.000000290171
2	150210292	151731461	490	14	0.0001041161	0.000000242723
2	151731462	152486781	294	14	0.0004265233	0.000000143957
2	152486782	154005055	517	14	-0.0000385241	0.000000237964
2	154005056	155391134	508	14	-0.0001147103	0.000000247778
2	155391135	157560634	579	14	0.0000847390	0.000000275333
2	157560635	158533217	174	14	-0.0000163142	0.000000097403
2	158533218	159577081	349	14	0.0000695415	0.000000176982
2	159577082	161769732	748	14	0.0001567422	0.000000341761
2	161769733	163503550	410	14	0.0000838802	0.000000155984
2	163503551	164466637	205	14	0.0002365542	0.000000104417
2	164466638	165178839	185	14	0.0002409437	0.000000095554
2	165178840	167160269	664	14	0.0000667576	0.000000289856
2	167160270	167355969	75	10	0.0002843119	0.000000048037
2	167355970	169968235	883	14	-0.0001126170	0.000000336816
2	169968236	171226244	510	14	0.0000739861	0.000000248540
2	171226245	173138904	605	14	0.0002957835	0.000000353979
2	173138905	175588928	870	14	0.0003121574	0.000000368337
2	175588929	177363635	561	14	0.0002772066	0.000000281841
2	177363636	178553182	482	14	0.0001117995	0.000000198237
2	178553183	181312738	1034	14	0.0000913971	0.000000342667
2	181312739	182266030	315	14	0.0002987397	0.000000147837
2	182266031	184357607	645	14	-0.0000357096	0.000000323787
2	184357608	185280172	245	14	0.0002072199	0.000000114595
2	185280173	189882064	1006	14	0.0003236166	0.000000349862
2	189882065	191973356	520	14	0.0001089159	0.000000230463
2	191973357	195861163	741	14	0.0000683455	0.000000370151
2	195861164	196447455	162	14	-0.0000619453	0.000000066657
2	196447456	198078109	459	14	0.0000785248	0.000000166569
2	198078110	199311124	322	14	-0.0000290749	0.000000099585
2	199311125	201576283	654	14	0.0001418297	0.000000293954
2	201576284	202818636	329	14	0.0000598609	0.000000150955
2	202818637	205799240	779	14	0.0003465221	0.000000374437
2	205799241	206735703	421	14	0.0000294846	0.000000269785
2	206735704	208645398	686	14	0.0003980284	0.000000384124
2	208645399	209941528	353	14	0.0000916171	0.000000185120
2	209941529	212379517	769	14	-0.0000408619	0.000000333588
2	212379518	214014281	650	14	0.0005719574	0.000000397746
2	214014282	215573794	458	14	0.0002027132	0.000000234710
2	215573795	217715660	846	14	-0.0000014255	0.000000370571
2	217715661	218395479	293	14	0.0001025545	0.000000168154
2	218395480	220454550	616	14	0.0003748446	0.000000332199
2	220454551	222521175	895	14	-0.0000381216	0.000000350658
2	222521176	224859418	820	14	-0.0000607891	0.000000367331
2	224859419	225840003	374	14	0.0001437109	0.000000151308
2	225840004	228119841	760	14	0.0001117578	0.000000346696
2	228119842	229370786	470	14	0.0000751573	0.000000220229
2	229370787	231843388	978	14	0.0000566877	0.000000368434
2	231843389	233550002	503	14	0.0000188782	0.000000266913
2	233550003	235150986	824	14	-0.0000159686	0.000000348982
2	235150987	236043549	448	14	-0.0000393263	0.000000301676
2	236043550	237449031	496	14	-0.0000746453	0.000000258571
2	237449032	238760980	562	14	-0.0000585029	0.000000296840
2	238760981	239952642	447	14	0.0001021489	0.000000259501
2	239952643	241560083	714	14	-0.0000240073	0.000000413079
2	241560084	242149920	233	14	0.0000021854	0.000000121282
2	242149921	243188919	143	14	-0.0000359187	0.000000073738
3	60157	1441778	647	14	-0.0000875373	0.000000370492
3	1441779	2992119	956	14	-0.0000158824	0.000000388305
3	2992120	4431646	816	14	-0.0000367247	0.000000375392
3	4431647	6083182	834	14	0.0000193788	0.000000404184
3	6083183	7083386	448	14	-0.0000117584	0.000000282254
3	7083387	8648560	903	14	-0.0000397150	0.000000335664
3	8648561	9543182	525	14	0.0001798587	0.000000389741
3	9543183	11019664	644	14	0.0000991305	0.000000396649
3	11019665	13070798	784	14	0.0003152633	0.000000420777
3	13070799	14816899	837	14	0.0000902807	0.000000387089
3	14816900	16282441	556	14	0.0005759505	0.000000319666
3	16282442	17891117	523	14	-0.0000373007	0.000000251923
3	17891118	19125143	357	14	0.0002441926	0.000000195378
3	19125144	20091347	209	14	0.0001945496	0.000000134019
3	20091348	21643706	672	14	0.0000750229	0.000000346899
3	21643707	22204243	409	14	0.0000203014	0.000000246466
3	22204244	23804864	565	14	0.0003283911	0.000000340039
3	23804865	25461557	780	14	0.0003068891	0.000000381671
3	25461558	26877768	491	14	0.0000085527	0.000000240023
3	26877769	27840909	283	14	0.0002747458	0.000000153840
3	27840910	29142259	471	14	-0.0000028064	0.000000250101
3	29142260	30717954	718	14	0.0001868010	0.000000382782
3	30717955	32351714	681	14	-0.0000601855	0.000000355240
3	32351715	33255591	292	14	0.0000601935	0.000000186745
3	33255592	35283457	616	14	0.0001439867	0.000000305775
3	35283458	36486841	427	14	0.0000938091	0.000000206974
3	36486842	38356115	621	14	0.0001880235	0.000000329387
3	38356116	40221297	695	14	-0.0000469306	0.000000336182
3	40221298	41064527	159	14	0.0003295772	0.000000096046
3	41064528	42540001	483	14	0.0000904336	0.000000246291
3	42540002	45165152	731	14	0.0001318872	0.000000348133
3	45165153	46657499	575	14	-0.0000142763	0.000000272724
3	46657500	47727211	181	14	0.0000155452	0.000000074838
3	47727212	49316971	259	14	-0.0000204025	0.000000058710
3	49316972	51832014	455	14	0.0001172479	0.000000111543
3	51832015	54081389	635	14	0.0002896382	0.000000324431
3	54081390	55348859	694	14	0.0001164294	0.000000374282
3	55348860	56433906	389	14	0.0000651617	0.000000212248
3	56433907	58157518	569	14	0.0003011217	0.000000273759
3	58157519	60272905	1020	14	0.0003973810	0.000000383802
3	60272906	62355665	1038	14	0.0000302063	0.000000379565
3	62355666	63669285	701	14	0.0001454373	0.000000390329
3	63669286	65273537	802	14	0.0000826757	0.000000360665
