chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	97	14	0.0000921718	0.000000053070
1	1892607	3582735	426	14	0.0000281422	0.000000240869
1	3582736	4380810	261	14	0.0003661361	0.000000157831
1	4380811	5913892	845	14	-0.0000710211	0.000000329482
1	5913893	7247334	416	14	0.0000799553	0.000000216570
1	7247335	9365198	678	14	0.0002388552	0.000000350567
1	9365199	10806983	342	14	0.0000178295	0.000000155510
1	10806984	11777840	250	14	0.0000460374	0.000000129816
1	11777841	12779465	271	14	0.0000332193	0.000000145283
1	12779466	14891510	601	14	0.0001567104	0.000000344978
1	14891511	16897729	654	14	0.0000412274	0.000000334003
1	16897730	18662898	632	14	0.0001408573	0.000000343899
1	18662899	20469148	690	14	-0.0000401185	0.000000331585
1	20469149	21736587	445	14	0.0001269374	0.000000229647
1	21736588	23086882	501	14	0.0001324560	0.000000284601
1	23086883	23920589	219	14	0.0001237899	0.000000111378
1	23920590	25516844	508	14	0.0000537540	0.000000281500
1	25516845	27401866	401	14	-0.0000419815	0.000000164898
1	27401867	30161880	535	14	0.0001521898	0.000000251432
1	30161881	32438684	891	14	0.0002046689	0.000000348241
1	32438685	34799757	658	14	0.0000934087	0.000000339890
1	34799758	37549182	540	14	0.0001159156	0.000000273835
1	37549183	38731846	362	14	-0.0000828155	0.000000164174
1	38731847	40200566	436	14	0.0002641094	0.000000230421
1	40200567	41975326	539	14	0.0003489579	0.000000269828
1	41975327	43758456	519	14	0.0002236302	0.000000239744
1	43758457	44969182	359	14	0.0001854496	0.000000160810
1	44969183	46899500	446	14	0.0001149157	0.000000156727
1	46899501	48002575	290	14	0.0002010115	0.000000135059
1	48002576	48978187	331	14	0.0001263476	0.000000171520
1	48978188	49894176	243	14	-0.0000382151	0.000000113855
1	49894177	51713725	254	14	0.0004726964	0.000000117255
1	51713726	54226261	553	14	0.0000022876	0.000000271314
1	54226262	56413116	812	14	0.0004244602	0.000000363197
1	56413117	57021727	260	14	0.0001081106	0.000000115390
1	57021728	58865398	827	14	0.0000164512	0.000000335434
1	58865399	59890408	370	14	0.0003271797	0.000000184373
1	59890409	61922364	656	14	-0.0000426013	0.000000331416
1	61922365	63455088	517	14	0.0001718190	0.000000271726
1	63455089	65041703	633	14	-0.0000893735	0.000000264358
1	65041704	66939403	635	14	0.0000603304	0.000000293942
1	66939404	68477894	669	14	0.0000247440	0.000000273579
1	68477895	69687615	375	14	0.0000032293	0.000000172682
1	69687616	71372469	507	14	0.0000533069	0.000000231797
1	71372470	71684404	82	10	0.0000497014	0.000000031570
1	71684405	74326906	543	14	0.0000330526	0.000000206384
1	74326907	76728134	714	14	0.0000660316	0.000000277864
1	76728135	79661197	923	14	-0.0000414439	0.000000331495
1	79661198	81354190	453	14	0.0003695683	0.000000231914
1	81354191	83991747	945	14	0.0000963387	0.000000340870
1	83991748	84844494	306	14	0.0001683140	0.000000130289
1	84844495	86454750	633	14	0.0003741668	0.000000329660
1	86454751	88128630	551	14	0.0000510007	0.000000262071
1	88128631	90066302	509	14	0.0001381809	0.000000244711
1	90066303	91886316	549	14	0.0002706639	0.000000268898
1	91886317	93536458	493	14	0.0001462974	0.000000208448
1	93536459	94506190	252	14	-0.0000442662	0.000000088822
1	94506191	96150892	632	14	0.0000090348	0.000000310203
1	96150893	97885248	587	14	0.0002120288	0.000000242531
1	97885249	99800603	623	14	0.0002395315	0.000000278523
1	99800604	100826404	330	14	0.0002241306	0.000000140487
1	100826405	102041015	438	14	0.0000184454	0.000000192192
1	102041016	102898744	271	14	0.0002302400	0.000000127405
1	102898745	103914210	197	14	-0.0000825239	0.000000065953
1	103914211	106087841	444	14	0.0000867558	0.000000204429
1	106087842	108409664	716	14	-0.0000873216	0.000000328373
1	108409665	110303930	554	14	0.0004831686	0.000000274557
1	110303931	111741736	554	14	0.0000926299	0.000000309012
1	111741737	113273305	703	14	0.0001288863	0.000000343085
1	113273306	114873844	503	14	0.0002851993	0.000000259710
1	114873845	115880592	338	14	0.0003144454	0.000000156317
1	115880593	118839066	824	14	-0.0001134995	0.000000326592
1	118839067	144977493	552	14	0.0002393693	0.000000260230
1	144977494	148361252	424	14	0.0002125682	0.000000207366
1	148361253	151538880	347	14	0.0001301302	0.000000147855
1	151538881	153180828	463	14	0.0002477959	0.000000195978
1	153180829	154770402	442	14	0.0000825218	0.000000202752
1	154770403	156336132	302	14	0.0001596691	0.000000151155
1	156336133	158027411	594	14	0.0001220642	0.000000295122
1	158027412	159913047	660	14	-0.0000123324	0.000000328804
1	159913048	162346720	853	14	0.0001266271	0.000000342931
1	162346721	165191701	1175	14	0.0000936051	0.000000340684
1	165191702	166460516	519	14	0.0002457344	0.000000287820
1	166460517	169086323	1082	14	-0.0000978468	0.000000327657
1	169086324	170557775	551	14	0.0003554286	0.000000235885
1	170557776	173097906	874	14	0.0001687668	0.000000345798
1	173097907	175089767	405	14	0.0002196951	0.000000132455
1	175089768	177433380	761	14	0.0002061333	0.000000344443
1	177433381	178944308	475	14	0.0002104147	0.000000223975
1	178944309	178954469	2	1	-0.0000110586	0.000000000373
1	178954470	181144120	728	14	0.0001905086	0.000000334073
1	181144121	182755355	583	14	0.0001291626	0.000000309211
1	182755356	184595512	609	14	0.0002592270	0.000000278384
1	184595513	186810022	512	14	0.0001881967	0.000000224587
1	186810023	188759944	604	14	0.0003394099	0.000000282346
1	188759945	189904129	211	14	0.0001845554	0.000000080792
1	189904130	191868929	530	14	0.0002684736	0.000000209062
1	191868930	194107441	558	14	0.0000630661	0.000000246847
1	194107442	196176200	560	14	-0.0000394899	0.000000215560
1	196176201	197311513	189	14	-0.0000544960	0.000000055157
1	197311514	199239883	492	14	0.0002197910	0.000000236635
1	199239884	200137648	296	14	0.0000625233	0.000000132219
1	200137649	201589974	687	14	0.0001292074	0.000000343106
1	201589975	203334733	597	14	0.0001722241	0.000000328202
1	203334734	204681067	474	14	-0.0000261316	0.000000232157
1	204681068	206073264	565	14	0.0000293834	0.000000288832
1	206073265	208410363	608	14	0.0002526603	0.000000340620
1	208410364	210787749	899	14	0.0003352700	0.000000357128
1	210787750	212842329	680	14	0.0001026263	0.000000341298
1	212842330	214578265	603	14	0.0001621203	0.000000326746
1	214578266	216243633	579	14	0.0001085656	0.000000285217
1	216243634	218705512	1062	14	0.0000660583	0.000000338810
1	218705513	219590570	275	14	0.0002571125	0.000000134968
1	219590571	221858230	676	14	0.0003267137	0.000000344108
1	221858231	222230219	170	14	-0.0000065911	0.000000083288
1	222230220	224938519	449	14	0.0003089864	0.000000233453
1	224938520	226810859	501	14	0.0000210734	0.000000233914
1	226810860	229156247	681	14	-0.0001064293	0.000000300828
1	229156248	230685254	520	14	-0.0000416544	0.000000268335
1	230685255	232090251	579	14	0.0002811500	0.000000309684
1	232090252	233429283	593	14	0.0001050389	0.000000336010
1	233429284	234599433	520	14	0.0002379653	0.000000295488
1	234599434	235819435	376	14	0.0000827265	0.000000201377
1	235819436	237555627	709	14	0.0000012125	0.000000334397
1	237555628	238567806	419	14	-0.0000925310	0.000000210560
1	238567807	239925313	480	14	-0.0000439065	0.000000251246
1	239925314	240564090	328	14	0.0000585259	0.000000168971
1	240564091	241582219	509	14	0.0005259191	0.000000338442
1	241582220	242071601	215	14	0.0000352136	0.000000114313
1	242071602	244109498	607	14	0.0002108283	0.000000333910
1	244109499	245506745	504	14	0.0000323711	0.000000279304
1	245506746	247344517	688	14	0.0000161072	0.000000335411
1	247344518	249239465	379	14	0.0002389782	0.000000208456
2	10133	1781021	662	14	0.0001700134	0.000000345883
2	1781022	3973778	965	14	-0.0000083867	0.000000333744
