chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	100	18	0.0001352109	0.000000008608
1	1892607	3582735	440	40	0.0003354384	0.000000032315
1	3582736	4380810	273	40	0.0001180911	0.000000017479
1	4380811	5913892	858	40	0.0001414191	0.000000034766
1	5913893	7247334	427	40	0.0001349417	0.000000024550
1	7247335	9365198	696	40	0.0001643577	0.000000035126
1	9365199	10806983	352	40	0.0002415452	0.000000021561
1	10806984	11777840	253	40	0.0000697118	0.000000014869
1	11777841	12779465	284	40	0.0002800232	0.000000021795
1	12779466	14891510	616	40	0.0000881980	0.000000033679
1	14891511	16897729	693	40	0.0005901015	0.000000044766
1	16897730	18662898	666	40	0.0000412972	0.000000032709
1	18662899	20469148	714	40	0.0003399504	0.000000039266
1	20469149	21736587	459	40	0.0002206380	0.000000027098
1	21736588	23086882	521	40	0.0002296713	0.000000032794
1	23086883	23920589	220	28	0.0003345206	0.000000018124
1	23920590	25516844	519	40	0.0002030005	0.000000031766
1	25516845	27401866	411	40	0.0002995581	0.000000024026
1	27401867	30161880	547	40	0.0003669352	0.000000032233
1	30161881	32438684	928	40	0.0000851837	0.000000033446
1	32438685	34799757	673	40	0.0001420238	0.000000034591
1	34799758	37549182	554	40	0.0001663763	0.000000030300
1	37549183	38731846	368	40	0.0003275013	0.000000024836
1	38731847	40200566	446	40	0.0000586897	0.000000022837
1	40200567	41975326	551	40	0.0000438212	0.000000025430
1	41975327	43758456	539	40	0.0001291093	0.000000025962
1	43758457	44969182	368	35	-0.0000162647	0.000000015137
1	44969183	46899500	457	38	0.0002621697	0.000000021316
1	46899501	48002575	297	33	0.0001497084	0.000000015890
1	48002576	48978187	342	40	0.0001617305	0.000000020578
1	48978188	49894176	247	28	0.0000511633	0.000000013203
1	49894177	51713725	255	25	0.0002397228	0.000000014379
1	51713726	54226261	561	40	0.0001328773	0.000000029338
1	54226262	56413116	828	40	0.0001813399	0.000000035607
1	56413117	57021727	271	31	0.0001016959	0.000000013743
1	57021728	58865398	846	40	0.0000438198	0.000000032333
1	58865399	59890408	383	40	0.0001718191	0.000000020756
1	59890409	61922364	667	40	0.0003650121	0.000000039458
1	61922365	63455088	533	40	0.0002613842	0.000000031728
1	63455089	65041703	658	40	0.0000980772	0.000000029017
1	65041704	66939403	641	40	0.0002661294	0.000000033523
1	66939404	68477894	679	40	0.0001262974	0.000000029383
1	68477895	69687615	374	40	0.0002018952	0.000000022204
1	69687616	71372469	515	40	0.0001507913	0.000000025891
1	71372470	71684404	82	10	0.0000305991	0.000000003710
1	71684405	74326906	556	40	0.0001397117	0.000000023363
1	74326907	76728134	711	40	0.0000929120	0.000000028375
1	76728135	79661197	943	40	0.0002373403	0.000000036611
1	79661198	81354190	466	40	-0.0000403080	0.000000020182
1	81354191	83991747	960	40	0.0001751595	0.000000035312
1	83991748	84844494	312	35	0.0001743762	0.000000016213
1	84844495	86454750	643	40	0.0001617640	0.000000032978
1	86454751	88128630	564	40	0.0000701289	0.000000027059
1	88128631	90066302	517	40	0.0001362107	0.000000026310
1	90066303	91886316	557	40	0.0002609684	0.000000030194
1	91886317	93536458	508	40	0.0000644268	0.000000021294
1	93536459	94506190	255	26	0.0001246737	0.000000012483
1	94506191	96150892	644	40	0.0002376810	0.000000034790
1	96150893	97885248	600	40	0.0001711577	0.000000026312
1	97885249	99800603	638	40	0.0003018652	0.000000032325
1	99800604	100826404	314	36	0.0003472203	0.000000020594
1	100826405	102041015	444	40	0.0002034351	0.000000023517
