chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	82	18	-0.0001772078	0.0000000069
1	1892607	3582735	372	40	-0.0000319332	0.0000000203
1	3582736	4380810	241	40	0.0001290163	0.0000000129
1	4380811	5913892	838	40	0.0000435192	0.0000000229
1	5913893	7247334	354	40	0.0000765668	0.0000000160
1	7247335	9365198	636	40	-0.0000023484	0.0000000239
1	9365199	10806983	298	40	-0.0001800536	0.0000000142
1	10806984	11777840	220	40	0.0000845117	0.0000000112
1	11777841	12779465	191	40	0.0002482063	0.0000000113
1	12779466	14891510	569	40	0.0000432135	0.0000000221
1	14891511	16897729	594	40	0.0000107924	0.0000000282
1	16897730	18662898	571	40	-0.0001086213	0.0000000197
1	18662899	20469148	628	40	0.0000887356	0.0000000248
1	20469149	21736587	392	40	-0.0000793272	0.0000000169
1	21736588	23086882	443	40	-0.0000559722	0.0000000275
1	23086883	23920589	179	25	0.0001846220	0.0000000115
1	23920590	25516844	443	40	-0.0000935895	0.0000000197
1	25516845	27401866	305	40	-0.0001848563	0.0000000162
1	27401867	30161880	481	40	-0.0001047405	0.0000000199
1	30161881	32438684	865	40	-0.0001654716	0.0000000239
1	32438685	34799757	606	40	-0.0000723372	0.0000000259
1	34799758	37549182	513	40	0.0000185900	0.0000000196
1	37549183	38731846	318	40	0.0001434245	0.0000000158
1	38731847	40200566	390	40	0.0000467600	0.0000000141
1	40200567	41975326	494	40	0.0001091187	0.0000000159
1	41975327	43758456	474	40	0.0000957542	0.0000000170
1	43758457	44969182	300	34	0.0000362113	0.0000000095
1	44969183	46899500	369	37	-0.0001680542	0.0000000128
1	46899501	48002575	256	32	0.0000359314	0.0000000103
1	48002576	48978187	328	40	-0.0000798202	0.0000000149
1	48978188	49894176	230	28	0.0000139060	0.0000000092
1	49894177	51713725	240	24	-0.0000365788	0.0000000095
1	51713726	54226261	491	40	-0.0000539368	0.0000000180
1	54226262	56413116	733	40	-0.0000364289	0.0000000234
1	56413117	57021727	246	30	0.0000394911	0.0000000091
1	57021728	58865398	820	40	-0.0000186115	0.0000000216
1	58865399	59890408	354	40	0.0000089335	0.0000000149
1	59890409	61922364	627	40	-0.0001549202	0.0000000259
1	61922365	63455088	429	40	-0.0000468219	0.0000000192
1	63455089	65041703	619	40	-0.0000365278	0.0000000183
1	65041704	66939403	593	40	-0.0000907452	0.0000000212
1	66939404	68477894	623	40	-0.0000673440	0.0000000199
1	68477895	69687615	358	40	-0.0001887661	0.0000000214
1	69687616	71372469	485	40	-0.0000369340	0.0000000169
1	71372470	71684404	77	10	0.0000082830	0.0000000024
1	71684405	74326906	503	40	0.0001900931	0.0000000150
1	74326907	76728134	636	40	-0.0000120989	0.0000000182
1	76728135	79661197	874	40	-0.0001623428	0.0000000245
1	79661198	81354190	458	40	0.0000607869	0.0000000135
