chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	94	17	0.0000937017	0.000000011631
1	1892607	3582735	409	29	0.0002846591	0.000000044317
1	3582736	4380810	263	29	0.0003004940	0.000000030385
1	4380811	5913892	864	29	0.0001621709	0.000000052827
1	5913893	7247334	410	29	0.0000151850	0.000000030400
1	7247335	9365198	678	29	0.0001822313	0.000000051375
1	9365199	10806983	337	29	0.0000480573	0.000000022648
1	10806984	11777840	247	29	0.0001918530	0.000000025465
1	11777841	12779465	275	29	0.0001936821	0.000000018348
1	12779466	14891510	606	29	0.0001035510	0.000000050618
1	14891511	16897729	656	29	0.0000752562	0.000000049140
1	16897730	18662898	637	29	0.0001004874	0.000000049654
1	18662899	20469148	686	29	0.0002151166	0.000000054026
1	20469149	21736587	450	29	0.0002647896	0.000000039232
1	21736588	23086882	506	29	0.0002523857	0.000000047271
1	23086883	23920589	214	27	0.0001933355	0.000000018754
1	23920590	25516844	499	29	0.0001283597	0.000000042707
1	25516845	27401866	385	29	0.0005813426	0.000000036366
1	27401867	30161880	525	29	0.0004459144	0.000000046998
1	30161881	32438684	904	29	0.0002063749	0.000000053371
1	32438685	34799757	644	29	0.0002046914	0.000000053151
1	34799758	37549182	522	29	0.0000549157	0.000000038128
1	37549183	38731846	358	29	0.0000950290	0.000000026903
1	38731847	40200566	424	29	0.0006431548	0.000000045249
1	40200567	41975326	540	29	0.0000594151	0.000000038000
1	41975327	43758456	531	29	0.0000640703	0.000000034411
1	43758457	44969182	350	29	0.0001943237	0.000000027483
1	44969183	46899500	439	29	0.0003441807	0.000000030379
1	46899501	48002575	278	29	0.0002578713	0.000000024768
1	48002576	48978187	339	29	0.0001051668	0.000000028212
1	48978188	49894176	237	28	0.0002696470	0.000000024404
1	49894177	51713725	252	25	0.0000624252	0.000000013720
1	51713726	54226261	547	29	0.0002199502	0.000000042716
1	54226262	56413116	812	29	0.0002079638	0.000000048931
1	56413117	57021727	264	29	0.0000606789	0.000000014695
1	57021728	58865398	826	29	-0.0000408883	0.000000047441
1	58865399	59890408	371	29	0.0001494465	0.000000028141
1	59890409	61922364	660	29	0.0001175003	0.000000049418
1	61922365	63455088	514	29	0.0002516875	0.000000032973
1	63455089	65041703	642	29	0.0001896941	0.000000045610
1	65041704	66939403	636	29	0.0001685308	0.000000045758
1	66939404	68477894	662	29	0.0000836495	0.000000041922
1	68477895	69687615	382	29	0.0002491823	0.000000033944
1	69687616	71372469	506	29	0.0001865076	0.000000040040
1	71372470	71684404	80	10	0.0001291985	0.000000007467
1	71684405	74326906	556	29	0.0001520988	0.000000027601
1	74326907	76728134	710	29	0.0003176571	0.000000045618
1	76728135	79661197	924	29	0.0001092004	0.000000048700
1	79661198	81354190	470	29	-0.0000035046	0.000000032524
1	81354191	83991747	964	29	0.0002304503	0.000000053029
1	83991748	84844494	306	29	0.0001884284	0.000000024154
1	84844495	86454750	634	29	0.0001974790	0.000000048077
1	86454751	88128630	553	29	0.0000507017	0.000000039271
1	88128631	90066302	515	29	0.0000598833	0.000000034657
1	90066303	91886316	556	29	0.0002099941	0.000000043613
1	91886317	93536458	497	29	0.0002138224	0.000000032391
1	93536459	94506190	244	26	0.0003746722	0.000000022957
1	94506191	96150892	638	29	0.0003269129	0.000000052833
1	96150893	97885248	598	29	0.0000388634	0.000000033359
1	97885249	99800603	632	29	0.0000632047	0.000000041034
1	99800604	100826404	329	29	0.0003018129	0.000000028023
1	100826405	102041015	439	29	0.0001518668	0.000000033689
1	102041016	102898744	271	29	0.0000955166	0.000000021389
1	102898745	103914210	195	21	0.0000154247	0.000000012025
1	103914211	106087841	452	29	0.0000303122	0.000000031864
1	106087842	108409664	721	29	0.0002198729	0.000000053163
1	108409665	110303930	545	29	0.0007254760	0.000000038800
1	110303931	111741736	560	29	0.0003048945	0.000000050135
1	111741737	113273305	691	29	0.0001325294	0.000000048156
1	113273306	114873844	496	29	0.0000639514	0.000000036067
1	114873845	115880592	337	29	0.0001818078	0.000000023803
1	115880593	118839066	810	29	0.0003013856	0.000000055139
