chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	101	18	0.0001304779	0.000000002255
1	1892607	3582735	442	40	0.0008124572	0.000000011277
1	3582736	4380810	275	40	0.0002333499	0.000000004322
1	4380811	5913892	877	40	0.0000599640	0.000000005017
1	5913893	7247334	434	40	0.0001689645	0.000000004643
1	7247335	9365198	704	40	0.0003825249	0.000000007745
1	9365199	10806983	354	40	0.0003518974	0.000000005361
1	10806984	11777840	260	40	0.0002833264	0.000000004528
1	11777841	12779465	289	40	0.0000801227	0.000000003207
1	12779466	14891510	619	40	0.0001964755	0.000000006224
1	14891511	16897729	694	40	0.0001224212	0.000000005595
1	16897730	18662898	668	40	0.0005769761	0.000000009575
1	18662899	20469148	724	40	0.0003969329	0.000000008066
1	20469149	21736587	462	40	0.0004920939	0.000000007311
1	21736588	23086882	526	40	0.0003806917	0.000000007265
1	23086883	23920589	223	28	0.0005033181	0.000000005762
1	23920590	25516844	525	40	0.0003984702	0.000000007374
1	25516845	27401866	414	40	0.0006976820	0.000000008473
1	27401867	30161880	555	40	0.0003378977	0.000000006436
1	30161881	32438684	939	40	0.0004083315	0.000000007905
1	32438685	34799757	678	40	0.0002001046	0.000000006198
1	34799758	37549182	555	40	0.0002511032	0.000000006025
1	37549183	38731846	375	40	0.0004076741	0.000000005968
1	38731847	40200566	448	40	0.0001717261	0.000000004581
1	40200567	41975326	557	40	0.0007348705	0.000000009673
1	41975327	43758456	552	40	0.0004443056	0.000000007038
1	43758457	44969182	373	36	0.0001360322	0.000000003375
1	44969183	46899500	462	39	0.0004489188	0.000000005986
1	46899501	48002575	297	33	0.0004582850	0.000000005615
1	48002576	48978187	346	40	0.0003059116	0.000000004941
1	48978188	49894176	248	28	0.0000299192	0.000000001962
1	49894177	51713725	261	25	0.0002841475	0.000000003677
1	51713726	54226261	565	40	0.0004245135	0.000000007334
1	54226262	56413116	842	40	0.0003124043	0.000000007150
1	56413117	57021727	273	31	0.0002391610	0.000000003623
1	57021728	58865398	852	40	0.0001758876	0.000000005938
1	58865399	59890408	385	40	0.0001996036	0.000000004083
1	59890409	61922364	676	40	0.0002178561	0.000000006305
1	61922365	63455088	536	40	0.0001920685	0.000000005359
1	63455089	65041703	660	40	0.0001722767	0.000000005234
1	65041704	66939403	654	40	0.0003819494	0.000000007147
1	66939404	68477894	692	40	0.0003459051	0.000000006686
1	68477895	69687615	390	40	0.0001088575	0.000000003525
1	69687616	71372469	523	40	0.0001757077	0.000000004762
1	71372470	71684404	83	10	0.0000496335	0.000000000849
1	71684405	74326906	564	40	0.0001487737	0.000000004135
1	74326907	76728134	732	40	0.0003434932	0.000000006647
1	76728135	79661197	956	40	0.0003161350	0.000000007171
1	79661198	81354190	479	40	0.0001357022	0.000000004165
1	81354191	83991747	978	40	0.0001560517	0.000000005751
1	83991748	84844494	317	35	0.0001803307	0.000000003336
1	84844495	86454750	657	40	0.0003434259	0.000000007102
1	86454751	88128630	577	40	0.0003597777	0.000000006821
1	88128631	90066302	529	40	0.0004773457	0.000000007372
1	90066303	91886316	564	40	0.0001570115	0.000000004892
1	91886317	93536458	516	40	0.0005191178	0.000000007290
1	93536459	94506190	257	27	0.0002153132	0.000000003255
1	94506191	96150892	654	40	0.0002788046	0.000000006557
1	96150893	97885248	613	40	0.0002044139	0.000000004971
1	97885249	99800603	645	40	0.0001279373	0.000000004797
1	99800604	100826404	341	37	0.0001165003	0.000000002848
1	100826405	102041015	453	40	0.0002066653	0.000000004504
1	102041016	102898744	280	36	0.0001580406	0.000000003084
1	102898745	103914210	203	21	0.0003897551	0.000000004360
1	103914211	106087841	461	40	0.0001580170	0.000000004227
