chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	92	17	0.0000708172	0.000000012644
1	1892607	3582735	405	28	0.0003325381	0.000000053273
1	3582736	4380810	262	28	0.0000498251	0.000000027878
1	4380811	5913892	863	28	0.0001167357	0.000000061552
1	5913893	7247334	417	28	0.0002614024	0.000000044369
1	7247335	9365198	680	28	0.0001398572	0.000000060063
1	9365199	10806983	339	28	0.0002292226	0.000000032391
1	10806984	11777840	247	28	0.0003570504	0.000000035009
1	11777841	12779465	280	28	0.0002249560	0.000000023085
1	12779466	14891510	607	28	0.0001235014	0.000000061268
1	14891511	16897729	657	28	0.0001094921	0.000000059970
1	16897730	18662898	638	28	0.0001481006	0.000000060850
1	18662899	20469148	684	28	0.0000955659	0.000000060588
1	20469149	21736587	450	28	0.0002947233	0.000000047292
1	21736588	23086882	507	28	0.0002335016	0.000000055605
1	23086883	23920589	214	27	0.0001524409	0.000000020965
1	23920590	25516844	500	28	0.0001206217	0.000000050783
1	25516845	27401866	395	28	0.0011418382	0.000000058956
1	27401867	30161880	524	28	0.0001954728	0.000000047589
1	30161881	32438684	902	28	0.0003039929	0.000000066376
1	32438685	34799757	644	28	0.0000545569	0.000000058759
1	34799758	37549182	527	28	0.0001312443	0.000000048431
1	37549183	38731846	358	28	0.0000832825	0.000000031794
1	38731847	40200566	424	28	0.0001587472	0.000000039031
1	40200567	41975326	540	28	-0.0000361068	0.000000042674
1	41975327	43758456	532	28	0.0002123847	0.000000045632
1	43758457	44969182	351	28	-0.0000383392	0.000000025572
1	44969183	46899500	440	28	0.0000898600	0.000000028241
1	46899501	48002575	280	28	0.0002158893	0.000000027993
1	48002576	48978187	339	28	0.0003161745	0.000000039743
1	48978188	49894176	237	28	0.0002897397	0.000000029090
1	49894177	51713725	252	25	0.0002302276	0.000000021086
1	51713726	54226261	546	28	0.0001260239	0.000000047960
1	54226262	56413116	813	28	0.0016987137	0.000000101054
1	56413117	57021727	265	28	0.0002079145	0.000000021666
1	57021728	58865398	827	28	0.0001002481	0.000000061259
1	58865399	59890408	371	28	0.0000662677	0.000000030948
1	59890409	61922364	660	28	0.0003740328	0.000000066726
1	61922365	63455088	526	28	0.0013749589	0.000000068910
1	63455089	65041703	642	28	0.0003599442	0.000000059236
1	65041704	66939403	634	28	0.0000642971	0.000000051058
1	66939404	68477894	664	28	0.0003174638	0.000000057158
1	68477895	69687615	383	28	0.0001345472	0.000000036772
1	69687616	71372469	506	28	0.0001077553	0.000000044917
1	71372470	71684404	81	10	0.0000423809	0.000000006266
1	71684405	74326906	558	28	0.0001508077	0.000000033146
1	74326907	76728134	713	28	0.0001080076	0.000000048193
1	76728135	79661197	924	28	0.0002531535	0.000000062501
1	79661198	81354190	470	28	0.0001065510	0.000000042268
1	81354191	83991747	965	28	0.0000679325	0.000000058366
1	83991748	84844494	304	28	0.0001635713	0.000000027282
1	84844495	86454750	634	28	0.0001988962	0.000000057327
1	86454751	88128630	552	28	0.0000004174	0.000000045340
1	88128631	90066302	515	28	0.0001085003	0.000000042932
1	90066303	91886316	554	28	0.0001814612	0.000000050495
1	91886317	93536458	500	28	0.0008325872	0.000000056035
1	93536459	94506190	245	26	0.0001574088	0.000000020263
1	94506191	96150892	640	28	0.0001854058	0.000000058608
1	96150893	97885248	598	28	0.0000644952	0.000000040753
1	97885249	99800603	632	28	0.0001331505	0.000000051146
1	99800604	100826404	329	28	0.0001335485	0.000000027691
1	100826405	102041015	439	28	0.0002255911	0.000000042118
1	102041016	102898744	271	28	0.0001007681	0.000000025542
1	102898745	103914210	196	21	0.0000778100	0.000000016194
1	103914211	106087841	452	28	-0.0000291933	0.000000036336
1	106087842	108409664	721	28	0.0001736178	0.000000061856
1	108409665	110303930	555	28	0.0073674317	0.000000208711
1	110303931	111741736	559	28	0.0005028641	0.000000065107
1	111741737	113273305	691	28	0.0001707854	0.000000058783
1	113273306	114873844	497	28	0.0002154344	0.000000047744
1	114873845	115880592	338	28	0.0001798381	0.000000028086
1	115880593	118839066	807	28	0.0000943546	0.000000059270
1	118839067	144977493	564	28	0.0002578271	0.000000037524
1	144977494	148361252	425	28	0.0002952582	0.000000042814
1	148361253	151538880	332	28	0.0004558284	0.000000035952
1	151538881	153180828	451	28	0.0000503295	0.000000033315
1	153180829	154770402	445	28	0.0000893809	0.000000037533
1	154770403	156336132	280	28	0.0004844985	0.000000036547
1	156336133	158027411	576	28	0.0000651416	0.000000052344
1	158027412	159913047	667	28	0.0001948576	0.000000060614
1	159913048	162346720	860	28	0.0002274742	0.000000047839
