chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	100	18	0.0002658743	0.000000012917
1	1892607	3582735	437	32	0.0003955589	0.000000037805
1	3582736	4380810	272	32	0.0001169081	0.000000019902
1	4380811	5913892	866	32	0.0002283820	0.000000040566
1	5913893	7247334	430	32	0.0001710643	0.000000028328
1	7247335	9365198	698	32	0.0002013878	0.000000040162
1	9365199	10806983	353	32	0.0001009730	0.000000020519
1	10806984	11777840	258	32	0.0002277015	0.000000020972
1	11777841	12779465	282	32	0.0002739736	0.000000024142
1	12779466	14891510	617	32	0.0000555485	0.000000036940
1	14891511	16897729	686	32	0.0001531194	0.000000039148
1	16897730	18662898	658	32	0.0001617085	0.000000039676
1	18662899	20469148	710	32	0.0001666187	0.000000039394
1	20469149	21736587	460	32	0.0000020520	0.000000024816
1	21736588	23086882	522	32	0.0001508172	0.000000034569
1	23086883	23920589	222	28	0.0001416394	0.000000015194
1	23920590	25516844	521	32	0.0000605582	0.000000032255
1	25516845	27401866	414	32	0.0005029524	0.000000031154
1	27401867	30161880	551	32	0.0000566742	0.000000028451
1	30161881	32438684	933	32	0.0001676732	0.000000039217
1	32438685	34799757	675	32	0.0000659685	0.000000036804
1	34799758	37549182	550	32	0.0002178136	0.000000034306
1	37549183	38731846	373	32	0.0000806301	0.000000021542
1	38731847	40200566	446	32	0.0000327992	0.000000024935
1	40200567	41975326	554	32	0.0000513492	0.000000028488
1	41975327	43758456	543	32	0.0002385568	0.000000031125
1	43758457	44969182	371	32	0.0001540544	0.000000020807
1	44969183	46899500	457	32	0.0002607246	0.000000023100
1	46899501	48002575	296	32	0.0002277957	0.000000018981
1	48002576	48978187	344	32	0.0002639391	0.000000024902
1	48978188	49894176	247	28	0.0002127037	0.000000018232
1	49894177	51713725	260	25	0.0002038250	0.000000014750
1	51713726	54226261	562	32	0.0001557230	0.000000033025
1	54226262	56413116	834	32	0.0000010342	0.000000035445
1	56413117	57021727	271	31	0.0000805674	0.000000014462
1	57021728	58865398	847	32	0.0003262947	0.000000042613
1	58865399	59890408	382	32	0.0002056220	0.000000023411
1	59890409	61922364	670	32	0.0000337145	0.000000035669
1	61922365	63455088	532	32	0.0002067206	0.000000033705
1	63455089	65041703	659	32	0.0000680292	0.000000031419
1	65041704	66939403	649	32	0.0002777831	0.000000037073
1	66939404	68477894	685	32	0.0003480171	0.000000037416
1	68477895	69687615	386	32	0.0002463717	0.000000025640
1	69687616	71372469	517	32	0.0000213263	0.000000025412
1	71372470	71684404	82	10	0.0000593033	0.000000004653
1	71684405	74326906	558	32	0.0001236212	0.000000025106
1	74326907	76728134	726	32	0.0000896527	0.000000031355
1	76728135	79661197	946	32	0.0000770670	0.000000036609
