chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	168	16	0.0003141298	0.000000069653
1	1892607	3582735	496	16	0.0001429275	0.000000189912
1	3582736	4380810	285	16	0.0003718711	0.000000122638
1	4380811	5913892	905	16	0.0000280974	0.000000215978
1	5913893	7247334	415	16	0.0002578387	0.000000151382
1	7247335	9365198	694	16	0.0002110948	0.000000226132
1	9365199	10806983	352	16	0.0002543118	0.000000118320
1	10806984	11777840	259	16	0.0002905133	0.000000105409
1	11777841	12779465	240	16	0.0001836744	0.000000094499
1	12779466	14891510	604	16	0.0001396625	0.000000222168
1	14891511	16897729	716	16	0.0000998707	0.000000219960
1	16897730	18662898	623	16	0.0000581606	0.000000217646
1	18662899	20469148	721	16	-0.0000691959	0.000000210579
1	20469149	21736587	440	16	0.0002240087	0.000000153546
1	21736588	23086882	488	16	0.0015403422	0.000000258796
1	23086883	23920589	213	16	0.0002280580	0.000000077085
1	23920590	25516844	507	16	0.0001591849	0.000000186132
1	25516845	27401866	397	16	0.0005500233	0.000000139761
1	27401867	30161880	586	16	0.0000483165	0.000000173488
1	30161881	32438684	950	16	0.0003482543	0.000000233743
1	32438685	34799757	679	16	0.0005922419	0.000000247281
1	34799758	37549182	621	16	0.0001155993	0.000000210702
1	37549183	38731846	406	16	0.0001891860	0.000000136060
1	38731847	40200566	424	16	-0.0000008519	0.000000137563
1	40200567	41975326	553	16	0.0001210443	0.000000167826
1	41975327	43758456	546	16	0.0001997377	0.000000167141
1	43758457	44969182	347	16	0.0000731116	0.000000099391
1	44969183	46899500	435	16	0.0000636107	0.000000100569
1	46899501	48002575	305	16	0.0000729913	0.000000088842
1	48002576	48978187	356	16	0.0001926122	0.000000123130
1	48978188	49894176	243	16	0.0001000952	0.000000079514
1	49894177	51713725	280	16	0.0001124947	0.000000063851
1	51713726	54226261	539	16	-0.0000526122	0.000000168833
1	54226262	56413116	825	16	0.0000319109	0.000000216189
1	56413117	57021727	267	16	0.0000040891	0.000000071776
1	57021728	58865398	904	16	0.0000443344	0.000000216878
1	58865399	59890408	396	16	0.0002685063	0.000000129915
1	59890409	61922364	676	16	0.0000196365	0.000000215508
1	61922365	63455088	480	16	-0.0000078881	0.000000163917
1	63455089	65041703	674	16	0.0000126148	0.000000187400
1	65041704	66939403	644	16	0.0000077394	0.000000184777
1	66939404	68477894	683	16	0.0002354815	0.000000191755
1	68477895	69687615	385	16	0.0011716999	0.000000181816
1	69687616	71372469	551	16	0.0000368466	0.000000159970
1	71372470	71684404	88	10	-0.0000020284	0.000000019461
1	71684405	74326906	546	16	0.0001125767	0.000000139807
1	74326907	76728134	702	16	0.0001336974	0.000000180065
1	76728135	79661197	969	16	0.0001066706	0.000000220337
1	79661198	81354190	500	16	0.0000263958	0.000000147140
1	81354191	83991747	1003	16	0.0002355432	0.000000227488
1	83991748	84844494	338	16	0.0002451852	0.000000095783
1	84844495	86454750	635	16	0.0000701639	0.000000203396
1	86454751	88128630	578	16	0.0001181123	0.000000183859
1	88128631	90066302	523	16	0.0003833476	0.000000176369
1	90066303	91886316	591	16	0.0002173007	0.000000185619
1	91886317	93536458	507	16	0.0003777218	0.000000153533
1	93536459	94506190	256	16	0.0002661255	0.000000074288
1	94506191	96150892	672	16	0.0000003905	0.000000204314
1	96150893	97885248	646	16	0.0001274419	0.000000162692
1	97885249	99800603	663	16	0.0002758392	0.000000194456
1	99800604	100826404	318	16	0.0002308236	0.000000096668
1	100826405	102041015	466	16	0.0002376120	0.000000141377
1	102041016	102898744	293	16	0.0001059578	0.000000082318
1	102898745	103914210	195	16	0.0001575570	0.000000054692
1	103914211	106087841	494	16	0.0004272550	0.000000162514
1	106087842	108409664	756	16	0.0001258694	0.000000221403
1	108409665	110303930	462	16	0.0002122085	0.000000143521
1	110303931	111741736	583	16	0.0001787840	0.000000213725
1	111741737	113273305	678	16	0.0003482603	0.000000233743
1	113273306	114873844	542	16	0.0001128570	0.000000166915
1	114873845	115880592	340	16	0.0002051925	0.000000097777
1	115880593	118839066	860	16	0.0000956119	0.000000219724
1	118839067	144977493	515	16	0.0001516761	0.000000161753
1	144977494	148361252	440	16	0.0001036202	0.000000134436
1	148361253	151538880	305	16	0.0002217348	0.000000088669
1	151538881	153180828	489	16	0.0001545823	0.000000127133
1	153180829	154770402	455	16	0.0003610125	0.000000155285
1	154770403	156336132	298	16	0.0000477927	0.000000091237
1	156336133	158027411	550	16	0.0001375585	0.000000177959
1	158027412	159913047	636	16	0.0001428991	0.000000212696
1	159913048	162346720	734	16	0.0001904733	0.000000224988
1	162346721	165191701	1232	16	0.0000536288	0.000000217394
1	165191702	166460516	559	16	0.0002726450	0.000000195684
1	166460517	169086323	1164	16	0.0001531534	0.000000222917
1	169086324	170557775	472	16	0.0002848910	0.000000143098
1	170557776	173097906	864	16	0.0006831999	0.000000252328
1	173097907	175089767	516	16	0.0001516559	0.000000093579
1	175089768	177433380	822	16	0.0001592970	0.000000223258
1	177433381	178944308	472	16	0.0002242368	0.000000139314
1	178944309	178954469	2	1	-0.0000113026	0.000000000126
1	178954470	181144120	734	16	0.0003273143	0.000000226291
1	181144121	182755355	635	16	-0.0000262465	0.000000201878
1	182755356	184595512	611	16	0.0001693920	0.000000176481
1	184595513	186810022	572	16	0.0000873528	0.000000148703
1	186810023	188759944	704	16	0.0000077355	0.000000183837
1	188759945	189904129	251	16	0.0002805806	0.000000064212
1	189904130	191868929	589	16	0.0000890359	0.000000133632
1	191868930	194107441	662	16	0.0000668440	0.000000174512
1	194107442	196176200	633	16	-0.0000652875	0.000000148410
1	196176201	197311513	179	15	0.0001227221	0.000000046060
1	197311514	199239883	540	16	0.0002792192	0.000000166069
1	199239884	200137648	345	16	0.0005161779	0.000000122460
1	200137649	201589974	654	16	0.0000967126	0.000000217847
1	201589975	203334733	582	16	0.0000519020	0.000000200952
1	203334734	204681067	486	16	0.0001078196	0.000000165262
1	204681068	206073264	509	16	0.0000826133	0.000000168918
1	206073265	208410363	621	16	0.0002033934	0.000000219418
1	208410364	210787749	967	16	0.0001225683	0.000000221220
1	210787750	212842329	709	16	0.0003346256	0.000000232986
1	212842330	214578265	601	16	-0.0000390674	0.000000196387
1	214578266	216243633	611	16	0.0000193701	0.000000183073
1	216243634	218705512	1125	16	0.0000769131	0.000000218686
1	218705513	219590570	311	16	0.0003187998	0.000000101497
1	219590571	221858230	695	16	0.0003180061	0.000000220005
1	221858231	222230219	182	16	0.0000537243	0.000000059422
1	222230220	224938519	730	16	0.0001244794	0.000000221326
1	224938520	226810859	502	16	-0.0000944217	0.000000143180
1	226810860	229156247	713	16	0.0002629946	0.000000219355
1	229156248	230685254	539	16	0.0000402556	0.000000183292
1	230685255	232090251	591	16	-0.0000297049	0.000000185999
1	232090252	233429283	624	16	0.0001980703	0.000000223955
1	233429284	234599433	560	16	0.0000484388	0.000000190798
1	234599434	235819435	400	16	0.0003715061	0.000000154526
1	235819436	237555627	725	16	0.0002361781	0.000000227524
1	237555628	238567806	418	16	0.0002235009	0.000000151277
1	238567807	239925313	528	16	0.0001515164	0.000000181980
1	239925314	240564090	364	16	0.0001513661	0.000000122163
1	240564091	241582219	541	16	0.0000874741	0.000000206746
1	241582220	242071601	213	16	0.0001666705	0.000000083165
1	242071602	244109498	716	16	0.0002434625	0.000000227928
1	244109499	245506745	540	16	0.0001210821	0.000000204309
1	245506746	247344517	777	16	0.0000377425	0.000000216513
1	247344518	249239465	424	16	0.0001620131	0.000000142532
2	10133	1781021	637	16	0.0001380520	0.000000218207
2	1781022	3973778	984	16	0.0000471726	0.000000217036
2	3973779	5708336	661	16	-0.0000176739	0.000000213438
2	5708337	6836253	583	16	-0.0000292934	0.000000181318
2	6836254	8422146	660	16	0.0001599650	0.000000223295
2	8422147	10298468	672	16	0.0000310304	0.000000216140
2	10298469	12419149	965	16	0.0001882709	0.000000224865
2	12419150	14335307	613	16	0.0001677652	0.000000199296
2	14335308	16329734	750	16	0.0000612390	0.000000217816
2	16329735	18647422	872	16	0.0000401005	0.000000216644
2	18647423	19692403	386	16	0.0000596998	0.000000125849
2	19692404	21050489	624	16	0.0003726236	0.000000224472
2	21050490	23341382	572	16	0.0001416810	0.000000205927
2	23341383	24686917	425	16	0.0000821802	0.000000137242
2	24686918	26894984	506	16	0.0002164670	0.000000171265
2	26894985	28598776	260	16	-0.0000456889	0.000000073172
2	28598777	29217558	212	16	0.0004418367	0.000000089207
2	29217559	30463710	612	16	0.0002183628	0.000000226535
2	30463711	31550449	505	16	0.0001532314	0.000000192361
2	31550450	33363776	493	16	0.0001466310	0.000000189648
2	33363777	35345027	818	16	0.0002188231	0.000000226561
2	35345028	36122005	298	16	-0.0000108892	0.000000090543
2	36122006	38132711	925	16	0.0000020080	0.000000214530
2	38132712	39031336	325	16	0.0002014579	0.000000133217
2	39031337	40281482	295	16	0.0002361206	0.000000116890
2	40281483	43309589	1279	16	0.0005527424	0.000000245089
2	43309590	44313802	272	16	0.0000905065	0.000000106313
2	44313803	46482633	1062	16	-0.0000432454	0.000000212019
2	46482634	47318771	393	16	0.0000700555	0.000000160434
2	47318772	48213000	289	16	0.0000059113	0.000000111990
