chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	203	21	0.0030676667	0.000000323027
1	1892607	3582735	554	21	0.0005411200	0.000000147427
1	3582736	4380810	313	21	0.0001620620	0.000000057405
1	4380811	5913892	919	21	0.0001177352	0.000000085836
1	5913893	7247334	489	21	0.0005490160	0.000000092171
1	7247335	9365198	761	21	0.0003116570	0.000000097992
1	9365199	10806983	413	21	0.0007873501	0.000000085490
1	10806984	11777840	297	21	0.0004910217	0.000000067024
1	11777841	12779465	344	21	0.0002610379	0.000000062558
1	12779466	14891510	650	21	0.0001171251	0.000000085538
1	14891511	16897729	813	21	0.0002457622	0.000000111350
1	16897730	18662898	727	21	0.0001900307	0.000000094797
1	18662899	20469148	811	21	0.0000430685	0.000000096528
1	20469149	21736587	506	21	0.0000466885	0.000000068398
1	21736588	23086882	562	21	0.0001150012	0.000000085608
1	23086883	23920589	257	21	0.0004924990	0.000000051199
1	23920590	25516844	590	21	0.0002225124	0.000000097935
1	25516845	27401866	517	21	0.0010612958	0.000000112076
1	27401867	30161880	644	21	0.0001634540	0.000000094758
1	30161881	32438684	1017	21	0.0002809255	0.000000095984
1	32438685	34799757	747	21	0.0000998989	0.000000094589
1	34799758	37549182	672	21	0.0004963859	0.000000125414
1	37549183	38731846	455	21	0.0006114721	0.000000092112
1	38731847	40200566	481	21	0.0001120456	0.000000063766
1	40200567	41975326	611	21	0.0002546533	0.000000082459
1	41975327	43758456	608	21	0.0003564445	0.000000083699
1	43758457	44969182	413	21	0.0004507956	0.000000061841
1	44969183	46899500	533	21	0.0005512837	0.000000071446
1	46899501	48002575	356	21	0.0006991868	0.000000072704
1	48002576	48978187	367	21	0.0001018437	0.000000048013
1	48978188	49894176	258	21	0.0004152098	0.000000043341
1	49894177	51713725	291	21	0.0007284398	0.000000052305
1	51713726	54226261	611	21	0.0000747243	0.000000077681
1	54226262	56413116	930	21	0.0001283462	0.000000091638
1	56413117	57021727	293	21	0.0003485620	0.000000038922
1	57021728	58865398	931	21	0.0002110160	0.000000094601
1	58865399	59890408	425	21	0.0001297067	0.000000054017
1	59890409	61922364	716	21	0.0001668011	0.000000087732
1	61922365	63455088	595	21	0.0002049966	0.000000078144
1	63455089	65041703	713	21	0.0001272111	0.000000082389
1	65041704	66939403	687	21	0.0003841088	0.000000086560
1	66939404	68477894	737	21	0.0001055306	0.000000077224
1	68477895	69687615	406	21	0.0002047525	0.000000052980
1	69687616	71372469	577	21	0.0001060162	0.000000072809
1	71372470	71684404	93	10	0.0015445397	0.000000065092
1	71684405	74326906	594	21	0.0004444964	0.000000063386
1	74326907	76728134	784	21	0.0001637200	0.000000076421
1	76728135	79661197	1029	21	0.0007593556	0.000000111485
1	79661198	81354190	505	21	0.0001239823	0.000000059745
1	81354191	83991747	1031	21	0.0001088853	0.000000083880
1	83991748	84844494	338	21	0.0009548423	0.000000066584
1	84844495	86454750	693	21	0.0001815314	0.000000085381
1	86454751	88128630	632	21	0.0003487565	0.000000092237
1	88128631	90066302	560	21	0.0000326384	0.000000062618
1	90066303	91886316	610	21	0.0002598013	0.000000081322
1	91886317	93536458	559	21	0.0002764663	0.000000064742
1	93536459	94506190	287	21	0.0001110731	0.000000032504
1	94506191	96150892	719	21	0.0001413069	0.000000090747
1	96150893	97885248	669	21	0.0002384250	0.000000073490
1	97885249	99800603	681	21	0.0001228235	0.000000075270
1	99800604	100826404	353	21	0.0002026669	0.000000039303
