chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	102	19	-0.0000197923	0.000000002013
1	1892607	3582735	424	40	-0.0000097157	0.000000010024
1	3582736	4380810	262	40	-0.0000255993	0.000000005657
1	4380811	5913892	842	40	0.0000994365	0.000000015186
1	5913893	7247334	419	40	0.0001717627	0.000000011770
1	7247335	9365198	677	40	0.0001711747	0.000000016246
1	9365199	10806983	344	40	0.0000230290	0.000000007276
1	10806984	11777840	249	40	0.0000398115	0.000000006294
1	11777841	12779465	272	40	0.0000462328	0.000000007126
1	12779466	14891510	601	40	0.0000256525	0.000000014096
1	14891511	16897729	653	40	0.0000320135	0.000000014052
1	16897730	18662898	630	40	0.0000779599	0.000000014869
1	18662899	20469148	692	40	0.0000740698	0.000000014811
1	20469149	21736587	444	40	0.0000218777	0.000000009832
1	21736588	23086882	500	40	0.0001744282	0.000000014145
1	23086883	23920589	219	28	-0.0000219841	0.000000004402
1	23920590	25516844	509	40	-0.0000401517	0.000000011058
1	25516845	27401866	403	40	0.0000687581	0.000000008497
1	27401867	30161880	535	40	0.0001317156	0.000000012249
1	30161881	32438684	889	40	0.0000744467	0.000000014817
1	32438685	34799757	658	40	-0.0000254562	0.000000013313
1	34799758	37549182	538	40	0.0000452914	0.000000011853
1	37549183	38731846	364	40	0.0000528137	0.000000008344
1	38731847	40200566	436	40	0.0000489477	0.000000009930
1	40200567	41975326	538	40	0.0000274910	0.000000010876
1	41975327	43758456	520	40	0.0000053380	0.000000009780
1	43758457	44969182	359	35	0.0000575802	0.000000007485
1	44969183	46899500	446	38	0.0000649511	0.000000007621
1	46899501	48002575	289	33	-0.0000256519	0.000000005111
1	48002576	48978187	331	40	0.0000944569	0.000000008630
1	48978188	49894176	243	28	0.0000370243	0.000000005844
1	49894177	51713725	254	25	0.0000449307	0.000000004625
1	51713726	54226261	552	40	0.0000848052	0.000000012656
1	54226262	56413116	811	40	0.0000288044	0.000000014142
1	56413117	57021727	260	30	0.0000356215	0.000000005469
1	57021728	58865398	826	40	0.0000441257	0.000000014369
1	58865399	59890408	369	40	-0.0000097985	0.000000007038
1	59890409	61922364	656	40	0.0001392988	0.000000015775
1	61922365	63455088	515	40	0.0000052357	0.000000011041
1	63455089	65041703	636	40	0.0000275407	0.000000011893
1	65041704	66939403	635	40	0.0000426544	0.000000012749
1	66939404	68477894	670	40	0.0000988903	0.000000012947
1	68477895	69687615	374	40	0.0001623478	0.000000009987
1	69687616	71372469	505	40	0.0001033364	0.000000011281
1	71372470	71684404	82	10	-0.0000142637	0.000000001145
1	71684405	74326906	545	40	-0.0000180956	0.000000008639
1	74326907	76728134	714	40	0.0001078992	0.000000013107
1	76728135	79661197	922	40	0.0000237122	0.000000014067
1	79661198	81354190	453	40	0.0000604195	0.000000009880
1	81354191	83991747	944	40	0.0000683275	0.000000014726
1	83991748	84844494	305	34	0.0001055997	0.000000006937
1	84844495	86454750	631	40	0.0000022456	0.000000012620
1	86454751	88128630	549	40	0.0000152662	0.000000011135
1	88128631	90066302	509	40	0.0000187945	0.000000010363
1	90066303	91886316	545	40	0.0000771967	0.000000011692
1	91886317	93536458	493	40	0.0000718097	0.000000009692
1	93536459	94506190	252	26	0.0000023921	0.000000004271
1	94506191	96150892	631	40	0.0000192054	0.000000013091
1	96150893	97885248	586	40	0.0001123440	0.000000011442
1	97885249	99800603	621	40	0.0000616577	0.000000011957
1	99800604	100826404	331	36	0.0000311266	0.000000006166
1	100826405	102041015	436	40	0.0000976285	0.000000009744
1	102041016	102898744	271	36	0.0000010798	0.000000005123
1	102898745	103914210	198	21	0.0000003925	0.000000003370
1	103914211	106087841	443	40	-0.0000007672	0.000000008621
1	106087842	108409664	717	40	0.0000683794	0.000000014727
1	108409665	110303930	556	40	0.0000586800	0.000000011254
1	110303931	111741736	551	40	0.0000911495	0.000000013851
1	111741737	113273305	703	40	0.0000188385	0.000000013995
1	113273306	114873844	503	40	0.0000145928	0.000000010493
1	114873845	115880592	338	36	0.0000481411	0.000000006799
1	115880593	118839066	821	40	0.0000493199	0.000000014446
1	118839067	144977493	552	40	0.0001948171	0.000000013291
1	144977494	148361252	423	40	0.0000848454	0.000000009665
1	148361253	151538880	347	34	0.0000439529	0.000000006901
1	151538881	153180828	463	40	0.0000529825	0.000000008675
1	153180829	154770402	440	40	0.0001437422	0.000000010671
1	154770403	156336132	301	38	0.0001267382	0.000000008149
1	156336133	158027411	593	40	0.0000763098	0.000000013108
1	158027412	159913047	657	40	0.0000690069	0.000000014488
1	159913048	162346720	851	40	0.0000087930	0.000000013847
1	162346721	165191701	1168	40	0.0000738169	0.000000014808
1	165191702	166460516	519	40	0.0000456348	0.000000012105
1	166460517	169086323	1078	40	0.0000571087	0.000000014561
1	169086324	170557775	550	40	0.0000018728	0.000000009181
1	170557776	173097906	871	40	-0.0000036217	0.000000013663
1	173097907	175089767	405	32	0.0000127966	0.000000005541
1	175089768	177433380	761	40	0.0000949329	0.000000014982
1	177433381	178944308	475	40	0.0001419434	0.000000011193
1	178944309	178954469	2	1	0.0000027137	0.000000000094
1	178954470	181144120	728	40	0.0000401588	0.000000013814
1	181144121	182755355	583	40	-0.0000494574	0.000000011774
1	182755356	184595512	610	40	0.0001023950	0.000000012586
1	184595513	186810022	512	40	0.0000464880	0.000000009866
1	186810023	188759944	603	40	0.0000545081	0.000000011769
1	188759945	189904129	210	16	0.0000165270	0.000000003418
1	189904130	191868929	530	40	0.0000299341	0.000000008800
1	191868930	194107441	558	40	0.0000773769	0.000000011502
1	194107442	196176200	561	40	0.0001051261	0.000000011006
1	196176201	197311513	189	16	0.0000183518	0.000000003037
1	197311514	199239883	492	40	0.0000994401	0.000000011032
1	199239884	200137648	296	35	0.0000006517	0.000000005799
1	200137649	201589974	686	40	0.0000161566	0.000000013956
1	201589975	203334733	592	40	0.0000870951	0.000000014232
1	203334734	204681067	475	40	0.0000612658	0.000000010962
1	204681068	206073264	565	40	-0.0000212745	0.000000011695
1	206073265	208410363	607	40	0.0000750357	0.000000014412
1	208410364	210787749	893	40	0.0001467331	0.000000015885
1	210787750	212842329	679	40	0.0000771866	0.000000014857
1	212842330	214578265	601	40	0.0000387499	0.000000013600
1	214578266	216243633	579	40	0.0000775953	0.000000012825
1	216243634	218705512	1061	40	-0.0000506341	0.000000012969
1	218705513	219590570	274	33	-0.0000182359	0.000000005057
1	219590571	221858230	676	40	0.0000801769	0.000000014460
1	221858231	222230219	170	21	-0.0000006449	0.000000003872
1	222230220	224938519	449	40	0.0000473792	0.000000009907
1	224938520	226810859	501	40	0.0000972048	0.000000011410
1	226810860	229156247	681	40	0.0000621528	0.000000013698
1	229156248	230685254	518	40	0.0000390582	0.000000011953
1	230685255	232090251	579	40	0.0000252279	0.000000012519
1	232090252	233429283	592	40	-0.0000222070	0.000000013168
1	233429284	234599433	519	40	0.0000222777	0.000000012035
1	234599434	235819435	376	40	0.0000997229	0.000000010021
1	235819436	237555627	704	40	0.0000476303	0.000000014421
1	237555628	238567806	420	40	0.0000967761	0.000000010828
