chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	101	19	0.0001940376	0.000000010548
1	1892607	3582735	441	40	0.0000991969	0.000000026573
1	3582736	4380810	274	40	0.0000681469	0.000000015533
1	4380811	5913892	878	40	0.0000472896	0.000000029761
1	5913893	7247334	433	40	0.0001645883	0.000000022990
1	7247335	9365198	706	40	0.0004073143	0.000000037025
1	9365199	10806983	355	40	-0.0000160236	0.000000013884
1	10806984	11777840	259	40	-0.0000085470	0.000000012719
1	11777841	12779465	292	40	0.0002362369	0.000000016071
1	12779466	14891510	620	40	0.0001466871	0.000000031879
1	14891511	16897729	695	40	0.0000721173	0.000000030378
1	16897730	18662898	670	40	-0.0000147976	0.000000028527
1	18662899	20469148	722	40	0.0001223223	0.000000032133
1	20469149	21736587	462	40	0.0001200542	0.000000022506
1	21736588	23086882	525	40	0.0000528778	0.000000026761
1	23086883	23920589	223	28	0.0002826472	0.000000014921
1	23920590	25516844	526	40	0.0000939153	0.000000027260
1	25516845	27401866	416	40	0.0000704389	0.000000016685
1	27401867	30161880	555	40	0.0001860773	0.000000026411
1	30161881	32438684	937	40	0.0001971683	0.000000032552
1	32438685	34799757	678	40	0.0001482418	0.000000032268
1	34799758	37549182	556	40	0.0001691113	0.000000027841
1	37549183	38731846	375	40	0.0000551348	0.000000016761
1	38731847	40200566	447	40	0.0000878075	0.000000020675
1	40200567	41975326	555	40	0.0000701617	0.000000023496
1	41975327	43758456	552	40	0.0002502572	0.000000025896
1	43758457	44969182	372	35	0.0000179961	0.000000014367
1	44969183	46899500	461	38	-0.0000336144	0.000000012957
1	46899501	48002575	299	33	0.0001242797	0.000000014011
1	48002576	48978187	346	40	0.0001078627	0.000000017505
1	48978188	49894176	248	28	0.0002218955	0.000000015376
1	49894177	51713725	261	25	0.0002365012	0.000000012725
1	51713726	54226261	564	40	-0.0000420360	0.000000022224
1	54226262	56413116	843	40	0.0000164948	0.000000027633
1	56413117	57021727	274	31	0.0001223372	0.000000011484
1	57021728	58865398	852	40	0.0001940718	0.000000032924
1	58865399	59890408	385	40	0.0001085253	0.000000017355
1	59890409	61922364	674	40	0.0001758292	0.000000031698
1	61922365	63455088	544	40	0.0000675086	0.000000021515
1	63455089	65041703	659	40	-0.0000247776	0.000000023841
1	65041704	66939403	654	40	0.0003746168	0.000000032984
1	66939404	68477894	693	40	0.0000384885	0.000000025168
1	68477895	69687615	389	40	0.0000458055	0.000000017589
1	69687616	71372469	524	40	0.0001196178	0.000000023864
1	71372470	71684404	84	10	0.0000336773	0.000000003415
1	71684405	74326906	564	40	0.0005086621	0.000000026028
1	74326907	76728134	733	40	0.0002401396	0.000000028305
1	76728135	79661197	953	40	0.0002146588	0.000000032780
1	79661198	81354190	478	40	0.0001675441	0.000000023091
1	81354191	83991747	979	40	0.0001452882	0.000000031263
1	83991748	84844494	319	36	0.0000712519	0.000000013343
1	84844495	86454750	657	40	0.0000905540	0.000000028609
1	86454751	88128630	576	40	0.0001436101	0.000000026967
1	88128631	90066302	528	40	0.0000141489	0.000000021049
1	90066303	91886316	564	40	-0.0000440372	0.000000022023
1	91886317	93536458	518	40	0.0000972742	0.000000019723
1	93536459	94506190	258	27	0.0001141432	0.000000011546
1	94506191	96150892	655	40	0.0002332028	0.000000031812
1	96150893	97885248	609	40	0.0004342006	0.000000028819
1	97885249	99800603	644	40	0.0002587229	0.000000029318
1	99800604	100826404	341	37	0.0000406058	0.000000012851
1	100826405	102041015	453	40	0.0000737681	0.000000019385
1	102041016	102898744	280	36	0.0001054935	0.000000013669
1	102898745	103914210	204	21	0.0001357399	0.000000010027
1	103914211	106087841	461	40	0.0002474343	0.000000023978
1	106087842	108409664	731	40	0.0001315478	0.000000031308
1	108409665	110303930	573	40	0.0004981465	0.000000027631
1	110303931	111741736	576	40	0.0000895454	0.000000028528
1	111741737	113273305	722	40	0.0002968243	0.000000034032
1	113273306	114873844	513	40	0.0001200175	0.000000024068
1	114873845	115880592	349	37	0.0000021215	0.000000012284
1	115880593	118839066	841	40	0.0000737700	0.000000030271
1	118839067	144977493	574	40	0.0000831510	0.000000019406
1	144977494	148361252	435	40	0.0001500069	0.000000020295
1	148361253	151538880	353	34	0.0001412846	0.000000015362
1	151538881	153180828	478	40	0.0000870002	0.000000018447
1	153180829	154770402	462	40	0.0001130826	0.000000020767
1	154770403	156336132	307	38	0.0001371148	0.000000015821
1	156336133	158027411	598	40	0.0000758264	0.000000027225
1	158027412	159913047	690	40	0.0000531951	0.000000029673
1	159913048	162346720	896	40	0.0000310393	0.000000025033
1	162346721	165191701	1199	40	0.0000833995	0.000000029513
1	165191702	166460516	534	40	0.0000110064	0.000000024830
1	166460517	169086323	1118	40	0.0001919724	0.000000033161
1	169086324	170557775	568	40	0.0000272574	0.000000018473
1	170557776	173097906	916	40	0.0001131281	0.000000028809
1	173097907	175089767	416	32	0.0000807167	0.000000012769
1	175089768	177433380	789	40	0.0001381650	0.000000031256
1	177433381	178944308	505	40	0.0005465727	0.000000026993
1	178944309	178954469	2	1	-0.0000006323	0.000000000135
1	178954470	181144120	754	40	0.0000451214	0.000000028796
1	181144121	182755355	604	40	0.0001342867	0.000000029448
1	182755356	184595512	633	40	0.0004160490	0.000000032136
1	184595513	186810022	524	40	0.0000460290	0.000000020170
1	186810023	188759944	626	40	0.0001943602	0.000000027401
1	188759945	189904129	223	17	0.0000208380	0.000000007270
1	189904130	191868929	546	40	0.0001092057	0.000000019233
1	191868930	194107441	590	40	-0.0000296224	0.000000021243
1	194107442	196176200	589	40	0.0000649703	0.000000021146
1	196176201	197311513	199	16	0.0000189926	0.000000006359
1	197311514	199239883	517	40	0.0002123123	0.000000024507
1	199239884	200137648	308	36	0.0001113948	0.000000014785
1	200137649	201589974	713	40	0.0000625892	0.000000030139
1	201589975	203334733	616	40	0.0004227442	0.000000037490
1	203334734	204681067	489	40	0.0001793590	0.000000025377
1	204681068	206073264	577	40	0.0001787418	0.000000028738
1	206073265	208410363	643	40	0.0000712349	0.000000029531
1	208410364	210787749	945	40	0.0002766739	0.000000034460
1	210787750	212842329	705	40	0.0001804040	0.000000031865
1	212842330	214578265	620	40	0.0000448728	0.000000028024
1	214578266	216243633	598	40	0.0001419761	0.000000027981
1	216243634	218705512	1093	40	-0.0000199462	0.000000027371
1	218705513	219590570	289	35	0.0000513618	0.000000011863
1	219590571	221858230	699	40	0.0000015929	0.000000025359
1	221858231	222230219	178	21	0.0000039357	0.000000008308
1	222230220	224938519	476	40	0.0000478609	0.000000021041
1	224938520	226810859	523	40	0.0001212413	0.000000023753
1	226810860	229156247	707	40	-0.0000101995	0.000000027424
1	229156248	230685254	542	40	0.0001313632	0.000000024495
1	230685255	232090251	595	40	0.0001525853	0.000000028580
1	232090252	233429283	611	40	0.0000859994	0.000000030802
1	233429284	234599433	542	40	0.0000344567	0.000000026019
1	234599434	235819435	388	40	0.0002357862	0.000000023675
1	235819436	237555627	731	40	0.0000369744	0.000000030369
1	237555628	238567806	438	40	-0.0000311735	0.000000020075
1	238567807	239925313	498	40	0.0000641656	0.000000024276
1	239925314	240564090	344	40	0.0001600262	0.000000019055
1	240564091	241582219	522	40	0.0000974425	0.000000030534
1	241582220	242071601	220	38	0.0000935686	0.000000013050
1	242071602	244109498	627	40	0.0002268462	0.000000033108
1	244109499	245506745	523	40	0.0002233715	0.000000031357
1	245506746	247344517	718	40	0.0000440376	0.000000030221
1	247344518	249239465	405	40	0.0001320829	0.000000022327
2	10133	1781021	676	40	0.0008728938	0.000000041794
2	1781022	3973778	973	40	0.0001458851	0.000000031675
2	3973779	5708336	633	40	0.0002109275	0.000000032403
2	5708337	6836253	572	40	0.0001517225	0.000000027277
2	6836254	8422146	657	40	0.0000718678	0.000000030342
2	8422147	10298468	678	40	0.0001053460	0.000000031330
2	10298469	12419149	977	40	0.0000818758	0.000000030454
2	12419150	14335307	594	40	0.0000426441	0.000000025583
2	14335308	16329734	752	40	0.0000313986	0.000000028773
2	16329735	18647422	865	40	0.0000883238	0.000000029984
2	18647423	19692403	387	40	0.0001274683	0.000000019729
2	19692404	21050489	640	40	0.0002497211	0.000000031627
2	21050490	23341382	626	40	0.0001907273	0.000000027335
2	23341383	24686917	443	40	0.0000677593	0.000000019081
2	24686918	26894984	563	40	0.0003066468	0.000000028784
2	26894985	28598776	420	33	0.0003276681	0.000000014906
2	28598777	29217558	246	32	0.0000727441	0.000000011226
2	29217559	30463710	639	40	0.0001049261	0.000000030411
2	30463711	31550449	535	40	0.0001930238	0.000000029943
2	31550450	33363776	499	40	0.0000622978	0.000000025910
2	33363777	35345027	816	40	0.0000083169	0.000000028583
2	35345028	36122005	300	31	0.0002388055	0.000000018027
2	36122006	38132711	938	40	0.0001360217	0.000000030764
2	38132712	39031336	327	38	0.0000695131	0.000000017992
2	39031337	40281482	306	32	0.0000627465	0.000000015796
2	40281483	43309589	1316	40	0.0001316620	0.000000028805
2	43309590	44313802	408	40	0.0001994380	0.000000017189
2	44313803	46482633	1080	40	0.0001895365	0.000000031439
2	46482634	47318771	421	40	0.0000110011	0.000000023039
2	47318772	48213000	304	40	-0.0000360638	0.000000016020
2	48213001	50022256	719	40	0.0000775827	0.000000029436
2	50022257	50818927	345	34	0.0001888134	0.000000019555
2	50818928	52491132	653	40	0.0000129904	0.000000027712
2	52491133	53508451	470	40	0.0000155158	0.000000021378
2	53508452	54685225	435	40	0.0001185996	0.000000022444
2	54685226	56203344	618	40	0.0000888345	0.000000027885
2	56203345	57429099	429	40	0.0001685929	0.000000023316
2	57429100	58297314	277	29	0.0002097994	0.000000016999
2	58297315	60291999	749	40	0.0006717489	0.000000040983
2	60292000	62429043	593	40	0.0001168402	0.000000028432
2	62429044	64625912	588	40	0.0002321112	0.000000030276
2	64625913	65933443	464	40	0.0002141883	0.000000025383
2	65933444	67226165	555	40	0.0002629789	0.000000028319
2	67226166	68010175	428	40	0.0000712472	0.000000019301
2	68010176	69139563	476	40	0.0000920204	0.000000021478
2	69139564	70755197	537	40	0.0000887276	0.000000023202
2	70755198	73174847	812	40	0.0000270643	0.000000029453
2	73174848	75630085	730	40	0.0000709414	0.000000030702
2	75630086	76913660	518	40	0.0001911505	0.000000026991
2	76913661	78079263	395	40	0.0002688255	0.000000025733
2	78079264	80050402	842	40	0.0002955965	0.000000034376
2	80050403	81620840	583	40	0.0001473758	0.000000030729
2	81620841	85140679	907	40	0.0001550052	0.000000028098
2	85140680	88038506	639	40	0.0001352594	0.000000026498
2	88038507	89154525	248	30	0.0000654093	0.000000010968
2	89154526	95326451	4	2	0.0000169674	0.000000000972
2	95326452	98995200	432	40	0.0001046523	0.000000018566
2	98995201	101822328	914	40	0.0002076993	0.000000032521
2	101822329	102688764	261	30	0.0000352780	0.000000010282
2	102688765	103588214	407	36	0.0001521494	0.000000015667
2	103588215	105125033	310	40	0.0002112602	0.000000017651
2	105125034	106210057	407	40	0.0001042061	0.000000020393
2	106210058	107408266	453	40	0.0000544622	0.000000019766
2	107408267	108429176	357	40	0.0001146245	0.000000015172
2	108429177	110572431	536	40	0.0000390821	0.000000022102
2	110572432	113921855	813	40	0.0002371888	0.000000033325
2	113921856	116772469	761	40	0.0000228785	0.000000028833
2	116772470	118367465	407	39	-0.0000197012	0.000000013718
2	118367466	121303782	999	40	0.0001793451	0.000000031796
2	121303783	123302905	579	40	0.0000763069	0.000000026913
2	123302906	124732249	436	40	0.0000123382	0.000000015135
2	124732250	125840920	384	40	0.0001786514	0.000000019354
2	125840921	127373763	414	37	0.0002707601	0.000000018915
2	127373764	128034346	290	40	0.0000831259	0.000000014311
2	128034347	129474440	437	40	0.0000492371	0.000000018165
2	129474441	130067169	227	27	0.0000019030	0.000000008369
2	130067170	130658084	208	26	0.0000321875	0.000000009197
2	130658085	133042783	216	36	0.0000026286	0.000000010862
2	133042784	135158577	919	40	0.0000943361	0.000000030289
2	135158578	137042793	459	40	0.0001370433	0.000000017740
2	137042794	138698116	599	40	0.0001433016	0.000000026989
2	138698117	140100270	440	40	-0.0000140182	0.000000013854
2	140100271	141805350	576	40	0.0000296669	0.000000024911
2	141805351	142518601	300	33	0.0000119041	0.000000013866
2	142518602	144519483	659	40	0.0001617743	0.000000029352
2	144519484	146445569	444	40	0.0002626551	0.000000023764
2	146445570	147277161	154	15	0.0000486567	0.000000007131
2	147277162	150210291	667	40	0.0002619547	0.000000029604
2	150210292	151731461	479	40	0.0001787267	0.000000023622
2	151731462	152486781	286	29	0.0000965872	0.000000012467
2	152486782	154005055	486	40	-0.0000259478	0.000000019743
2	154005056	155391134	493	40	0.0000831054	0.000000022755
2	155391135	157560634	558	40	0.0001944514	0.000000026258
2	157560635	158533217	173	25	0.0000892112	0.000000010607
2	158533218	159577081	335	39	0.0000853781	0.000000016193
2	159577082	161769732	727	40	0.0002104105	0.000000030892
2	161769733	163503550	400	37	0.0001885593	0.000000017472
2	163503551	164466637	197	24	0.0000898181	0.000000010273
2	164466638	165178839	177	21	0.0000921594	0.000000008748
2	165178840	167160269	640	40	0.0001119806	0.000000025073
2	167160270	167355969	74	10	0.0000475680	0.000000004100
2	167355970	169968235	841	40	0.0000438906	0.000000026838
2	169968236	171226244	494	40	0.0000626191	0.000000021903
2	171226245	173138904	578	40	0.0001890376	0.000000029436
2	173138905	175588928	847	40	0.0000869865	0.000000029875
2	175588929	177363635	537	40	0.0000612405	0.000000022736
2	177363636	178553182	475	40	0.0000534777	0.000000018429
2	178553183	181312738	1013	40	0.0001032286	0.000000029663
2	181312739	182266030	303	32	0.0002242559	0.000000016126
2	182266031	184357607	618	40	0.0000345236	0.000000026189
2	184357608	185280172	235	25	-0.0000165554	0.000000008792
2	185280173	189882064	967	40	0.0001920123	0.000000031757
2	189882065	191973356	502	40	0.0001391428	0.000000021671
2	191973357	195861163	720	40	0.0001271669	0.000000031002
2	195861164	196447455	154	20	-0.0000433624	0.000000005490
2	196447456	198078109	451	40	0.0000135197	0.000000015852
2	198078110	199311124	308	26	0.0002496732	0.000000014819
2	199311125	201576283	633	40	0.0000624679	0.000000025911
2	201576284	202818636	319	39	0.0001058107	0.000000015252
2	202818637	205799240	753	40	0.0001042932	0.000000026207
2	205799241	206735703	404	40	0.0000006837	0.000000020636
2	206735704	208645398	660	40	0.0002511431	0.000000033576
2	208645399	209941528	338	40	0.0000176317	0.000000015228
2	209941529	212379517	747	40	0.0002997400	0.000000033870
2	212379518	214014281	629	40	0.0001147990	0.000000030137
2	214014282	215573794	446	40	0.0000582980	0.000000020319
2	215573795	217715660	802	40	0.0000163913	0.000000029234
2	217715661	218395479	276	36	-0.0000153580	0.000000012628
2	218395480	220454550	599	40	0.0000904035	0.000000025611
2	220454551	222521175	862	40	0.0001002365	0.000000030434
2	222521176	224859418	789	40	0.0000281764	0.000000029346
2	224859419	225840003	354	36	0.0000564794	0.000000013781
2	225840004	228119841	738	40	0.0003820855	0.000000033059
2	228119842	229370786	457	40	0.0002550671	0.000000023345
2	229370787	231843388	940	40	0.0001711053	0.000000032377
2	231843389	233550002	471	40	0.0000141373	0.000000019570
2	233550003	235150986	809	40	-0.0000208188	0.000000028317
2	235150987	236043549	421	40	0.0000890086	0.000000024145
2	236043550	237449031	473	40	0.0002285450	0.000000026229
2	237449032	238760980	538	40	0.0000752259	0.000000025430
2	238760981	239952642	421	40	0.0001805147	0.000000023548
2	239952643	241560083	659	40	0.0001288735	0.000000032378
2	241560084	242149920	217	29	0.0002002440	0.000000013647
2	242149921	243188919	128	15	0.0000356519	0.000000006682
3	60157	1441778	624	40	0.0002189823	0.000000032932
3	1441779	2992119	902	40	0.0001817684	0.000000032525
3	2992120	4431646	776	40	0.0001042823	0.000000031249
3	4431647	6083182	779	40	0.0000612981	0.000000030781
3	6083183	7083386	430	40	0.0000400392	0.000000022626
3	7083387	8648560	865	40	0.0000824287	0.000000029352
3	8648561	9543182	497	40	0.0001881243	0.000000030163
3	9543183	11019664	594	40	0.0000245749	0.000000029703
3	11019665	13070798	746	40	0.0003306435	0.000000032824
3	13070799	14816899	799	40	0.0001556714	0.000000032654
3	14816900	16282441	536	40	0.0001225795	0.000000021153
3	16282442	17891117	506	40	0.0001798221	0.000000024805
3	17891118	19125143	345	40	0.0000278464	0.000000015682
3	19125144	20091347	198	25	0.0000011711	0.000000009983
3	20091348	21643706	649	40	0.0000964272	0.000000030055
3	21643707	22204243	387	40	0.0000576993	0.000000020059
