chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	94	17	0.0000947489	0.000000020780
1	1892607	3582735	410	20	0.0003357437	0.000000093270
1	3582736	4380810	263	20	0.0002829279	0.000000059872
1	4380811	5913892	864	20	-0.0000297938	0.000000112203
1	5913893	7247334	418	20	0.0000620442	0.000000077830
1	7247335	9365198	680	20	0.0005411135	0.000000135716
1	9365199	10806983	339	20	0.0002870844	0.000000065670
1	10806984	11777840	247	20	0.0002306982	0.000000054609
1	11777841	12779465	282	20	0.0006547807	0.000000079568
1	12779466	14891510	607	20	0.0001443180	0.000000119374
1	14891511	16897729	657	20	0.0000579425	0.000000115817
1	16897730	18662898	639	20	0.0000675289	0.000000116211
1	18662899	20469148	686	20	0.0001085901	0.000000117902
1	20469149	21736587	450	20	0.0001391661	0.000000083799
1	21736588	23086882	507	20	-0.0000282943	0.000000094737
1	23086883	23920589	214	20	0.0003474033	0.000000050516
1	23920590	25516844	501	20	0.0000292034	0.000000095899
1	25516845	27401866	395	20	0.0001962104	0.000000067404
1	27401867	30161880	526	20	0.0003249097	0.000000097547
1	30161881	32438684	904	20	0.0001842783	0.000000121020
1	32438685	34799757	644	20	0.0001050951	0.000000116281
1	34799758	37549182	527	20	0.0000454990	0.000000091066
1	37549183	38731846	358	20	0.0002052673	0.000000068459
1	38731847	40200566	424	20	0.0001267488	0.000000078616
1	40200567	41975326	540	20	0.0003715945	0.000000101836
1	41975327	43758456	532	20	0.0000420210	0.000000081929
1	43758457	44969182	351	20	0.0002903023	0.000000064220
1	44969183	46899500	440	20	0.0007815311	0.000000084521
1	46899501	48002575	280	20	0.0000554847	0.000000045011
1	48002576	48978187	339	20	0.0000647086	0.000000061797
1	48978188	49894176	237	20	0.0000727202	0.000000043500
1	49894177	51713725	252	20	0.0001931877	0.000000038761
1	51713726	54226261	547	20	0.0002239068	0.000000102218
1	54226262	56413116	814	20	0.0000617994	0.000000115975
1	56413117	57021727	265	20	0.0000810052	0.000000042954
1	57021728	58865398	827	20	0.0000259248	0.000000114498
1	58865399	59890408	371	20	0.0004494652	0.000000076395
1	59890409	61922364	660	20	0.0002842998	0.000000125139
1	61922365	63455088	526	20	0.0000607777	0.000000093842
1	63455089	65041703	642	20	0.0001287715	0.000000099509
1	65041704	66939403	636	20	0.0004557833	0.000000117530
1	66939404	68477894	664	20	0.0001398613	0.000000099965
1	68477895	69687615	383	20	0.0000582011	0.000000065644
1	69687616	71372469	507	20	0.0002843903	0.000000091399
1	71372470	71684404	81	10	0.0000999123	0.000000014446
1	71684405	74326906	558	20	0.0000844551	0.000000075488
1	74326907	76728134	713	20	0.0001941949	0.000000102438
1	76728135	79661197	924	20	0.0002403418	0.000000123329
1	79661198	81354190	470	20	-0.0000607714	0.000000072329
1	81354191	83991747	965	20	0.0000299080	0.000000114662
1	83991748	84844494	306	20	0.0001609138	0.000000049536
1	84844495	86454750	634	20	0.0002280372	0.000000114237
1	86454751	88128630	553	20	0.0001084395	0.000000094128
1	88128631	90066302	515	20	0.0003536521	0.000000096361
1	90066303	91886316	556	20	0.0001512615	0.000000093267
1	91886317	93536458	500	20	0.0003671945	0.000000084518
1	93536459	94506190	245	20	0.0001820586	0.000000039178
1	94506191	96150892	640	20	-0.0001021585	0.000000103091
1	96150893	97885248	598	20	0.0001879298	0.000000087914
1	97885249	99800603	632	20	0.0001045425	0.000000095639
1	99800604	100826404	329	20	-0.0000139200	0.000000044845
1	100826405	102041015	439	20	0.0002034650	0.000000075500
1	102041016	102898744	271	20	0.0001846912	0.000000048068
1	102898745	103914210	196	20	0.0003337940	0.000000039718
1	103914211	106087841	452	20	0.0001015596	0.000000075260
1	106087842	108409664	722	20	0.0002584707	0.000000124075
1	108409665	110303930	556	20	0.0001177030	0.000000089517
1	110303931	111741736	560	20	0.0002612318	0.000000116091
1	111741737	113273305	691	20	0.0002656591	0.000000124371
1	113273306	114873844	497	20	0.0000067195	0.000000083072
1	114873845	115880592	338	20	0.0000677567	0.000000050412
1	115880593	118839066	810	20	0.0002782240	0.000000124889
1	118839067	144977493	564	20	0.0000249490	0.000000086895
1	144977494	148361252	425	20	0.0002260207	0.000000076885
1	148361253	151538880	332	20	0.0004460251	0.000000066309
1	151538881	153180828	451	20	0.0001035273	0.000000067040
1	153180829	154770402	446	20	0.0001201228	0.000000075093
1	154770403	156336132	280	20	0.0004929858	0.000000067554
1	156336133	158027411	578	20	0.0002935086	0.000000108685
1	158027412	159913047	668	20	0.0001126017	0.000000118068
1	159913048	162346720	860	20	0.0000326263	0.000000114774
1	162346721	165191701	1173	20	0.0003210505	0.000000126652
1	165191702	166460516	514	20	0.0000325228	0.000000094356
1	166460517	169086323	1079	20	-0.0000765301	0.000000110278
1	169086324	170557775	550	20	0.0001978857	0.000000082464
1	170557776	173097906	897	20	0.0004453760	0.000000131773
1	173097907	175089767	399	20	0.0001724194	0.000000048896
1	175089768	177433380	764	20	0.0001359280	0.000000119028
1	177433381	178944308	497	20	0.0000667931	0.000000077791
1	178944309	178954469	2	1	-0.0000093385	0.000000000033
1	178954470	181144120	713	20	0.0002719801	0.000000119222
1	181144121	182755355	577	20	0.0000725902	0.000000105652
1	182755356	184595512	607	20	0.0002002579	0.000000097898
1	184595513	186810022	499	20	0.0001783962	0.000000080034
1	186810023	188759944	616	20	0.0002583336	0.000000101717
1	188759945	189904129	216	17	0.0001129998	0.000000029649
1	189904130	191868929	537	20	0.0000767503	0.000000070311
1	191868930	194107441	578	20	0.0001531537	0.000000091209
1	194107442	196176200	577	20	0.0000978788	0.000000081169
1	196176201	197311513	188	16	-0.0000276166	0.000000020918
1	197311514	199239883	501	20	0.0003039468	0.000000089852
1	199239884	200137648	296	20	0.0003779099	0.000000061289
1	200137649	201589974	685	20	0.0000192076	0.000000114221
1	201589975	203334733	592	20	0.0000903328	0.000000111257
1	203334734	204681067	471	20	0.0004603717	0.000000100031
1	204681068	206073264	559	20	0.0009439116	0.000000136142
1	206073265	208410363	603	20	0.0002790073	0.000000122211
1	208410364	210787749	909	20	0.0001522076	0.000000119699
