chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	96	14	0.0002417005	0.000000063250
1	1892607	3582735	438	14	0.0000070068	0.000000248404
1	3582736	4380810	273	14	0.0003544726	0.000000164825
1	4380811	5913892	869	14	0.0000440763	0.000000338735
1	5913893	7247334	430	14	0.0000628413	0.000000225488
1	7247335	9365198	699	14	0.0000921671	0.000000342012
1	9365199	10806983	352	14	0.0000010581	0.000000158320
1	10806984	11777840	258	14	0.0000661381	0.000000136209
1	11777841	12779465	281	14	-0.0000242825	0.000000147257
1	12779466	14891510	618	14	0.0001348914	0.000000344924
1	14891511	16897729	691	14	-0.0000208134	0.000000334312
1	16897730	18662898	663	14	0.0000888647	0.000000341787
1	18662899	20469148	714	14	-0.0001006485	0.000000328871
1	20469149	21736587	461	14	0.0002004150	0.000000241962
1	21736588	23086882	523	14	0.0001803944	0.000000303312
1	23086883	23920589	222	14	0.0000865197	0.000000110532
1	23920590	25516844	521	14	0.0002527679	0.000000304450
1	25516845	27401866	413	14	-0.0000634681	0.000000169526
1	27401867	30161880	552	14	0.0001277014	0.000000259514
1	30161881	32438684	935	14	0.0001622897	0.000000346792
1	32438685	34799757	675	14	0.0000790343	0.000000341117
1	34799758	37549182	549	14	0.0000972217	0.000000277383
1	37549183	38731846	373	14	-0.0001863791	0.000000164641
1	38731847	40200566	447	14	0.0002289887	0.000000235311
1	40200567	41975326	555	14	0.0001787917	0.000000267382
1	41975327	43758456	543	14	0.0002900572	0.000000258862
1	43758457	44969182	371	14	0.0002071762	0.000000167528
1	44969183	46899500	458	14	0.0000598648	0.000000158934
1	46899501	48002575	297	14	0.0001691768	0.000000134038
1	48002576	48978187	344	14	0.0000714037	0.000000175227
1	48978188	49894176	247	14	0.0000358010	0.000000120546
1	49894177	51713725	260	14	0.0004529924	0.000000119409
1	51713726	54226261	562	14	-0.0000271707	0.000000274905
1	54226262	56413116	838	14	0.0005211808	0.000000371252
1	56413117	57021727	271	14	0.0000222689	0.000000113220
1	57021728	58865398	847	14	0.0000405762	0.000000338496
1	58865399	59890408	383	14	0.0003094271	0.000000189931
1	59890409	61922364	671	14	-0.0001208412	0.000000327495
1	61922365	63455088	533	14	0.0001972126	0.000000282684
1	63455089	65041703	657	14	-0.0000440665	0.000000277503
1	65041704	66939403	649	14	0.0001203661	0.000000302264
1	66939404	68477894	687	14	0.0000810047	0.000000286001
1	68477895	69687615	388	14	0.0000261145	0.000000183103
1	69687616	71372469	520	14	0.0000640155	0.000000237758
1	71372470	71684404	82	10	-0.0000040915	0.000000028076
1	71684405	74326906	559	14	0.0000515997	0.000000211965
1	74326907	76728134	727	14	0.0001260679	0.000000286812
1	76728135	79661197	947	14	-0.0000236739	0.000000334117
1	79661198	81354190	475	14	0.0002190657	0.000000232503
1	81354191	83991747	973	14	0.0000510321	0.000000339209
1	83991748	84844494	314	14	0.0001065658	0.000000128532
1	84844495	86454750	652	14	0.0003411443	0.000000336415
1	86454751	88128630	571	14	0.0000194915	0.000000272105
1	88128631	90066302	523	14	0.0001015100	0.000000247533
1	90066303	91886316	559	14	0.0003183840	0.000000276117
1	91886317	93536458	509	14	0.0000732629	0.000000207105
1	93536459	94506190	255	14	-0.0000194286	0.000000092695
1	94506191	96150892	651	14	-0.0000298861	0.000000315016
1	96150893	97885248	605	14	0.0001002969	0.000000239496
1	97885249	99800603	640	14	0.0001781956	0.000000281393
1	99800604	100826404	339	14	0.0002846472	0.000000148307
1	100826405	102041015	447	14	0.0000087904	0.000000194371
1	102041016	102898744	279	14	0.0000960123	0.000000122023
1	102898745	103914210	201	14	-0.0000773536	0.000000068377
1	103914211	106087841	455	14	0.0001396238	0.000000214401
1	106087842	108409664	726	14	-0.0001008909	0.000000328854
1	108409665	110303930	565	14	0.0004393124	0.000000276990
1	110303931	111741736	571	14	0.0000651711	0.000000317629
1	111741737	113273305	721	14	0.0000696760	0.000000340480
1	113273306	114873844	512	14	0.0002372957	0.000000261102
1	114873845	115880592	345	14	0.0004312408	0.000000166698
1	115880593	118839066	837	14	-0.0000557831	0.000000331929
