chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	97	18	-0.0001316889	0.0000000252
1	1892607	3582735	438	40	-0.0000086589	0.0000000902
1	3582736	4380810	268	40	0.0001019813	0.0000000548
1	4380811	5913892	853	40	0.0001578406	0.0000000945
1	5913893	7247334	426	40	-0.0000284656	0.0000000610
1	7247335	9365198	696	40	-0.0001213134	0.0000000979
1	9365199	10806983	349	40	-0.0001870462	0.0000000526
1	10806984	11777840	252	40	0.0000324134	0.0000000501
1	11777841	12779465	280	40	-0.0000884553	0.0000000537
1	12779466	14891510	613	40	-0.0000285334	0.0000000926
1	14891511	16897729	685	40	0.0001150664	0.0000001014
1	16897730	18662898	665	40	-0.0001523893	0.0000000955
1	18662899	20469148	711	40	0.0001122268	0.0000000989
1	20469149	21736587	458	40	0.0002211773	0.0000000731
1	21736588	23086882	520	40	0.0002929419	0.0000000820
1	23086883	23920589	220	28	0.0000187393	0.0000000354
1	23920590	25516844	519	40	-0.0000594531	0.0000000903
1	25516845	27401866	411	40	-0.0000984623	0.0000000531
1	27401867	30161880	547	40	-0.0002313980	0.0000000718
1	30161881	32438684	924	40	0.0000431313	0.0000000903
1	32438685	34799757	669	40	-0.0001901818	0.0000000949
1	34799758	37549182	553	40	-0.0001020273	0.0000000778
1	37549183	38731846	362	40	0.0000544623	0.0000000574
1	38731847	40200566	445	40	0.0001002499	0.0000000677
1	40200567	41975326	551	40	0.0001892992	0.0000000728
1	41975327	43758456	540	40	-0.0002121614	0.0000000690
1	43758457	44969182	366	35	0.0002747028	0.0000000507
1	44969183	46899500	455	38	0.0000046058	0.0000000519
1	46899501	48002575	291	33	-0.0001847997	0.0000000400
1	48002576	48978187	342	40	-0.0000460860	0.0000000493
1	48978188	49894176	246	28	-0.0000660851	0.0000000381
1	49894177	51713725	254	25	0.0001904595	0.0000000273
1	51713726	54226261	559	40	0.0003610546	0.0000000751
1	54226262	56413116	831	40	-0.0001311675	0.0000000930
1	56413117	57021727	271	31	0.0003169385	0.0000000428
1	57021728	58865398	844	40	0.0000417166	0.0000000908
1	58865399	59890408	383	40	-0.0000380559	0.0000000516
1	59890409	61922364	667	40	-0.0000439833	0.0000000909
1	61922365	63455088	532	40	-0.0001100388	0.0000000763
1	63455089	65041703	656	40	-0.0000077130	0.0000000778
1	65041704	66939403	639	40	0.0001153560	0.0000000830
1	66939404	68477894	678	40	-0.0000852268	0.0000000768
1	68477895	69687615	372	40	-0.0002271105	0.0000000574
1	69687616	71372469	513	40	0.0002327532	0.0000000718
1	71372470	71684404	82	10	-0.0000894471	0.0000000093
1	71684405	74326906	556	40	-0.0002182303	0.0000000618
1	74326907	76728134	711	40	-0.0000295672	0.0000000798
1	76728135	79661197	942	40	0.0001942134	0.0000000952
1	79661198	81354190	468	40	-0.0001974413	0.0000000602
1	81354191	83991747	962	40	0.0000073099	0.0000000970
1	83991748	84844494	312	35	-0.0000827766	0.0000000396
1	84844495	86454750	645	40	0.0001900151	0.0000000917
1	86454751	88128630	563	40	-0.0000923880	0.0000000788
1	88128631	90066302	516	40	0.0001536291	0.0000000666
1	90066303	91886316	557	40	0.0001298837	0.0000000803
1	91886317	93536458	509	40	-0.0001900273	0.0000000581
1	93536459	94506190	254	26	0.0000101943	0.0000000300
1	94506191	96150892	640	40	0.0001366334	0.0000000855
1	96150893	97885248	600	40	0.0001324346	0.0000000683
1	97885249	99800603	638	40	0.0002312790	0.0000000778
1	99800604	100826404	311	36	0.0001778382	0.0000000423
1	100826405	102041015	444	40	0.0001527514	0.0000000548
1	102041016	102898744	272	36	0.0000588973	0.0000000427
1	102898745	103914210	200	21	-0.0000056166	0.0000000269
1	103914211	106087841	448	40	0.0000887492	0.0000000658
1	106087842	108409664	721	40	0.0001612821	0.0000000972
1	108409665	110303930	559	40	-0.0000303181	0.0000000834
1	110303931	111741736	566	40	0.0001409131	0.0000000939
1	111741737	113273305	718	40	0.0003333934	0.0000000925
1	113273306	114873844	507	40	0.0001515759	0.0000000713
1	114873845	115880592	343	37	-0.0000777112	0.0000000443
1	115880593	118839066	814	40	-0.0001119540	0.0000000974
1	118839067	144977493	562	40	-0.0003255890	0.0000000720
1	144977494	148361252	431	40	-0.0000828410	0.0000000545
1	148361253	151538880	349	34	-0.0000272736	0.0000000429
1	151538881	153180828	463	40	0.0002927315	0.0000000621
1	153180829	154770402	459	40	-0.0001685297	0.0000000604
