chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	109	14	-0.0000793382	0.000000049722
1	1892607	3582735	456	14	0.0002839423	0.000000283622
1	3582736	4380810	287	14	0.0005791469	0.000000189931
1	4380811	5913892	901	14	0.0000814266	0.000000351086
1	5913893	7247334	442	14	0.0000934922	0.000000241340
1	7247335	9365198	734	14	-0.0000337357	0.000000343131
1	9365199	10806983	371	14	0.0000411145	0.000000175960
1	10806984	11777840	275	14	-0.0000238674	0.000000140588
1	11777841	12779465	299	14	0.0000902600	0.000000166831
1	12779466	14891510	638	14	0.0000976694	0.000000352208
1	14891511	16897729	728	14	-0.0000056645	0.000000345070
1	16897730	18662898	688	14	-0.0000692296	0.000000340679
1	18662899	20469148	765	14	-0.0000540259	0.000000341729
1	20469149	21736587	472	14	0.0000168846	0.000000239780
1	21736588	23086882	541	14	0.0003828362	0.000000336010
1	23086883	23920589	234	14	0.0001352075	0.000000120139
1	23920590	25516844	546	14	0.0001011949	0.000000316592
1	25516845	27401866	430	14	0.0002955819	0.000000204608
1	27401867	30161880	570	14	0.0001854622	0.000000279125
1	30161881	32438684	971	14	0.0002035297	0.000000359521
1	32438685	34799757	706	14	0.0003107919	0.000000366931
1	34799758	37549182	589	14	0.0000387639	0.000000306798
1	37549183	38731846	388	14	0.0002239235	0.000000204657
1	38731847	40200566	455	14	0.0002028400	0.000000242948
1	40200567	41975326	569	14	0.0002404032	0.000000286708
1	41975327	43758456	577	14	-0.0001305064	0.000000252851
1	43758457	44969182	387	14	0.0000553754	0.000000165136
1	44969183	46899500	470	14	0.0003284915	0.000000186572
1	46899501	48002575	316	14	0.0001462332	0.000000144108
1	48002576	48978187	358	14	0.0002276148	0.000000196431
1	48978188	49894176	251	14	-0.0000312229	0.000000119997
1	49894177	51713725	262	14	0.0004077267	0.000000119879
1	51713726	54226261	578	14	0.0000660925	0.000000293900
1	54226262	56413116	873	14	0.0001882416	0.000000358465
1	56413117	57021727	285	14	0.0002571500	0.000000136347
1	57021728	58865398	886	14	0.0001375333	0.000000354962
1	58865399	59890408	408	14	0.0000259801	0.000000185448
1	59890409	61922364	693	14	0.0000024453	0.000000345630
1	61922365	63455088	565	14	-0.0000609172	0.000000289800
1	63455089	65041703	688	14	-0.0001157115	0.000000296151
1	65041704	66939403	668	14	0.0000669530	0.000000315017
1	66939404	68477894	711	14	0.0000313790	0.000000298489
1	68477895	69687615	397	14	0.0000791697	0.000000194037
1	69687616	71372469	556	14	-0.0000051403	0.000000253936
1	71372470	71684404	87	10	0.0001999785	0.000000044468
1	71684405	74326906	578	14	-0.0000387567	0.000000216855
1	74326907	76728134	755	14	0.0000437781	0.000000295461
1	76728135	79661197	981	14	0.0000388503	0.000000348145
1	79661198	81354190	498	14	-0.0000061647	0.000000230810
1	81354191	83991747	1013	14	0.0000526664	0.000000349099
1	83991748	84844494	327	14	0.0002747165	0.000000147515
1	84844495	86454750	675	14	-0.0000679250	0.000000324720
1	86454751	88128630	605	14	0.0003634227	0.000000317478
1	88128631	90066302	543	14	0.0002563263	0.000000271908
1	90066303	91886316	581	14	0.0004303752	0.000000300540
1	91886317	93536458	531	14	0.0000564084	0.000000216842
1	93536459	94506190	266	14	0.0001336795	0.000000106379
1	94506191	96150892	694	14	0.0002082795	0.000000357427
1	96150893	97885248	636	14	-0.0000991912	0.000000239987
1	97885249	99800603	660	14	0.0001362250	0.000000294868
1	99800604	100826404	347	14	0.0001860459	0.000000147497
1	100826405	102041015	465	14	0.0002388821	0.000000222126
1	102041016	102898744	290	14	0.0000640373	0.000000125829
1	102898745	103914210	212	14	0.0000183213	0.000000077493
1	103914211	106087841	480	14	0.0003382542	0.000000239073
1	106087842	108409664	756	14	0.0001610926	0.000000356590
1	108409665	110303930	595	14	0.0000541562	0.000000272373
1	110303931	111741736	612	14	-0.0000270060	0.000000343595
1	111741737	113273305	749	14	0.0000877799	0.000000351525
1	113273306	114873844	530	14	-0.0000626929	0.000000256003
1	114873845	115880592	355	14	0.0001264962	0.000000151531
1	115880593	118839066	899	14	0.0000367865	0.000000348002
1	118839067	144977493	597	14	-0.0000713898	0.000000261459
1	144977494	148361252	457	14	0.0001454496	0.000000220051
1	148361253	151538880	361	14	0.0001699333	0.000000157211
1	151538881	153180828	512	14	0.0002440955	0.000000210304
1	153180829	154770402	485	14	0.0000387610	0.000000220715
1	154770403	156336132	320	14	0.0001785220	0.000000162567
1	156336133	158027411	634	14	0.0001543761	0.000000323407
1	158027412	159913047	726	14	0.0008623649	0.000000405034
1	159913048	162346720	927	14	0.0000496828	0.000000348893
1	162346721	165191701	1263	14	0.0000120746	0.000000346295
1	165191702	166460516	573	14	0.0000726601	0.000000302889
1	166460517	169086323	1184	14	-0.0000307263	0.000000343338
1	169086324	170557775	586	14	0.0001502039	0.000000236398
1	170557776	173097906	970	14	0.0002543260	0.000000363030
1	173097907	175089767	442	14	0.0003141878	0.000000149539
1	175089768	177433380	858	14	0.0001342179	0.000000354733
1	177433381	178944308	537	14	-0.0000027375	0.000000230310
1	178944309	178954469	2	1	0.0000261015	0.000000002908
1	178954470	181144120	803	14	-0.0000228194	0.000000343885
1	181144121	182755355	659	14	-0.0000756802	0.000000331382
1	182755356	184595512	669	14	0.0000484649	0.000000284209
1	184595513	186810022	571	14	0.0000059692	0.000000234593
1	186810023	188759944	679	14	0.0000876828	0.000000289215
1	188759945	189904129	244	14	0.0001248237	0.000000084103
1	189904130	191868929	583	14	0.0002645218	0.000000221005
1	191868930	194107441	634	14	0.0001370859	0.000000277317
1	194107442	196176200	620	14	0.0000146764	0.000000239629
1	196176201	197311513	202	14	0.0002259660	0.000000079094
1	197311514	199239883	540	14	0.0000815693	0.000000247935
1	199239884	200137648	337	14	0.0001645876	0.000000154809
1	200137649	201589974	746	14	0.0000406526	0.000000348269
1	201589975	203334733	644	14	0.0000756731	0.000000350689
1	203334734	204681067	509	14	0.0000838411	0.000000261556
1	204681068	206073264	599	14	0.0004271525	0.000000337492
1	206073265	208410363	685	14	0.0004877304	0.000000379154
1	208410364	210787749	1006	14	0.0000872251	0.000000351487
1	210787750	212842329	735	14	0.0001456645	0.000000355524
1	212842330	214578265	642	14	0.0004317045	0.000000372860
1	214578266	216243633	640	14	0.0000140464	0.000000302749
1	216243634	218705512	1138	14	-0.0000280545	0.000000343523
1	218705513	219590570	309	14	0.0001031504	0.000000136480
1	219590571	221858230	743	14	0.0000233662	0.000000347075
1	221858231	222230219	186	14	0.0000094336	0.000000092777
1	222230220	224938519	579	14	-0.0000763779	0.000000287184
1	224938520	226810859	555	14	0.0000204748	0.000000261722
1	226810860	229156247	776	14	-0.0000632149	0.000000341094
1	229156248	230685254	589	14	0.0001158284	0.000000319174
1	230685255	232090251	623	14	0.0001223143	0.000000327515
1	232090252	233429283	640	14	0.0001371896	0.000000354938
1	233429284	234599433	586	14	0.0001191528	0.000000321766
1	234599434	235819435	407	14	0.0000323500	0.000000215917
1	235819436	237555627	776	14	0.0000323246	0.000000347694
1	237555628	238567806	450	14	0.0003320440	0.000000261423
1	238567807	239925313	521	14	-0.0000315082	0.000000272576
1	239925314	240564090	366	14	0.0001617017	0.000000195444
1	240564091	241582219	544	14	0.0001014705	0.000000335614
1	241582220	242071601	232	14	0.0004565427	0.000000152590
1	242071602	244109498	664	14	0.0001912841	0.000000358675
1	244109499	245506745	549	14	0.0002817583	0.000000332191
1	245506746	247344517	780	14	-0.0000276369	0.000000343552
1	247344518	249239465	425	14	0.0004403798	0.000000244622
2	10133	1781021	705	14	0.0000882401	0.000000351557
2	1781022	3973778	1015	14	0.0000083382	0.000000346037
2	3973779	5708336	654	14	0.0002779407	0.000000364662
2	5708337	6836253	585	14	0.0000359907	0.000000294924
2	6836254	8422146	669	14	0.0001599697	0.000000356512
2	8422147	10298468	704	14	0.0000182558	0.000000346722
2	10298469	12419149	1013	14	-0.0001062068	0.000000338124
2	12419150	14335307	613	14	0.0002757317	0.000000326268
2	14335308	16329734	765	14	0.0000095158	0.000000346118
2	16329735	18647422	894	14	0.0002592573	0.000000363371
2	18647423	19692403	394	14	0.0001788723	0.000000211550
2	19692404	21050489	658	14	0.0000428156	0.000000346805
2	21050490	23341382	636	14	-0.0000051275	0.000000345107
2	23341383	24686917	456	14	0.0004444105	0.000000249997
2	24686918	26894984	580	14	0.0002639919	0.000000306756
2	26894985	28598776	424	14	0.0000973286	0.000000186109
2	28598777	29217558	252	14	-0.0001147316	0.000000112979
2	29217559	30463710	649	14	0.0003237054	0.000000367823
2	30463711	31550449	551	14	-0.0000459815	0.000000318282
2	31550450	33363776	515	14	0.0001946830	0.000000322251
2	33363777	35345027	839	14	0.0002014870	0.000000359380
2	35345028	36122005	301	14	0.0001788778	0.000000156464
2	36122006	38132711	972	14	0.0001849846	0.000000358240
2	38132712	39031336	343	14	0.0002819621	0.000000220764
2	39031337	40281482	316	14	0.0000970720	0.000000180486
2	40281483	43309589	1359	14	0.0002081915	0.000000359843
2	43309590	44313802	412	14	0.0004768427	0.000000266180
2	44313803	46482633	1115	14	0.0001025951	0.000000352548
2	46482634	47318771	434	14	0.0001835075	0.000000295043
2	47318772	48213000	307	14	0.0002124520	0.000000201746
2	48213001	50022256	737	14	0.0001042361	0.000000352662
2	50022257	50818927	352	14	0.0001977764	0.000000197913
2	50818928	52491132	665	14	0.0002820311	0.000000364944
2	52491133	53508451	487	14	0.0001864638	0.000000273135
2	53508452	54685225	455	14	-0.0000436215	0.000000246046
2	54685226	56203344	626	14	0.0002418868	0.000000362171
2	56203345	57429099	440	14	0.0000139378	0.000000245522
2	57429100	58297314	282	14	0.0001934122	0.000000158814
2	58297315	60291999	765	14	0.0001628286	0.000000356709
2	60292000	62429043	609	14	0.0002500308	0.000000362733
2	62429044	64625912	600	14	0.0000887302	0.000000335533
2	64625913	65933443	474	14	0.0000065277	0.000000259254
2	65933444	67226165	560	14	0.0002590868	0.000000305645
2	67226166	68010175	429	14	-0.0000120139	0.000000212875
2	68010176	69139563	493	14	0.0000514691	0.000000239194
2	69139564	70755197	551	14	-0.0000226862	0.000000261021
2	70755198	73174847	827	14	0.0001120375	0.000000353201
2	73174848	75630085	751	14	0.0003964264	0.000000372847
2	75630086	76913660	531	14	0.0001041824	0.000000295750
2	76913661	78079263	405	14	0.0002030438	0.000000251823
2	78079264	80050402	852	14	0.0001227153	0.000000353938
2	80050403	81620840	591	14	0.0003789312	0.000000371638
2	81620841	85140679	919	14	0.0000248567	0.000000304276
2	85140680	88038506	656	14	-0.0000073812	0.000000294264
2	88038507	89154525	253	14	0.0000745069	0.000000116659
2	89154526	95326451	4	2	-0.0000058544	0.000000001893
2	95326452	98995200	437	14	0.0001932544	0.000000211819
2	98995201	101822328	928	14	-0.0000488675	0.000000342085
2	101822329	102688764	270	14	-0.0000247145	0.000000113180
2	102688765	103588214	417	14	0.0001131165	0.000000152652
2	103588215	105125033	316	14	0.0000526363	0.000000151241
2	105125034	106210057	415	14	-0.0000289234	0.000000208097
2	106210058	107408266	460	14	0.0000771643	0.000000223349
2	107408267	108429176	366	14	-0.0000347162	0.000000141202
2	108429177	110572431	549	14	0.0001831063	0.000000266875
2	110572432	113921855	826	14	0.0001916474	0.000000358700
2	113921856	116772469	782	14	-0.0000955816	0.000000338858
2	116772470	118367465	413	14	0.0001516488	0.000000171717
2	118367466	121303782	1023	14	0.0002217731	0.000000360781
2	121303783	123302905	602	14	0.0001170050	0.000000321618
2	123302906	124732249	446	14	0.0001773370	0.000000185278
2	124732250	125840920	398	14	0.0002148505	0.000000196261
2	125840921	127373763	424	14	0.0001945706	0.000000169829
2	127373764	128034346	302	14	0.0000593089	0.000000148300
2	128034347	129474440	444	14	-0.0000677583	0.000000198235
2	129474441	130067169	238	14	0.0001327440	0.000000104381
2	130067170	130658084	216	14	0.0000462979	0.000000095927
2	130658085	133042783	232	14	0.0000663690	0.000000115449
2	133042784	135158577	937	14	0.0000375958	0.000000348058
2	135158578	137042793	472	14	0.0001393142	0.000000193206
2	137042794	138698116	626	14	0.0000218243	0.000000300945
2	138698117	140100270	451	14	-0.0001267649	0.000000151997
2	140100271	141805350	587	14	0.0001971151	0.000000302924
2	141805351	142518601	305	14	0.0002305404	0.000000171599
2	142518602	144519483	675	14	0.0000473637	0.000000329490
2	144519484	146445569	459	14	0.0003814681	0.000000247871
2	146445570	147277161	159	14	-0.0000486985	0.000000067917
2	147277162	150210291	680	14	0.0002654558	0.000000313838
2	150210292	151731461	485	14	-0.0001019213	0.000000220563
2	151731462	152486781	294	14	0.0001431639	0.000000131887
2	152486782	154005055	512	14	0.0001245148	0.000000247913
2	154005056	155391134	501	14	0.0000431656	0.000000253506
2	155391135	157560634	576	14	0.0003723361	0.000000294260
2	157560635	158533217	173	14	0.0002546118	0.000000112032
2	158533218	159577081	349	14	0.0000748998	0.000000173396
2	159577082	161769732	741	14	0.0000312042	0.000000337961
2	161769733	163503550	405	14	0.0002114256	0.000000166181
2	163503551	164466637	203	14	0.0000196597	0.000000094114
2	164466638	165178839	185	14	0.0000930955	0.000000091441
2	165178840	167160269	655	14	0.0002266736	0.000000317403
2	167160270	167355969	74	10	-0.0000086897	0.000000031522
2	167355970	169968235	871	14	0.0016071546	0.000000456485
2	169968236	171226244	507	14	-0.0000227565	0.000000241513
2	171226245	173138904	599	14	0.0001091222	0.000000335345
2	173138905	175588928	864	14	0.0001257730	0.000000354150
2	175588929	177363635	555	14	-0.0001014330	0.000000254094
2	177363636	178553182	480	14	0.0003494369	0.000000228982
2	178553183	181312738	1031	14	0.0000664067	0.000000350048
2	181312739	182266030	314	14	0.0001845059	0.000000144037
2	182266031	184357607	636	14	0.0000673255	0.000000317404
2	184357608	185280172	244	14	0.0002826912	0.000000123654
2	185280173	189882064	990	14	0.0000900234	0.000000351680
2	189882065	191973356	520	14	0.0001807208	0.000000247329
2	191973357	195861163	731	14	0.0001815459	0.000000358002
2	195861164	196447455	161	14	-0.0000281312	0.000000069314
2	196447456	198078109	456	14	0.0001516745	0.000000184921
2	198078110	199311124	319	14	-0.0000055765	0.000000109893
2	199311125	201576283	650	14	0.0000143722	0.000000309035
2	201576284	202818636	326	14	0.0000425501	0.000000155329
2	202818637	205799240	772	14	0.0000243831	0.000000347145
2	205799241	206735703	417	14	0.0002373094	0.000000257888
2	206735704	208645398	679	14	0.0001735462	0.000000357450
2	208645399	209941528	352	14	0.0001094741	0.000000176455
2	209941529	212379517	763	14	0.0000882356	0.000000351556
2	212379518	214014281	646	14	0.0000511981	0.000000348998
2	214014282	215573794	457	14	-0.0000621249	0.000000224028
2	215573795	217715660	840	14	0.0001892807	0.000000358537
2	217715661	218395479	289	14	0.0001281009	0.000000157076
2	218395480	220454550	612	14	0.0001107361	0.000000289264
2	220454551	222521175	888	14	0.0001691562	0.000000357147
2	222521176	224859418	818	14	0.0000322745	0.000000347691
2	224859419	225840003	371	14	0.0001733578	0.000000159486
2	225840004	228119841	757	14	-0.0000984720	0.000000322612
2	228119842	229370786	469	14	0.0001010073	0.000000214117
2	229370787	231843388	967	14	0.0002644227	0.000000363728
2	231843389	233550002	493	14	0.0002358059	0.000000256299
2	233550003	235150986	817	14	0.0001142566	0.000000353354
2	235150987	236043549	433	14	-0.0000783629	0.000000251911
2	236043550	237449031	492	14	0.0000875035	0.000000264821
2	237449032	238760980	554	14	0.0000792571	0.000000300233
2	238760981	239952642	442	14	0.0001178583	0.000000235646
2	239952643	241560083	699	14	0.0000082913	0.000000346034
2	241560084	242149920	232	14	0.0000342866	0.000000111301
2	242149921	243188919	136	14	0.0002291981	0.000000076833
3	60157	1441778	641	14	0.0002008001	0.000000359333
3	1441779	2992119	944	14	0.0001986697	0.000000359185
3	2992120	4431646	802	14	0.0001238329	0.000000354016
3	4431647	6083182	820	14	0.0000169629	0.000000346633
3	6083183	7083386	446	14	0.0000310745	0.000000263961
3	7083387	8648560	901	14	0.0005974350	0.000000386733
3	8648561	9543182	514	14	0.0000557351	0.000000300945
3	9543183	11019664	637	14	0.0000810311	0.000000351059
3	11019665	13070798	773	14	0.0003726729	0.000000371206
3	13070799	14816899	828	14	0.0004154460	0.000000374161
3	14816900	16282441	551	14	0.0000923922	0.000000266666
3	16282442	17891117	520	14	-0.0000043232	0.000000250992
3	17891118	19125143	354	14	0.0001296975	0.000000179230
3	19125144	20091347	205	14	0.0003742604	0.000000131846
3	20091348	21643706	664	14	0.0002225944	0.000000360838
3	21643707	22204243	401	14	0.0000577207	0.000000220561
3	22204244	23804864	558	14	0.0000624172	0.000000310778
3	23804865	25461557	778	14	0.0002059306	0.000000359687
3	25461558	26877768	488	14	0.0000487050	0.000000238265
3	26877769	27840909	282	14	0.0000734103	0.000000145876
3	27840910	29142259	463	14	0.0002022195	0.000000268941
3	29142260	30717954	711	14	0.0001893886	0.000000358544
3	30717955	32351714	680	14	0.0001361434	0.000000354866
3	32351715	33255591	286	14	0.0001345271	0.000000171237
3	33255592	35283457	611	14	-0.0000167681	0.000000283564
3	35283458	36486841	426	14	0.0000974333	0.000000216759
3	36486842	38356115	614	14	-0.0000495753	0.000000293689
3	38356116	40221297	689	14	0.0001941570	0.000000326150
3	40221298	41064527	155	14	0.0001015460	0.000000074376
3	41064528	42540001	473	14	0.0002323794	0.000000244240
3	42540002	45165152	724	14	0.0001942439	0.000000346813
3	45165153	46657499	569	14	0.0001142456	0.000000263646
3	46657500	47727211	180	14	0.0001875098	0.000000085848
3	47727212	49316971	258	14	0.0002608091	0.000000083949
3	49316972	51832014	447	14	0.0006876848	0.000000155812
3	51832015	54081389	628	14	0.0000804743	0.000000299540
3	54081390	55348859	691	14	0.0001126106	0.000000353240
3	55348860	56433906	383	14	0.0001791201	0.000000210851
3	56433907	58157518	563	14	0.0000341810	0.000000258895
3	58157519	60272905	1014	14	0.0000948779	0.000000352015
3	60272906	62355665	1024	14	0.0000759632	0.000000350709
3	62355666	63669285	697	14	0.0000081930	0.000000346027
3	63669286	65273537	792	14	0.0000809011	0.000000351050
3	65273538	66270446	352	14	0.0000717083	0.000000217166
3	66270447	68286913	678	14	-0.0000101650	0.000000344759
3	68286914	69276761	380	14	0.0000841053	0.000000218016
3	69276762	70449027	413	14	0.0001928704	0.000000241529
3	70449028	72529328	818	14	0.0000962544	0.000000352110
3	72529329	74321816	739	14	0.0001508530	0.000000355882
3	74321817	75704948	283	14	0.0000888664	0.000000138182
3	75704949	77508834	516	14	-0.0000242440	0.000000266220
3	77508835	79024540	433	14	0.0001541519	0.000000224269
3	79024541	81427309	506	14	0.0002114668	0.000000197439
3	81427310	82643885	304	14	0.0001926081	0.000000130626
3	82643886	84367478	339	14	-0.0000466929	0.000000139707
3	84367479	85582230	268	14	-0.0000004137	0.000000105676
3	85582231	87409731	469	14	0.0000347124	0.000000194542
3	87409732	88298372	197	14	0.0002785390	0.000000090779
3	88298373	94255315	482	14	0.0001724337	0.000000221901
3	94255316	95311970	225	14	0.0000981105	0.000000087971
3	95311971	98215949	595	14	0.0002933166	0.000000259505
3	98215950	99373761	343	14	0.0004564679	0.000000169320
3	99373762	100592216	340	14	0.0002161731	0.000000141520
3	100592217	103084959	684	14	0.0000427752	0.000000296943
3	103084960	104581612	439	14	0.0000989628	0.000000191149
3	104581613	106982810	743	14	-0.0001637485	0.000000334149
3	106982811	109522394	792	14	0.0001635676	0.000000356760
3	109522395	110513769	264	14	-0.0000520593	0.000000087951
3	110513770	112815698	729	14	0.0000716041	0.000000339147
3	112815699	113947862	385	14	0.0001933544	0.000000181496
3	113947863	115447079	411	14	0.0001504175	0.000000235679
3	115447080	116800152	552	14	-0.0000956502	0.000000259790
3	116800153	118530250	602	14	-0.0000088328	0.000000316886
3	118530251	120523054	710	14	0.0002544577	0.000000316195
3	120523055	121974096	406	14	-0.0000797080	0.000000124007
3	121974097	123517767	535	14	0.0002911809	0.000000269800
3	123517768	124936641	643	14	0.0000781223	0.000000322884
3	124936642	126214942	408	14	0.0002802001	0.000000201438
3	126214943	128194860	695	14	-0.0000175655	0.000000336198
3	128194861	130244734	456	14	0.0001735309	0.000000212617
3	130244735	131836515	564	14	0.0002065482	0.000000252805
3	131836516	133252172	530	14	0.0000739294	0.000000236308
3	133252173	135456905	898	14	0.0001600196	0.000000356515
3	135456906	137371082	459	14	-0.0000142762	0.000000179877
3	137371083	139954596	864	14	0.0001466101	0.000000355589
3	139954597	141339096	495	14	0.0001297787	0.000000265466
3	141339097	143164627	649	14	0.0000533187	0.000000336284
3	143164628	144410815	404	14	0.0003640348	0.000000213541
3	144410816	145664618	370	14	0.0000538907	0.000000149287
3	145664619	146726628	348	14	0.0002285895	0.000000172153
3	146726629	149043236	714	14	0.0000190710	0.000000346778
3	149043237	150252003	442	14	0.0001615946	0.000000245277
3	150252004	151348729	384	14	-0.0000270632	0.000000193870
3	151348730	153256570	588	14	0.0004136830	0.000000316291
3	153256571	154714217	424	14	0.0000833476	0.000000165669
3	154714218	156008699	345	14	0.0000991883	0.000000174362
3	156008700	157312027	465	14	-0.0000823499	0.000000191510
3	157312028	159477889	666	14	-0.0000465133	0.000000259382
3	159477890	161524503	584	14	0.0002425845	0.000000234695
3	161524504	163253204	506	14	-0.0000489068	0.000000193801
3	163253205	165055468	455	14	0.0001207947	0.000000153176
3	165055469	167117428	471	14	0.0002003803	0.000000205176
3	167117429	168580959	379	14	0.0000346991	0.000000157532
3	168580960	170964908	741	14	0.0004514763	0.000000376650
3	170964909	172295730	530	14	0.0004205478	0.000000321413
3	172295731	173477284	396	14	0.0000584182	0.000000218430
3	173477285	175116538	625	14	0.0002375181	0.000000361869
3	175116539	176320286	358	14	0.0001969376	0.000000172743
3	176320287	178107164	565	14	0.0001938528	0.000000309683
3	178107165	179374585	402	14	0.0000438813	0.000000184560
3	179374586	181511165	483	14	0.0001698833	0.000000241422
3	181511166	183769682	691	14	-0.0000505537	0.000000330714
3	183769683	185068254	429	14	0.0000025307	0.000000235095
3	185068255	186890343	686	14	0.0003229183	0.000000367769
3	186890344	188856213	826	14	0.0000076609	0.000000345990
3	188856214	190226606	640	14	-0.0000963467	0.000000338805
3	190226607	192343813	789	14	-0.0000813291	0.000000339843
3	192343814	194059670	567	14	-0.0000889290	0.000000316905
3	194059671	194786673	300	14	0.0000533005	0.000000167067
3	194786674	195971407	250	14	0.0002789187	0.000000152490
3	195971408	197075986	311	14	0.0004245675	0.000000190371
3	197075987	197946621	192	14	0.0001063268	0.000000104517
4	10240	694714	108	12	0.0002534456	0.000000071695
4	694715	1478710	230	14	0.0001143495	0.000000118063
4	1478711	2842978	295	14	0.0003173855	0.000000176846
4	2842979	3846039	273	14	-0.0001116925	0.000000142743
4	3846040	4684115	243	14	0.0000228654	0.000000135019
4	4684116	5502387	406	14	-0.0001196744	0.000000234112
4	5502388	6773042	715	14	0.0002362538	0.000000361782
4	6773043	7539691	422	14	0.0002814469	0.000000283450
4	7539692	8152234	367	14	0.0001754139	0.000000235198
4	8152235	9326478	252	14	0.0001085447	0.000000146248
4	9326479	10699151	532	14	-0.0000551626	0.000000222306
4	10699152	12323033	685	14	0.0000538072	0.000000349178
4	12323034	14272000	738	14	0.0001376935	0.000000354973
4	14272001	15147445	390	14	-0.0000800127	0.000000199550
4	15147446	15927008	263	14	-0.0000108075	0.000000131382
4	15927009	17383321	700	14	0.0000015572	0.000000345569
4	17383322	18841873	436	14	0.0001658802	0.000000217843
4	18841874	20544556	497	14	-0.0000294603	0.000000209506
4	20544557	22319346	689	14	0.0001073955	0.000000352880
4	22319347	24135528	625	14	0.0001536137	0.000000330467
4	24135529	25609321	625	14	-0.0000220890	0.000000343935
4	25609322	27343721	585	14	-0.0000413250	0.000000339381
4	27343722	27965867	209	14	-0.0000189327	0.000000104414
4	27965868	29762207	552	14	0.0002643935	0.000000283036
4	29762208	30454534	164	14	0.0003419822	0.000000095090
4	30454535	31782980	427	14	0.0000953917	0.000000220965
