chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	97	18	0.0002041441	0.0000000222
1	1892607	3582735	434	40	0.0002166874	0.0000000575
1	3582736	4380810	272	40	0.0000937102	0.0000000330
1	4380811	5913892	869	40	-0.0001635957	0.0000000644
1	5913893	7247334	430	40	-0.0002382969	0.0000000452
1	7247335	9365198	700	40	-0.0000369056	0.0000000638
1	9365199	10806983	352	40	-0.0001672502	0.0000000365
1	10806984	11777840	257	40	0.0002449454	0.0000000308
1	11777841	12779465	283	40	0.0001703068	0.0000000390
1	12779466	14891510	617	40	0.0001705481	0.0000000751
1	14891511	16897729	690	40	0.0000853891	0.0000000645
1	16897730	18662898	666	40	-0.0000518006	0.0000000710
1	18662899	20469148	716	40	-0.0002399098	0.0000000695
1	20469149	21736587	461	40	-0.0001290702	0.0000000487
1	21736588	23086882	523	40	-0.0002189735	0.0000000593
1	23086883	23920589	223	28	0.0002566756	0.0000000286
1	23920590	25516844	521	40	-0.0002694992	0.0000000602
1	25516845	27401866	413	40	-0.0000691780	0.0000000420
1	27401867	30161880	552	40	-0.0002591115	0.0000000502
1	30161881	32438684	934	40	-0.0000100665	0.0000000687
1	32438685	34799757	676	40	0.0000154435	0.0000000647
1	34799758	37549182	552	40	-0.0000826161	0.0000000536
1	37549183	38731846	373	40	-0.0001910953	0.0000000492
1	38731847	40200566	447	40	-0.0003461638	0.0000000586
1	40200567	41975326	557	40	0.0000896762	0.0000000555
1	41975327	43758456	543	40	0.0001302593	0.0000000504
1	43758457	44969182	371	35	0.0002442440	0.0000000359
1	44969183	46899500	458	38	0.0000760528	0.0000000373
1	46899501	48002575	298	33	0.0001010706	0.0000000429
1	48002576	48978187	344	40	-0.0000503375	0.0000000366
1	48978188	49894176	247	28	0.0001015611	0.0000000277
1	49894177	51713725	259	25	-0.0001291232	0.0000000190
1	51713726	54226261	563	40	-0.0000076611	0.0000000572
1	54226262	56413116	838	40	-0.0001901491	0.0000000660
1	56413117	57021727	271	31	-0.0001603713	0.0000000299
1	57021728	58865398	847	40	0.0001975547	0.0000000685
1	58865399	59890408	383	40	-0.0000626562	0.0000000399
1	59890409	61922364	672	40	-0.0002530394	0.0000000632
1	61922365	63455088	533	40	-0.0003543740	0.0000000610
1	63455089	65041703	659	40	0.0000645547	0.0000000551
1	65041704	66939403	650	40	0.0000524886	0.0000000621
1	66939404	68477894	687	40	-0.0000024057	0.0000000567
1	68477895	69687615	389	40	-0.0001657109	0.0000000382
1	69687616	71372469	520	40	0.0000711957	0.0000000438
1	71372470	71684404	82	10	0.0001206055	0.0000000081
1	71684405	74326906	559	40	0.0000986161	0.0000000457
1	74326907	76728134	728	40	-0.0000771824	0.0000000516
1	76728135	79661197	947	40	0.0002906922	0.0000000582
1	79661198	81354190	475	40	0.0001774508	0.0000000456
1	81354191	83991747	973	40	0.0002389112	0.0000000642
1	83991748	84844494	314	35	-0.0002442705	0.0000000283
1	84844495	86454750	652	40	0.0000351288	0.0000000614
1	86454751	88128630	572	40	-0.0003825976	0.0000000617
1	88128631	90066302	523	40	0.0003575681	0.0000000509
1	90066303	91886316	559	40	0.0000007359	0.0000000549
1	91886317	93536458	509	40	0.0001308590	0.0000000467
1	93536459	94506190	255	26	-0.0000815679	0.0000000254
1	94506191	96150892	651	40	-0.0000456148	0.0000000630
1	96150893	97885248	606	40	-0.0002980691	0.0000000468
1	97885249	99800603	643	40	-0.0000522976	0.0000000538
1	99800604	100826404	339	37	0.0002433380	0.0000000298
1	100826405	102041015	447	40	0.0001078318	0.0000000399
1	102041016	102898744	279	37	-0.0000877402	0.0000000276
1	102898745	103914210	200	21	-0.0000225866	0.0000000174
1	103914211	106087841	455	40	-0.0002389237	0.0000000384
1	106087842	108409664	728	40	-0.0000840435	0.0000000630
1	108409665	110303930	566	40	0.0000549253	0.0000000601
1	110303931	111741736	572	40	-0.0000441730	0.0000000649
1	111741737	113273305	721	40	0.0002034184	0.0000000629
1	113273306	114873844	512	40	0.0000536412	0.0000000489
