chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	82	18	0.0001698945	0.000000008492
1	1892607	3582735	372	40	0.0003655353	0.000000030040
1	3582736	4380810	241	40	0.0001246209	0.000000016901
1	4380811	5913892	838	40	0.0001332927	0.000000034876
1	5913893	7247334	356	40	0.0001514916	0.000000021760
1	7247335	9365198	637	40	0.0001363328	0.000000034793
1	9365199	10806983	298	40	0.0001984278	0.000000018862
1	10806984	11777840	219	40	0.0000984541	0.000000014328
1	11777841	12779465	190	40	0.0002236175	0.000000016318
1	12779466	14891510	569	40	0.0000764731	0.000000032779
1	14891511	16897729	594	40	0.0005932427	0.000000042832
1	16897730	18662898	570	40	-0.0000318565	0.000000029472
1	18662899	20469148	628	40	0.0003115177	0.000000038982
1	20469149	21736587	392	40	0.0002224085	0.000000024535
1	21736588	23086882	443	40	0.0002031220	0.000000028661
1	23086883	23920589	179	25	0.0002926239	0.000000015898
1	23920590	25516844	443	40	0.0001956356	0.000000028585
1	25516845	27401866	305	40	0.0002775846	0.000000020670
1	27401867	30161880	481	40	0.0003507101	0.000000030059
1	30161881	32438684	864	40	0.0000830774	0.000000033688
1	32438685	34799757	606	40	0.0001963165	0.000000034498
1	34799758	37549182	513	40	0.0001729970	0.000000029399
1	37549183	38731846	317	40	0.0003155694	0.000000023231
1	38731847	40200566	390	40	0.0000699326	0.000000021421
1	40200567	41975326	494	40	0.0000398841	0.000000023299
1	41975327	43758456	474	40	0.0001502284	0.000000024386
1	43758457	44969182	300	34	-0.0000006950	0.000000013720
1	44969183	46899500	369	37	0.0002483830	0.000000019021
1	46899501	48002575	256	32	0.0001568567	0.000000014974
1	48002576	48978187	328	40	0.0001903505	0.000000020922
1	48978188	49894176	230	28	0.0000647635	0.000000012931
1	49894177	51713725	240	24	0.0002408296	0.000000013762
1	51713726	54226261	490	40	0.0001468639	0.000000027732
1	54226262	56413116	732	40	0.0001750912	0.000000035754
1	56413117	57021727	246	30	0.0000966985	0.000000013139
1	57021728	58865398	820	40	0.0000403995	0.000000032537
1	58865399	59890408	354	40	0.0001944145	0.000000020768
1	59890409	61922364	628	40	0.0003559233	0.000000039223
1	61922365	63455088	429	40	0.0003043942	0.000000029389
1	63455089	65041703	619	40	0.0000807900	0.000000027598
1	65041704	66939403	593	40	0.0002833735	0.000000032376
1	66939404	68477894	623	40	0.0001212532	0.000000028085
1	68477895	69687615	358	40	0.0002237402	0.000000022405
1	69687616	71372469	484	40	0.0001621099	0.000000025446
1	71372470	71684404	77	10	0.0000314344	0.000000003574
1	71684405	74326906	503	40	0.0001063076	0.000000021730
1	74326907	76728134	633	40	0.0000930134	0.000000026752
1	76728135	79661197	874	40	0.0002032723	0.000000036152
1	79661198	81354190	457	40	-0.0000396239	0.000000020125
1	81354191	83991747	924	40	0.0001815871	0.000000035730
1	83991748	84844494	304	35	0.0001787112	0.000000016123
1	84844495	86454750	584	40	0.0001496625	0.000000031165
1	86454751	88128630	512	40	0.0000626134	0.000000025831
1	88128631	90066302	478	40	0.0001087751	0.000000024692
1	90066303	91886316	536	40	0.0002708965	0.000000030157
1	91886317	93536458	452	40	0.0000816572	0.000000020589
1	93536459	94506190	224	25	0.0001187032	0.000000011384
1	94506191	96150892	602	40	0.0002389095	0.000000033408
1	96150893	97885248	572	40	0.0001667321	0.000000025671
1	97885249	99800603	618	40	0.0003106549	0.000000032320
1	99800604	100826404	279	34	0.0003367529	0.000000019886
1	100826405	102041015	417	40	0.0002027866	0.000000022988
1	102041016	102898744	266	36	0.0002293513	0.000000016675
1	102898745	103914210	178	20	-0.0000060141	0.000000006957
1	103914211	106087841	441	40	0.0001802138	0.000000023649
1	106087842	108409664	698	40	0.0000951171	0.000000033834
1	108409665	110303930	394	40	0.0003797652	0.000000026343
1	110303931	111741736	508	40	0.0002699177	0.000000032869
1	111741737	113273305	627	40	0.0001292278	0.000000033329
1	113273306	114873844	470	40	0.0003531551	0.000000029952
1	114873845	115880592	304	36	0.0003016396	0.000000019792
1	115880593	118839066	734	40	0.0002500011	0.000000037417
1	118839067	144977493	463	40	0.0002232505	0.000000027031
1	144977494	148361252	372	40	0.0000830475	0.000000019496
1	148361253	151538880	251	28	0.0006183646	0.000000024837
1	151538881	153180828	405	40	0.0000978315	0.000000018711
1	153180829	154770402	370	40	0.0002320568	0.000000022874
1	154770403	156336132	218	33	0.0002528882	0.000000017084
1	156336133	158027411	488	40	0.0001227964	0.000000026431
1	158027412	159913047	559	40	0.0001261232	0.000000031044
1	159913048	162346720	639	40	0.0001302271	0.000000034796
1	162346721	165191701	1127	40	0.0002537921	0.000000037430
1	165191702	166460516	498	40	0.0000808588	0.000000027240
1	166460517	169086323	1006	40	0.0000542025	0.000000033011
1	169086324	170557775	426	40	0.0000912852	0.000000020461
1	170557776	173097906	752	40	0.0004123591	0.000000040871
1	173097907	175089767	377	30	0.0000951253	0.000000013634
1	175089768	177433380	721	40	0.0000991219	0.000000033130
1	177433381	178944308	409	40	0.0002243362	0.000000022847
1	178944309	178954469	2	1	0.0000153556	0.000000000461
1	178954470	181144120	646	40	0.0001492334	0.000000031985
1	181144121	182755355	558	40	0.0002111776	0.000000032902
1	182755356	184595512	558	40	0.0001690235	0.000000027875
1	184595513	186810022	458	40	0.0003348026	0.000000026887
1	186810023	188759944	601	40	0.0001274338	0.000000028074
1	188759945	189904129	218	19	0.0000245043	0.000000008052
1	189904130	191868929	520	40	0.0001147229	0.000000021315
1	191868930	194107441	548	40	0.0002154376	0.000000028322
1	194107442	196176200	561	40	0.0000425983	0.000000022582
1	196176201	197311513	163	14	0.0000108576	0.000000006155
1	197311514	199239883	485	40	0.0001845463	0.000000025804
