chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	102	19	-0.0000072452	0.0000000017
1	1892607	3582735	436	40	0.0000345606	0.0000000052
1	3582736	4380810	272	40	-0.0000606028	0.0000000036
1	4380811	5913892	863	40	-0.0000209096	0.0000000058
1	5913893	7247334	429	40	-0.0000031846	0.0000000046
1	7247335	9365198	695	40	-0.0000158745	0.0000000068
1	9365199	10806983	353	40	0.0000291288	0.0000000029
1	10806984	11777840	256	40	0.0000382579	0.0000000034
1	11777841	12779465	282	40	-0.0000720702	0.0000000033
1	12779466	14891510	615	40	-0.0000111819	0.0000000050
1	14891511	16897729	682	40	-0.0000293599	0.0000000057
1	16897730	18662898	656	40	-0.0000263649	0.0000000058
1	18662899	20469148	708	40	0.0000806342	0.0000000057
1	20469149	21736587	460	40	-0.0000103912	0.0000000043
1	21736588	23086882	522	40	0.0000003460	0.0000000050
1	23086883	23920589	221	28	0.0000178050	0.0000000024
1	23920590	25516844	521	40	-0.0000475399	0.0000000050
1	25516845	27401866	412	40	0.0000754949	0.0000000043
1	27401867	30161880	550	40	0.0000461826	0.0000000043
1	30161881	32438684	927	40	0.0000002234	0.0000000063
1	32438685	34799757	674	40	0.0000087158	0.0000000054
1	34799758	37549182	547	40	-0.0000086236	0.0000000051
1	37549183	38731846	373	40	-0.0000643754	0.0000000038
1	38731847	40200566	446	40	0.0000097164	0.0000000039
1	40200567	41975326	554	40	0.0000270338	0.0000000044
1	41975327	43758456	538	40	0.0000470549	0.0000000049
1	43758457	44969182	371	35	0.0000049757	0.0000000047
1	44969183	46899500	456	38	-0.0000834277	0.0000000034
1	46899501	48002575	295	33	-0.0001002826	0.0000000028
1	48002576	48978187	343	40	0.0000225338	0.0000000035
1	48978188	49894176	247	28	-0.0000425972	0.0000000026
1	49894177	51713725	259	25	0.0000252640	0.0000000023
1	51713726	54226261	562	40	0.0000168974	0.0000000052
1	54226262	56413116	831	40	0.0000094986	0.0000000049
1	56413117	57021727	268	31	0.0000344333	0.0000000022
1	57021728	58865398	846	40	-0.0000849567	0.0000000069
1	58865399	59890408	381	40	-0.0000919424	0.0000000034
1	59890409	61922364	668	40	-0.0000281227	0.0000000056
1	61922365	63455088	529	40	0.0000031190	0.0000000047
1	63455089	65041703	655	40	-0.0000016048	0.0000000045
1	65041704	66939403	649	40	-0.0000937242	0.0000000059
1	66939404	68477894	685	40	-0.0000280118	0.0000000058
1	68477895	69687615	386	40	-0.0000104130	0.0000000043
1	69687616	71372469	516	40	-0.0000760737	0.0000000040
1	71372470	71684404	82	10	0.0000469592	0.0000000009
1	71684405	74326906	556	40	0.0000693173	0.0000000059
1	74326907	76728134	724	40	0.0000470122	0.0000000055
1	76728135	79661197	945	40	0.0000087794	0.0000000058
1	79661198	81354190	474	40	-0.0000740205	0.0000000043
1	81354191	83991747	971	40	-0.0000015325	0.0000000052
1	83991748	84844494	310	34	-0.0000070527	0.0000000024
1	84844495	86454750	649	40	-0.0000003329	0.0000000056
1	86454751	88128630	567	40	0.0000122450	0.0000000050
1	88128631	90066302	519	40	0.0000000658	0.0000000044
1	90066303	91886316	557	40	-0.0000172712	0.0000000055
1	91886317	93536458	504	40	-0.0000334059	0.0000000035
1	93536459	94506190	254	26	0.0000784022	0.0000000037
1	94506191	96150892	647	40	-0.0000065474	0.0000000052
1	96150893	97885248	602	40	0.0000159386	0.0000000054
1	97885249	99800603	638	40	-0.0001088125	0.0000000057
1	99800604	100826404	337	37	0.0000229497	0.0000000030
1	100826405	102041015	445	40	0.0000448314	0.0000000036
1	102041016	102898744	276	36	0.0000190659	0.0000000025
1	102898745	103914210	199	21	-0.0000379663	0.0000000017
1	103914211	106087841	454	40	0.0000107945	0.0000000042
1	106087842	108409664	722	40	0.0000169379	0.0000000050
1	108409665	110303930	564	40	-0.0000303602	0.0000000044
1	110303931	111741736	563	40	-0.0000713234	0.0000000059
1	111741737	113273305	720	40	-0.0000735580	0.0000000062
1	113273306	114873844	511	40	-0.0000140253	0.0000000046
1	114873845	115880592	342	37	-0.0000298435	0.0000000024
1	115880593	118839066	834	40	-0.0000165289	0.0000000062
1	118839067	144977493	563	40	0.0000399629	0.0000000045
1	144977494	148361252	431	40	-0.0001018885	0.0000000081
1	148361253	151538880	348	34	-0.0000042122	0.0000000042
1	151538881	153180828	468	40	-0.0000489262	0.0000000035
1	153180829	154770402	453	40	-0.0000072278	0.0000000037
1	154770403	156336132	306	38	-0.0000127095	0.0000000058
1	156336133	158027411	595	40	-0.0000122791	0.0000000059
1	158027412	159913047	678	40	0.0000213769	0.0000000059
1	159913048	162346720	871	40	0.0000134339	0.0000000061
1	162346721	165191701	1188	40	-0.0000116495	0.0000000067
1	165191702	166460516	529	40	-0.0000671919	0.0000000054
1	166460517	169086323	1100	40	0.0000248287	0.0000000059
1	169086324	170557775	558	40	0.0000044976	0.0000000037
1	170557776	173097906	894	40	-0.0000423504	0.0000000062
1	173097907	175089767	411	32	-0.0000268956	0.0000000029
1	175089768	177433380	783	40	-0.0000313647	0.0000000058
1	177433381	178944308	491	40	-0.0000362394	0.0000000040
1	178944309	178954469	2	1	0.0000047298	0.0000000002
1	178954470	181144120	750	40	0.0000471430	0.0000000058
1	181144121	182755355	597	40	0.0000538681	0.0000000059
1	182755356	184595512	628	40	0.0000242081	0.0000000051
1	184595513	186810022	522	40	0.0000139075	0.0000000052
1	186810023	188759944	617	40	-0.0000234302	0.0000000047
1	188759945	189904129	216	17	0.0000130012	0.0000000016
1	189904130	191868929	537	40	0.0000290762	0.0000000043
1	191868930	194107441	582	40	-0.0000636346	0.0000000047
1	194107442	196176200	580	40	-0.0000708759	0.0000000049
1	196176201	197311513	196	16	-0.0000752401	0.0000000016
1	197311514	199239883	504	40	-0.0001431988	0.0000000046
1	199239884	200137648	299	36	-0.0000526303	0.0000000038
1	200137649	201589974	704	40	-0.0000396994	0.0000000060
1	201589975	203334733	611	40	0.0000178394	0.0000000063
1	203334734	204681067	485	40	0.0000312836	0.0000000046
1	204681068	206073264	575	40	-0.0000684844	0.0000000056
1	206073265	208410363	620	40	-0.0000030576	0.0000000054
1	208410364	210787749	923	40	-0.0000458816	0.0000000058
1	210787750	212842329	696	40	-0.0000059875	0.0000000072
1	212842330	214578265	611	40	0.0000721556	0.0000000054
1	214578266	216243633	589	40	-0.0000011321	0.0000000046
1	216243634	218705512	1079	40	-0.0000522741	0.0000000058
1	218705513	219590570	280	34	0.0000215075	0.0000000022
1	219590571	221858230	688	40	-0.0000114378	0.0000000061
1	221858231	222230219	174	21	0.0000417697	0.0000000025
1	222230220	224938519	456	40	-0.0000452991	0.0000000039
1	224938520	226810859	515	40	-0.0000451438	0.0000000050
1	226810860	229156247	694	40	-0.0000396566	0.0000000056
1	229156248	230685254	528	40	0.0000033842	0.0000000048
1	230685255	232090251	589	40	0.0000207154	0.0000000050
1	232090252	233429283	604	40	0.0000368672	0.0000000054
1	233429284	234599433	534	40	0.0000054406	0.0000000044
1	234599434	235819435	383	40	-0.0000239316	0.0000000055
1	235819436	237555627	717	40	-0.0000007818	0.0000000063
1	237555628	238567806	427	40	-0.0001022811	0.0000000054
1	238567807	239925313	488	40	-0.0000774008	0.0000000043
1	239925314	240564090	343	40	0.0000480233	0.0000000031
1	240564091	241582219	515	40	0.0000270739	0.0000000055
1	241582220	242071601	219	39	-0.0000505884	0.0000000029
1	242071602	244109498	617	40	-0.0000409218	0.0000000068
1	244109499	245506745	508	40	0.0000180339	0.0000000055
1	245506746	247344517	703	40	-0.0000554435	0.0000000058
1	247344518	249239465	392	40	-0.0000593433	0.0000000038
2	10133	1781021	664	40	-0.0001669875	0.0000000066
2	1781022	3973778	962	40	-0.0000327131	0.0000000057
2	3973779	5708336	626	40	0.0000430302	0.0000000057
2	5708337	6836253	566	40	0.0000311542	0.0000000046
2	6836254	8422146	652	40	0.0001214899	0.0000000057
2	8422147	10298468	673	40	0.0000112282	0.0000000057
2	10298469	12419149	965	40	-0.0000403524	0.0000000059
2	12419150	14335307	590	40	-0.0000291664	0.0000000057
2	14335308	16329734	743	40	-0.0000072272	0.0000000063
2	16329735	18647422	858	40	0.0000671231	0.0000000064
2	18647423	19692403	382	40	0.0000014161	0.0000000040
2	19692404	21050489	634	40	0.0000539825	0.0000000055
2	21050490	23341382	624	40	-0.0000030624	0.0000000058
2	23341383	24686917	441	40	-0.0000406891	0.0000000048
2	24686918	26894984	560	40	0.0000153269	0.0000000042
2	26894985	28598776	415	33	0.0000553106	0.0000000092
2	28598777	29217558	247	31	0.0000258762	0.0000000032
2	29217559	30463710	636	40	-0.0000663249	0.0000000058
2	30463711	31550449	530	40	-0.0000025446	0.0000000053
2	31550450	33363776	494	40	-0.0000650983	0.0000000052
2	33363777	35345027	802	40	-0.0000262872	0.0000000056
2	35345028	36122005	290	30	-0.0000251145	0.0000000030
2	36122006	38132711	919	40	-0.0000210747	0.0000000055
2	38132712	39031336	326	38	-0.0000159887	0.0000000036
2	39031337	40281482	303	32	-0.0000292985	0.0000000029
2	40281483	43309589	1306	40	-0.0000495514	0.0000000060
2	43309590	44313802	400	40	-0.0000325543	0.0000000044
2	44313803	46482633	1064	40	-0.0000195579	0.0000000055
2	46482634	47318771	415	40	0.0001040265	0.0000000053
