chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	104	20	0.0001053410	0.000000031300
1	1892607	3582735	444	22	0.0001870610	0.000000117476
1	3582736	4380810	278	22	0.0001725288	0.000000068307
1	4380811	5913892	870	22	0.0000948274	0.000000125214
1	5913893	7247334	432	22	0.0002370665	0.000000093768
1	7247335	9365198	701	22	0.0002312734	0.000000132343
1	9365199	10806983	353	22	0.0002269472	0.000000069781
1	10806984	11777840	259	22	0.0001489305	0.000000060574
1	11777841	12779465	288	22	0.0002210896	0.000000063520
1	12779466	14891510	618	22	0.0001317180	0.000000127443
1	14891511	16897729	691	22	0.0001486846	0.000000129751
1	16897730	18662898	671	22	0.0000371930	0.000000125707
1	18662899	20469148	720	22	0.0000076771	0.000000125100
1	20469149	21736587	461	22	0.0000514940	0.000000087527
1	21736588	23086882	524	22	-0.0000407149	0.000000108545
1	23086883	23920589	222	22	0.0001562102	0.000000044987
1	23920590	25516844	524	22	0.0002280328	0.000000118210
1	25516845	27401866	414	22	0.0000551696	0.000000066902
1	27401867	30161880	554	22	-0.0000148138	0.000000095616
1	30161881	32438684	936	22	0.0001624888	0.000000127687
1	32438685	34799757	675	22	0.0001635247	0.000000130354
1	34799758	37549182	559	22	0.0002876292	0.000000116342
1	37549183	38731846	372	22	0.0001611501	0.000000072470
1	38731847	40200566	447	22	0.0000210762	0.000000081647
1	40200567	41975326	557	22	0.0000909766	0.000000097735
1	41975327	43758456	545	22	0.0004113355	0.000000103924
1	43758457	44969182	371	22	0.0002326304	0.000000067759
1	44969183	46899500	458	22	0.0000486132	0.000000058972
1	46899501	48002575	297	22	0.0001215201	0.000000051543
1	48002576	48978187	344	22	0.0000853262	0.000000066106
1	48978188	49894176	247	22	0.0002952744	0.000000056552
1	49894177	51713725	260	22	0.0002298244	0.000000042923
1	51713726	54226261	565	22	0.0000104730	0.000000102628
1	54226262	56413116	839	22	0.0000344304	0.000000119307
1	56413117	57021727	272	22	0.0002950154	0.000000050003
1	57021728	58865398	850	22	0.0002663981	0.000000131959
1	58865399	59890408	383	22	0.0001210758	0.000000067334
1	59890409	61922364	672	22	0.0000906022	0.000000123222
1	61922365	63455088	534	22	0.0002080562	0.000000096563
1	63455089	65041703	659	22	0.0000936321	0.000000107102
1	65041704	66939403	650	22	0.0003744126	0.000000120772
1	66939404	68477894	687	22	0.0001050861	0.000000105991
1	68477895	69687615	389	22	0.0001943271	0.000000076756
1	69687616	71372469	520	22	0.0000882212	0.000000091241
1	71372470	71684404	82	10	0.0000180424	0.000000011772
1	71684405	74326906	559	22	0.0005251369	0.000000090137
1	74326907	76728134	726	22	0.0001311053	0.000000102583
1	76728135	79661197	950	22	0.0003928001	0.000000135818
1	79661198	81354190	475	22	0.0001009335	0.000000083168
1	81354191	83991747	972	22	0.0001229843	0.000000123074
1	83991748	84844494	314	22	0.0002548088	0.000000056635
1	84844495	86454750	652	22	0.0000696225	0.000000114294
1	86454751	88128630	574	22	0.0001563004	0.000000109003
1	88128631	90066302	523	22	0.0000589862	0.000000087481
1	90066303	91886316	563	22	0.0001548836	0.000000101649
1	91886317	93536458	508	22	0.0001931065	0.000000080267
1	93536459	94506190	255	22	0.0001595998	0.000000042504
1	94506191	96150892	651	22	0.0000157080	0.000000112219
1	96150893	97885248	610	22	0.0003002809	0.000000098576
1	97885249	99800603	643	22	0.0000873521	0.000000103372
1	99800604	100826404	339	22	0.0001793677	0.000000055470
1	100826405	102041015	448	22	0.0001719629	0.000000079021
1	102041016	102898744	278	22	0.0001031849	0.000000049812
1	102898745	103914210	201	21	0.0000196320	0.000000029720
1	103914211	106087841	455	22	0.0000650408	0.000000079346
1	106087842	108409664	727	22	0.0001413236	0.000000124669
1	108409665	110303930	565	22	0.0003418657	0.000000094011
1	110303931	111741736	572	22	0.0000986780	0.000000116199
1	111741737	113273305	721	22	0.0003409156	0.000000133813
1	113273306	114873844	511	22	0.0000530008	0.000000093749
1	114873845	115880592	346	22	0.0001337857	0.000000056816
1	115880593	118839066	840	22	0.0000716842	0.000000123333
1	118839067	144977493	566	22	0.0001477916	0.000000084138
1	144977494	148361252	433	22	0.0001547992	0.000000077993
1	148361253	151538880	350	22	0.0000969472	0.000000056716
1	151538881	153180828	467	22	-0.0000629929	0.000000063682
1	153180829	154770402	461	22	0.0000224822	0.000000077638
1	154770403	156336132	307	22	0.0003532569	0.000000069898
1	156336133	158027411	599	22	0.0001226478	0.000000114103
1	158027412	159913047	685	22	0.0000341908	0.000000122319
1	159913048	162346720	878	22	0.0000541329	0.000000109878
1	162346721	165191701	1200	22	-0.0000340253	0.000000117840
1	165191702	166460516	533	22	-0.0000418040	0.000000101169
1	166460517	169086323	1109	22	0.0000251359	0.000000124428
1	169086324	170557775	560	22	0.0003409236	0.000000089259
1	170557776	173097906	902	22	0.0000730353	0.000000117090
1	173097907	175089767	411	22	0.0001259937	0.000000049570
1	175089768	177433380	785	22	0.0002496207	0.000000130680
1	177433381	178944308	492	22	0.0002740014	0.000000079909
1	178944309	178954469	2	1	0.0000388508	0.000000002575
1	178954470	181144120	753	22	0.0002096252	0.000000127908
1	181144121	182755355	600	22	0.0000895054	0.000000114317
1	182755356	184595512	629	22	-0.0000184270	0.000000095936
1	184595513	186810022	525	22	-0.0000701499	0.000000076410
1	186810023	188759944	619	22	0.0001286939	0.000000101128
1	188759945	189904129	221	19	0.0002621934	0.000000038824
1	189904130	191868929	538	22	0.0001116142	0.000000072688
1	191868930	194107441	585	22	0.0001344042	0.000000096921
1	194107442	196176200	580	22	0.0000124531	0.000000081864
1	196176201	197311513	197	16	0.0001207976	0.000000029631
1	197311514	199239883	504	22	0.0003161739	0.000000095323
1	199239884	200137648	301	22	0.0000504324	0.000000051480
1	200137649	201589974	711	22	0.0000391268	0.000000124160
1	201589975	203334733	619	22	0.0002159772	0.000000131374
1	203334734	204681067	485	22	0.0002045088	0.000000097812
1	204681068	206073264	578	22	0.0002739102	0.000000119697
1	206073265	208410363	633	22	-0.0000123669	0.000000117887
1	208410364	210787749	933	22	0.0001880621	0.000000128597
1	210787750	212842329	698	22	0.0001346429	0.000000123640
1	212842330	214578265	613	22	0.0000597810	0.000000116869
1	214578266	216243633	595	22	0.0000685727	0.000000107115
1	216243634	218705512	1083	22	0.0000857914	0.000000122057
1	218705513	219590570	281	22	0.0001023202	0.000000047180
1	219590571	221858230	690	22	0.0003166438	0.000000121717
1	221858231	222230219	174	21	0.0001287570	0.000000037659
1	222230220	224938519	481	22	0.0001184481	0.000000095749
1	224938520	226810859	520	22	0.0000306444	0.000000088597
1	226810860	229156247	696	22	0.0003583896	0.000000128386
1	229156248	230685254	531	22	0.0001272712	0.000000097415
1	230685255	232090251	590	22	0.0001681972	0.000000112181
1	232090252	233429283	609	22	0.0000625781	0.000000125473
