chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	92	17	0.0001177664	0.000000007419
1	1892607	3582735	403	40	0.0003835077	0.000000030430
1	3582736	4380810	262	40	0.0001993025	0.000000018185
1	4380811	5913892	862	40	0.0000778205	0.000000033084
1	5913893	7247334	409	40	0.0002395625	0.000000026102
1	7247335	9365198	677	40	0.0003838216	0.000000039880
1	9365199	10806983	337	40	0.0002499562	0.000000020929
1	10806984	11777840	247	40	0.0001855317	0.000000017071
1	11777841	12779465	272	40	0.0000945019	0.000000016803
1	12779466	14891510	606	40	0.0000899829	0.000000033354
1	14891511	16897729	656	40	0.0001637673	0.000000034993
1	16897730	18662898	636	40	0.0001635581	0.000000034988
1	18662899	20469148	684	40	0.0001340535	0.000000034333
1	20469149	21736587	450	40	0.0002542398	0.000000027628
1	21736588	23086882	506	40	0.0001479262	0.000000029970
1	23086883	23920589	214	27	0.0000700840	0.000000012035
1	23920590	25516844	498	40	0.0000553826	0.000000027471
1	25516845	27401866	385	40	0.0000082774	0.000000016644
1	27401867	30161880	523	40	0.0000243291	0.000000023988
1	30161881	32438684	901	40	0.0001089183	0.000000033775
1	32438685	34799757	644	40	0.0000993566	0.000000033177
1	34799758	37549182	522	40	0.0000281074	0.000000025404
1	37549183	38731846	358	40	0.0002333407	0.000000022252
1	38731847	40200566	424	40	0.0003322771	0.000000028093
1	40200567	41975326	540	40	0.0001037735	0.000000026574
1	41975327	43758456	530	40	0.0001559822	0.000000025893
1	43758457	44969182	350	35	0.0003748465	0.000000023255
1	44969183	46899500	439	38	0.0000903369	0.000000017023
1	46899501	48002575	277	33	0.0001367905	0.000000015122
1	48002576	48978187	339	40	0.0000435434	0.000000017800
1	48978188	49894176	237	28	0.0000331269	0.000000012396
1	49894177	51713725	252	25	0.0000706971	0.000000010503
1	51713726	54226261	546	40	0.0002121455	0.000000030630
1	54226262	56413116	810	40	0.0001363719	0.000000034384
1	56413117	57021727	264	31	0.0001025659	0.000000013621
1	57021728	58865398	826	40	0.0001985215	0.000000035765
1	58865399	59890408	371	40	0.0004215498	0.000000025854
1	59890409	61922364	660	40	0.0002094999	0.000000036009
1	61922365	63455088	513	40	0.0001605852	0.000000028723
1	63455089	65041703	642	40	-0.0000705267	0.000000024741
1	65041704	66939403	634	40	0.0003848621	0.000000035929
1	66939404	68477894	662	40	0.0002858581	0.000000032584
1	68477895	69687615	382	40	0.0000761023	0.000000019587
1	69687616	71372469	505	40	0.0000702404	0.000000023930
1	71372470	71684404	80	10	0.0000842809	0.000000004844
1	71684405	74326906	555	40	0.0002900082	0.000000026778
1	74326907	76728134	708	40	0.0003744285	0.000000034548
1	76728135	79661197	924	40	0.0000654558	0.000000032809
1	79661198	81354190	470	40	0.0001072029	0.000000023485
1	81354191	83991747	964	40	0.0002460619	0.000000036821
1	83991748	84844494	304	34	0.0002518567	0.000000017791
1	84844495	86454750	634	40	0.0000591774	0.000000030427
1	86454751	88128630	552	40	0.0001216358	0.000000027732
1	88128631	90066302	514	40	0.0000985165	0.000000025126
1	90066303	91886316	554	40	0.0002747396	0.000000030365
1	91886317	93536458	497	40	0.0000588112	0.000000020964
1	93536459	94506190	244	26	0.0000634246	0.000000010589
1	94506191	96150892	638	40	0.0000411823	0.000000030539
1	96150893	97885248	597	40	0.0004187236	0.000000031843
1	97885249	99800603	631	40	0.0004469452	0.000000035392
1	99800604	100826404	329	36	0.0001386105	0.000000016095
1	100826405	102041015	439	40	-0.0000296120	0.000000018376
1	102041016	102898744	271	36	0.0003780929	0.000000020022
1	102898745	103914210	195	21	-0.0000276823	0.000000006973
1	103914211	106087841	451	40	0.0001897432	0.000000024305
1	106087842	108409664	720	40	0.0001997517	0.000000035792
1	108409665	110303930	545	40	0.0000913227	0.000000025220
1	110303931	111741736	559	40	0.0000788926	0.000000030928
1	111741737	113273305	691	40	0.0001550563	0.000000034799
1	113273306	114873844	496	40	0.0000456478	0.000000024207
1	114873845	115880592	337	37	0.0000347593	0.000000014421
1	115880593	118839066	807	40	0.0000683987	0.000000032875
1	118839067	144977493	553	40	0.0000423556	0.000000024958
1	144977494	148361252	425	40	0.0004605323	0.000000029357
1	148361253	151538880	331	33	0.0004348768	0.000000023396
1	151538881	153180828	449	40	0.0000928038	0.000000019768
1	153180829	154770402	443	40	0.0002766177	0.000000025851
1	154770403	156336132	280	38	0.0001321505	0.000000016513
1	156336133	158027411	576	40	0.0000956889	0.000000028938
1	158027412	159913047	664	40	0.0000531218	0.000000032407
1	159913048	162346720	847	40	0.0002201791	0.000000036246
1	162346721	165191701	1170	40	0.0001453748	0.000000034584
1	165191702	166460516	513	40	0.0008686981	0.000000045194
1	166460517	169086323	1078	40	0.0002222791	0.000000036292
1	169086324	170557775	543	40	0.0001463274	0.000000024163
1	170557776	173097906	886	40	0.0000678171	0.000000032862
1	173097907	175089767	399	31	0.0001618447	0.000000015614
1	175089768	177433380	763	40	0.0002159708	0.000000036152
1	177433381	178944308	483	40	0.0004496405	0.000000030757
1	178944309	178954469	2	1	-0.0000027177	0.000000000062
1	178954470	181144120	712	40	0.0003153919	0.000000036948
1	181144121	182755355	577	40	0.0000687275	0.000000030063
1	182755356	184595512	607	40	0.0001877785	0.000000029262
1	184595513	186810022	499	40	0.0001278242	0.000000023374
1	186810023	188759944	610	40	0.0003788498	0.000000033627
1	188759945	189904129	216	17	-0.0000172407	0.000000006896
1	189904130	191868929	536	40	0.0003466509	0.000000026709
1	191868930	194107441	575	40	0.0001847797	0.000000027926
1	194107442	196176200	576	40	0.0001470199	0.000000024999
1	196176201	197311513	188	16	-0.0000140159	0.000000006106
1	197311514	199239883	499	40	0.0000924637	0.000000023853
1	199239884	200137648	294	35	0.0002635569	0.000000018921
1	200137649	201589974	682	40	0.0000660352	0.000000032822
1	201589975	203334733	590	40	0.0001889996	0.000000033885
1	203334734	204681067	469	40	0.0001799901	0.000000026742
1	204681068	206073264	559	40	0.0002611002	0.000000032927
1	206073265	208410363	598	40	0.0001108843	0.000000032920
1	208410364	210787749	903	40	0.0000348345	0.000000032129
1	210787750	212842329	685	40	-0.0000322415	0.000000030639
1	212842330	214578265	604	40	0.0001426745	0.000000033049
1	214578266	216243633	578	40	0.0000374832	0.000000027392
1	216243634	218705512	1069	40	0.0001350475	0.000000034355
1	218705513	219590570	276	33	0.0001709972	0.000000015879
1	219590571	221858230	674	40	0.0000717709	0.000000031987
1	221858231	222230219	171	21	0.0000532904	0.000000009933
1	222230220	224938519	445	40	0.0000988416	0.000000022732
1	224938520	226810859	496	40	0.0001911150	0.000000026546
1	226810860	229156247	652	40	0.0002020934	0.000000033023
1	229156248	230685254	514	40	0.0000257102	0.000000026494
1	230685255	232090251	573	40	0.0001142662	0.000000030116
1	232090252	233429283	597	40	0.0000491314	0.000000032126
1	233429284	234599433	517	40	0.0000585574	0.000000027732
1	234599434	235819435	366	40	0.0001686989	0.000000022831
1	235819436	237555627	692	40	0.0000139148	0.000000031664
1	237555628	238567806	417	40	0.0001159408	0.000000023931
1	238567807	239925313	486	40	0.0002520475	0.000000030306
1	239925314	240564090	335	40	0.0000689488	0.000000018363
1	240564091	241582219	504	40	0.0001720154	0.000000032292
1	241582220	242071601	207	37	0.0001572648	0.000000014768
1	242071602	244109498	599	40	0.0003019972	0.000000036394
1	244109499	245506745	497	40	0.0001040636	0.000000028614
1	245506746	247344517	667	40	0.0000561197	0.000000032602
1	247344518	249239465	384	40	0.0001199042	0.000000022002
2	10133	1781021	646	40	0.0004612846	0.000000041472
2	1781022	3973778	948	40	0.0001913856	0.000000035606
2	3973779	5708336	623	40	0.0000715439	0.000000032944
2	5708337	6836253	558	40	0.0001168649	0.000000028707
2	6836254	8422146	642	40	0.0002867967	0.000000037468
2	8422147	10298468	657	40	-0.0000650416	0.000000029911
2	10298469	12419149	949	40	0.0000352177	0.000000032138
2	12419150	14335307	589	40	0.0001824078	0.000000031692
2	14335308	16329734	734	40	0.0003002318	0.000000038024
2	16329735	18647422	853	40	0.0002872578	0.000000037736
2	18647423	19692403	380	40	0.0000256557	0.000000019286
2	19692404	21050489	627	40	0.0000643393	0.000000031373
2	21050490	23341382	622	40	0.0000773369	0.000000033073
2	23341383	24686917	436	40	0.0002456742	0.000000025607
2	24686918	26894984	541	40	0.0003692927	0.000000033542
2	26894985	28598776	406	33	0.0002914605	0.000000023413
2	28598777	29217558	247	31	0.0002036555	0.000000016414
2	29217559	30463710	626	40	0.0001889773	0.000000035553
2	30463711	31550449	521	40	0.0001711312	0.000000031697
2	31550450	33363776	482	40	0.0001653879	0.000000030612
2	33363777	35345027	796	40	0.0000828539	0.000000033196
2	35345028	36122005	289	30	0.0001240076	0.000000016520
2	36122006	38132711	917	40	0.0000733160	0.000000032984
2	38132712	39031336	320	38	0.0000854782	0.000000020046
2	39031337	40281482	299	32	0.0000918687	0.000000018181
2	40281483	43309589	1283	40	0.0001439248	0.000000034552
2	43309590	44313802	395	40	0.0001755188	0.000000024999
2	44313803	46482633	1054	40	0.0001478617	0.000000034640
2	46482634	47318771	408	40	0.0000859410	0.000000026623
2	47318772	48213000	295	40	0.0001178304	0.000000020072
2	48213001	50022256	700	40	0.0003131313	0.000000038310
2	50022257	50818927	341	34	0.0001336309	0.000000020421
2	50818928	52491132	646	40	0.0002537083	0.000000036990
2	52491133	53508451	461	40	0.0000798051	0.000000025218
2	53508452	54685225	427	40	0.0001190231	0.000000025011
2	54685226	56203344	602	40	0.0000601992	0.000000032692
2	56203345	57429099	425	40	0.0006497792	0.000000036965
2	57429100	58297314	270	28	0.0000124125	0.000000014052
2	58297315	60291999	736	40	0.0003186009	0.000000038432
2	60292000	62429043	581	40	0.0003561140	0.000000038943
2	62429044	64625912	576	40	0.0001786545	0.000000033207
2	64625913	65933443	456	40	0.0003724576	0.000000031833
2	65933444	67226165	549	40	0.0001369852	0.000000029345
2	67226166	68010175	418	40	0.0002983608	0.000000026648
2	68010176	69139563	466	40	0.0001874206	0.000000025768
2	69139564	70755197	522	40	0.0002372331	0.000000028962
2	70755198	73174847	783	40	0.0000453570	0.000000032363
2	73174848	75630085	698	40	0.0001157663	0.000000033927
2	75630086	76913660	513	40	0.0000893442	0.000000027779
2	76913661	78079263	390	40	0.0002260514	0.000000026751
2	78079264	80050402	818	40	0.0001375303	0.000000034410
2	80050403	81620840	573	40	0.0002721210	0.000000036757
2	81620841	85140679	886	40	0.0003541593	0.000000035120
2	85140680	88038506	616	40	0.0002362133	0.000000030718
2	88038507	89154525	242	30	0.0000864301	0.000000012830
2	89154526	95326451	4	2	0.0000093654	0.000000000449
2	95326452	98995200	420	40	0.0001997004	0.000000022826
2	98995201	101822328	887	40	0.0003255695	0.000000038586
2	101822329	102688764	256	30	0.0002097454	0.000000015370
2	102688765	103588214	396	36	0.0000812453	0.000000015574
2	103588215	105125033	304	40	0.0001313714	0.000000016932
2	105125034	106210057	397	40	0.0002338779	0.000000024526
2	106210058	107408266	439	40	0.0002370859	0.000000025480
2	107408267	108429176	350	40	0.0001515861	0.000000017068
2	108429177	110572431	519	40	0.0001579584	0.000000026317
2	110572432	113921855	762	40	0.0001478402	0.000000034639
2	113921856	116772469	742	40	0.0000239379	0.000000031887
2	116772470	118367465	393	37	0.0001670013	0.000000018906
2	118367466	121303782	985	40	0.0002809927	0.000000037596
2	121303783	123302905	570	40	0.0003358633	0.000000034650
2	123302906	124732249	425	40	0.0002330916	0.000000021620
2	124732250	125840920	377	40	0.0002327938	0.000000022115
2	125840921	127373763	407	37	0.0002493796	0.000000020354
2	127373764	128034346	257	40	0.0000650058	0.000000013784
2	128034347	129474440	422	40	0.0000279842	0.000000019149
2	129474441	130067169	220	26	0.0000536014	0.000000010310
2	130067170	130658084	201	26	0.0001072521	0.000000011619
2	130658085	133042783	203	32	0.0000541753	0.000000011188
2	133042784	135158577	901	40	0.0000355342	0.000000032145
2	135158578	137042793	442	40	0.0001602861	0.000000020510
2	137042794	138698116	589	40	0.0002591211	0.000000032819
2	138698117	140100270	429	40	0.0001016484	0.000000017585
2	140100271	141805350	561	40	0.0000609882	0.000000027595
2	141805351	142518601	293	33	0.0003571808	0.000000022739
2	142518602	144519483	645	40	0.0001707813	0.000000032712
2	144519484	146445569	437	40	0.0002667788	0.000000026327
2	146445570	147277161	151	15	0.0002007685	0.000000011402
2	147277162	150210291	649	40	0.0002693119	0.000000032663
2	150210292	151731461	468	40	0.0001965718	0.000000025592
2	151731462	152486781	279	29	0.0001142678	0.000000014376
2	152486782	154005055	466	40	0.0001147851	0.000000024095
2	154005056	155391134	484	40	0.0001528229	0.000000026330
2	155391135	157560634	546	40	0.0004342780	0.000000034220
2	157560635	158533217	171	25	0.0001385784	0.000000012620
2	158533218	159577081	328	39	0.0001762312	0.000000019548
2	159577082	161769732	704	40	0.0002554709	0.000000035297
2	161769733	163503550	386	36	0.0001978711	0.000000018777
2	163503551	164466637	191	23	0.0001536625	0.000000012335
2	164466638	165178839	173	21	0.0001062833	0.000000010486
2	165178840	167160269	613	40	0.0000936529	0.000000029148
2	167160270	167355969	72	10	-0.0000143867	0.000000002972
2	167355970	169968235	817	40	0.0002950581	0.000000037909
2	169968236	171226244	475	40	0.0001043467	0.000000024496
2	171226245	173138904	558	40	0.0002195438	0.000000033027
2	173138905	175588928	822	40	0.0001969313	0.000000035729
2	175588929	177363635	521	40	0.0002746288	0.000000029664
2	177363636	178553182	460	40	0.0000953244	0.000000021269
2	178553183	181312738	994	40	0.0000410939	0.000000032268
2	181312739	182266030	297	32	0.0001464994	0.000000015897
2	182266031	184357607	600	40	0.0001910465	0.000000032075
2	184357608	185280172	232	25	0.0001220502	0.000000012812
2	185280173	189882064	943	40	0.0001243392	0.000000034117
2	189882065	191973356	484	40	0.0001616364	0.000000024818
2	191973357	195861163	699	40	0.0000726467	0.000000032969
2	195861164	196447455	151	19	0.0000845753	0.000000008713
2	196447456	198078109	436	40	0.0001903158	0.000000020799
2	198078110	199311124	301	26	0.0000488697	0.000000011690
2	199311125	201576283	618	40	0.0011107427	0.000000052036
2	201576284	202818636	306	39	0.0000126413	0.000000014493
2	202818637	205799240	737	40	0.0003055657	0.000000038142
2	205799241	206735703	395	40	0.0001223119	0.000000024515
2	206735704	208645398	636	40	0.0001662076	0.000000035047
2	208645399	209941528	324	39	0.0003553818	0.000000023262
2	209941529	212379517	733	40	0.0001310053	0.000000034265
2	212379518	214014281	618	40	0.0001881085	0.000000035533
2	214014282	215573794	436	40	0.0001265204	0.000000023913
2	215573795	217715660	778	40	-0.0000054795	0.000000031234
2	217715661	218395479	273	36	0.0001161673	0.000000016471
2	218395480	220454550	562	40	0.0002111248	0.000000029335
2	220454551	222521175	841	40	0.0001121724	0.000000033847
2	222521176	224859418	775	40	0.0000117086	0.000000031615
2	224859419	225840003	345	36	0.0000962660	0.000000015719
2	225840004	228119841	718	40	0.0001786559	0.000000033015
2	228119842	229370786	438	40	0.0002195271	0.000000023831
2	229370787	231843388	909	40	0.0000961871	0.000000033492
2	231843389	233550002	454	40	0.0001235086	0.000000023847
2	233550003	235150986	765	40	0.0000081607	0.000000031537
2	235150987	236043549	418	40	-0.0000929677	0.000000021451
2	236043550	237449031	450	40	0.0001533977	0.000000026089
2	237449032	238760980	526	40	-0.0000461924	0.000000024963
2	238760981	239952642	402	40	0.0001056122	0.000000022378
2	239952643	241560083	626	40	0.0001018873	0.000000033618
2	241560084	242149920	197	29	0.0001667114	0.000000013366
2	242149921	243188919	121	14	0.0000065939	0.000000005640
3	60157	1441778	614	40	0.0001786379	0.000000035323
3	1441779	2992119	882	40	0.0001306241	0.000000034257
3	2992120	4431646	760	40	0.0001435323	0.000000034543
3	4431647	6083182	751	40	0.0001252502	0.000000034137
3	6083183	7083386	426	40	0.0002732956	0.000000029571
3	7083387	8648560	850	40	0.0001012303	0.000000033604
3	8648561	9543182	469	40	0.0001626667	0.000000029150
3	9543183	11019664	557	40	0.0002299249	0.000000036334
3	11019665	13070798	714	40	0.0001475079	0.000000034632
3	13070799	14816899	777	40	0.0000834662	0.000000033209
3	14816900	16282441	519	40	-0.0000156198	0.000000023356
3	16282442	17891117	489	40	0.0001331599	0.000000025577
3	17891118	19125143	338	40	0.0001879662	0.000000020433
3	19125144	20091347	190	24	0.0001224868	0.000000012946
3	20091348	21643706	631	40	0.0001993290	0.000000035783
3	21643707	22204243	377	40	0.0001523061	0.000000022909
3	22204244	23804864	521	40	0.0000814177	0.000000028430
3	23804865	25461557	737	40	0.0005276579	0.000000043075
3	25461558	26877768	462	40	0.0001861501	0.000000025866
3	26877769	27840909	262	30	0.0001016615	0.000000015278
3	27840910	29142259	440	40	0.0001365350	0.000000026222
3	29142260	30717954	671	40	-0.0000089759	0.000000031156
3	30717955	32351714	648	40	0.0001410799	0.000000034489
3	32351715	33255591	269	40	0.0000621312	0.000000016274
3	33255592	35283457	572	40	0.0000487777	0.000000026561
3	35283458	36486841	400	40	0.0000904376	0.000000021287
3	36486842	38356115	578	40	0.0000873618	0.000000028371
3	38356116	40221297	634	40	0.0001542465	0.000000030684
3	40221298	41064527	144	15	0.0000339324	0.000000007410
3	41064528	42540001	442	40	0.0000460031	0.000000021499
3	42540002	45165152	685	40	0.0001435799	0.000000032300
3	45165153	46657499	496	40	0.0000616509	0.000000023234
3	46657500	47727211	170	17	0.0001267800	0.000000009953
3	47727212	49316971	241	15	0.0004923331	0.000000017347
3	49316972	51832014	422	24	0.0006333640	0.000000024360
3	51832015	54081389	585	40	0.0001851622	0.000000029904
3	54081390	55348859	648	40	0.0000797484	0.000000033127
3	55348860	56433906	362	40	0.0001356809	0.000000021471
3	56433907	58157518	524	40	0.0000149767	0.000000023338
3	58157519	60272905	957	40	0.0001189386	0.000000033997
3	60272906	62355665	966	40	0.0000324378	0.000000032076
3	62355666	63669285	659	40	0.0000360964	0.000000032157
3	63669286	65273537	748	40	0.0000487572	0.000000032438
3	65273538	66270446	343	40	0.0000889880	0.000000021821
3	66270447	68286913	632	40	0.0000459439	0.000000032376
3	68286914	69276761	357	40	0.0001815239	0.000000023430
3	69276762	70449027	385	40	0.0000863138	0.000000022455
3	70449028	72529328	780	40	0.0002475839	0.000000036854
3	72529329	74321816	713	40	0.0000412844	0.000000032272
3	74321817	75704948	268	30	0.0001954869	0.000000016855
3	75704949	77508834	480	40	0.0000949481	0.000000025617
3	77508835	79024540	397	40	0.0002460339	0.000000024859
3	79024541	81427309	487	40	0.0001185649	0.000000020088
3	81427310	82643885	294	27	0.0000871372	0.000000013342
3	82643886	84367478	313	32	0.0001162097	0.000000015974
3	84367479	85582230	251	22	0.0002232729	0.000000015235
3	85582231	87409731	446	40	0.0006804204	0.000000033281
3	87409732	88298372	184	18	0.0002057499	0.000000011512
3	88298373	94255315	456	40	0.0003712953	0.000000027444
3	94255316	95311970	216	18	0.0001181595	0.000000010564
3	95311971	98215949	558	40	0.0002633417	0.000000027640
3	98215950	99373761	323	39	0.0000938133	0.000000015478
3	99373762	100592216	322	28	0.0000180366	0.000000012187
3	100592217	103084959	648	40	0.0000782907	0.000000028106
3	103084960	104581612	411	40	0.0001308474	0.000000020109
3	104581613	106982810	702	40	0.0001361313	0.000000034379
3	106982811	109522394	748	40	0.0003806944	0.000000039811
3	109522395	110513769	248	25	0.0000517852	0.000000009838
3	110513770	112815698	678	40	0.0000301191	0.000000029782
3	112815699	113947862	363	40	0.0000411889	0.000000016747
3	113947863	115447079	395	40	0.0002987634	0.000000027351
