chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	102	20	0.0001305497	0.0000000031
1	1892607	3582735	443	40	0.0000852471	0.0000000072
1	3582736	4380810	277	40	0.0000673284	0.0000000041
1	4380811	5913892	880	40	0.0000847044	0.0000000078
1	5913893	7247334	440	40	0.0001397796	0.0000000064
1	7247335	9365198	706	40	0.0002429152	0.0000000099
1	9365199	10806983	355	40	-0.0000228586	0.0000000033
1	10806984	11777840	261	40	0.0000418837	0.0000000037
1	11777841	12779465	297	40	0.0002176432	0.0000000048
1	12779466	14891510	620	40	0.0001145823	0.0000000083
1	14891511	16897729	698	40	0.0001116451	0.0000000081
1	16897730	18662898	673	40	-0.0000307175	0.0000000069
1	18662899	20469148	726	40	0.0000567633	0.0000000080
1	20469149	21736587	462	40	0.0000826865	0.0000000058
1	21736588	23086882	527	40	0.0000605040	0.0000000070
1	23086883	23920589	224	28	0.0002465560	0.0000000048
1	23920590	25516844	527	40	0.0000478510	0.0000000066
1	25516845	27401866	425	40	0.0000464258	0.0000000044
1	27401867	30161880	559	40	0.0001515452	0.0000000071
1	30161881	32438684	939	40	0.0001714253	0.0000000088
1	32438685	34799757	678	40	0.0001329292	0.0000000085
1	34799758	37549182	561	40	0.0001299119	0.0000000073
1	37549183	38731846	375	40	0.0000572778	0.0000000045
1	38731847	40200566	448	40	0.0000451025	0.0000000051
1	40200567	41975326	556	40	0.0000341024	0.0000000059
1	41975327	43758456	554	40	0.0001942581	0.0000000072
1	43758457	44969182	372	35	0.0000610174	0.0000000039
1	44969183	46899500	461	38	0.0000522681	0.0000000039
1	46899501	48002575	300	33	0.0001435287	0.0000000042
1	48002576	48978187	346	40	0.0000523410	0.0000000045
1	48978188	49894176	248	28	0.0001908684	0.0000000045
1	49894177	51713725	261	25	0.0002564248	0.0000000044
1	51713726	54226261	565	40	-0.0000049984	0.0000000056
1	54226262	56413116	845	40	0.0001035811	0.0000000077
1	56413117	57021727	275	31	0.0000719589	0.0000000031
1	57021728	58865398	858	40	0.0001925381	0.0000000091
1	58865399	59890408	385	40	0.0000936308	0.0000000046
1	59890409	61922364	674	40	0.0001022004	0.0000000079
1	61922365	63455088	549	40	0.0000590074	0.0000000057
1	63455089	65041703	659	40	-0.0000083236	0.0000000059
1	65041704	66939403	655	40	0.0002367874	0.0000000087
1	66939404	68477894	694	40	0.0000692034	0.0000000066
1	68477895	69687615	390	40	0.0000724559	0.0000000047
1	69687616	71372469	525	40	0.0001202325	0.0000000063
1	71372470	71684404	84	10	-0.0000100408	0.0000000009
1	71684405	74326906	565	40	0.0005466237	0.0000000097
1	74326907	76728134	737	40	0.0002175496	0.0000000083
1	76728135	79661197	958	40	0.0002733329	0.0000000098
1	79661198	81354190	479	40	0.0001073388	0.0000000058
1	81354191	83991747	979	40	0.0001376330	0.0000000081
1	83991748	84844494	320	36	0.0000874048	0.0000000038
1	84844495	86454750	657	40	0.0000654969	0.0000000072
1	86454751	88128630	577	40	0.0000669557	0.0000000066
1	88128631	90066302	529	40	0.0000249537	0.0000000054
1	90066303	91886316	568	40	0.0000070434	0.0000000057
1	91886317	93536458	519	40	0.0000415722	0.0000000049
1	93536459	94506190	258	27	0.0000442235	0.0000000029
1	94506191	96150892	655	40	0.0001515007	0.0000000083
1	96150893	97885248	610	40	0.0004744023	0.0000000100
1	97885249	99800603	645	40	0.0001619324	0.0000000077
1	99800604	100826404	341	37	0.0000172532	0.0000000031
1	100826405	102041015	453	40	0.0000548765	0.0000000049
1	102041016	102898744	281	37	0.0000647744	0.0000000036
1	102898745	103914210	204	21	0.0000184429	0.0000000024
1	103914211	106087841	462	40	0.0001647528	0.0000000065
1	106087842	108409664	732	40	0.0001548680	0.0000000085
1	108409665	110303930	577	40	0.0003731501	0.0000000083
1	110303931	111741736	576	40	0.0000935640	0.0000000075
1	111741737	113273305	723	40	0.0002015262	0.0000000090
1	113273306	114873844	514	40	0.0000838515	0.0000000060
1	114873845	115880592	349	37	-0.0000011418	0.0000000028
1	115880593	118839066	844	40	0.0000878387	0.0000000078
