chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	98	14	0.0003388162	0.000000067993
1	1892607	3582735	440	14	0.0001221624	0.000000245329
1	3582736	4380810	273	14	0.0000882206	0.000000139840
1	4380811	5913892	871	14	0.0001017330	0.000000326213
1	5913893	7247334	430	14	0.0000177530	0.000000211623
1	7247335	9365198	702	14	0.0001011817	0.000000326177
1	9365199	10806983	352	14	0.0000744874	0.000000155407
1	10806984	11777840	259	14	-0.0000512106	0.000000122563
1	11777841	12779465	284	14	-0.0000220485	0.000000142059
1	12779466	14891510	618	14	0.0004682534	0.000000350569
1	14891511	16897729	692	14	0.0000936238	0.000000325674
1	16897730	18662898	669	14	0.0002962992	0.000000339142
1	18662899	20469148	720	14	0.0001828609	0.000000331604
1	20469149	21736587	461	14	0.0001138506	0.000000224777
1	21736588	23086882	523	14	0.0000336071	0.000000279137
1	23086883	23920589	223	14	0.0001135430	0.000000107019
1	23920590	25516844	522	14	0.0000213363	0.000000275444
1	25516845	27401866	413	14	0.0000389864	0.000000167884
1	27401867	30161880	554	14	-0.0000559938	0.000000236335
1	30161881	32438684	937	14	0.0001828474	0.000000331603
1	32438685	34799757	676	14	0.0000862167	0.000000325182
1	34799758	37549182	556	14	0.0000875893	0.000000267675
1	37549183	38731846	374	14	0.0001705056	0.000000179792
1	38731847	40200566	447	14	0.0002917305	0.000000228350
1	40200567	41975326	557	14	0.0003498243	0.000000267373
1	41975327	43758456	543	14	0.0002966643	0.000000247158
1	43758457	44969182	371	14	0.0000820251	0.000000151440
1	44969183	46899500	458	14	0.0002920205	0.000000166517
1	46899501	48002575	298	14	0.0000092100	0.000000117864
1	48002576	48978187	344	14	0.0000220788	0.000000163532
1	48978188	49894176	247	14	-0.0001332146	0.000000103610
1	49894177	51713725	260	14	0.0000149322	0.000000085607
1	51713726	54226261	565	14	0.0001821842	0.000000276790
1	54226262	56413116	839	14	0.0000937009	0.000000325680
1	56413117	57021727	272	14	0.0003534174	0.000000130019
1	57021728	58865398	851	14	0.0001363864	0.000000328516
1	58865399	59890408	383	14	0.0003379700	0.000000183024
1	59890409	61922364	672	14	-0.0000012493	0.000000319370
