chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	72	14	0.0001949880	0.000000015508
1	1892607	3582735	347	27	0.0001647827	0.000000048014
1	3582736	4380810	232	27	0.0002591294	0.000000034755
1	4380811	5913892	842	27	0.0000457741	0.000000063212
1	5913893	7247334	351	27	0.0000335372	0.000000034993
1	7247335	9365198	628	27	0.0000287410	0.000000060714
1	9365199	10806983	289	27	0.0000665703	0.000000027317
1	10806984	11777840	213	27	0.0000263581	0.000000024309
1	11777841	12779465	182	27	0.0001624910	0.000000020936
1	12779466	14891510	562	27	0.0001218151	0.000000063964
1	14891511	16897729	568	27	0.0000648843	0.000000055977
1	16897730	18662898	554	27	0.0000086570	0.000000056800
1	18662899	20469148	599	27	0.0001158048	0.000000064718
1	20469149	21736587	387	27	0.0002552946	0.000000044733
1	21736588	23086882	431	27	0.0001813049	0.000000050630
1	23086883	23920589	177	25	0.0001629820	0.000000021289
1	23920590	25516844	430	27	0.0003793704	0.000000056237
1	25516845	27401866	296	27	0.0006216001	0.000000042359
1	27401867	30161880	461	27	-0.0000503687	0.000000039236
1	30161881	32438684	848	27	0.0002232249	0.000000067778
1	32438685	34799757	583	27	0.0000801303	0.000000058436
1	34799758	37549182	485	27	0.0000980574	0.000000047735
1	37549183	38731846	314	27	0.0001556023	0.000000033606
1	38731847	40200566	373	27	0.0002596998	0.000000043334
1	40200567	41975326	486	27	0.0002215842	0.000000048809
1	41975327	43758456	471	27	0.0001507168	0.000000042850
1	43758457	44969182	291	27	0.0001393020	0.000000028775
1	44969183	46899500	355	27	0.0000171151	0.000000025520
1	46899501	48002575	245	27	0.0002291454	0.000000028382
1	48002576	48978187	327	27	0.0001607718	0.000000036341
1	48978188	49894176	222	26	0.0000390386	0.000000022365
1	49894177	51713725	238	25	0.0001946818	0.000000020626
1	51713726	54226261	475	27	0.0003847517	0.000000055807
1	54226262	56413116	720	27	0.0001623308	0.000000062273
1	56413117	57021727	240	27	0.0001773850	0.000000022529
1	57021728	58865398	800	27	0.0001039845	0.000000064829
1	58865399	59890408	346	27	0.0001758736	0.000000035147
1	59890409	61922364	621	27	0.0001128910	0.000000062591
1	61922365	63455088	419	27	0.0026503325	0.000000109692
1	63455089	65041703	605	27	0.0000381037	0.000000049775
1	65041704	66939403	587	27	0.0001250888	0.000000053287
1	66939404	68477894	614	27	0.0002780627	0.000000057083
1	68477895	69687615	364	27	0.0001408764	0.000000037599
1	69687616	71372469	476	27	0.0000107113	0.000000042240
1	71372470	71684404	76	10	0.0000717573	0.000000007445
1	71684405	74326906	505	27	0.0001290884	0.000000035881
1	74326907	76728134	637	27	0.0001319836	0.000000049518
1	76728135	79661197	857	27	0.0001304432	0.000000062872
1	79661198	81354190	462	27	0.0000710298	0.000000043048
1	81354191	83991747	928	27	0.0002277302	0.000000067608
1	83991748	84844494	297	27	0.0001898895	0.000000028998
1	84844495	86454750	578	27	0.0000891039	0.000000054832
1	86454751	88128630	501	27	0.0001153840	0.000000048656
1	88128631	90066302	477	27	0.0000813930	0.000000042990
1	90066303	91886316	532	27	0.0003297385	0.000000056403
1	91886317	93536458	446	27	0.0002460013	0.000000040105
1	93536459	94506190	217	25	0.0000590757	0.000000017519
1	94506191	96150892	602	27	0.0000200612	0.000000054005
1	96150893	97885248	569	27	0.0002069628	0.000000047095
1	97885249	99800603	613	27	0.0001017684	0.000000052049
1	99800604	100826404	294	27	0.0001880073	0.000000029564
1	100826405	102041015	416	27	0.0001366464	0.000000040184
1	102041016	102898744	266	27	0.0002103291	0.000000029697
1	102898745	103914210	174	20	0.0000492535	0.000000015273
1	103914211	106087841	444	27	0.0000085869	0.000000039281
1	106087842	108409664	694	27	0.0000758132	0.000000062495
1	108409665	110303930	388	27	0.0003706666	0.000000036241
1	110303931	111741736	504	27	0.0000052083	0.000000049644
1	111741737	113273305	611	27	0.0003094269	0.000000064278
1	113273306	114873844	460	27	0.0002396441	0.000000048864
1	114873845	115880592	303	27	0.0000288152	0.000000024285
1	115880593	118839066	722	27	0.0002967097	0.000000069664
1	118839067	144977493	459	27	0.0002371841	0.000000040470
1	144977494	148361252	368	27	0.0003750340	0.000000044978
1	148361253	151538880	241	27	-0.0000197033	0.000000018989
1	151538881	153180828	393	27	0.0000653222	0.000000032946
1	153180829	154770402	363	27	0.0004441123	0.000000045906
1	154770403	156336132	210	27	0.0002985504	0.000000029398
1	156336133	158027411	479	27	0.0001886838	0.000000050927
1	158027412	159913047	557	27	0.0000777338	0.000000055216
1	159913048	162346720	629	27	0.0000986175	0.000000054162
1	162346721	165191701	1104	27	-0.0000127165	0.000000059657
1	165191702	166460516	490	27	0.0001174494	0.000000051371
1	166460517	169086323	992	27	0.0001324251	0.000000064787
1	169086324	170557775	429	27	0.0000796001	0.000000033841
1	170557776	173097906	748	27	0.0002709983	0.000000065447
1	173097907	175089767	369	27	0.0002077271	0.000000027590
1	175089768	177433380	706	27	0.0002182995	0.000000064674
1	177433381	178944308	409	27	0.0001241919	0.000000033639
1	178944309	178954469	2	1	0.0000070388	0.000000000608
1	178954470	181144120	617	27	0.0001333295	0.000000059014
1	181144121	182755355	542	27	0.0002665083	0.000000060085
1	182755356	184595512	542	27	0.0003103576	0.000000054071
1	184595513	186810022	444	27	0.0001515745	0.000000040619
1	186810023	188759944	596	27	0.0000696056	0.000000050295
1	188759945	189904129	214	17	0.0000534450	0.000000015336
1	189904130	191868929	520	27	0.0001066197	0.000000038797
1	191868930	194107441	555	27	0.0000970727	0.000000048397
1	194107442	196176200	564	27	0.0001762689	0.000000046013
1	196176201	197311513	156	14	0.0001166821	0.000000014284
1	197311514	199239883	481	27	0.0000807358	0.000000042563
1	199239884	200137648	286	27	0.0003370295	0.000000034911
1	200137649	201589974	581	27	0.0001119534	0.000000060238
1	201589975	203334733	508	27	0.0000288433	0.000000051770
1	203334734	204681067	401	27	0.0002313402	0.000000046722
1	204681068	206073264	466	27	0.0001374356	0.000000047602
1	206073265	208410363	508	27	0.0000307969	0.000000049777
1	208410364	210787749	852	27	0.0002607546	0.000000068152
1	210787750	212842329	636	27	0.0001604938	0.000000064097
1	212842330	214578265	538	27	0.0000429668	0.000000052280
1	214578266	216243633	544	27	0.0001101921	0.000000053574
1	216243634	218705512	1029	27	0.0001465554	0.000000063803
1	218705513	219590570	265	27	0.0001704014	0.000000026243
1	219590571	221858230	608	27	0.0005124860	0.000000062597
1	221858231	222230219	163	21	0.0002380078	0.000000023164
1	222230220	224938519	427	27	0.0001867258	0.000000045032
1	224938520	226810859	435	27	0.0002110332	0.000000045284
1	226810860	229156247	566	27	0.0002336279	0.000000056608
1	229156248	230685254	434	27	0.0009390912	0.000000064216
1	230685255	232090251	508	27	0.0001968281	0.000000053382
1	232090252	233429283	560	27	0.0001526471	0.000000061450
1	233429284	234599433	489	27	0.0001819842	0.000000053824
1	234599434	235819435	333	27	0.0000703641	0.000000035921
1	235819436	237555627	612	27	0.0001611055	0.000000065826
1	237555628	238567806	381	27	0.0002048604	0.000000044604
1	238567807	239925313	472	27	0.0002434344	0.000000054707
1	239925314	240564090	314	27	-0.0000368559	0.000000030179
1	240564091	241582219	483	27	0.0001458148	0.000000058760
1	241582220	242071601	183	27	-0.0000104581	0.000000019855
1	242071602	244109498	586	27	0.0000299064	0.000000056870
1	244109499	245506745	464	27	0.0000218610	0.000000050863
1	245506746	247344517	624	27	0.0002807290	0.000000068585
1	247344518	249239465	329	27	0.0002236993	0.000000039424
2	10133	1781021	560	27	0.0001651198	0.000000050939
2	1781022	3973778	891	27	0.0000580745	0.000000063135
2	3973779	5708336	605	27	0.0001103475	0.000000063585
2	5708337	6836253	543	27	0.0001746645	0.000000054021
2	6836254	8422146	625	27	-0.0000558405	0.000000058569
2	8422147	10298468	588	27	0.0002033809	0.000000067524
2	10298469	12419149	872	27	0.0000952575	0.000000064000
2	12419150	14335307	565	27	0.0004614211	0.000000066436
2	14335308	16329734	699	27	0.0001443106	0.000000065074
2	16329735	18647422	809	27	0.0001582973	0.000000066443
2	18647423	19692403	370	27	0.0001265413	0.000000038194
2	19692404	21050489	573	27	0.0003528808	0.000000061728
2	21050490	23341382	549	27	0.0017986549	0.000000097538
2	23341383	24686917	392	27	0.0000053739	0.000000036688
2	24686918	26894984	445	27	0.0003282542	0.000000047814
2	26894985	28598776	243	26	0.0070451810	0.000000169283
2	28598777	29217558	202	27	0.0003485396	0.000000027127
2	29217559	30463710	583	27	0.0004023623	0.000000071895
2	30463711	31550449	467	27	0.0000609596	0.000000051702
2	31550450	33363776	433	27	0.0000922409	0.000000049136
2	33363777	35345027	750	27	0.0000255419	0.000000061089
2	35345028	36122005	281	27	-0.0000018150	0.000000025764
2	36122006	38132711	850	27	0.0000480987	0.000000061863
2	38132712	39031336	295	27	0.0002308356	0.000000039478
2	39031337	40281482	279	27	0.0001154754	0.000000032166
2	40281483	43309589	1183	27	0.0002599620	0.000000066322
2	43309590	44313802	255	27	0.0004013195	0.000000028887
2	44313803	46482633	984	27	0.0000986806	0.000000060672
2	46482634	47318771	366	27	-0.0000181204	0.000000041317
2	47318772	48213000	269	27	0.0001401537	0.000000034924
2	48213001	50022256	653	27	0.0001192351	0.000000064837
2	50022257	50818927	318	27	0.0002283529	0.000000038803
2	50818928	52491132	624	27	0.0000233124	0.000000060333
2	52491133	53508451	448	27	0.0000688747	0.000000046906
2	53508452	54685225	391	27	0.0001040347	0.000000044260
2	54685226	56203344	529	27	0.0001656670	0.000000055709
2	56203345	57429099	411	27	0.0001564317	0.000000046437
2	57429100	58297314	264	27	0.0002102578	0.000000032057
2	58297315	60291999	708	27	0.0002769646	0.000000066979
2	60292000	62429043	525	27	0.0004640316	0.000000066185
2	62429044	64625912	534	27	0.0000032991	0.000000052178
2	64625913	65933443	423	27	0.0002463116	0.000000048119
2	65933444	67226165	529	27	0.0002246138	0.000000055985
2	67226166	68010175	396	27	0.0001811551	0.000000042147
2	68010176	69139563	430	27	0.0001081066	0.000000042836
2	69139564	70755197	459	27	0.0001208559	0.000000044586
2	70755198	73174847	698	27	0.0001309972	0.000000065447
2	73174848	75630085	615	27	0.0001801339	0.000000065917
2	75630086	76913660	491	27	0.0002003284	0.000000053684
2	76913661	78079263	378	27	0.0001989385	0.000000047642
2	78079264	80050402	790	27	0.0001770244	0.000000065607
2	80050403	81620840	554	27	0.0001817085	0.000000062742
2	81620841	85140679	852	27	0.0000248179	0.000000052544
2	85140680	88038506	516	27	0.0000789347	0.000000046726
2	88038507	89154525	217	27	0.0001239124	0.000000022560
2	89154526	95326451	0	0	-0.0001683937	-0.000000000000
2	95326452	98995200	358	27	0.0000807587	0.000000032332
2	98995201	101822328	795	27	0.0000717749	0.000000064151
2	101822329	102688764	228	27	0.0001476067	0.000000023117
2	102688765	103588214	346	27	0.0001565912	0.000000029000
2	103588215	105125033	297	27	0.0002461365	0.000000033974
2	105125034	106210057	386	27	0.0000748756	0.000000038944
2	106210058	107408266	427	27	0.0002137153	0.000000043994
2	107408267	108429176	340	27	0.0000482267	0.000000027828
2	108429177	110572431	483	27	0.0000553352	0.000000043875
2	110572432	113921855	663	27	0.0002341823	0.000000063236
2	113921856	116772469	715	27	-0.0000444387	0.000000059292
2	116772470	118367465	387	27	0.0000815523	0.000000030928
2	118367466	121303782	913	27	0.0000747811	0.000000063494
2	121303783	123302905	543	27	0.0001338445	0.000000054780
2	123302906	124732249	416	27	0.0000096261	0.000000031974
2	124732250	125840920	368	27	0.0002241814	0.000000038762
2	125840921	127373763	399	27	0.0001174642	0.000000031420
2	127373764	128034346	240	27	0.0002271646	0.000000029489
2	128034347	129474440	366	27	0.0001825114	0.000000037571
2	129474441	130067169	214	26	0.0001198923	0.000000020394
2	130067170	130658084	194	26	0.0004303817	0.000000030706
2	130658085	133042783	191	27	0.0001300424	0.000000023557
2	133042784	135158577	870	27	-0.0000036868	0.000000061032
2	135158578	137042793	382	27	0.0000983840	0.000000031024
2	137042794	138698116	566	27	0.0002772689	0.000000058695
2	138698117	140100270	414	27	0.0001886970	0.000000034729
2	140100271	141805350	530	27	0.0001802530	0.000000055883
2	141805351	142518601	290	27	0.0000749396	0.000000030103
2	142518602	144519483	618	27	0.0001049164	0.000000057319
2	144519484	146445569	419	27	0.0001958770	0.000000043512
2	146445570	147277161	144	15	0.0001340530	0.000000016263
2	147277162	150210291	628	27	0.0002196108	0.000000056431
2	150210292	151731461	453	27	0.0000565246	0.000000041346
2	151731462	152486781	250	27	0.0002573688	0.000000028244
2	152486782	154005055	431	27	0.0000451823	0.000000040868
2	154005056	155391134	471	27	0.0001705766	0.000000048060
2	155391135	157560634	532	27	0.0001179417	0.000000049401
2	157560635	158533217	155	24	0.0002961068	0.000000025880
2	158533218	159577081	310	27	0.0002612399	0.000000035588
2	159577082	161769732	633	27	0.0002838417	0.000000060327
2	161769733	163503550	363	27	0.0000731756	0.000000027915
2	163503551	164466637	187	22	0.0000335150	0.000000017918
2	164466638	165178839	159	19	0.0001235867	0.000000018177
2	165178840	167160269	541	27	0.0002138231	0.000000050708
2	167160270	167355969	60	9	0.0000319226	0.000000006802
2	167355970	169968235	739	27	0.0000616447	0.000000058481
2	169968236	171226244	415	27	0.0000398507	0.000000041589
2	171226245	173138904	509	27	0.0001831922	0.000000054029
2	173138905	175588928	752	27	0.0001910325	0.000000067122
2	175588929	177363635	490	27	0.0000566523	0.000000046035
2	177363636	178553182	433	27	0.0001949324	0.000000041002
2	178553183	181312738	867	27	0.0001598214	0.000000064711
2	181312739	182266030	290	27	0.0001384723	0.000000028397
2	182266031	184357607	555	27	0.0001488655	0.000000055793
2	184357608	185280172	224	25	0.0000008078	0.000000018497
2	185280173	189882064	880	27	0.0002636898	0.000000068009
2	189882065	191973356	427	27	0.0002511106	0.000000043350
2	191973357	195861163	673	27	0.0002251273	0.000000068032
2	195861164	196447455	147	19	0.0002466365	0.000000020926
2	196447456	198078109	386	27	0.0002072996	0.000000036646
2	198078110	199311124	281	25	0.0000852489	0.000000022155
2	199311125	201576283	581	27	0.0001691805	0.000000055658
2	201576284	202818636	250	27	0.0003044570	0.000000032408
2	202818637	205799240	622	27	0.0002690119	0.000000062115
2	205799241	206735703	374	27	0.0002299930	0.000000047025
2	206735704	208645398	579	27	0.0000237579	0.000000057081
2	208645399	209941528	295	27	0.0001396476	0.000000032146
2	209941529	212379517	678	27	0.0001983945	0.000000065581
2	212379518	214014281	599	27	0.0002966603	0.000000067339
2	214014282	215573794	418	27	0.0002595851	0.000000046460
2	215573795	217715660	712	27	0.0001154035	0.000000063880
2	217715661	218395479	265	27	0.0001285651	0.000000031003
2	218395480	220454550	442	27	0.0003476686	0.000000049665
2	220454551	222521175	813	27	0.0002437437	0.000000068130
2	222521176	224859418	724	27	0.0002009833	0.000000067686
2	224859419	225840003	311	27	0.0001616362	0.000000029660
2	225840004	228119841	650	27	0.0005374997	0.000000064753
2	228119842	229370786	403	27	0.0000960733	0.000000036657
2	229370787	231843388	838	27	0.0000669117	0.000000063864
2	231843389	233550002	407	27	0.0001570079	0.000000040174
2	233550003	235150986	646	27	0.0001048088	0.000000061865
2	235150987	236043549	404	27	0.0000875136	0.000000048482
2	236043550	237449031	423	27	0.0002534287	0.000000049581
2	237449032	238760980	476	27	0.0001371750	0.000000050152
2	238760981	239952642	374	27	0.0001533288	0.000000042271
2	239952643	241560083	578	27	0.0000596070	0.000000062568
2	241560084	242149920	157	27	0.0000295991	0.000000015655
2	242149921	243188919	103	15	0.0000328883	0.000000011084
3	60157	1441778	582	27	0.0000819783	0.000000064025
3	1441779	2992119	848	27	0.0001326413	0.000000065018
3	2992120	4431646	704	27	0.0000759591	0.000000064096
3	4431647	6083182	713	27	0.0000732546	0.000000065060
3	6083183	7083386	413	27	0.0000558112	0.000000047052
3	7083387	8648560	817	27	0.0000343329	0.000000060509
3	8648561	9543182	420	27	0.0000900688	0.000000049455
3	9543183	11019664	487	27	0.0001362252	0.000000057737
3	11019665	13070798	615	27	0.0006052262	0.000000071442
3	13070799	14816899	699	27	0.0001871831	0.000000066929
3	14816900	16282441	417	27	0.0001888708	0.000000037556
3	16282442	17891117	457	27	0.0003642053	0.000000052187
3	17891118	19125143	327	27	0.0001512043	0.000000035467
3	19125144	20091347	175	24	0.0000798814	0.000000021374
3	20091348	21643706	602	27	0.0000258056	0.000000060202
3	21643707	22204243	372	27	0.0001985785	0.000000044101
3	22204244	23804864	510	27	0.0000959516	0.000000053753
3	23804865	25461557	706	27	0.0003357175	0.000000070030
3	25461558	26877768	441	27	0.0003410291	0.000000050746
3	26877769	27840909	234	27	0.0001870165	0.000000028736
3	27840910	29142259	426	27	0.0000806493	0.000000046800
3	29142260	30717954	636	27	0.0003616388	0.000000070108
3	30717955	32351714	610	27	0.0001396626	0.000000063759
3	32351715	33255591	246	27	0.0000715454	0.000000027954
3	33255592	35283457	546	27	0.0003193848	0.000000058362
3	35283458	36486841	385	27	0.0001987046	0.000000041580
3	36486842	38356115	510	27	0.0002747634	0.000000054121
3	38356116	40221297	507	27	0.0001297697	0.000000041686
3	40221298	41064527	130	15	0.0000140093	0.000000012588
3	41064528	42540001	406	27	0.0000469168	0.000000038511
3	42540002	45165152	607	27	0.0002961385	0.000000059433
3	45165153	46657499	443	27	0.0002618624	0.000000047539
3	46657500	47727211	121	14	0.0001499901	0.000000013762
3	47727212	49316971	173	11	0.0000771379	0.000000010879
3	49316972	51832014	350	22	0.0002062036	0.000000022066
3	51832015	54081389	431	27	0.0002594100	0.000000041097
3	54081390	55348859	611	27	0.0000845107	0.000000062738
3	55348860	56433906	352	27	0.0002388911	0.000000041657
3	56433907	58157518	446	27	0.0002301183	0.000000045274
3	58157519	60272905	909	27	-0.0000135386	0.000000059407
3	60272906	62355665	941	27	0.0001151555	0.000000063765
3	62355666	63669285	624	27	0.0000435147	0.000000061239
3	63669286	65273537	702	27	0.0001418289	0.000000062679
3	65273538	66270446	336	27	0.0002556774	0.000000045484
3	66270447	68286913	596	27	0.0002179018	0.000000067782
3	68286914	69276761	337	27	0.0000369375	0.000000036237
3	69276762	70449027	373	27	0.0001705318	0.000000043476
3	70449028	72529328	749	27	0.0001455499	0.000000064075
3	72529329	74321816	682	27	0.0000474163	0.000000062607
3	74321817	75704948	254	27	0.0000877796	0.000000025383
3	75704949	77508834	473	27	0.0001037360	0.000000049367
3	77508835	79024540	372	27	0.0000200944	0.000000034599
3	79024541	81427309	478	27	0.0002674060	0.000000041799
3	81427310	82643885	287	27	0.0001645422	0.000000025826
3	82643886	84367478	303	27	0.0000852058	0.000000027204
3	84367479	85582230	244	22	-0.0000054505	0.000000018630
3	85582231	87409731	410	27	0.0000770118	0.000000032485
3	87409732	88298372	164	17	0.0000698083	0.000000014469
3	88298373	94255315	426	27	-0.0000044633	0.000000034004
3	94255316	95311970	212	17	0.0000938564	0.000000018493
3	95311971	98215949	523	27	0.0000644840	0.000000042803
3	98215950	99373761	296	27	0.0003243831	0.000000034280
3	99373762	100592216	296	27	0.0002577481	0.000000026729
3	100592217	103084959	596	27	0.0001309282	0.000000052572
3	103084960	104581612	401	27	0.0001440770	0.000000037117
3	104581613	106982810	679	27	0.0001366768	0.000000065205
3	106982811	109522394	669	27	0.0001448988	0.000000062613
3	109522395	110513769	240	23	0.0001564856	0.000000021248
3	110513770	112815698	602	27	0.0000602879	0.000000053958
3	112815699	113947862	304	27	0.0001962972	0.000000033304
3	113947863	115447079	382	27	0.0001269241	0.000000041304
3	115447080	116800152	501	27	0.0002691145	0.000000053711
3	116800153	118530250	552	27	0.0001321088	0.000000057864
3	118530251	120523054	583	27	0.0001295901	0.000000049719
3	120523055	121974096	315	27	0.0000368350	0.000000022173
3	121974097	123517767	420	27	0.0001126840	0.000000036992
3	123517768	124936641	540	27	0.0002524402	0.000000057310
3	124936642	126214942	322	27	0.0000192825	0.000000029481
3	126214943	128194860	599	27	0.0000950118	0.000000055624
3	128194861	130244734	353	27	0.0000920364	0.000000034372
3	130244735	131836515	488	27	0.0000337437	0.000000041719
3	131836516	133252172	470	27	0.0002366817	0.000000045426
3	133252173	135456905	783	27	0.0001592441	0.000000064998
3	135456906	137371082	393	27	0.0004708468	0.000000043666
3	137371083	139954596	750	27	0.0000886808	0.000000060980
3	139954597	141339096	431	27	0.0002369204	0.000000046867
3	141339097	143164627	564	27	0.0004504279	0.000000066850
3	143164628	144410815	372	27	0.0001532094	0.000000038030
3	144410816	145664618	346	27	0.0002672531	0.000000035145
3	145664619	146726628	300	27	0.0002051552	0.000000032727
3	146726629	149043236	643	27	0.0000788956	0.000000063465
3	149043237	150252003	393	27	0.0004128532	0.000000049805
3	150252004	151348729	310	27	0.0002861613	0.000000038321
3	151348730	153256570	531	27	0.0001729691	0.000000053021
