chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	101	19	0.0001388951	0.000000009587
1	1892607	3582735	443	40	0.0001136074	0.000000028199
1	3582736	4380810	277	40	0.0001016968	0.000000017307
1	4380811	5913892	880	40	-0.0000353628	0.000000029314
1	5913893	7247334	440	40	0.0001424820	0.000000024102
1	7247335	9365198	706	40	0.0002984844	0.000000036165
1	9365199	10806983	355	40	-0.0000239507	0.000000014406
1	10806984	11777840	260	40	0.0000899677	0.000000015575
1	11777841	12779465	297	40	0.0002722802	0.000000018184
1	12779466	14891510	620	40	0.0001611151	0.000000033568
1	14891511	16897729	698	40	0.0000951772	0.000000032395
1	16897730	18662898	673	40	0.0000398268	0.000000031162
1	18662899	20469148	724	40	0.0002556501	0.000000036548
1	20469149	21736587	462	40	0.0000979498	0.000000023003
1	21736588	23086882	526	40	0.0003302036	0.000000034206
1	23086883	23920589	224	28	0.0005185216	0.000000020569
1	23920590	25516844	527	40	0.0000569761	0.000000027765
1	25516845	27401866	425	40	0.0000198052	0.000000017144
1	27401867	30161880	557	40	0.0001291854	0.000000026506
1	30161881	32438684	938	40	0.0002279173	0.000000034578
1	32438685	34799757	678	40	0.0001513828	0.000000033703
1	34799758	37549182	560	40	0.0002046530	0.000000030267
1	37549183	38731846	375	40	0.0001387025	0.000000019278
1	38731847	40200566	448	40	0.0000763120	0.000000021449
1	40200567	41975326	556	40	0.0001145034	0.000000025568
1	41975327	43758456	554	40	0.0003968613	0.000000030153
1	43758457	44969182	372	35	0.0000345170	0.000000015344
1	44969183	46899500	461	38	-0.0000091216	0.000000014069
1	46899501	48002575	300	33	0.0001453949	0.000000015069
1	48002576	48978187	346	40	-0.0000101637	0.000000015674
1	48978188	49894176	248	28	0.0002391616	0.000000016305
1	49894177	51713725	261	25	0.0003238535	0.000000015019
1	51713726	54226261	565	40	0.0000722283	0.000000025799
1	54226262	56413116	845	40	0.0000985261	0.000000030805
1	56413117	57021727	274	31	0.0000610630	0.000000010785
1	57021728	58865398	858	40	0.0001320177	0.000000033101
1	58865399	59890408	385	40	0.0001081250	0.000000018065
1	59890409	61922364	674	40	0.0001447968	0.000000032409
1	61922365	63455088	549	40	0.0000195074	0.000000022124
1	63455089	65041703	659	40	0.0000820717	0.000000027191
1	65041704	66939403	655	40	0.0001927419	0.000000030424
1	66939404	68477894	693	40	0.0000755806	0.000000026952
1	68477895	69687615	390	40	0.0001290335	0.000000020251
1	69687616	71372469	525	40	0.0000565863	0.000000023571
1	71372470	71684404	84	10	-0.0000067243	0.000000002701
1	71684405	74326906	565	40	0.0003809316	0.000000024650
