chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	96	14	0.0001785448	0.000000074284
1	1892607	3582735	434	14	0.0000641893	0.000000267716
1	3582736	4380810	271	14	0.0000298107	0.000000134590
1	4380811	5913892	867	14	0.0000403320	0.000000273799
1	5913893	7247334	428	14	0.0000963654	0.000000184356
1	7247335	9365198	699	14	-0.0000031470	0.000000273193
1	9365199	10806983	351	14	0.0001415272	0.000000144376
1	10806984	11777840	257	14	0.0001611226	0.000000133487
1	11777841	12779465	281	14	0.0003316780	0.000000169129
1	12779466	14891510	617	14	0.0003175232	0.000000297970
1	14891511	16897729	688	14	-0.0000009996	0.000000279646
1	16897730	18662898	661	14	0.0001682469	0.000000294416
1	18662899	20469148	711	14	0.0001459206	0.000000297175
1	20469149	21736587	461	14	0.0001130320	0.000000196962
1	21736588	23086882	523	14	0.0001701839	0.000000255611
1	23086883	23920589	222	14	0.0004099550	0.000000105752
1	23920590	25516844	520	14	0.0002937073	0.000000256298
1	25516845	27401866	413	14	0.0004298609	0.000000162992
1	27401867	30161880	550	14	0.0001303836	0.000000213920
1	30161881	32438684	934	14	0.0002768219	0.000000283260
1	32438685	34799757	675	14	0.0000895196	0.000000275398
1	34799758	37549182	549	14	-0.0000010965	0.000000221127
1	37549183	38731846	370	14	0.0007205751	0.000000180946
1	38731847	40200566	447	14	0.0006528660	0.000000222984
1	40200567	41975326	555	14	0.0001124876	0.000000205387
1	41975327	43758456	542	14	0.0000868385	0.000000184577
1	43758457	44969182	371	14	0.0002509855	0.000000134784
1	44969183	46899500	458	14	0.0002131368	0.000000124483
1	46899501	48002575	297	14	0.0011126166	0.000000158316
1	48002576	48978187	344	14	0.0002164320	0.000000138637
1	48978188	49894176	247	14	0.0003851286	0.000000108968
1	49894177	51713725	259	14	0.0000711078	0.000000067532
1	51713726	54226261	562	14	0.0001580648	0.000000226571
1	54226262	56413116	837	14	0.0001279558	0.000000282080
1	56413117	57021727	271	14	0.0001576612	0.000000092232
1	57021728	58865398	847	14	0.0002967094	0.000000285457
1	58865399	59890408	383	14	0.0001067638	0.000000136832
1	59890409	61922364	671	14	0.0000518450	0.000000276839
1	61922365	63455088	533	14	0.0004540310	0.000000251108
1	63455089	65041703	656	14	0.0001440796	0.000000228615
1	65041704	66939403	649	14	0.0003055837	0.000000239915
1	66939404	68477894	687	14	0.0001745297	0.000000221213
1	68477895	69687615	389	14	0.0000372024	0.000000151161
1	69687616	71372469	520	14	-0.0000460916	0.000000185633
1	71372470	71684404	82	10	0.0000683527	0.000000023825
1	71684405	74326906	559	14	0.0001818393	0.000000169966
1	74326907	76728134	727	14	-0.0000398132	0.000000213767
1	76728135	79661197	946	14	-0.0000726066	0.000000265238
1	79661198	81354190	475	14	0.0000159580	0.000000170891
1	81354191	83991747	973	14	0.0000586194	0.000000278441
1	83991748	84844494	314	14	0.0001253327	0.000000102164
1	84844495	86454750	652	14	0.0001966864	0.000000256098
1	86454751	88128630	571	14	0.0003322098	0.000000241470
1	88128631	90066302	523	14	0.0001773463	0.000000200515
1	90066303	91886316	559	14	0.0002424442	0.000000221909
1	91886317	93536458	509	14	0.0001041952	0.000000161513
1	93536459	94506190	255	14	0.0001763498	0.000000086590
1	94506191	96150892	651	14	0.0002520770	0.000000263964
1	96150893	97885248	605	14	0.0001469789	0.000000188904
1	97885249	99800603	640	14	-0.0000381105	0.000000215174
1	99800604	100826404	339	14	-0.0000328547	0.000000096162
1	100826405	102041015	447	14	0.0001804623	0.000000154858
1	102041016	102898744	278	14	0.0000970364	0.000000107001
1	102898745	103914210	200	14	0.0001492629	0.000000061370
1	103914211	106087841	455	14	-0.0000531094	0.000000158795
1	106087842	108409664	725	14	0.0000046464	0.000000271918
1	108409665	110303930	564	14	0.0001812551	0.000000226137
1	110303931	111741736	571	14	0.0001491426	0.000000276710
1	111741737	113273305	721	14	0.0000082159	0.000000269010
1	113273306	114873844	511	14	-0.0000096164	0.000000197725
1	114873845	115880592	345	14	0.0002040522	0.000000116075
1	115880593	118839066	836	14	0.0003058042	0.000000293562
1	118839067	144977493	567	14	0.0000861223	0.000000196648
1	144977494	148361252	432	14	0.0002635686	0.000000156155
1	148361253	151538880	349	14	0.0002481734	0.000000120196
1	151538881	153180828	468	14	-0.0000012648	0.000000133684
1	153180829	154770402	457	14	0.0002752834	0.000000179496
1	154770403	156336132	307	14	0.0002181559	0.000000129218
1	156336133	158027411	597	14	0.0000677440	0.000000242841
1	158027412	159913047	683	14	0.0002641075	0.000000304237
1	159913048	162346720	874	14	0.0000756513	0.000000284095
1	162346721	165191701	1195	14	0.0002201918	0.000000282338
1	165191702	166460516	533	14	0.0001277770	0.000000232670
1	166460517	169086323	1106	14	0.0002074300	0.000000290973
1	169086324	170557775	559	14	0.0002378908	0.000000171183
1	170557776	173097906	902	14	0.0001044954	0.000000264600
1	173097907	175089767	412	14	0.0000029929	0.000000089170
1	175089768	177433380	783	14	-0.0000107809	0.000000258754
1	177433381	178944308	492	14	0.0003265252	0.000000176794
1	178944309	178954469	2	1	0.0002976560	0.000000043088
1	178954470	181144120	750	14	-0.0000204003	0.000000245058
1	181144121	182755355	600	14	0.0000898446	0.000000244737
1	182755356	184595512	630	14	0.0002862612	0.000000235430
1	184595513	186810022	524	14	0.0002088996	0.000000181817
1	186810023	188759944	619	14	0.0002807155	0.000000216470
1	188759945	189904129	219	14	-0.0000364495	0.000000053804
1	189904130	191868929	538	14	0.0001252097	0.000000142533
1	191868930	194107441	583	14	0.0000790560	0.000000196809
1	194107442	196176200	580	14	0.0000481529	0.000000172578
1	196176201	197311513	196	14	0.0001786549	0.000000057435
1	197311514	199239883	504	14	0.0000774571	0.000000177664
1	199239884	200137648	301	14	0.0001967410	0.000000111679
1	200137649	201589974	710	14	0.0001276097	0.000000290035
1	201589975	203334733	615	14	0.0001619141	0.000000292694
1	203334734	204681067	484	14	0.0000626203	0.000000198788
1	204681068	206073264	577	14	0.0008004736	0.000000291019
1	206073265	208410363	634	14	0.0000527172	0.000000270214
1	208410364	210787749	930	14	0.0003097135	0.000000284763
1	210787750	212842329	698	14	0.0003105286	0.000000287337
1	212842330	214578265	613	14	0.0000597494	0.000000271388
1	214578266	216243633	593	14	0.0001400736	0.000000220720
1	216243634	218705512	1084	14	0.0001734650	0.000000269135
1	218705513	219590570	282	14	0.0001909936	0.000000100929
1	219590571	221858230	690	14	0.0001753893	0.000000262003
1	221858231	222230219	174	14	0.0002510075	0.000000077509
1	222230220	224938519	463	14	0.0001497459	0.000000181853
1	224938520	226810859	519	14	0.0000884415	0.000000199249
1	226810860	229156247	695	14	0.0001589591	0.000000261081
1	229156248	230685254	530	14	0.0002218694	0.000000246043
1	230685255	232090251	589	14	0.0000144856	0.000000249922
1	232090252	233429283	607	14	0.0001934973	0.000000303764
1	233429284	234599433	536	14	0.0001186099	0.000000244906
1	234599434	235819435	384	14	0.0001244387	0.000000188774
1	235819436	237555627	729	14	-0.0000297391	0.000000278499
1	237555628	238567806	429	14	0.0001205366	0.000000186798
1	238567807	239925313	490	14	0.0003000316	0.000000218807
1	239925314	240564090	342	14	0.0002278930	0.000000149801
1	240564091	241582219	515	14	0.0001319620	0.000000290052
1	241582220	242071601	220	14	-0.0000928294	0.000000091633
1	242071602	244109498	622	14	0.0001280625	0.000000270873
