chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	93	17	0.0000098231	0.000000015480
1	1892607	3582735	421	21	0.0004660886	0.000000094591
1	3582736	4380810	265	21	0.0000587255	0.000000047369
1	4380811	5913892	864	21	0.0000667572	0.000000108485
1	5913893	7247334	427	21	0.0003096572	0.000000083346
1	7247335	9365198	696	21	-0.0000087535	0.000000105472
1	9365199	10806983	349	21	0.0002113980	0.000000059928
1	10806984	11777840	254	21	0.0005279223	0.000000063851
1	11777841	12779465	276	21	0.0002763963	0.000000059131
1	12779466	14891510	616	21	0.0001425878	0.000000111510
1	14891511	16897729	684	21	0.0000842805	0.000000109184
1	16897730	18662898	652	21	0.0000174797	0.000000106518
1	18662899	20469148	700	21	0.0001844007	0.000000113179
1	20469149	21736587	459	21	0.0001761028	0.000000080657
1	21736588	23086882	521	21	0.0004027051	0.000000108282
1	23086883	23920589	221	21	0.0001998106	0.000000042792
1	23920590	25516844	518	21	0.0002311739	0.000000099656
1	25516845	27401866	413	21	0.0001316040	0.000000062281
1	27401867	30161880	547	21	-0.0000356018	0.000000078162
1	30161881	32438684	929	21	0.0000813106	0.000000109065
1	32438685	34799757	675	21	0.0001324644	0.000000111106
1	34799758	37549182	542	21	0.0005477472	0.000000106901
1	37549183	38731846	370	21	0.0000957943	0.000000061287
1	38731847	40200566	446	21	0.0015012834	0.000000130680
1	40200567	41975326	553	21	0.0001065285	0.000000085800
1	41975327	43758456	541	21	0.0002951226	0.000000088453
1	43758457	44969182	371	21	0.0000647970	0.000000053276
1	44969183	46899500	457	21	0.0006631991	0.000000077193
1	46899501	48002575	296	21	0.0000979889	0.000000044550
1	48002576	48978187	344	21	0.0002416593	0.000000065579
1	48978188	49894176	247	21	-0.0000467329	0.000000037582
1	49894177	51713725	260	21	-0.0000247916	0.000000029004
1	51713726	54226261	562	21	0.0002838234	0.000000099740
1	54226262	56413116	832	21	0.0001606355	0.000000112230
1	56413117	57021727	270	21	0.0001955629	0.000000044891
