chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	224	34	0.0002973632	0.000000020666
1	1892607	3582735	580	40	0.0001207586	0.000000034509
1	3582736	4380810	323	40	0.0001715262	0.000000021381
1	4380811	5913892	926	40	0.0001014750	0.000000033317
1	5913893	7247334	504	40	0.0001717381	0.000000028176
1	7247335	9365198	765	40	0.0000568937	0.000000032141
1	9365199	10806983	421	40	0.0003151496	0.000000025071
1	10806984	11777840	301	40	0.0001443280	0.000000019208
1	11777841	12779465	350	40	0.0000288752	0.000000018206
1	12779466	14891510	651	40	0.0000383469	0.000000031662
1	14891511	16897729	825	40	0.0002196725	0.000000036402
1	16897730	18662898	731	40	0.0000446817	0.000000032233
1	18662899	20469148	826	40	-0.0000048451	0.000000031585
1	20469149	21736587	510	40	0.0000750849	0.000000025388
1	21736588	23086882	567	40	0.0006976653	0.000000044472
1	23086883	23920589	259	30	0.0001455177	0.000000014540
1	23920590	25516844	601	40	0.0001349257	0.000000032550
1	25516845	27401866	530	40	0.0003713974	0.000000028175
1	27401867	30161880	664	40	0.0001485435	0.000000031137
1	30161881	32438684	1017	40	0.0000189869	0.000000031306
1	32438685	34799757	756	40	0.0001622300	0.000000035189
1	34799758	37549182	680	40	0.0000695264	0.000000032801
1	37549183	38731846	470	40	0.0000959264	0.000000022531
1	38731847	40200566	486	40	0.0002009571	0.000000027074
1	40200567	41975326	618	40	0.0003209737	0.000000033136
1	41975327	43758456	612	40	0.0004531838	0.000000034814
1	43758457	44969182	420	37	0.0001533993	0.000000019554
1	44969183	46899500	540	40	0.0001291310	0.000000019752
1	46899501	48002575	356	36	0.0000534626	0.000000015399
1	48002576	48978187	369	40	0.0001346374	0.000000020811
1	48978188	49894176	260	29	0.0000609882	0.000000013659
1	49894177	51713725	293	27	0.0000300408	0.000000010048
1	51713726	54226261	615	40	0.0000667310	0.000000028489
1	54226262	56413116	934	40	0.0001616258	0.000000034010
1	56413117	57021727	292	31	0.0002632899	0.000000017279
1	57021728	58865398	940	40	0.0000291182	0.000000031616
1	58865399	59890408	427	40	0.0003002760	0.000000024566
1	59890409	61922364	720	40	0.0002823167	0.000000036780
1	61922365	63455088	595	40	0.0001481051	0.000000030506
1	63455089	65041703	712	40	0.0000396177	0.000000029564
1	65041704	66939403	694	40	0.0003571704	0.000000036652
1	66939404	68477894	745	40	0.0003589719	0.000000035541
1	68477895	69687615	406	40	0.0000299362	0.000000019505
1	69687616	71372469	585	40	0.0001567737	0.000000027835
1	71372470	71684404	95	10	0.0000239762	0.000000003837
1	71684405	74326906	597	40	0.0001472720	0.000000023664
1	74326907	76728134	791	40	0.0000768719	0.000000028492
1	76728135	79661197	1044	40	0.0001377896	0.000000033672
1	79661198	81354190	510	40	0.0000733057	0.000000023684
1	81354191	83991747	1039	40	-0.0000082462	0.000000030663
1	83991748	84844494	344	36	0.0001810408	0.000000016891
1	84844495	86454750	698	40	0.0001012233	0.000000032208
1	86454751	88128630	640	40	0.0001473239	0.000000030671
1	88128631	90066302	567	40	0.0001267049	0.000000026965
1	90066303	91886316	616	40	0.0000913370	0.000000028734
1	91886317	93536458	571	40	0.0002112119	0.000000025466
1	93536459	94506190	292	28	0.0000447503	0.000000011232
1	94506191	96150892	719	40	0.0002019249	0.000000034990
1	96150893	97885248	676	40	0.0001285175	0.000000026542
1	97885249	99800603	685	40	0.0001140898	0.000000029747
1	99800604	100826404	356	37	0.0002104845	0.000000018462
1	100826405	102041015	496	40	-0.0000415427	0.000000019482
1	102041016	102898744	302	38	0.0002271408	0.000000017681
1	102898745	103914210	216	21	0.0001029349	0.000000009989
1	103914211	106087841	502	40	0.0000167969	0.000000021566
1	106087842	108409664	784	40	0.0001630863	0.000000034831
1	108409665	110303930	640	40	0.0000618072	0.000000027044
1	110303931	111741736	644	40	0.0001545571	0.000000033985
1	111741737	113273305	780	40	0.0000413153	0.000000031490
1	113273306	114873844	586	40	0.0001627315	0.000000029252
1	114873845	115880592	379	39	0.0001490343	0.000000017274
1	115880593	118839066	958	40	0.0001647293	0.000000034379
1	118839067	144977493	621	40	0.0002996679	0.000000031042
1	144977494	148361252	506	40	0.0001816284	0.000000025628
1	148361253	151538880	416	36	0.0001377556	0.000000018207
1	151538881	153180828	561	40	0.0001025493	0.000000021430
1	153180829	154770402	565	40	0.0000661776	0.000000024944
1	154770403	156336132	403	40	0.0007346620	0.000000032947
1	156336133	158027411	668	40	0.0001642796	0.000000033845
1	158027412	159913047	768	40	0.0001948227	0.000000035331
1	159913048	162346720	985	40	0.0003864288	0.000000038718
1	162346721	165191701	1307	40	0.0001196027	0.000000033520
1	165191702	166460516	592	40	0.0000795205	0.000000029554
1	166460517	169086323	1260	40	0.0002477438	0.000000036235
1	169086324	170557775	608	40	0.0002101563	0.000000025833
1	170557776	173097906	1018	40	0.0002368991	0.000000035608
