chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	94	17	0.0000948398	0.000000011534
1	1892607	3582735	410	29	0.0002835479	0.000000043857
1	3582736	4380810	263	29	0.0003025475	0.000000030108
1	4380811	5913892	865	29	0.0001631021	0.000000052203
1	5913893	7247334	416	29	0.0000218047	0.000000030633
1	7247335	9365198	680	29	0.0001814523	0.000000050721
1	9365199	10806983	338	29	0.0000497811	0.000000022409
1	10806984	11777840	247	29	0.0001937232	0.000000025225
1	11777841	12779465	282	29	0.0001960262	0.000000018518
1	12779466	14891510	607	29	0.0001112120	0.000000050191
1	14891511	16897729	657	29	0.0000761127	0.000000048545
1	16897730	18662898	639	29	0.0001034013	0.000000049102
1	18662899	20469148	686	29	0.0002170021	0.000000053431
1	20469149	21736587	450	29	0.0002667186	0.000000038830
1	21736588	23086882	507	29	0.0002529727	0.000000046856
1	23086883	23920589	214	27	0.0001949851	0.000000018588
1	23920590	25516844	501	29	0.0001263454	0.000000042314
1	25516845	27401866	395	29	0.0005778039	0.000000036624
1	27401867	30161880	526	29	0.0004491068	0.000000046647
1	30161881	32438684	904	29	0.0002082407	0.000000052782
1	32438685	34799757	644	29	0.0002065611	0.000000052565
1	34799758	37549182	527	29	0.0000516037	0.000000037900
1	37549183	38731846	358	29	0.0000966824	0.000000026620
1	38731847	40200566	424	29	0.0006456198	0.000000044843
1	40200567	41975326	540	29	0.0000610474	0.000000037572
1	41975327	43758456	532	29	0.0000667826	0.000000034142
1	43758457	44969182	351	29	0.0001952802	0.000000027183
1	44969183	46899500	440	29	0.0003432831	0.000000030021
1	46899501	48002575	280	29	0.0002594134	0.000000024704
1	48002576	48978187	339	29	0.0001068766	0.000000027918
1	48978188	49894176	237	28	0.0002715414	0.000000024190
1	49894177	51713725	252	25	0.0000637907	0.000000013591
1	51713726	54226261	547	29	0.0002217870	0.000000042260
1	54226262	56413116	814	29	0.0002085797	0.000000048389
1	56413117	57021727	265	29	0.0000619144	0.000000014624
1	57021728	58865398	827	29	-0.0000394210	0.000000046882
1	58865399	59890408	371	29	0.0001512013	0.000000027855
1	59890409	61922364	660	29	0.0001192059	0.000000048858
1	61922365	63455088	526	29	0.0002486281	0.000000033079
1	63455089	65041703	642	29	0.0001915438	0.000000045116
1	65041704	66939403	636	29	0.0001703277	0.000000045256
1	66939404	68477894	664	29	0.0000847520	0.000000041532
1	68477895	69687615	383	29	0.0003002765	0.000000035093
1	69687616	71372469	507	29	0.0001888837	0.000000039617
1	71372470	71684404	81	10	0.0001230592	0.000000007314
1	71684405	74326906	558	29	0.0001556976	0.000000027373
1	74326907	76728134	713	29	0.0003237625	0.000000045352
1	76728135	79661197	924	29	0.0001108854	0.000000048147
1	79661198	81354190	470	29	-0.0000019437	0.000000032153
1	81354191	83991747	965	29	0.0002317367	0.000000052426
1	83991748	84844494	306	29	0.0001902847	0.000000023930
1	84844495	86454750	634	29	0.0001993053	0.000000047551
1	86454751	88128630	553	29	0.0000523257	0.000000038826
1	88128631	90066302	515	29	0.0000614851	0.000000034269
1	90066303	91886316	556	29	0.0002118831	0.000000043148
1	91886317	93536458	500	29	0.0002124855	0.000000032036
1	93536459	94506190	245	26	0.0003758587	0.000000022751
1	94506191	96150892	640	29	0.0003351129	0.000000052612
1	96150893	97885248	598	29	0.0000404308	0.000000032984
1	97885249	99800603	632	29	0.0000648623	0.000000040570
1	99800604	100826404	329	29	0.0003038332	0.000000027773
1	100826405	102041015	439	29	0.0001536696	0.000000033337
1	102041016	102898744	271	29	0.0000972643	0.000000021182
1	102898745	103914210	196	21	0.0000165266	0.000000011901
1	103914211	106087841	452	29	0.0000319247	0.000000031509
1	106087842	108409664	722	29	0.0002217826	0.000000052570
1	108409665	110303930	556	29	0.0007373698	0.000000039563
1	110303931	111741736	560	29	0.0003068689	0.000000049603
1	111741737	113273305	691	29	0.0001342315	0.000000047613
1	113273306	114873844	497	29	0.0000656175	0.000000035762
1	114873845	115880592	338	29	0.0001820130	0.000000023529
1	115880593	118839066	810	29	0.0003033847	0.000000054547
1	118839067	144977493	563	29	0.0001969759	0.000000029423
1	144977494	148361252	425	29	0.0001721813	0.000000032644
1	148361253	151538880	332	29	0.0001002715	0.000000021400
1	151538881	153180828	451	29	0.0000667542	0.000000027948
1	153180829	154770402	446	29	0.0003541833	0.000000038222
1	154770403	156336132	280	29	0.0004348222	0.000000029860
1	156336133	158027411	578	29	0.0002205109	0.000000047702
1	158027412	159913047	668	29	0.0000585843	0.000000046671
1	159913048	162346720	860	29	0.0001023635	0.000000036246
1	162346721	165191701	1173	29	0.0000492601	0.000000046253
1	165191702	166460516	514	29	0.0001072327	0.000000041924
1	166460517	169086323	1079	29	0.0001534209	0.000000050321
1	169086324	170557775	550	29	0.0000511809	0.000000027945
1	170557776	173097906	896	29	0.0001265815	0.000000043995
1	173097907	175089767	399	29	0.0002567139	0.000000024311
1	175089768	177433380	764	29	0.0000610240	0.000000047815
1	177433381	178944308	497	29	0.0003238959	0.000000031251
1	178944309	178954469	2	1	0.0000431097	0.000000001687
1	178954470	181144120	713	29	0.0001522878	0.000000048803
1	181144121	182755355	577	29	0.0006499258	0.000000059443
1	182755356	184595512	607	29	0.0003842210	0.000000046929
1	184595513	186810022	499	29	0.0000830729	0.000000032474
1	186810023	188759944	616	29	0.0000592200	0.000000039904
1	188759945	189904129	216	17	0.0000616947	0.000000012545
1	189904130	191868929	537	29	0.0002126709	0.000000033482
1	191868930	194107441	578	29	0.0002149851	0.000000041990
1	194107442	196176200	577	29	0.0001980778	0.000000036962
1	196176201	197311513	188	16	0.0000678918	0.000000010783
1	197311514	199239883	501	29	0.0002355404	0.000000038588
1	199239884	200137648	296	29	0.0003033415	0.000000027535
1	200137649	201589974	685	29	0.0002551784	0.000000053497
1	201589975	203334733	592	29	0.0002396154	0.000000050843
1	203334734	204681067	471	29	-0.0000494225	0.000000032448
1	204681068	206073264	559	29	0.0002283105	0.000000044313
1	206073265	208410363	603	29	0.0002533612	0.000000049798
1	208410364	210787749	909	29	0.0001755180	0.000000050264
1	210787750	212842329	685	29	0.0002862362	0.000000052400
1	212842330	214578265	606	29	0.0002924516	0.000000049713
1	214578266	216243633	579	29	0.0001674727	0.000000046281
1	216243634	218705512	1070	29	-0.0000521919	0.000000043989
1	218705513	219590570	281	29	0.0002531737	0.000000022805
1	219590571	221858230	679	29	0.0004487820	0.000000048382
1	221858231	222230219	171	21	0.0001716842	0.000000017632
1	222230220	224938519	496	29	0.0002931899	0.000000040531
1	224938520	226810859	498	29	0.0002176729	0.000000038489
1	226810860	229156247	654	29	0.0002245276	0.000000047758
1	229156248	230685254	522	29	0.0013508207	0.000000061822
1	230685255	232090251	574	29	0.0001465730	0.000000042455
1	232090252	233429283	598	29	0.0001510093	0.000000050502
1	233429284	234599433	519	29	0.0000896457	0.000000041946
1	234599434	235819435	370	29	0.0001616808	0.000000031780
1	235819436	237555627	695	29	0.0002479922	0.000000054643
1	237555628	238567806	419	29	0.0003054086	0.000000041124
1	238567807	239925313	487	29	0.0000749893	0.000000038958
1	239925314	240564090	335	29	-0.0000302298	0.000000024324
1	240564091	241582219	507	29	0.0002453408	0.000000050928
1	241582220	242071601	207	29	0.0003193670	0.000000025454
1	242071602	244109498	602	29	0.0000535884	0.000000046810
1	244109499	245506745	499	29	0.0001514932	0.000000044211
1	245506746	247344517	670	29	0.0002717136	0.000000053216
1	247344518	249239465	388	29	0.0002917385	0.000000036993
2	10133	1781021	655	29	0.0002408137	0.000000041684
2	1781022	3973778	952	29	0.0000409522	0.000000048191
2	3973779	5708336	623	29	0.0001007149	0.000000048809
2	5708337	6836253	558	29	0.0000190105	0.000000038803
2	6836254	8422146	645	29	0.0000777985	0.000000050533
2	8422147	10298468	660	29	0.0000689238	0.000000049656
2	10298469	12419149	954	29	0.0003210628	0.000000055201
2	12419150	14335307	589	29	0.0001206977	0.000000044508
2	14335308	16329734	735	29	0.0000899533	0.000000049815
2	16329735	18647422	854	29	0.0000827221	0.000000048951
2	18647423	19692403	381	29	0.0001842598	0.000000032553
2	19692404	21050489	630	29	0.0007275749	0.000000060622
2	21050490	23341382	629	29	0.0016203633	0.000000072274
2	23341383	24686917	437	29	0.0002005120	0.000000033752
2	24686918	26894984	541	29	0.0001773035	0.000000038190
2	26894985	28598776	422	29	0.0002920361	0.000000016789
2	28598777	29217558	249	29	0.0001794766	0.000000019614
2	29217559	30463710	626	29	0.0000811054	0.000000048809
2	30463711	31550449	522	29	0.0002217837	0.000000047364
2	31550450	33363776	482	29	0.0001472288	0.000000042748
2	33363777	35345027	799	29	0.0000561037	0.000000048112
2	35345028	36122005	290	29	0.0002699500	0.000000027572
2	36122006	38132711	918	29	0.0000380973	0.000000046770
2	38132712	39031336	320	29	0.0001031779	0.000000029776
2	39031337	40281482	300	29	0.0000434966	0.000000024702
2	40281483	43309589	1285	29	0.0000297016	0.000000042760
2	43309590	44313802	401	29	0.0001503907	0.000000019755
2	44313803	46482633	1054	29	0.0001645208	0.000000047738
2	46482634	47318771	410	29	0.0000926691	0.000000038093
2	47318772	48213000	295	29	0.0001864886	0.000000030278
2	48213001	50022256	700	29	0.0002595146	0.000000053369
2	50022257	50818927	341	29	0.0003313100	0.000000034662
2	50818928	52491132	646	29	0.0000444861	0.000000046888
2	52491133	53508451	461	29	0.0001712588	0.000000039641
2	53508452	54685225	427	29	0.0002740734	0.000000040629
2	54685226	56203344	602	29	0.0000864719	0.000000043477
2	56203345	57429099	425	29	0.0002206961	0.000000038917
2	57429100	58297314	270	28	0.0000635127	0.000000022069
2	58297315	60291999	737	29	0.0000971187	0.000000047356
2	60292000	62429043	585	29	0.0002105877	0.000000047194
2	62429044	64625912	577	29	0.0001632769	0.000000045932
2	64625913	65933443	456	29	0.0003354822	0.000000041652
