chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	93	17	-0.0000515234	0.0000000078
1	1892607	3582735	409	40	-0.0000403345	0.0000000217
1	3582736	4380810	263	40	0.0000891489	0.0000000171
1	4380811	5913892	863	40	-0.0000760103	0.0000000222
1	5913893	7247334	410	40	0.0001061341	0.0000000148
1	7247335	9365198	680	40	0.0000952031	0.0000000224
1	9365199	10806983	338	40	-0.0000163152	0.0000000111
1	10806984	11777840	246	40	0.0000166709	0.0000000125
1	11777841	12779465	278	40	0.0000738611	0.0000000137
1	12779466	14891510	607	40	0.0001561035	0.0000000254
1	14891511	16897729	656	40	0.0000141075	0.0000000225
1	16897730	18662898	637	40	-0.0001715263	0.0000000232
1	18662899	20469148	685	40	0.0000533881	0.0000000243
1	20469149	21736587	450	40	0.0000438337	0.0000000193
1	21736588	23086882	506	40	0.0001251849	0.0000000230
1	23086883	23920589	214	27	-0.0001249236	0.0000000112
1	23920590	25516844	500	40	-0.0000016607	0.0000000216
1	25516845	27401866	386	40	0.0002903334	0.0000000220
1	27401867	30161880	524	40	0.0000083904	0.0000000233
1	30161881	32438684	904	40	0.0000409091	0.0000000261
1	32438685	34799757	644	40	0.0002236218	0.0000000231
1	34799758	37549182	526	40	-0.0000667445	0.0000000164
1	37549183	38731846	358	40	-0.0001116296	0.0000000142
1	38731847	40200566	424	40	0.0005843980	0.0000000246
1	40200567	41975326	540	40	0.0002304991	0.0000000167
1	41975327	43758456	532	40	0.0001130278	0.0000000148
1	43758457	44969182	351	35	0.0000582966	0.0000000135
1	44969183	46899500	440	38	0.0000291211	0.0000000148
1	46899501	48002575	280	33	-0.0000935273	0.0000000177
1	48002576	48978187	339	40	-0.0001412394	0.0000000137
1	48978188	49894176	237	28	0.0000107122	0.0000000128
1	49894177	51713725	252	25	-0.0000701675	0.0000000077
1	51713726	54226261	546	40	0.0001430354	0.0000000189
1	54226262	56413116	812	40	0.0000283693	0.0000000230
1	56413117	57021727	265	31	0.0000433844	0.0000000080
1	57021728	58865398	824	40	0.0000839126	0.0000000212
1	58865399	59890408	371	40	0.0001619891	0.0000000130
1	59890409	61922364	660	40	0.0001098703	0.0000000227
1	61922365	63455088	522	40	0.0001186186	0.0000000197
1	63455089	65041703	642	40	-0.0001764730	0.0000000196
1	65041704	66939403	636	40	0.0000531238	0.0000000216
1	66939404	68477894	663	40	-0.0001282385	0.0000000191
1	68477895	69687615	383	40	0.0001615281	0.0000000176
1	69687616	71372469	507	40	-0.0000072349	0.0000000170
1	71372470	71684404	81	10	0.0001031538	0.0000000037
1	71684405	74326906	558	40	-0.0000446467	0.0000000154
1	74326907	76728134	711	40	0.0000407023	0.0000000208
1	76728135	79661197	923	40	-0.0000309423	0.0000000208
1	79661198	81354190	470	40	-0.0001208688	0.0000000136
1	81354191	83991747	965	40	0.0000489776	0.0000000230
1	83991748	84844494	306	35	0.0001289667	0.0000000105
1	84844495	86454750	634	40	-0.0000085929	0.0000000214
1	86454751	88128630	552	40	0.0000361658	0.0000000192
1	88128631	90066302	515	40	0.0000763684	0.0000000163
1	90066303	91886316	553	40	0.0001034741	0.0000000205
1	91886317	93536458	500	40	0.0000717283	0.0000000162
1	93536459	94506190	245	26	-0.0002336676	0.0000000130
1	94506191	96150892	640	40	-0.0001491773	0.0000000241
1	96150893	97885248	598	40	0.0000667072	0.0000000153
1	97885249	99800603	632	40	-0.0000374617	0.0000000173
1	99800604	100826404	329	36	-0.0000072574	0.0000000136
1	100826405	102041015	439	40	0.0001721424	0.0000000142
1	102041016	102898744	271	36	-0.0000447361	0.0000000099
1	102898745	103914210	196	21	0.0000771707	0.0000000046
1	103914211	106087841	452	40	-0.0001026883	0.0000000150
1	106087842	108409664	721	40	0.0001958224	0.0000000236
1	108409665	110303930	552	40	0.0002476962	0.0000000241
1	110303931	111741736	560	40	-0.0000950805	0.0000000243
1	111741737	113273305	691	40	0.0000195379	0.0000000215
1	113273306	114873844	497	40	0.0000057901	0.0000000166
1	114873845	115880592	338	37	-0.0000628668	0.0000000115
1	115880593	118839066	809	40	0.0000271863	0.0000000256
1	118839067	144977493	557	40	0.0000528520	0.0000000162
1	144977494	148361252	425	40	0.0001175558	0.0000000152
1	148361253	151538880	332	33	-0.0000335468	0.0000000121
1	151538881	153180828	450	40	0.0000101005	0.0000000122
1	153180829	154770402	445	40	0.0001227133	0.0000000190
1	154770403	156336132	280	38	-0.0003605211	0.0000000160
1	156336133	158027411	576	40	-0.0000360594	0.0000000206
1	158027412	159913047	665	40	0.0002402773	0.0000000271
1	159913048	162346720	859	40	0.0000551443	0.0000000191
1	162346721	165191701	1171	40	-0.0000066441	0.0000000225
1	165191702	166460516	514	40	-0.0000364716	0.0000000189
1	166460517	169086323	1078	40	-0.0000459972	0.0000000233
1	169086324	170557775	547	40	-0.0000671215	0.0000000127
1	170557776	173097906	893	40	0.0000210722	0.0000000202
1	173097907	175089767	399	31	0.0001126302	0.0000000116
1	175089768	177433380	764	40	-0.0001003857	0.0000000207
1	177433381	178944308	494	40	-0.0001178614	0.0000000175
1	178944309	178954469	2	1	0.0000927032	0.0000000025
1	178954470	181144120	711	40	-0.0000391953	0.0000000215
1	181144121	182755355	577	40	0.0000674025	0.0000000270
1	182755356	184595512	607	40	0.0002088416	0.0000000217
1	184595513	186810022	499	40	0.0001094445	0.0000000156
1	186810023	188759944	616	40	0.0000915775	0.0000000186
1	188759945	189904129	216	17	0.0000766121	0.0000000062
1	189904130	191868929	537	40	-0.0001498111	0.0000000160
1	191868930	194107441	577	40	-0.0000590738	0.0000000187
1	194107442	196176200	577	40	0.0000382764	0.0000000158
1	196176201	197311513	188	16	0.0000930516	0.0000000063
1	197311514	199239883	501	40	-0.0000588911	0.0000000186
1	199239884	200137648	296	36	-0.0000144899	0.0000000129
1	200137649	201589974	685	40	0.0001256340	0.0000000243
1	201589975	203334733	591	40	-0.0001005732	0.0000000237
1	203334734	204681067	471	40	-0.0001581638	0.0000000172
1	204681068	206073264	558	40	0.0001384355	0.0000000259
1	206073265	208410363	603	40	0.0001754192	0.0000000236
1	208410364	210787749	908	40	0.0001588731	0.0000000230
1	210787750	212842329	685	40	0.0000452727	0.0000000246
1	212842330	214578265	604	40	0.0002065146	0.0000000236
1	214578266	216243633	578	40	-0.0000599214	0.0000000214
1	216243634	218705512	1070	40	-0.0000582159	0.0000000192
1	218705513	219590570	281	34	0.0000335739	0.0000000112
1	219590571	221858230	679	40	0.0002112287	0.0000000236
1	221858231	222230219	171	21	-0.0001214759	0.0000000090
1	222230220	224938519	464	40	0.0002134815	0.0000000189
1	224938520	226810859	498	40	0.0000219656	0.0000000181
1	226810860	229156247	654	40	0.0000336846	0.0000000215
1	229156248	230685254	520	40	-0.0001399418	0.0000000345
1	230685255	232090251	573	40	0.0001267085	0.0000000216
1	232090252	233429283	598	40	0.0000470480	0.0000000232
1	233429284	234599433	519	40	-0.0001694348	0.0000000191
1	234599434	235819435	370	40	-0.0002871849	0.0000000168
1	235819436	237555627	693	40	-0.0000014241	0.0000000244
1	237555628	238567806	419	40	-0.0000215325	0.0000000195
1	238567807	239925313	487	40	-0.0001525287	0.0000000183
1	239925314	240564090	335	40	0.0001143203	0.0000000115
1	240564091	241582219	506	40	0.0000279950	0.0000000234
1	241582220	242071601	207	37	0.0000179475	0.0000000114
1	242071602	244109498	602	40	0.0000163048	0.0000000204
1	244109499	245506745	499	40	-0.0001165055	0.0000000200
1	245506746	247344517	670	40	0.0000279138	0.0000000243
1	247344518	249239465	387	40	0.0002417289	0.0000000180
2	10133	1781021	655	40	0.0001029552	0.0000000209
2	1781022	3973778	951	40	-0.0000773131	0.0000000206
2	3973779	5708336	623	40	0.0000686973	0.0000000213
2	5708337	6836253	558	40	0.0000127901	0.0000000165
2	6836254	8422146	645	40	0.0001877721	0.0000000211
2	8422147	10298468	660	40	0.0001156433	0.0000000226
2	10298469	12419149	953	40	0.0000824559	0.0000000245
2	12419150	14335307	589	40	-0.0000218657	0.0000000200
2	14335308	16329734	733	40	0.0000094704	0.0000000206
2	16329735	18647422	854	40	-0.0000467496	0.0000000230
2	18647423	19692403	381	40	-0.0002012152	0.0000000162
2	19692404	21050489	628	40	-0.0001835538	0.0000000282
2	21050490	23341382	623	40	-0.0004591643	0.0000000396
2	23341383	24686917	437	40	0.0000177927	0.0000000168
2	24686918	26894984	541	40	0.0000765365	0.0000000200
2	26894985	28598776	409	33	0.0000129587	0.0000000115
2	28598777	29217558	247	32	0.0000922913	0.0000000104
2	29217559	30463710	625	40	0.0000396668	0.0000000211
2	30463711	31550449	522	40	0.0000350861	0.0000000214
2	31550450	33363776	482	40	0.0000953274	0.0000000187
2	33363777	35345027	797	40	0.0001194269	0.0000000209
2	35345028	36122005	290	30	-0.0000389929	0.0000000115
2	36122006	38132711	917	40	0.0000323747	0.0000000207
2	38132712	39031336	320	38	-0.0000108178	0.0000000134
