chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	101	19	0.0000618480	0.0000000076
1	1892607	3582735	439	40	0.0002018126	0.0000000271
1	3582736	4380810	274	40	0.0001526030	0.0000000157
1	4380811	5913892	868	40	-0.0000345433	0.0000000236
1	5913893	7247334	431	40	-0.0000532538	0.0000000202
1	7247335	9365198	699	40	-0.0000752025	0.0000000295
1	9365199	10806983	353	40	0.0001625296	0.0000000165
1	10806984	11777840	258	40	-0.0000222108	0.0000000132
1	11777841	12779465	283	40	0.0000371184	0.0000000141
1	12779466	14891510	618	40	0.0000588771	0.0000000245
1	14891511	16897729	690	40	-0.0000030547	0.0000000269
1	16897730	18662898	665	40	-0.0000985821	0.0000000270
1	18662899	20469148	715	40	0.0000630103	0.0000000256
1	20469149	21736587	461	40	0.0000010878	0.0000000210
1	21736588	23086882	524	40	-0.0002212826	0.0000000230
1	23086883	23920589	222	28	0.0001040728	0.0000000088
1	23920590	25516844	522	40	-0.0000129565	0.0000000218
1	25516845	27401866	413	40	-0.0000086933	0.0000000140
1	27401867	30161880	551	40	-0.0001808738	0.0000000185
1	30161881	32438684	930	40	0.0000607804	0.0000000243
1	32438685	34799757	675	40	-0.0000715083	0.0000000244
1	34799758	37549182	550	40	-0.0000527799	0.0000000200
1	37549183	38731846	373	40	0.0001144747	0.0000000165
1	38731847	40200566	446	40	0.0001039717	0.0000000219
1	40200567	41975326	554	40	0.0000206812	0.0000000209
1	41975327	43758456	544	40	-0.0000262010	0.0000000197
1	43758457	44969182	371	35	-0.0001862850	0.0000000173
1	44969183	46899500	457	38	-0.0000087274	0.0000000147
1	46899501	48002575	296	33	-0.0000303725	0.0000000110
1	48002576	48978187	344	40	0.0000600785	0.0000000128
1	48978188	49894176	247	28	-0.0000021833	0.0000000098
1	49894177	51713725	260	25	-0.0000240396	0.0000000076
1	51713726	54226261	562	40	-0.0001218480	0.0000000240
1	54226262	56413116	837	40	0.0000225600	0.0000000249
1	56413117	57021727	270	31	0.0001188474	0.0000000111
1	57021728	58865398	846	40	-0.0000943470	0.0000000249
1	58865399	59890408	382	40	0.0000183509	0.0000000184
1	59890409	61922364	671	40	0.0000551644	0.0000000260
1	61922365	63455088	533	40	-0.0001066391	0.0000000218
1	63455089	65041703	657	40	0.0000082563	0.0000000181
1	65041704	66939403	650	40	0.0000087650	0.0000000255
1	66939404	68477894	685	40	-0.0001115997	0.0000000232
1	68477895	69687615	387	40	-0.0000278023	0.0000000144
1	69687616	71372469	519	40	0.0000225518	0.0000000184
1	71372470	71684404	82	10	-0.0000681135	0.0000000037
1	71684405	74326906	558	40	-0.0001038384	0.0000000186
1	74326907	76728134	726	40	-0.0000304206	0.0000000242
1	76728135	79661197	947	40	-0.0000238757	0.0000000241
1	79661198	81354190	475	40	-0.0001176046	0.0000000181
1	81354191	83991747	972	40	-0.0000601437	0.0000000270
1	83991748	84844494	314	35	-0.0000554081	0.0000000133
1	84844495	86454750	652	40	-0.0000941444	0.0000000219
1	86454751	88128630	570	40	-0.0000890105	0.0000000201
1	88128631	90066302	522	40	-0.0001432920	0.0000000192
1	90066303	91886316	558	40	-0.0001149550	0.0000000231
1	91886317	93536458	509	40	0.0000535943	0.0000000155
1	93536459	94506190	255	26	-0.0000331331	0.0000000083
1	94506191	96150892	650	40	-0.0000950012	0.0000000234
1	96150893	97885248	603	40	-0.0000405955	0.0000000240
1	97885249	99800603	641	40	-0.0000499965	0.0000000254
1	99800604	100826404	339	37	-0.0000407431	0.0000000113
1	100826405	102041015	447	40	-0.0000430047	0.0000000138
1	102041016	102898744	277	36	0.0000404474	0.0000000170
1	102898745	103914210	201	21	-0.0000182337	0.0000000074
1	103914211	106087841	455	40	-0.0001130473	0.0000000176
1	106087842	108409664	726	40	-0.0000426335	0.0000000253
1	108409665	110303930	565	40	0.0001060227	0.0000000213
1	110303931	111741736	572	40	-0.0000620553	0.0000000230
1	111741737	113273305	720	40	-0.0000585880	0.0000000256
1	113273306	114873844	511	40	0.0000796485	0.0000000175
1	114873845	115880592	345	37	0.0001050246	0.0000000109
1	115880593	118839066	836	40	0.0001368183	0.0000000241
1	118839067	144977493	565	40	0.0000025331	0.0000000193
1	144977494	148361252	433	40	0.0000566743	0.0000000199
1	148361253	151538880	349	34	-0.0000535700	0.0000000183
1	151538881	153180828	468	40	-0.0000324366	0.0000000145
1	153180829	154770402	458	40	-0.0002254626	0.0000000194
1	154770403	156336132	307	38	-0.0000337895	0.0000000154
1	156336133	158027411	597	40	0.0000230227	0.0000000223
1	158027412	159913047	683	40	-0.0000686157	0.0000000264
1	159913048	162346720	875	40	-0.0000231440	0.0000000273
1	162346721	165191701	1194	40	-0.0000094368	0.0000000244
1	165191702	166460516	531	40	-0.0001901442	0.0000000317
1	166460517	169086323	1106	40	0.0000796380	0.0000000259
1	169086324	170557775	560	40	0.0000902332	0.0000000168
1	170557776	173097906	902	40	0.0001899733	0.0000000270
1	173097907	175089767	411	32	-0.0000850558	0.0000000114
1	175089768	177433380	784	40	-0.0000508708	0.0000000260
1	177433381	178944308	492	40	0.0000304174	0.0000000211
1	178944309	178954469	2	1	-0.0000075792	0.0000000001
1	178954470	181144120	750	40	-0.0002480798	0.0000000268
1	181144121	182755355	599	40	-0.0000865384	0.0000000230
1	182755356	184595512	630	40	0.0000569244	0.0000000222
1	184595513	186810022	523	40	0.0001057766	0.0000000186
1	186810023	188759944	619	40	-0.0000181078	0.0000000232
1	188759945	189904129	219	17	0.0000413537	0.0000000050
1	189904130	191868929	538	40	-0.0001979520	0.0000000188
1	191868930	194107441	583	40	0.0001054818	0.0000000209
1	194107442	196176200	580	40	0.0000651498	0.0000000174
1	196176201	197311513	196	16	0.0000289332	0.0000000054
1	197311514	199239883	504	40	-0.0001475495	0.0000000179
1	199239884	200137648	301	36	0.0000330418	0.0000000146
1	200137649	201589974	709	40	-0.0001428216	0.0000000249
1	201589975	203334733	614	40	-0.0000983229	0.0000000266
1	203334734	204681067	485	40	-0.0002388989	0.0000000212
1	204681068	206073264	577	40	-0.0001644090	0.0000000259
1	206073265	208410363	633	40	0.0000814687	0.0000000242
1	208410364	210787749	930	40	-0.0000415015	0.0000000231
1	210787750	212842329	698	40	-0.0000019722	0.0000000237
1	212842330	214578265	612	40	-0.0002635793	0.0000000258
1	214578266	216243633	593	40	-0.0000077324	0.0000000213
1	216243634	218705512	1082	40	-0.0000683038	0.0000000249
1	218705513	219590570	282	34	0.0000610953	0.0000000123
1	219590571	221858230	690	40	-0.0000207411	0.0000000227
1	221858231	222230219	174	21	-0.0000324831	0.0000000073
1	222230220	224938519	456	40	-0.0000215525	0.0000000173
1	224938520	226810859	517	40	-0.0000196220	0.0000000200
1	226810860	229156247	694	40	-0.0000348371	0.0000000256
1	229156248	230685254	531	40	-0.0001348802	0.0000000222
1	230685255	232090251	589	40	0.0001035459	0.0000000250
1	232090252	233429283	608	40	-0.0000326092	0.0000000246
1	233429284	234599433	535	40	-0.0000306373	0.0000000211
1	234599434	235819435	384	40	-0.0000958414	0.0000000180
1	235819436	237555627	732	40	-0.0000361548	0.0000000239
1	237555628	238567806	427	40	-0.0000528665	0.0000000182
1	238567807	239925313	489	40	0.0001776369	0.0000000214
1	239925314	240564090	342	40	-0.0000168548	0.0000000141
1	240564091	241582219	519	40	0.0000190535	0.0000000257
1	241582220	242071601	220	38	0.0000678501	0.0000000127
1	242071602	244109498	623	40	-0.0001930748	0.0000000269
1	244109499	245506745	518	40	0.0000100566	0.0000000237
1	245506746	247344517	711	40	-0.0000432072	0.0000000246
1	247344518	249239465	398	40	-0.0000280709	0.0000000168
2	10133	1781021	662	40	0.0000428764	0.0000000289
2	1781022	3973778	965	40	-0.0000749989	0.0000000261
2	3973779	5708336	630	40	0.0000322772	0.0000000237
2	5708337	6836253	565	40	0.0000526208	0.0000000214
2	6836254	8422146	653	40	0.0001102906	0.0000000276
2	8422147	10298468	673	40	-0.0000697179	0.0000000219
2	10298469	12419149	970	40	0.0000443906	0.0000000241
2	12419150	14335307	591	40	0.0000830570	0.0000000235
2	14335308	16329734	748	40	0.0001096285	0.0000000261
2	16329735	18647422	859	40	0.0000668162	0.0000000264
2	18647423	19692403	384	40	-0.0000076508	0.0000000135
2	19692404	21050489	636	40	-0.0000176007	0.0000000244
2	21050490	23341382	622	40	-0.0000013861	0.0000000237
2	23341383	24686917	442	40	-0.0000620495	0.0000000196
2	24686918	26894984	560	40	-0.0002884392	0.0000000263
2	26894985	28598776	416	33	-0.0000712613	0.0000000169
2	28598777	29217558	246	31	-0.0000412763	0.0000000120
2	29217559	30463710	636	40	0.0000486334	0.0000000259
2	30463711	31550449	529	40	-0.0001328088	0.0000000248
2	31550450	33363776	495	40	-0.0002295286	0.0000000226
2	33363777	35345027	805	40	0.0000247226	0.0000000233
2	35345028	36122005	291	30	0.0000244305	0.0000000121
2	36122006	38132711	932	40	-0.0000498513	0.0000000259
2	38132712	39031336	326	38	0.0000253250	0.0000000142
2	39031337	40281482	303	32	-0.0000841045	0.0000000144
2	40281483	43309589	1310	40	0.0000210722	0.0000000246
2	43309590	44313802	403	40	0.0001176047	0.0000000212
2	44313803	46482633	1072	40	-0.0001075505	0.0000000265
2	46482634	47318771	418	40	0.0001629584	0.0000000201
2	47318772	48213000	301	40	-0.0000057241	0.0000000161
2	48213001	50022256	715	40	-0.0001649088	0.0000000268
2	50022257	50818927	345	34	0.0000094059	0.0000000146
2	50818928	52491132	647	40	-0.0000096158	0.0000000270
2	52491133	53508451	466	40	-0.0001434936	0.0000000179
2	53508452	54685225	435	40	0.0002077452	0.0000000187
2	54685226	56203344	613	40	0.0000632901	0.0000000237
2	56203345	57429099	428	40	-0.0002406314	0.0000000249
2	57429100	58297314	272	29	0.0000413217	0.0000000102
