chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	96	15	0.0000569838	0.000000087084
1	1892607	3582735	437	15	0.0001522667	0.000000372405
1	3582736	4380810	271	15	0.0004933948	0.000000219251
1	4380811	5913892	867	15	0.0000808894	0.000000369582
1	5913893	7247334	428	15	-0.0001516954	0.000000229997
1	7247335	9365198	699	15	0.0000676125	0.000000369303
1	9365199	10806983	351	15	-0.0000122545	0.000000184599
1	10806984	11777840	258	15	0.0003438123	0.000000197009
1	11777841	12779465	281	15	0.0000100205	0.000000199389
1	12779466	14891510	617	15	0.0000409419	0.000000376332
1	14891511	16897729	688	15	0.0002957701	0.000000396298
1	16897730	18662898	661	15	0.0000584874	0.000000385245
1	18662899	20469148	711	15	0.0002337901	0.000000407024
1	20469149	21736587	461	15	0.0002181020	0.000000277825
1	21736588	23086882	523	15	-0.0001632085	0.000000319251
1	23086883	23920589	222	15	-0.0000129824	0.000000110360
1	23920590	25516844	520	15	0.0003285826	0.000000344172
1	25516845	27401866	413	15	-0.0000712295	0.000000179472
1	27401867	30161880	550	15	-0.0000847467	0.000000271034
1	30161881	32438684	935	15	0.0000450848	0.000000362668
1	32438685	34799757	675	15	-0.0000585679	0.000000356407
1	34799758	37549182	549	15	-0.0000146693	0.000000293544
1	37549183	38731846	371	15	0.0002247435	0.000000204174
1	38731847	40200566	447	15	0.0002997920	0.000000270485
1	40200567	41975326	555	15	0.0000680982	0.000000271162
1	41975327	43758456	542	15	0.0002269689	0.000000259197
1	43758457	44969182	371	15	0.0001680064	0.000000175934
1	44969183	46899500	458	15	0.0000130685	0.000000152458
1	46899501	48002575	297	15	0.0000136575	0.000000128281
1	48002576	48978187	344	15	0.0000828757	0.000000176543
1	48978188	49894176	247	15	0.0002046901	0.000000131344
1	49894177	51713725	259	15	0.0000756546	0.000000090663
1	51713726	54226261	562	15	-0.0000037630	0.000000290409
1	54226262	56413116	837	15	-0.0000711476	0.000000361873
1	56413117	57021727	271	15	0.0002734514	0.000000131819
1	57021728	58865398	847	15	0.0000366530	0.000000363937
1	58865399	59890408	383	15	0.0001542156	0.000000188670
1	59890409	61922364	671	15	-0.0000724127	0.000000361614
1	61922365	63455088	533	15	0.0000212419	0.000000302104
1	63455089	65041703	656	15	-0.0000426764	0.000000293533
1	65041704	66939403	649	15	-0.0000111648	0.000000294154
1	66939404	68477894	687	15	0.0000294264	0.000000285163
1	68477895	69687615	389	15	0.0000447660	0.000000205522
1	69687616	71372469	520	15	0.0003626603	0.000000281303
1	71372470	71684404	82	10	0.0000335556	0.000000029595
1	71684405	74326906	559	15	0.0001292167	0.000000225664
1	74326907	76728134	727	15	0.0000855581	0.000000296984
1	76728135	79661197	946	15	0.0000647733	0.000000368531
1	79661198	81354190	475	15	-0.0000850675	0.000000223987
1	81354191	83991747	973	15	0.0000324965	0.000000375605
1	83991748	84844494	314	15	0.0000724959	0.000000134787
1	84844495	86454750	652	15	0.0000852124	0.000000335415
1	86454751	88128630	571	15	0.0001450611	0.000000308753
1	88128631	90066302	523	15	-0.0000301847	0.000000254712
1	90066303	91886316	559	15	0.0000983553	0.000000287919
1	91886317	93536458	509	15	0.0001509600	0.000000222908
1	93536459	94506190	255	15	-0.0000034154	0.000000103045
1	94506191	96150892	651	15	-0.0000713889	0.000000331643
1	96150893	97885248	605	15	0.0001539718	0.000000254861
1	97885249	99800603	640	15	0.0001089640	0.000000300847
1	99800604	100826404	339	15	0.0000872014	0.000000138812
1	100826405	102041015	447	15	0.0001129338	0.000000202340
1	102041016	102898744	279	15	0.0001762082	0.000000156317
1	102898745	103914210	200	15	0.0001624580	0.000000082348
1	103914211	106087841	455	15	0.0003357080	0.000000244033
