chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	118	15	0.0004359649	0.000000108653
1	1892607	3582735	475	15	-0.0000292597	0.000000259353
1	3582736	4380810	295	15	0.0003396354	0.000000151533
1	4380811	5913892	916	15	-0.0000517554	0.000000234399
1	5913893	7247334	450	15	0.0001827899	0.000000175408
1	7247335	9365198	741	15	0.0000061018	0.000000238268
1	9365199	10806983	374	15	0.0000723304	0.000000135616
1	10806984	11777840	283	15	0.0000784522	0.000000128468
1	11777841	12779465	307	15	0.0004250911	0.000000170077
1	12779466	14891510	647	15	0.0005279444	0.000000272040
1	14891511	16897729	748	15	0.0001508484	0.000000261837
1	16897730	18662898	699	15	0.0002654792	0.000000264611
1	18662899	20469148	778	15	0.0001074877	0.000000271809
1	20469149	21736587	479	15	0.0001845368	0.000000182899
1	21736588	23086882	546	15	0.0002474783	0.000000236708
1	23086883	23920589	237	15	0.0003895028	0.000000098224
1	23920590	25516844	549	15	0.0004479966	0.000000244743
1	25516845	27401866	434	15	0.0006845838	0.000000161956
1	27401867	30161880	578	15	0.0002613791	0.000000204750
1	30161881	32438684	986	15	0.0005202567	0.000000263810
1	32438685	34799757	716	15	0.0000498589	0.000000238904
1	34799758	37549182	608	15	-0.0000418771	0.000000227033
1	37549183	38731846	394	15	0.0003417433	0.000000150082
1	38731847	40200566	462	15	0.0004218437	0.000000187717
1	40200567	41975326	573	15	0.0001247818	0.000000181627
1	41975327	43758456	592	15	-0.0000325002	0.000000178928
1	43758457	44969182	390	15	0.0002590008	0.000000123948
1	44969183	46899500	478	15	0.0002296226	0.000000115026
1	46899501	48002575	318	15	0.0010235209	0.000000146592
1	48002576	48978187	360	15	0.0002793532	0.000000128909
1	48978188	49894176	253	15	0.0002812483	0.000000089480
1	49894177	51713725	266	15	0.0002102197	0.000000066527
1	51713726	54226261	583	15	-0.0000417752	0.000000187952
1	54226262	56413116	893	15	0.0001399555	0.000000250374
1	56413117	57021727	287	15	0.0001220893	0.000000083056
1	57021728	58865398	910	15	0.0002012712	0.000000252596
1	58865399	59890408	412	15	0.0001097584	0.000000132200
1	59890409	61922364	704	15	0.0001560434	0.000000246234
1	61922365	63455088	581	15	0.0002726982	0.000000238003
1	63455089	65041703	698	15	0.0000101519	0.000000208464
1	65041704	66939403	671	15	0.0003289053	0.000000210443
1	66939404	68477894	719	15	0.0002814215	0.000000204902
1	68477895	69687615	401	15	0.0003065442	0.000000148052
1	69687616	71372469	559	15	-0.0000580469	0.000000176422
1	71372470	71684404	87	10	0.0000515048	0.000000021607
1	71684405	74326906	585	15	0.0002899162	0.000000159659
1	74326907	76728134	759	15	0.0000286258	0.000000193239
1	76728135	79661197	992	15	-0.0000832094	0.000000231015
1	79661198	81354190	500	15	-0.0000009680	0.000000154244
1	81354191	83991747	1022	15	-0.0000726643	0.000000237494
1	83991748	84844494	330	15	-0.0000336743	0.000000085515
1	84844495	86454750	681	15	0.0000892589	0.000000223990
1	86454751	88128630	611	15	0.0003127272	0.000000225945
1	88128631	90066302	553	15	0.0001360959	0.000000184027
1	90066303	91886316	591	15	0.0002386829	0.000000206458
1	91886317	93536458	538	15	0.0002187218	0.000000156748
1	93536459	94506190	268	15	0.0002980423	0.000000084476
1	94506191	96150892	696	15	0.0000977055	0.000000239473
1	96150893	97885248	637	15	0.0001160100	0.000000169256
1	97885249	99800603	670	15	-0.0000172450	0.000000197299
1	99800604	100826404	348	15	0.0001735493	0.000000094262
1	100826405	102041015	473	15	-0.0000113188	0.000000131314
1	102041016	102898744	292	15	0.0000584091	0.000000097000
1	102898745	103914210	213	15	0.0000370862	0.000000049965
1	103914211	106087841	481	15	0.0001640864	0.000000155727
1	106087842	108409664	770	15	0.0000247586	0.000000241758
1	108409665	110303930	598	15	0.0001056768	0.000000209959
1	110303931	111741736	615	15	0.0001991631	0.000000266626
1	111741737	113273305	757	15	0.0000797908	0.000000238362
1	113273306	114873844	539	15	0.0001228247	0.000000191913
1	114873845	115880592	357	15	0.0001611651	0.000000099802
1	115880593	118839066	916	15	0.0001879402	0.000000261536
1	118839067	144977493	604	15	0.0001065097	0.000000182627
1	144977494	148361252	465	15	0.0001992993	0.000000143966
1	148361253	151538880	363	15	0.0004404517	0.000000115926
1	151538881	153180828	521	15	0.0000384834	0.000000132442
1	153180829	154770402	492	15	0.0002981114	0.000000170281
1	154770403	156336132	322	15	0.0003007223	0.000000120727
1	156336133	158027411	643	15	0.0000051057	0.000000225931
1	158027412	159913047	741	15	0.0009681867	0.000000319576
1	159913048	162346720	944	15	0.0000559365	0.000000253677
1	162346721	165191701	1278	15	0.0002433142	0.000000252112
1	165191702	166460516	581	15	0.0000880834	0.000000218127
1	166460517	169086323	1205	15	0.0001718021	0.000000262385
1	169086324	170557775	592	15	-0.0000424979	0.000000141070
1	170557776	173097906	978	15	0.0000045428	0.000000232598
1	173097907	175089767	448	15	0.0000501489	0.000000088508
1	175089768	177433380	871	15	0.0000971155	0.000000246485
1	177433381	178944308	544	15	0.0003866020	0.000000175882
1	178944309	178954469	2	1	0.0001438250	0.000000018718
1	178954470	181144120	810	15	0.0001549510	0.000000232758
1	181144121	182755355	667	15	0.0000715337	0.000000239557
1	182755356	184595512	674	15	0.0000234731	0.000000202153
1	184595513	186810022	580	15	0.0002144772	0.000000181424
1	186810023	188759944	696	15	0.0002801574	0.000000217068
1	188759945	189904129	244	15	0.0000630688	0.000000057237
1	189904130	191868929	592	15	0.0002199845	0.000000141515
1	191868930	194107441	647	15	0.0001283284	0.000000198265
1	194107442	196176200	631	15	-0.0000518586	0.000000159203
1	196176201	197311513	206	15	0.0002029008	0.000000054768
1	197311514	199239883	549	15	0.0002650506	0.000000181058
1	199239884	200137648	344	15	0.0000972969	0.000000109730
1	200137649	201589974	751	15	0.0000221921	0.000000249178
1	201589975	203334733	653	15	0.0000908009	0.000000261576
1	203334734	204681067	538	15	0.0004577722	0.000000229090
1	204681068	206073264	604	15	0.0008796094	0.000000266539
1	206073265	208410363	699	15	0.0001472177	0.000000253234
1	208410364	210787749	1018	15	0.0002200465	0.000000253676
1	210787750	212842329	741	15	0.0001992785	0.000000248684
1	212842330	214578265	647	15	0.0001326257	0.000000249632
1	214578266	216243633	644	15	0.0003613040	0.000000219666
1	216243634	218705512	1151	15	0.0000777963	0.000000230753
1	218705513	219590570	313	15	0.0001444800	0.000000096545
1	219590571	221858230	751	15	0.0000638221	0.000000232538
1	221858231	222230219	187	15	0.0001800244	0.000000068742
1	222230220	224938519	634	15	0.0002171284	0.000000301247
1	224938520	226810859	558	15	0.0001214952	0.000000191932
1	226810860	229156247	790	15	0.0000798461	0.000000263486
1	229156248	230685254	599	15	0.0001500536	0.000000252434
1	230685255	232090251	629	15	0.0002716997	0.000000247022
1	232090252	233429283	651	15	0.0000359873	0.000000262859
1	233429284	234599433	594	15	0.0000450477	0.000000239750
1	234599434	235819435	417	15	0.0001910826	0.000000191268
1	235819436	237555627	790	15	0.0000368073	0.000000253211
1	237555628	238567806	460	15	0.0002279015	0.000000182410
1	238567807	239925313	531	15	0.0002298962	0.000000203966
1	239925314	240564090	377	15	0.0001265833	0.000000141577
1	240564091	241582219	555	15	0.0000032416	0.000000266700
1	241582220	242071601	236	15	-0.0000575951	0.000000087080
1	242071602	244109498	675	15	0.0000270021	0.000000244019
1	244109499	245506745	557	15	-0.0000600551	0.000000258496
1	245506746	247344517	794	15	0.0000588124	0.000000270691
1	247344518	249239465	434	15	0.0000786657	0.000000170466
2	10133	1781021	711	15	0.0000210889	0.000000233210
2	1781022	3973778	1027	15	-0.0000627598	0.000000239441
2	3973779	5708336	661	15	0.0000346244	0.000000232273
2	5708337	6836253	596	15	-0.0000195092	0.000000195744
2	6836254	8422146	673	15	0.0000386142	0.000000223409
2	8422147	10298468	724	15	0.0001057181	0.000000252047
2	10298469	12419149	1033	15	-0.0000816054	0.000000244852
2	12419150	14335307	625	15	0.0001785675	0.000000210834
2	14335308	16329734	768	15	0.0000054469	0.000000214475
2	16329735	18647422	899	15	0.0003118429	0.000000247016
2	18647423	19692403	396	15	0.0003116272	0.000000143485
2	19692404	21050489	664	15	0.0000642238	0.000000228700
2	21050490	23341382	638	15	0.0001712654	0.000000228514
2	23341383	24686917	457	15	0.0002688339	0.000000153806
2	24686918	26894984	583	15	0.0004108132	0.000000214634
2	26894985	28598776	424	15	0.0001309694	0.000000117885
2	28598777	29217558	254	15	0.0001105896	0.000000085258
2	29217559	30463710	650	15	0.0000573216	0.000000227786
2	30463711	31550449	556	15	0.0001463608	0.000000227929
2	31550450	33363776	520	15	0.0000116709	0.000000206926
2	33363777	35345027	849	15	0.0000903655	0.000000229938
2	35345028	36122005	305	15	-0.0001012055	0.000000085436
2	36122006	38132711	978	15	0.0000973846	0.000000233143
2	38132712	39031336	343	15	0.0000826859	0.000000129681
2	39031337	40281482	317	15	0.0000084723	0.000000106194
2	40281483	43309589	1366	15	0.0001858060	0.000000219435
2	43309590	44313802	417	15	0.0004439653	0.000000180211
2	44313803	46482633	1128	15	0.0002216809	0.000000250235
2	46482634	47318771	436	15	0.0000953176	0.000000203976
2	47318772	48213000	313	15	0.0002050517	0.000000159084
2	48213001	50022256	744	15	0.0000614810	0.000000220264
2	50022257	50818927	352	15	0.0001523594	0.000000119973
2	50818928	52491132	668	15	0.0000401306	0.000000215463
2	52491133	53508451	492	15	0.0003116252	0.000000178041
2	53508452	54685225	456	15	0.0002582431	0.000000168811
2	54685226	56203344	632	15	0.0003245106	0.000000224597
2	56203345	57429099	444	15	0.0001680795	0.000000156930
2	57429100	58297314	284	15	0.0001029242	0.000000095162
2	58297315	60291999	771	15	0.0003993326	0.000000234954
2	60292000	62429043	611	15	0.0010850124	0.000000268290
2	62429044	64625912	602	15	-0.0000324782	0.000000198635
2	64625913	65933443	476	15	0.0006091361	0.000000204885
2	65933444	67226165	563	15	0.0000201031	0.000000181305
2	67226166	68010175	433	15	0.0002053670	0.000000142225
2	68010176	69139563	502	15	0.0003189562	0.000000177656
2	69139564	70755197	555	15	0.0002282170	0.000000171737
2	70755198	73174847	833	15	0.0002924416	0.000000250895
2	73174848	75630085	762	15	0.0002111354	0.000000254064
2	75630086	76913660	533	15	0.0001359980	0.000000185415
2	76913661	78079263	408	15	0.0002833338	0.000000185976
2	78079264	80050402	861	15	0.0000120191	0.000000215963
2	80050403	81620840	595	15	0.0001489617	0.000000230720
2	81620841	85140679	927	15	0.0005227134	0.000000211706
2	85140680	88038506	658	15	0.0004233403	0.000000210111
2	88038507	89154525	253	15	0.0000406008	0.000000068930
2	89154526	95326451	4	2	0.0002007276	0.000000016906
2	95326452	98995200	443	15	-0.0000431923	0.000000122281
2	98995201	101822328	931	15	0.0000604810	0.000000206358
2	101822329	102688764	271	15	0.0000959225	0.000000074538
2	102688765	103588214	418	15	0.0002342431	0.000000099777
2	103588215	105125033	318	15	-0.0000712271	0.000000090239
2	105125034	106210057	420	15	0.0001248960	0.000000146131
2	106210058	107408266	467	15	-0.0000276736	0.000000146542
2	107408267	108429176	368	15	-0.0000133846	0.000000092820
2	108429177	110572431	556	15	0.0001614880	0.000000176344
2	110572432	113921855	841	15	0.0009375710	0.000000265247
2	113921856	116772469	791	15	0.0002342828	0.000000237158
2	116772470	118367465	422	15	0.0001168802	0.000000112025
2	118367466	121303782	1035	15	0.0001063632	0.000000238315
2	121303783	123302905	613	15	0.0001623791	0.000000239320
2	123302906	124732249	450	15	0.0002218935	0.000000120549
2	124732250	125840920	401	15	0.0000433854	0.000000116679
2	125840921	127373763	430	15	0.0001772967	0.000000106346
2	127373764	128034346	308	15	0.0001131557	0.000000108022
2	128034347	129474440	451	15	0.0002359778	0.000000157091
2	129474441	130067169	240	15	0.0001053247	0.000000071761
2	130067170	130658084	219	15	0.0000414793	0.000000064259
2	130658085	133042783	238	15	0.0002734969	0.000000120350
2	133042784	135158577	949	15	0.0000587477	0.000000230574
2	135158578	137042793	477	15	0.0003507692	0.000000133687
2	137042794	138698116	629	15	0.0003337410	0.000000217205
2	138698117	140100270	453	15	0.0000514769	0.000000103849
2	140100271	141805350	596	15	0.0001687258	0.000000200925
2	141805351	142518601	311	15	0.0002121854	0.000000112016
2	142518602	144519483	679	15	-0.0000185529	0.000000211684
2	144519484	146445569	461	15	0.0000306512	0.000000144397
2	146445570	147277161	160	15	0.0001270833	0.000000052441
2	147277162	150210291	686	15	0.0003740259	0.000000207454
2	150210292	151731461	490	15	0.0001441700	0.000000161385
2	151731462	152486781	294	15	0.0003274740	0.000000092796
2	152486782	154005055	517	15	0.0002084814	0.000000166045
2	154005056	155391134	508	15	0.0002488031	0.000000179841
2	155391135	157560634	579	15	0.0000488907	0.000000178242
2	157560635	158533217	174	15	0.0003560802	0.000000083132
2	158533218	159577081	349	15	0.0002478424	0.000000126983
2	159577082	161769732	748	15	0.0003761320	0.000000235736
2	161769733	163503550	410	15	-0.0000108263	0.000000100677
2	163503551	164466637	205	15	0.0000971343	0.000000064650
2	164466638	165178839	185	15	0.0000982500	0.000000057489
2	165178840	167160269	664	15	0.0001811020	0.000000196067
2	167160270	167355969	75	10	0.0001783224	0.000000029216
2	167355970	169968235	883	15	-0.0000471695	0.000000219149
2	169968236	171226244	511	15	0.0000549951	0.000000163264
2	171226245	173138904	605	15	-0.0000252806	0.000000213874
2	173138905	175588928	870	15	0.0000960015	0.000000231999
2	175588929	177363635	561	15	0.0000849802	0.000000180064
2	177363636	178553182	482	15	0.0000933959	0.000000131857
2	178553183	181312738	1034	15	0.0000887846	0.000000221573
2	181312739	182266030	315	15	0.0001283632	0.000000090403
2	182266031	184357607	645	15	0.0000861097	0.000000219242
2	184357608	185280172	245	15	0.0002803868	0.000000080638
2	185280173	189882064	1006	15	0.0001255707	0.000000231531
2	189882065	191973356	521	15	0.0002625672	0.000000163289
2	191973357	195861163	742	15	0.0002834875	0.000000259770
2	195861164	196447455	162	15	0.0003218378	0.000000068530
2	196447456	198078109	460	15	0.0003091930	0.000000128310
2	198078110	199311124	322	15	0.0000764572	0.000000071633
2	199311125	201576283	653	15	-0.0000087029	0.000000186226
2	201576284	202818636	328	15	0.0000491522	0.000000099441
2	202818637	205799240	780	15	0.0002635363	0.000000244708
2	205799241	206735703	421	15	0.0000173098	0.000000174763
2	206735704	208645398	686	15	0.0000895603	0.000000236094
2	208645399	209941528	353	15	0.0001717972	0.000000126697
2	209941529	212379517	768	15	0.0001636164	0.000000224327
2	212379518	214014281	651	15	0.0004287079	0.000000256108
2	214014282	215573794	458	15	-0.0000336956	0.000000143431
2	215573795	217715660	847	15	0.0001518030	0.000000249117
2	217715661	218395479	293	15	0.0001613458	0.000000119835
2	218395480	220454550	617	15	0.0003080213	0.000000222205
2	220454551	222521175	895	15	-0.0000500877	0.000000234212
2	222521176	224859418	821	15	0.0002730271	0.000000257194
2	224859419	225840003	374	15	0.0004489092	0.000000116020
2	225840004	228119841	763	15	0.0003413342	0.000000241692
2	228119842	229370786	472	15	-0.0000616188	0.000000136615
2	229370787	231843388	980	15	0.0000871909	0.000000242563
2	231843389	233550002	503	15	0.0003443405	0.000000201741
2	233550003	235150986	824	15	0.0000096308	0.000000228937
2	235150987	236043549	448	15	0.0000290432	0.000000203671
2	236043550	237449031	496	15	0.0000427188	0.000000173611
2	237449032	238760980	563	15	0.0001220058	0.000000203678
2	238760981	239952642	448	15	0.0001281422	0.000000176611
2	239952643	241560083	715	15	-0.0000073752	0.000000271167
2	241560084	242149920	233	15	0.0002514163	0.000000096458
2	242149921	243188919	143	15	0.0002712064	0.000000066406
3	60157	1441778	648	15	0.0001480826	0.000000253478
3	1441779	2992119	958	15	0.0000003044	0.000000249754
3	2992120	4431646	818	15	0.0000842079	0.000000251697
3	4431647	6083182	835	15	0.0001037045	0.000000267377
3	6083183	7083386	450	15	0.0000106675	0.000000186977
3	7083387	8648560	906	15	0.0001800186	0.000000231183
3	8648561	9543182	525	15	-0.0000401630	0.000000242032
3	9543183	11019664	645	15	-0.0001021888	0.000000248301
3	11019665	13070798	784	15	0.0003339363	0.000000277837
3	13070799	14816899	838	15	0.0002344287	0.000000265603
3	14816900	16282441	556	15	-0.0000285145	0.000000187242
3	16282442	17891117	523	15	0.0003661268	0.000000184602
3	17891118	19125143	357	15	0.0002839168	0.000000134668
3	19125144	20091347	209	15	0.0000797195	0.000000083306
3	20091348	21643706	672	15	0.0004952231	0.000000252325
3	21643707	22204243	409	15	-0.0000366622	0.000000159024
3	22204244	23804864	565	15	0.0001163484	0.000000214654
3	23804865	25461557	780	15	0.0004628819	0.000000258628
3	25461558	26877768	491	15	0.0002531384	0.000000171654
3	26877769	27840909	283	15	0.0001274145	0.000000096768
3	27840910	29142259	471	15	0.0000644388	0.000000168637
3	29142260	30717954	718	15	0.0000028060	0.000000240534
3	30717955	32351714	682	15	-0.0000170501	0.000000232049
3	32351715	33255591	292	15	0.0001650957	0.000000128479
3	33255592	35283457	616	15	-0.0000575355	0.000000186970
3	35283458	36486841	427	15	0.0001339862	0.000000140571
3	36486842	38356115	621	15	0.0003550812	0.000000225205
3	38356116	40221297	695	15	-0.0000511790	0.000000215183
3	40221298	41064527	159	15	0.0002684892	0.000000062712
3	41064528	42540001	483	15	0.0000848010	0.000000160558
3	42540002	45165152	731	15	0.0003678771	0.000000244122
3	45165153	46657499	575	15	0.0000514033	0.000000182007
3	46657500	47727211	181	15	0.0003622362	0.000000068751
3	47727212	49316971	259	15	0.0002881199	0.000000055772
3	49316972	51832014	455	15	0.0002597906	0.000000083151
3	51832015	54081389	635	15	0.0004859287	0.000000227111
3	54081390	55348859	694	15	0.0001997522	0.000000248954
3	55348860	56433906	389	15	0.0003525717	0.000000155061
3	56433907	58157518	569	15	0.0002250353	0.000000177615
3	58157519	60272905	1020	15	0.0000056460	0.000000231921
3	60272906	62355665	1038	15	-0.0000757924	0.000000236987
3	62355666	63669285	704	15	0.0002405127	0.000000259120
3	63669286	65273537	802	15	0.0001592209	0.000000237925
3	65273538	66270446	358	15	0.0001965599	0.000000164571
3	66270447	68286913	689	15	0.0003552703	0.000000256263
3	68286914	69276761	385	15	0.0001271240	0.000000153203
3	69276762	70449027	418	15	0.0000104763	0.000000163895
3	70449028	72529328	822	15	0.0001016593	0.000000243836
3	72529329	74321816	743	15	0.0001781011	0.000000234940
3	74321817	75704948	287	15	0.0001402553	0.000000102603
3	75704949	77508834	523	15	0.0001677634	0.000000198974
3	77508835	79024540	435	15	-0.0000816561	0.000000146126
3	79024541	81427309	515	15	-0.0000008228	0.000000117117
3	81427310	82643885	310	15	0.0001124648	0.000000084385
3	82643886	84367478	344	15	0.0001219987	0.000000099913
3	84367479	85582230	272	15	0.0000482283	0.000000069372
3	85582231	87409731	472	15	0.0001650451	0.000000128096
3	87409732	88298372	205	15	0.0005989183	0.000000078021
3	88298373	94255315	494	15	0.0000331120	0.000000135493
3	94255316	95311970	228	15	0.0002301149	0.000000060411
3	95311971	98215949	603	15	-0.0000084643	0.000000154873
3	98215950	99373761	352	15	0.0001336078	0.000000102818
3	99373762	100592216	345	15	0.0001898120	0.000000089172
3	100592217	103084959	703	15	0.0001080553	0.000000208179
3	103084960	104581612	450	15	0.0000317322	0.000000133326
3	104581613	106982810	752	15	0.0001275354	0.000000243212
3	106982811	109522394	807	15	0.0003434481	0.000000244895
3	109522395	110513769	269	15	0.0002763961	0.000000074148
3	110513770	112815698	741	15	0.0000992097	0.000000233345
3	112815699	113947862	386	15	0.0003506422	0.000000133340
3	113947863	115447079	414	15	0.0001732865	0.000000166737
3	115447080	116800152	554	15	0.0000338146	0.000000185008
3	116800153	118530250	607	15	-0.0000088519	0.000000209344
3	118530251	120523054	718	15	-0.0000502312	0.000000201542
3	120523055	121974096	410	15	0.0001935740	0.000000094589
3	121974097	123517767	539	15	0.0002040149	0.000000178385
3	123517768	124936641	647	15	0.0000829012	0.000000211781
3	124936642	126214942	417	15	0.0001578501	0.000000135582
3	126214943	128194860	705	15	0.0001238151	0.000000244548
3	128194861	130244734	463	15	0.0001964810	0.000000146487
3	130244735	131836515	573	15	0.0001247721	0.000000164885
3	131836516	133252172	535	15	0.0000281833	0.000000150101
3	133252173	135456905	909	15	0.0003669960	0.000000249531
3	135456906	137371082	461	15	0.0001421830	0.000000119152
3	137371083	139954596	870	15	0.0002557797	0.000000226565
3	139954597	141339096	496	15	0.0006225977	0.000000199894
3	141339097	143164627	650	15	0.0013746388	0.000000301567
3	143164628	144410815	409	15	0.0001868136	0.000000134514
3	144410816	145664618	380	15	-0.0000035054	0.000000096349
3	145664619	146726628	352	15	0.0001295596	0.000000107765
3	146726629	149043236	723	15	-0.0000375131	0.000000238912
3	149043237	150252003	447	15	0.0000514288	0.000000165771
3	150252004	151348729	388	15	0.0000397231	0.000000141887
3	151348730	153256570	593	15	0.0000578534	0.000000189869
3	153256571	154714217	427	15	0.0001649944	0.000000116425
3	154714218	156008699	346	15	0.0000020029	0.000000112157
3	156008700	157312027	468	15	-0.0000165719	0.000000124688
3	157312028	159477889	674	15	0.0000360103	0.000000169878
3	159477890	161524503	587	15	0.0003367927	0.000000153729
3	161524504	163253204	511	15	0.0002326390	0.000000141923
3	163253205	165055468	460	15	0.0002183377	0.000000101252
3	165055469	167117428	474	15	0.0000345278	0.000000126623
3	167117429	168580959	388	15	0.0001873567	0.000000118902
3	168580960	170964908	752	15	0.0001490612	0.000000233356
3	170964909	172295730	545	15	-0.0000358989	0.000000221141
3	172295731	173477284	404	15	-0.0000519271	0.000000165826
3	173477285	175116538	632	15	0.0001922113	0.000000244147
3	175116539	176320286	365	15	0.0001199867	0.000000117497
3	176320287	178107164	572	15	0.0000032174	0.000000216955
3	178107165	179374585	405	15	0.0003310364	0.000000136527
3	179374586	181511165	490	15	0.0001909709	0.000000160653
3	181511166	183769682	696	15	0.0001780715	0.000000237163
3	183769683	185068254	437	15	0.0000028268	0.000000181795
3	185068255	186890343	699	15	0.0001469461	0.000000280647
3	186890344	188856213	833	15	0.0001731780	0.000000255506
3	188856214	190226606	648	15	-0.0000917205	0.000000221613
3	190226607	192343813	805	15	-0.0000526964	0.000000237477
3	192343814	194059670	585	15	0.0000276231	0.000000274187
3	194059671	194786673	314	15	0.0003016333	0.000000175904
3	194786674	195971407	263	15	0.0017732582	0.000000239168
3	195971408	197075986	322	15	0.0001828656	0.000000144191
3	197075987	197946621	198	15	0.0004148713	0.000000101088
4	10240	694714	109	12	0.0003028631	0.000000054962
4	694715	1478710	233	15	0.0001638655	0.000000093041
4	1478711	2842978	301	15	0.0001182246	0.000000139309
4	2842979	3846039	279	15	0.0001059016	0.000000128694
4	3846040	4684115	242	15	0.0002649083	0.000000115793
4	4684116	5502387	409	15	0.0003563443	0.000000185499
4	5502388	6773042	728	15	0.0001334119	0.000000304714
4	6773043	7539691	435	15	0.0001414381	0.000000248852
4	7539692	8152234	375	15	0.0001683640	0.000000195326
4	8152235	9326478	261	15	-0.0000380239	0.000000115502
4	9326479	10699151	542	15	-0.0000435181	0.000000138141
4	10699152	12323033	693	15	-0.0000060773	0.000000230619
4	12323034	14272000	743	15	0.0000632996	0.000000231737
4	14272001	15147445	391	15	0.0005693355	0.000000164932
4	15147446	15927008	268	15	0.0002298810	0.000000103872
4	15927009	17383321	701	15	0.0000776594	0.000000233307
4	17383322	18841873	439	15	0.0000444157	0.000000146812
4	18841874	20544556	501	15	0.0000640505	0.000000143398
4	20544557	22319346	692	15	0.0001308547	0.000000235983
4	22319347	24135528	629	15	0.0001517674	0.000000220159
4	24135529	25609321	632	15	0.0000629014	0.000000247309
4	25609322	27343721	590	15	0.0001798625	0.000000265083
4	27343722	27965867	214	15	-0.0000216278	0.000000077055
4	27965868	29762207	560	15	0.0003276971	0.000000199075
4	29762208	30454534	168	15	0.0001071986	0.000000059222
4	30454535	31782980	433	15	0.0000040030	0.000000151946
4	31782981	33172765	336	15	0.0000194129	0.000000107372
4	33172766	35151414	378	15	0.0001063193	0.000000094382
4	35151415	36020435	285	15	0.0002130454	0.000000085664
4	36020436	37255046	457	15	0.0003786371	0.000000146811
4	37255047	38907021	826	15	0.0005886057	0.000000284440
4	38907022	40202608	410	15	0.0005482016	0.000000163607
4	40202609	42213057	746	15	0.0000963183	0.000000257582
4	42213058	43965044	559	15	0.0001026100	0.000000165310
4	43965045	45189156	358	15	0.0002579972	0.000000099099
4	45189157	47411895	484	15	0.0002390029	0.000000146275
4	47411896	48123599	234	15	-0.0000534396	0.000000052922
4	48123600	53877432	507	15	0.0003565486	0.000000142041
4	53877433	55429555	556	15	0.0008104520	0.000000207112
4	55429556	56547643	398	15	0.0002393940	0.000000154295
4	56547644	58935007	927	15	0.0001090324	0.000000243376
4	58935008	60741086	486	15	0.0001446058	0.000000143694
4	60741087	62371762	452	15	0.0000874056	0.000000140023
4	62371763	64341000	464	15	0.0001052453	0.000000162961
4	64341001	66600491	543	15	0.0001745886	0.000000164783
4	66600492	68059496	416	15	0.0001720243	0.000000129538
4	68059497	68854764	260	15	0.0001163451	0.000000079291
4	68854765	71049151	561	15	0.0003317872	0.000000148767
4	71049152	72140557	236	15	0.0002463021	0.000000078257
4	72140558	74592389	536	15	-0.0000616178	0.000000153009
4	74592390	77130706	766	15	0.0002200323	0.000000230333
4	77130707	79093978	773	15	0.0000310575	0.000000240639
4	79093979	80990296	596	15	0.0001842275	0.000000164120
4	80990297	82125314	258	15	0.0003490330	0.000000099400
4	82125315	83372592	403	15	0.0001150292	0.000000147867
4	83372593	84799655	511	15	0.0000190583	0.000000173255
4	84799656	86930608	642	15	0.0000680203	0.000000190300
4	86930609	87534647	139	15	0.0002367261	0.000000050052
4	87534648	89238027	599	15	0.0001873900	0.000000197259
4	89238028	90231563	342	15	0.0001812138	0.000000129532
4	90231564	91560676	362	15	0.0001028887	0.000000114634
4	91560677	94233298	615	15	0.0001120031	0.000000221586
4	94233299	96182187	636	15	0.0002236388	0.000000233054
4	96182188	97540702	524	15	-0.0000731141	0.000000175763
4	97540703	99424066	423	15	0.0004496294	0.000000123644
4	99424067	100678359	445	15	0.0000650775	0.000000138100
4	100678360	103221355	848	15	0.0001474476	0.000000250303
4	103221356	105305293	518	15	0.0000344370	0.000000143666
4	105305294	107501304	611	15	0.0000243200	0.000000171420
4	107501305	108815347	377	15	-0.0000125780	0.000000097997
4	108815348	111256566	817	15	0.0001995943	0.000000240953
4	111256567	113870101	752	15	0.0002594608	0.000000231970
4	113870102	115666245	645	15	0.0001769579	0.000000250694
4	115666246	117276928	360	15	0.0001886897	0.000000096633
4	117276929	118479917	359	15	0.0001295332	0.000000109684
4	118479918	119933511	436	15	0.0000706220	0.000000114043
4	119933512	120392683	156	15	0.0002156456	0.000000047386
4	120392684	122657986	765	15	0.0002388641	0.000000252679
4	122657987	124286480	397	15	0.0009998137	0.000000158937
4	124286481	125210861	275	15	0.0000880508	0.000000091620
4	125210862	126480885	410	15	0.0001940248	0.000000145247
4	126480886	127275476	237	15	0.0001227440	0.000000084509
4	127275477	127830292	175	15	0.0001736389	0.000000064323
4	127830293	128996664	201	15	0.0001845715	0.000000058262
4	128996665	130591884	466	15	0.0003263535	0.000000157262
4	130591885	131283820	193	15	0.0002226513	0.000000076457
4	131283821	132954032	374	15	0.0002428411	0.000000130044
4	132954033	134628433	396	15	0.0001911350	0.000000123282
4	134628434	136566406	452	15	0.0001786610	0.000000136344
4	136566407	138541970	550	15	0.0000556297	0.000000195760
4	138541971	139556510	371	15	0.0002711655	0.000000136904
4	139556511	141084630	533	15	0.0000920938	0.000000222243
4	141084631	143443264	751	15	0.0000693287	0.000000231185
4	143443265	146178186	538	15	0.0002066910	0.000000145848
4	146178187	148521872	658	15	0.0000154136	0.000000218213
