chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	92	17	0.0002585087	0.000000018027
1	1892607	3582735	405	28	0.0002217341	0.000000047671
1	3582736	4380810	262	28	0.0002633653	0.000000032968
1	4380811	5913892	863	28	0.0000446662	0.000000056655
1	5913893	7247334	417	28	0.0000333084	0.000000035946
1	7247335	9365198	680	28	0.0000419164	0.000000054434
1	9365199	10806983	339	28	0.0000632521	0.000000026330
1	10806984	11777840	247	28	0.0000130534	0.000000023510
1	11777841	12779465	280	28	0.0001881595	0.000000021011
1	12779466	14891510	607	28	0.0001305363	0.000000058656
1	14891511	16897729	657	28	0.0000864410	0.000000056516
1	16897730	18662898	639	28	0.0000302953	0.000000054681
1	18662899	20469148	684	28	0.0000916622	0.000000057670
1	20469149	21736587	450	28	0.0002707149	0.000000044562
1	21736588	23086882	507	28	0.0001962942	0.000000052071
1	23086883	23920589	214	27	0.0001536455	0.000000020043
1	23920590	25516844	500	28	0.0003964699	0.000000056362
1	25516845	27401866	396	28	0.0006499419	0.000000043502
1	27401867	30161880	524	28	-0.0000142294	0.000000039450
1	30161881	32438684	903	28	0.0002117591	0.000000060816
1	32438685	34799757	644	28	0.0001231030	0.000000058068
1	34799758	37549182	527	28	0.0001102336	0.000000045607
1	37549183	38731846	358	28	0.0001479086	0.000000032139
1	38731847	40200566	424	28	0.0002748678	0.000000040450
1	40200567	41975326	540	28	0.0002379597	0.000000048549
1	41975327	43758456	531	28	0.0001463189	0.000000041545
1	43758457	44969182	351	28	0.0001386867	0.000000029435
1	44969183	46899500	440	28	0.0001180888	0.000000027734
1	46899501	48002575	280	28	0.0002493911	0.000000027765
1	48002576	48978187	339	28	0.0001658311	0.000000033788
1	48978188	49894176	237	28	0.0000265919	0.000000020407
1	49894177	51713725	252	25	0.0002011441	0.000000019410
1	51713726	54226261	546	28	0.0003566691	0.000000052182
1	54226262	56413116	813	28	0.0001726982	0.000000054804
1	56413117	57021727	265	28	0.0001472809	0.000000019112
1	57021728	58865398	827	28	0.0001565692	0.000000060135
1	58865399	59890408	371	28	0.0002193693	0.000000033886
1	59890409	61922364	660	28	0.0001312852	0.000000056830
