chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	97	14	0.0002192696	0.000000061750
1	1892607	3582735	436	14	0.0000123094	0.000000247326
1	3582736	4380810	273	14	0.0003545666	0.000000164839
1	4380811	5913892	870	14	0.0000466244	0.000000338945
1	5913893	7247334	429	14	0.0000660022	0.000000225007
1	7247335	9365198	699	14	0.0000922192	0.000000342052
1	9365199	10806983	352	14	0.0000010956	0.000000158332
1	10806984	11777840	259	14	0.0000599172	0.000000136451
1	11777841	12779465	282	14	-0.0000150186	0.000000148555
1	12779466	14891510	618	14	0.0001349503	0.000000344965
1	14891511	16897729	692	14	-0.0000207996	0.000000334349
1	16897730	18662898	666	14	0.0000908016	0.000000341956
1	18662899	20469148	715	14	-0.0001007772	0.000000328899
1	20469149	21736587	461	14	0.0002004843	0.000000241985
1	21736588	23086882	523	14	0.0001804606	0.000000303345
1	23086883	23920589	222	14	0.0000865709	0.000000110540
1	23920590	25516844	522	14	0.0002532981	0.000000305269
1	25516845	27401866	413	14	-0.0000634409	0.000000169540
1	27401867	30161880	552	14	0.0001285445	0.000000259593
1	30161881	32438684	934	14	0.0001626467	0.000000346852
1	32438685	34799757	675	14	0.0000790842	0.000000341157
1	34799758	37549182	550	14	0.0000976155	0.000000278180
1	37549183	38731846	373	14	-0.0001863716	0.000000164654
1	38731847	40200566	447	14	0.0002290627	0.000000235334
1	40200567	41975326	555	14	0.0001788576	0.000000267409
1	41975327	43758456	543	14	0.0002901409	0.000000258888
1	43758457	44969182	371	14	0.0002072466	0.000000167542
1	44969183	46899500	458	14	0.0000599117	0.000000158946
1	46899501	48002575	297	14	0.0001692412	0.000000134048
1	48002576	48978187	344	14	0.0000714524	0.000000175241
1	48978188	49894176	247	14	0.0000358441	0.000000120554
1	49894177	51713725	260	14	0.0004531022	0.000000119420
1	51713726	54226261	563	14	-0.0000270499	0.000000275688
1	54226262	56413116	838	14	0.0005210574	0.000000371280
1	56413117	57021727	272	14	0.0000176560	0.000000113554
1	57021728	58865398	849	14	0.0000414420	0.000000338592
1	58865399	59890408	383	14	0.0003095139	0.000000189948
1	59890409	61922364	671	14	-0.0001208232	0.000000327532
1	61922365	63455088	534	14	0.0001972388	0.000000283455
1	63455089	65041703	657	14	-0.0000438506	0.000000278295
1	65041704	66939403	649	14	0.0001204226	0.000000302296
1	66939404	68477894	687	14	0.0000810550	0.000000286031
1	68477895	69687615	389	14	0.0000244019	0.000000183687
1	69687616	71372469	520	14	0.0000640631	0.000000237781
1	71372470	71684404	82	10	-0.0000040655	0.000000028078
1	71684405	74326906	559	14	0.0000516453	0.000000211984
1	74326907	76728134	727	14	0.0001261254	0.000000286843
1	76728135	79661197	949	14	-0.0000233619	0.000000334175
1	79661198	81354190	475	14	0.0002191381	0.000000232525
1	81354191	83991747	973	14	0.0000510775	0.000000339248
1	83991748	84844494	314	14	0.0001066201	0.000000128541
1	84844495	86454750	652	14	0.0003412362	0.000000336454
1	86454751	88128630	572	14	0.0000196036	0.000000272882
1	88128631	90066302	523	14	0.0001015635	0.000000247557
1	90066303	91886316	563	14	0.0003189850	0.000000278388
1	91886317	93536458	509	14	0.0000733119	0.000000207123
1	93536459	94506190	255	14	-0.0000193944	0.000000092701
1	94506191	96150892	651	14	-0.0000298536	0.000000315051
1	96150893	97885248	606	14	0.0001007987	0.000000240270
1	97885249	99800603	640	14	0.0001782614	0.000000281422
1	99800604	100826404	339	14	0.0002847300	0.000000148319
1	100826405	102041015	447	14	0.0000088291	0.000000194387
1	102041016	102898744	281	14	0.0000940510	0.000000123182
1	102898745	103914210	201	14	-0.0000773286	0.000000068381
