chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	92	14	-0.0000730723	0.000000058025
1	1892607	3582735	405	14	0.0001242778	0.000000293663
1	3582736	4380810	261	14	0.0000335869	0.000000159840
1	4380811	5913892	862	14	0.0000451915	0.000000342845
1	5913893	7247334	408	14	-0.0000203041	0.000000208043
1	7247335	9365198	680	14	0.0001354966	0.000000351277
1	9365199	10806983	338	14	0.0003701907	0.000000184978
1	10806984	11777840	246	14	0.0000907358	0.000000151475
1	11777841	12779465	276	14	0.0001499531	0.000000190146
1	12779466	14891510	607	14	0.0000078460	0.000000347189
1	14891511	16897729	656	14	0.0000083494	0.000000346134
1	16897730	18662898	634	14	0.0000208196	0.000000349035
1	18662899	20469148	684	14	0.0000988082	0.000000356239
1	20469149	21736587	450	14	0.0001703363	0.000000237886
1	21736588	23086882	506	14	0.0000033893	0.000000292555
1	23086883	23920589	214	14	0.0000848324	0.000000101808
1	23920590	25516844	499	14	0.0002708295	0.000000299136
1	25516845	27401866	386	14	0.0002020146	0.000000176690
1	27401867	30161880	523	14	0.0001239802	0.000000252450
1	30161881	32438684	902	14	0.0002116807	0.000000339170
1	32438685	34799757	644	14	0.0000859430	0.000000327268
1	34799758	37549182	526	14	0.0000311340	0.000000262887
1	37549183	38731846	358	14	0.0000715175	0.000000171452
1	38731847	40200566	424	14	0.0001121840	0.000000222050
1	40200567	41975326	539	14	0.0002076122	0.000000257994
1	41975327	43758456	531	14	0.0000218371	0.000000213623
1	43758457	44969182	351	14	0.0002605980	0.000000156922
1	44969183	46899500	440	14	0.0006156271	0.000000174407
1	46899501	48002575	280	14	0.0001015969	0.000000118648
1	48002576	48978187	339	14	0.0001763855	0.000000171062
1	48978188	49894176	237	14	0.0002496095	0.000000122486
1	49894177	51713725	252	14	0.0001847745	0.000000090351
1	51713726	54226261	546	14	0.0006441608	0.000000306589
1	54226262	56413116	812	14	0.0000463531	0.000000342208
1	56413117	57021727	265	14	0.0001826602	0.000000114723
1	57021728	58865398	824	14	-0.0000250064	0.000000327126
1	58865399	59890408	371	14	0.0001891079	0.000000168254
1	59890409	61922364	660	14	0.0000362580	0.000000345496
1	61922365	63455088	522	14	0.0000502680	0.000000278274
1	63455089	65041703	642	14	0.0000446882	0.000000271699
1	65041704	66939403	634	14	0.0000558655	0.000000272968
1	66939404	68477894	663	14	0.0001888423	0.000000272644
1	68477895	69687615	383	14	-0.0001135056	0.000000183068
1	69687616	71372469	506	14	-0.0000228031	0.000000228328
1	71372470	71684404	81	10	0.0000213621	0.000000027239
1	71684405	74326906	558	14	-0.0000929919	0.000000194345
1	74326907	76728134	711	14	0.0000499153	0.000000266679
1	76728135	79661197	922	14	0.0000576661	0.000000343054
1	79661198	81354190	470	14	0.0002057392	0.000000225867
1	81354191	83991747	965	14	0.0000576578	0.000000353706
1	83991748	84844494	304	14	-0.0001619938	0.000000105584
1	84844495	86454750	634	14	0.0000689182	0.000000310978
1	86454751	88128630	550	14	-0.0000209758	0.000000262575
1	88128631	90066302	515	14	0.0000533749	0.000000232701
1	90066303	91886316	551	14	0.0003791701	0.000000284273
1	91886317	93536458	500	14	0.0000959967	0.000000203111
1	93536459	94506190	245	14	0.0000533269	0.000000092839
1	94506191	96150892	640	14	0.0000935124	0.000000320225
1	96150893	97885248	598	14	0.0002321267	0.000000240243
